OBS_STATUS;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES611;2020;PERS_MEDI_EMPL;108.89605766200002;A
A;ES611;2019;PERS_MEDI_EMPL;122.33819857300001;A
A;ES611;2018;PERS_MEDI_EMPL;118.414290599;A
A;ES611;2017;PERS_MEDI_EMPL;114.070332196;A
A;ES611;2016;PERS_MEDI_EMPL;106.08983337200002;A
A;ES611;2015;PERS_MEDI_EMPL;104.849470172;A
A;ES611;2014;PERS_MEDI_EMPL;105.256776258;A
A;ES611;2013;PERS_MEDI_EMPL;107.088284755;A
A;ES611;2012;PERS_MEDI_EMPL;104.583333334;A
A;ES611;2011;PERS_MEDI_EMPL;96.32282067;A
A;ES611;2010;PERS_MEDI_EMPL;88.331547421;A
A;ES611;2009;PERS_MEDI_EMPL;85.15801779;A
A;ES611;2008;PERS_MEDI_EMPL;91.370981928;A
A;ES611;2007;PERS_MEDI_EMPL;106.683332428;A
A;ES612;2020;PERS_MEDI_EMPL;175.80401226200001;A
A;ES612;2019;PERS_MEDI_EMPL;222.976781942;A
A;ES612;2018;PERS_MEDI_EMPL;226.552613402;A
A;ES612;2017;PERS_MEDI_EMPL;209.45481442599998;A
A;ES612;2016;PERS_MEDI_EMPL;201.383925488;A
A;ES612;2015;PERS_MEDI_EMPL;194.93183516800002;A
A;ES612;2014;PERS_MEDI_EMPL;196.334916411;A
A;ES612;2013;PERS_MEDI_EMPL;194.61885458700002;A
A;ES612;2012;PERS_MEDI_EMPL;186.929756193;A
A;ES612;2011;PERS_MEDI_EMPL;183.90145374;A
A;ES612;2010;PERS_MEDI_EMPL;175.44125173700002;A
A;ES612;2009;PERS_MEDI_EMPL;193.711536965;A
A;ES612;2008;PERS_MEDI_EMPL;199.347526503;A
A;ES612;2007;PERS_MEDI_EMPL;227.066655283;A
A;ES613;2020;PERS_MEDI_EMPL;29.824598139000003;A
A;ES613;2019;PERS_MEDI_EMPL;41.429419499999995;A
A;ES613;2018;PERS_MEDI_EMPL;38.360813817;A
A;ES613;2017;PERS_MEDI_EMPL;44.928605832;A
A;ES613;2016;PERS_MEDI_EMPL;35.80206099;A
A;ES613;2015;PERS_MEDI_EMPL;34.097458969;A
A;ES613;2014;PERS_MEDI_EMPL;33.336279451;A
A;ES613;2013;PERS_MEDI_EMPL;34.094528555000004;A
A;ES613;2012;PERS_MEDI_EMPL;37.083333333;A
A;ES613;2011;PERS_MEDI_EMPL;37.576684892;A
A;ES613;2010;PERS_MEDI_EMPL;43.211310926;A
A;ES613;2009;PERS_MEDI_EMPL;47.082939808999996;A
A;ES613;2008;PERS_MEDI_EMPL;52.131921894;A
A;ES613;2007;PERS_MEDI_EMPL;53.322424763;A
A;ES614;2020;PERS_MEDI_EMPL;72.744097754;A
A;ES614;2019;PERS_MEDI_EMPL;110.042989053;A
A;ES614;2018;PERS_MEDI_EMPL;106.47612722999999;A
A;ES614;2017;PERS_MEDI_EMPL;103.02120921;A
A;ES614;2016;PERS_MEDI_EMPL;109.43106568;A
A;ES614;2015;PERS_MEDI_EMPL;110.583694288;A
A;ES614;2014;PERS_MEDI_EMPL;112.62010716500001;A
A;ES614;2013;PERS_MEDI_EMPL;110.021970877;A
A;ES614;2012;PERS_MEDI_EMPL;102.07862198199999;A
A;ES614;2011;PERS_MEDI_EMPL;98.38164239899999;A
A;ES614;2010;PERS_MEDI_EMPL;90.888350645;A
A;ES614;2009;PERS_MEDI_EMPL;104.339795955;A
A;ES614;2008;PERS_MEDI_EMPL;110.75350657800001;A
A;ES614;2007;PERS_MEDI_EMPL;101.228298573;A
A;ES615;2020;PERS_MEDI_EMPL;88.32846993800001;A
A;ES615;2019;PERS_MEDI_EMPL;152.171403004;A
A;ES615;2018;PERS_MEDI_EMPL;115.465978862;A
A;ES615;2017;PERS_MEDI_EMPL;98.783037492;A
A;ES615;2016;PERS_MEDI_EMPL;118.78433661599999;A
A;ES615;2015;PERS_MEDI_EMPL;116.40593207399999;A
A;ES615;2014;PERS_MEDI_EMPL;101.20768492600001;A
A;ES615;2013;PERS_MEDI_EMPL;107.96545241;A
A;ES615;2012;PERS_MEDI_EMPL;115.936354587;A
A;ES615;2011;PERS_MEDI_EMPL;126.78735372900002;A
A;ES615;2010;PERS_MEDI_EMPL;142.24077931;A
A;ES615;2009;PERS_MEDI_EMPL;165.778140251;A
A;ES615;2008;PERS_MEDI_EMPL;164.06181279999998;A
A;ES615;2007;PERS_MEDI_EMPL;164.858714873;A
A;ES616;2020;PERS_MEDI_EMPL;30.674568576;A
A;ES616;2019;PERS_MEDI_EMPL;49.769168437000005;A
A;ES616;2018;PERS_MEDI_EMPL;48.588620888;A
A;ES616;2017;PERS_MEDI_EMPL;51.593009728;A
A;ES616;2016;PERS_MEDI_EMPL;49.33503279;A
A;ES616;2015;PERS_MEDI_EMPL;46.558474257;A
A;ES616;2014;PERS_MEDI_EMPL;39.447872302;A
A;ES616;2013;PERS_MEDI_EMPL;47.192001817999994;A
A;ES616;2012;PERS_MEDI_EMPL;46.472465983999996;A
A;ES616;2011;PERS_MEDI_EMPL;46.243470663000004;A
A;ES616;2010;PERS_MEDI_EMPL;49.844758104;A
A;ES616;2009;PERS_MEDI_EMPL;44.332047593;A
A;ES616;2008;PERS_MEDI_EMPL;40.586530148;A
A;ES616;2007;PERS_MEDI_EMPL;41.358316709;A
A;ES617;2020;PERS_MEDI_EMPL;170.847784504;A
A;ES617;2019;PERS_MEDI_EMPL;241.238356049;A
A;ES617;2018;PERS_MEDI_EMPL;234.735681144;A
A;ES617;2017;PERS_MEDI_EMPL;224.326539937;A
A;ES617;2016;PERS_MEDI_EMPL;207.21007306;A
A;ES617;2015;PERS_MEDI_EMPL;193.502525569;A
A;ES617;2014;PERS_MEDI_EMPL;183.827870233;A
A;ES617;2013;PERS_MEDI_EMPL;170.962478482;A
A;ES617;2012;PERS_MEDI_EMPL;167.934466305;A
A;ES617;2011;PERS_MEDI_EMPL;173.077503089;A
A;ES617;2010;PERS_MEDI_EMPL;159.840669969;A
A;ES617;2009;PERS_MEDI_EMPL;150.5198203;A
