D_TERRITORIO_0;D_SECC_CNAE09_0;D_ESTADO_DATO_0;D_TEMPORAL_0;D_MACROMAG_CPA_0;INDICATOR;OBS_VALUE;FREQ
2352;273777;40123;2008;273760;Valor;2322497.0;A
2352;273777;40123;2008;273761;Valor;521820.0;A
2352;273777;40123;2008;273762;Valor;1800677.0;A
2352;273777;40123;2008;273763;Valor;;A
2352;273777;40123;2008;273764;Valor;;A
2352;273777;40123;2008;273765;Valor;84.96946074;A
2352;273777;40123;2008;273766;Valor;;A
2352;273777;40123;2008;273767;Valor;;A
2352;273777;40123;2008;273768;Valor;257286.0;A
2352;273777;40123;2008;273769;Valor;-348417.0;A
2352;273777;40123;2008;273770;Valor;1891808.0;A
2352;273777;40123;2008;273771;Valor;38139.0;A
2352;273777;40123;2008;273772;Valor;24371.0;A
2352;273777;40123;2008;273773;Valor;13768.0;A
2352;273777;40123;2009;273760;Valor;2112863.0;A
2352;273777;40123;2009;273761;Valor;438280.0;A
2352;273777;40123;2009;273762;Valor;1674583.0;A
2352;273777;40123;2009;273763;Valor;;A
2352;273777;40123;2009;273764;Valor;;A
2352;273777;40123;2009;273765;Valor;92.324247339;A
2352;273777;40123;2009;273766;Valor;;A
2352;273777;40123;2009;273767;Valor;;A
2352;273777;40123;2009;273768;Valor;275280.0;A
2352;273777;40123;2009;273769;Valor;-488058.0;A
2352;273777;40123;2009;273770;Valor;1887361.0;A
2352;273777;40123;2009;273771;Valor;39066.0;A
2352;273777;40123;2009;273772;Valor;24733.0;A
2352;273777;40123;2009;273773;Valor;14333.0;A
2352;273777;40123;2010;273760;Valor;2103390.0;A
2352;273777;40123;2010;273761;Valor;611193.0;A
2352;273777;40123;2010;273762;Valor;1492197.0;A
2352;273777;40123;2010;273763;Valor;;A
2352;273777;40123;2010;273764;Valor;;A
2352;273777;40123;2010;273765;Valor;76.142091257;A
2352;273777;40123;2010;273766;Valor;;A
2352;273777;40123;2010;273767;Valor;;A
2352;273777;40123;2010;273768;Valor;295161.0;A
2352;273777;40123;2010;273769;Valor;-384770.0;A
2352;273777;40123;2010;273770;Valor;1581806.0;A
2352;273777;40123;2010;273771;Valor;41154.0;A
2352;273777;40123;2010;273772;Valor;26692.0;A
2352;273777;40123;2010;273773;Valor;14462.0;A
2352;273777;40123;2011;273760;Valor;1738561.0;A
2352;273777;40123;2011;273761;Valor;551215.0;A
2352;273777;40123;2011;273762;Valor;1187346.0;A
2352;273777;40123;2011;273763;Valor;;A
2352;273777;40123;2011;273764;Valor;;A
2352;273777;40123;2011;273765;Valor;67.382336153;A
2352;273777;40123;2011;273766;Valor;;A
2352;273777;40123;2011;273767;Valor;;A
2352;273777;40123;2011;273768;Valor;299901.0;A
2352;273777;40123;2011;273769;Valor;-380026.0;A
2352;273777;40123;2011;273770;Valor;1267471.0;A
2352;273777;40123;2011;273771;Valor;44432.0;A
2352;273777;40123;2011;273772;Valor;26188.0;A
2352;273777;40123;2011;273773;Valor;18244.0;A
2352;273777;40123;2012;273760;Valor;2039051.0;A
2352;273777;40123;2012;273761;Valor;525890.0;A
2352;273777;40123;2012;273762;Valor;1513161.0;A
2352;273777;40123;2012;273763;Valor;;A
2352;273777;40123;2012;273764;Valor;;A
2352;273777;40123;2012;273765;Valor;80.671848221;A
2352;273777;40123;2012;273766;Valor;;A
2352;273777;40123;2012;273767;Valor;;A
2352;273777;40123;2012;273768;Valor;281044.0;A
2352;273777;40123;2012;273769;Valor;-522494.0;A
2352;273777;40123;2012;273770;Valor;1754611.0;A
2352;273777;40123;2012;273771;Valor;39100.0;A
2352;273777;40123;2012;273772;Valor;26726.0;A
2352;273777;40123;2012;273773;Valor;12374.0;A
2352;273777;40123;2013;273760;Valor;2266108.0;A
2352;273777;40123;2013;273761;Valor;518920.0;A
2352;273777;40123;2013;273762;Valor;1747188.0;A
2352;273777;40123;2013;273763;Valor;;A
2352;273777;40123;2013;273764;Valor;;A
2352;273777;40123;2013;273765;Valor;94.799986132;A
2352;273777;40123;2013;273766;Valor;;A
2352;273777;40123;2013;273767;Valor;;A
2352;273777;40123;2013;273768;Valor;267983.0;A
2352;273777;40123;2013;273769;Valor;-424587.0;A
2352;273777;40123;2013;273770;Valor;1903792.0;A
2352;273777;40123;2013;273771;Valor;36765.0;A
2352;273777;40123;2013;273772;Valor;25246.0;A
2352;273777;40123;2013;273773;Valor;11519.0;A
2352;273777;40123;2014;273760;Valor;2248416.0;A
2352;273777;40123;2014;273761;Valor;553341.0;A
2352;273777;40123;2014;273762;Valor;1695075.0;A
2352;273777;40123;2014;273763;Valor;;A
2352;273777;40123;2014;273764;Valor;;A
2352;273777;40123;2014;273765;Valor;103.371736914;A
2352;273777;40123;2014;273766;Valor;;A
2352;273777;40123;2014;273767;Valor;;A
2352;273777;40123;2014;273768;Valor;338790.0;A
2352;273777;40123;2014;273769;Valor;-432125.0;A
2352;273777;40123;2014;273770;Valor;1788410.0;A
2352;273777;40123;2014;273771;Valor;48066.0;A
2352;273777;40123;2014;273772;Valor;31627.0;A
2352;273777;40123;2014;273773;Valor;16439.0;A
2352;273777;40123;2015;273760;Valor;2683370.0;A
2352;273777;40123;2015;273761;Valor;577154.0;A
2352;273777;40123;2015;273762;Valor;2106216.0;A
2352;273777;40123;2015;273763;Valor;;A
2352;273777;40123;2015;273764;Valor;;A
2352;273777;40123;2015;273765;Valor;100.0;A
2352;273777;40123;2015;273766;Valor;;A
2352;273777;40123;2015;273767;Valor;;A
2352;273777;40123;2015;273768;Valor;339584.0;A
2352;273777;40123;2015;273769;Valor;-366774.0;A
2352;273777;40123;2015;273770;Valor;2133406.0;A
2352;273777;40123;2015;273771;Valor;51657.0;A
2352;273777;40123;2015;273772;Valor;31417.0;A
2352;273777;40123;2015;273773;Valor;20240.0;A
2352;273777;40123;2016;273760;Valor;2805808.0;A
2352;273777;40123;2016;273761;Valor;590131.0;A
2352;273777;40123;2016;273762;Valor;2215677.0;A
2352;273777;40123;2016;273763;Valor;;A
2352;273777;40123;2016;273764;Valor;;A
2352;273777;40123;2016;273765;Valor;111.932652767;A
2352;273777;40123;2016;273766;Valor;;A
2352;273777;40123;2016;273767;Valor;;A
2352;273777;40123;2016;273768;Valor;370346.0;A
2352;273777;40123;2016;273769;Valor;-377875.0;A
2352;273777;40123;2016;273770;Valor;2223206.0;A
2352;273777;40123;2016;273771;Valor;60894.0;A
2352;273777;40123;2016;273772;Valor;36262.0;A
2352;273777;40123;2016;273773;Valor;24632.0;A
2352;273777;40123;2017;273760;Valor;3195358.0;A
2352;273777;40123;2017;273761;Valor;613451.0;A
2352;273777;40123;2017;273762;Valor;2581907.0;A
2352;273777;40123;2017;273763;Valor;;A
2352;273777;40123;2017;273764;Valor;;A
2352;273777;40123;2017;273765;Valor;118.97315186;A
2352;273777;40123;2017;273766;Valor;;A
2352;273777;40123;2017;273767;Valor;;A
2352;273777;40123;2017;273768;Valor;402119.0;A
2352;273777;40123;2017;273769;Valor;-378295.0;A
2352;273777;40123;2017;273770;Valor;2558083.0;A
2352;273777;40123;2017;273771;Valor;56995.0;A
2352;273777;40123;2017;273772;Valor;37326.0;A
2352;273777;40123;2017;273773;Valor;19669.0;A
2352;273777;40123;2018;273760;Valor;2746957.0;A
2352;273777;40123;2018;273761;Valor;618370.0;A
2352;273777;40123;2018;273762;Valor;2128587.0;A
2352;273777;40123;2018;273763;Valor;;A
2352;273777;40123;2018;273764;Valor;;A
2352;273777;40123;2018;273765;Valor;97.613214177;A
2352;273777;40123;2018;273766;Valor;;A
2352;273777;40123;2018;273767;Valor;;A
2352;273777;40123;2018;273768;Valor;398421.0;A
2352;273777;40123;2018;273769;Valor;-314771.0;A
2352;273777;40123;2018;273770;Valor;2044937.0;A
2352;273777;40123;2018;273771;Valor;52103.0;A
2352;273777;40123;2018;273772;Valor;36524.0;A
2352;273777;40123;2018;273773;Valor;15579.0;A
2352;273777;40123;2019;273760;Valor;;A
2352;273777;40123;2019;273761;Valor;;A
2352;273777;40123;2019;273762;Valor;;A
2352;273777;40123;2019;273763;Valor;;A
2352;273777;40123;2019;273764;Valor;;A
2352;273777;40123;2019;273765;Valor;;A
2352;273777;40123;2019;273766;Valor;;A
2352;273777;40123;2019;273767;Valor;;A
2352;273777;40123;2019;273768;Valor;;A
2352;273777;40123;2019;273769;Valor;;A
2352;273777;40123;2019;273770;Valor;;A
2352;273777;40123;2019;273771;Valor;;A
2352;273777;40123;2019;273772;Valor;;A
2352;273777;40123;2019;273773;Valor;;A
2352;273777;40123;2020;273762;Valor;;A
2352;273777;40123;2020;273763;Valor;;A
2352;273777;40123;2020;273764;Valor;;A
2352;273777;40123;2020;273765;Valor;;A
2352;273777;40123;2020;273766;Valor;;A
2352;273777;40123;2020;273767;Valor;;A
2352;273777;40123;2020;273768;Valor;;A
2352;273777;40123;2020;273769;Valor;;A
2352;273777;40123;2020;273770;Valor;;A
2352;273777;40123;2020;273771;Valor;;A
2352;273777;40123;2020;273772;Valor;;A
2352;273777;40123;2020;273773;Valor;;A
2352;273777;40124;2008;273760;Valor;;A
2352;273777;40124;2008;273761;Valor;;A
2352;273777;40124;2008;273762;Valor;;A
2352;273777;40124;2008;273763;Valor;;A
2352;273777;40124;2008;273764;Valor;;A
2352;273777;40124;2008;273765;Valor;;A
2352;273777;40124;2008;273766;Valor;;A
2352;273777;40124;2008;273767;Valor;;A
2352;273777;40124;2008;273768;Valor;;A
2352;273777;40124;2008;273769;Valor;;A
2352;273777;40124;2008;273770;Valor;;A
2352;273777;40124;2008;273771;Valor;;A
2352;273777;40124;2008;273772;Valor;;A
2352;273777;40124;2008;273773;Valor;;A
2352;273777;40124;2009;273760;Valor;;A
2352;273777;40124;2009;273761;Valor;;A
2352;273777;40124;2009;273762;Valor;;A
2352;273777;40124;2009;273763;Valor;;A
2352;273777;40124;2009;273764;Valor;;A
2352;273777;40124;2009;273765;Valor;;A
2352;273777;40124;2009;273766;Valor;;A
2352;273777;40124;2009;273767;Valor;;A
2352;273777;40124;2009;273768;Valor;;A
2352;273777;40124;2009;273769;Valor;;A
2352;273777;40124;2009;273770;Valor;;A
2352;273777;40124;2009;273771;Valor;;A
2352;273777;40124;2009;273772;Valor;;A
2352;273777;40124;2009;273773;Valor;;A
2352;273777;40124;2010;273760;Valor;;A
2352;273777;40124;2010;273761;Valor;;A
2352;273777;40124;2010;273762;Valor;;A
2352;273777;40124;2010;273763;Valor;;A
2352;273777;40124;2010;273764;Valor;;A
2352;273777;40124;2010;273765;Valor;;A
2352;273777;40124;2010;273766;Valor;;A
2352;273777;40124;2010;273767;Valor;;A
2352;273777;40124;2010;273768;Valor;;A
2352;273777;40124;2010;273769;Valor;;A
2352;273777;40124;2010;273770;Valor;;A
2352;273777;40124;2010;273771;Valor;;A
2352;273777;40124;2010;273772;Valor;;A
2352;273777;40124;2010;273773;Valor;;A
2352;273777;40124;2011;273760;Valor;;A
2352;273777;40124;2011;273761;Valor;;A
2352;273777;40124;2011;273762;Valor;;A
2352;273777;40124;2011;273763;Valor;;A
2352;273777;40124;2011;273764;Valor;;A
2352;273777;40124;2011;273765;Valor;;A
2352;273777;40124;2011;273766;Valor;;A
2352;273777;40124;2011;273767;Valor;;A
2352;273777;40124;2011;273768;Valor;;A
2352;273777;40124;2011;273769;Valor;;A
2352;273777;40124;2011;273770;Valor;;A
2352;273777;40124;2011;273771;Valor;;A
2352;273777;40124;2011;273772;Valor;;A
2352;273777;40124;2011;273773;Valor;;A
2352;273777;40124;2012;273760;Valor;;A
2352;273777;40124;2012;273761;Valor;;A
2352;273777;40124;2012;273762;Valor;;A
2352;273777;40124;2012;273763;Valor;;A
2352;273777;40124;2012;273764;Valor;;A
2352;273777;40124;2012;273765;Valor;;A
2352;273777;40124;2012;273766;Valor;;A
2352;273777;40124;2012;273767;Valor;;A
2352;273777;40124;2012;273768;Valor;;A
2352;273777;40124;2012;273769;Valor;;A
2352;273777;40124;2012;273770;Valor;;A
2352;273777;40124;2012;273771;Valor;;A
2352;273777;40124;2012;273772;Valor;;A
2352;273777;40124;2012;273773;Valor;;A
2352;273777;40124;2013;273760;Valor;;A
2352;273777;40124;2013;273761;Valor;;A
2352;273777;40124;2013;273762;Valor;;A
2352;273777;40124;2013;273763;Valor;;A
2352;273777;40124;2013;273764;Valor;;A
2352;273777;40124;2013;273765;Valor;;A
2352;273777;40124;2013;273766;Valor;;A
2352;273777;40124;2013;273767;Valor;;A
2352;273777;40124;2013;273768;Valor;;A
2352;273777;40124;2013;273769;Valor;;A
2352;273777;40124;2013;273770;Valor;;A
2352;273777;40124;2013;273771;Valor;;A
2352;273777;40124;2013;273772;Valor;;A
2352;273777;40124;2013;273773;Valor;;A
2352;273777;40124;2014;273760;Valor;;A
2352;273777;40124;2014;273761;Valor;;A
2352;273777;40124;2014;273762;Valor;;A
2352;273777;40124;2014;273763;Valor;;A
2352;273777;40124;2014;273764;Valor;;A
2352;273777;40124;2014;273765;Valor;;A
2352;273777;40124;2014;273766;Valor;;A
2352;273777;40124;2014;273767;Valor;;A
2352;273777;40124;2014;273768;Valor;;A
2352;273777;40124;2014;273769;Valor;;A
2352;273777;40124;2014;273770;Valor;;A
2352;273777;40124;2014;273771;Valor;;A
2352;273777;40124;2014;273772;Valor;;A
2352;273777;40124;2014;273773;Valor;;A
2352;273777;40124;2015;273760;Valor;;A
2352;273777;40124;2015;273761;Valor;;A
2352;273777;40124;2015;273762;Valor;;A
2352;273777;40124;2015;273763;Valor;;A
2352;273777;40124;2015;273764;Valor;;A
2352;273777;40124;2015;273765;Valor;;A
2352;273777;40124;2015;273766;Valor;;A
2352;273777;40124;2015;273767;Valor;;A
2352;273777;40124;2015;273768;Valor;;A
2352;273777;40124;2015;273769;Valor;;A
2352;273777;40124;2015;273770;Valor;;A
2352;273777;40124;2015;273771;Valor;;A
2352;273777;40124;2015;273772;Valor;;A
2352;273777;40124;2015;273773;Valor;;A
2352;273777;40124;2016;273760;Valor;;A
