TERRITORIO;SECC_CNAE09;OBS_STATUS;TEMPORAL;MACROMAG_CPA;INDICATOR;OBS_VALUE;FREQ
ES611;273777;A;2008;273760;NR;2322497.0;A
ES611;273777;A;2008;273761;NR;521820.0;A
ES611;273777;A;2008;273762;NR;1800677.0;A
ES611;273777;A;2008;273765;NR;84.96946074;A
ES611;273777;A;2008;273768;NR;257286.0;A
ES611;273777;A;2008;273769;NR;-348417.0;A
ES611;273777;A;2008;273770;NR;1891808.0;A
ES611;273777;A;2008;273771;NR;38139.0;A
ES611;273777;A;2008;273772;NR;24371.0;A
ES611;273777;A;2008;273773;NR;13768.0;A
ES611;273777;A;2009;273760;NR;2112863.0;A
ES611;273777;A;2009;273761;NR;438280.0;A
ES611;273777;A;2009;273762;NR;1674583.0;A
ES611;273777;A;2009;273765;NR;92.324247339;A
ES611;273777;A;2009;273768;NR;275280.0;A
ES611;273777;A;2009;273769;NR;-488058.0;A
ES611;273777;A;2009;273770;NR;1887361.0;A
ES611;273777;A;2009;273771;NR;39066.0;A
ES611;273777;A;2009;273772;NR;24733.0;A
ES611;273777;A;2009;273773;NR;14333.0;A
ES611;273777;A;2010;273760;NR;2103390.0;A
ES611;273777;A;2010;273761;NR;611193.0;A
ES611;273777;A;2010;273762;NR;1492197.0;A
ES611;273777;A;2010;273765;NR;76.142091257;A
ES611;273777;A;2010;273768;NR;295161.0;A
ES611;273777;A;2010;273769;NR;-384770.0;A
ES611;273777;A;2010;273770;NR;1581806.0;A
ES611;273777;A;2010;273771;NR;41154.0;A
ES611;273777;A;2010;273772;NR;26692.0;A
ES611;273777;A;2010;273773;NR;14462.0;A
ES611;273777;A;2011;273760;NR;1738561.0;A
ES611;273777;A;2011;273761;NR;551215.0;A
ES611;273777;A;2011;273762;NR;1187346.0;A
ES611;273777;A;2011;273765;NR;67.382336153;A
ES611;273777;A;2011;273768;NR;299901.0;A
ES611;273777;A;2011;273769;NR;-380026.0;A
ES611;273777;A;2011;273770;NR;1267471.0;A
ES611;273777;A;2011;273771;NR;44432.0;A
ES611;273777;A;2011;273772;NR;26188.0;A
ES611;273777;A;2011;273773;NR;18244.0;A
ES611;273777;A;2012;273760;NR;2039051.0;A
ES611;273777;A;2012;273761;NR;525890.0;A
ES611;273777;A;2012;273762;NR;1513161.0;A
ES611;273777;A;2012;273765;NR;80.671848221;A
ES611;273777;A;2012;273768;NR;281044.0;A
ES611;273777;A;2012;273769;NR;-522494.0;A
ES611;273777;A;2012;273770;NR;1754611.0;A
ES611;273777;A;2012;273771;NR;39100.0;A
ES611;273777;A;2012;273772;NR;26726.0;A
ES611;273777;A;2012;273773;NR;12374.0;A
ES611;273777;A;2013;273760;NR;2266108.0;A
ES611;273777;A;2013;273761;NR;518920.0;A
ES611;273777;A;2013;273762;NR;1747188.0;A
ES611;273777;A;2013;273765;NR;94.799986132;A
ES611;273777;A;2013;273768;NR;267983.0;A
ES611;273777;A;2013;273769;NR;-424587.0;A
ES611;273777;A;2013;273770;NR;1903792.0;A
ES611;273777;A;2013;273771;NR;36765.0;A
ES611;273777;A;2013;273772;NR;25246.0;A
ES611;273777;A;2013;273773;NR;11519.0;A
ES611;273777;A;2014;273760;NR;2248416.0;A
ES611;273777;A;2014;273761;NR;553341.0;A
ES611;273777;A;2014;273762;NR;1695075.0;A
ES611;273777;A;2014;273765;NR;103.371736914;A
ES611;273777;A;2014;273768;NR;338790.0;A
ES611;273777;A;2014;273769;NR;-432125.0;A
ES611;273777;A;2014;273770;NR;1788410.0;A
ES611;273777;A;2014;273771;NR;48066.0;A
ES611;273777;A;2014;273772;NR;31627.0;A
ES611;273777;A;2014;273773;NR;16439.0;A
ES611;273777;A;2015;273760;NR;2683370.0;A
ES611;273777;A;2015;273761;NR;577154.0;A
ES611;273777;A;2015;273762;NR;2106216.0;A
ES611;273777;A;2015;273765;NR;100.0;A
ES611;273777;A;2015;273768;NR;339584.0;A
ES611;273777;A;2015;273769;NR;-366774.0;A
ES611;273777;A;2015;273770;NR;2133406.0;A
ES611;273777;A;2015;273771;NR;51657.0;A
ES611;273777;A;2015;273772;NR;31417.0;A
ES611;273777;A;2015;273773;NR;20240.0;A
ES611;273777;A;2016;273760;NR;2805808.0;A
