D_MACROECO_0;D_TEMPORAL_0;D_ESTADO_DATO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
93017;2021;69512;3143;Tasa interanual. Precio corriente;8.768814659;A
93017;2020;40125;3143;Tasa interanual. Precio corriente;-7.242574136;A
93017;2019;40124;3143;Tasa interanual. Precio corriente;1.02870874;A
93017;2018;40123;3143;Tasa interanual. Precio corriente;2.985107247;A
93017;2017;40123;3143;Tasa interanual. Precio corriente;4.387909803;A
93017;2016;40123;3143;Tasa interanual. Precio corriente;2.587242576;A
93017;2015;40123;3143;Tasa interanual. Precio corriente;2.250037396;A
93017;2014;40123;3143;Tasa interanual. Precio corriente;1.282165577;A
93017;2013;40123;3143;Tasa interanual. Precio corriente;-2.020692986;A
93017;2012;40123;3143;Tasa interanual. Precio corriente;-2.953963765;A
93017;2011;40123;3143;Tasa interanual. Precio corriente;-0.415148608;A
93017;2010;40123;3143;Tasa interanual. Precio corriente;1.896823806;A
93017;2009;40123;3143;Tasa interanual. Precio corriente;-1.999318386;A
93017;2008;40123;3143;Tasa interanual. Precio corriente;5.009903253;A
93017;2007;40123;3143;Tasa interanual. Precio corriente;8.103375404;A
93018;2021;69512;3143;Tasa interanual. Precio corriente;8.783777781;A
93018;2020;40125;3143;Tasa interanual. Precio corriente;-12.538928773;A
93018;2019;40124;3143;Tasa interanual. Precio corriente;-0.249254158;A
93018;2018;40123;3143;Tasa interanual. Precio corriente;2.792730385;A
93018;2017;40123;3143;Tasa interanual. Precio corriente;5.189571242;A
93018;2016;40123;3143;Tasa interanual. Precio corriente;2.848973126;A
93018;2015;40123;3143;Tasa interanual. Precio corriente;1.754457926;A
93018;2014;40123;3143;Tasa interanual. Precio corriente;1.824491877;A
93018;2013;40123;3143;Tasa interanual. Precio corriente;-2.260879228;A
93018;2012;40123;3143;Tasa interanual. Precio corriente;-1.783187265;A
93018;2011;40123;3143;Tasa interanual. Precio corriente;-0.351692986;A
93018;2010;40123;3143;Tasa interanual. Precio corriente;2.413224772;A
93018;2009;40123;3143;Tasa interanual. Precio corriente;-4.609217503;A
93018;2008;40123;3143;Tasa interanual. Precio corriente;3.221659358;A
93018;2007;40123;3143;Tasa interanual. Precio corriente;7.417237409;A
93011;2021;69512;3143;Tasa interanual. Precio corriente;8.736837307;A
93011;2020;40125;3143;Tasa interanual. Precio corriente;6.546012327;A
93011;2019;40124;3143;Tasa interanual. Precio corriente;4.514665689;A
93011;2018;40123;3143;Tasa interanual. Precio corriente;3.513542008;A
93011;2017;40123;3143;Tasa interanual. Precio corriente;2.247439092;A
93011;2016;40123;3143;Tasa interanual. Precio corriente;1.894893411;A
93011;2015;40123;3143;Tasa interanual. Precio corriente;3.584559091;A
93011;2014;40123;3143;Tasa interanual. Precio corriente;-0.149920628;A
93011;2013;40123;3143;Tasa interanual. Precio corriente;-1.380737234;A
93011;2012;40123;3143;Tasa interanual. Precio corriente;-5.941332294;A
93011;2011;40123;3143;Tasa interanual. Precio corriente;-0.576697196;A
93011;2010;40123;3143;Tasa interanual. Precio corriente;0.605351334;A
93011;2009;40123;3143;Tasa interanual. Precio corriente;5.1989284;A
93011;2008;40123;3143;Tasa interanual. Precio corriente;10.279198419;A
93011;2007;40123;3143;Tasa interanual. Precio corriente;10.177117152;A
93020;2021;69512;3143;Tasa interanual. Precio corriente;;A
93020;2020;40125;3143;Tasa interanual. Precio corriente;;A
93020;2019;40124;3143;Tasa interanual. Precio corriente;5.472443432;A
93020;2018;40123;3143;Tasa interanual. Precio corriente;3.524912982;A
93020;2017;40123;3143;Tasa interanual. Precio corriente;2.630702135;A
93020;2016;40123;3143;Tasa interanual. Precio corriente;3.520949438;A
93020;2015;40123;3143;Tasa interanual. Precio corriente;3.418312439;A
93020;2014;40123;3143;Tasa interanual. Precio corriente;-0.297771;A
93020;2013;40123;3143;Tasa interanual. Precio corriente;-1.293528085;A
93020;2012;40123;3143;Tasa interanual. Precio corriente;-7.705608888;A
93020;2011;40123;3143;Tasa interanual. Precio corriente;-2.302424166;A
93020;2010;40123;3143;Tasa interanual. Precio corriente;-0.413668568;A
93020;2009;40123;3143;Tasa interanual. Precio corriente;4.921057631;A
93020;2008;40123;3143;Tasa interanual. Precio corriente;14.084329611;A
93020;2007;40123;3143;Tasa interanual. Precio corriente;10.104858444;A
93012;2021;69512;3143;Tasa interanual. Precio corriente;;A
93012;2020;40125;3143;Tasa interanual. Precio corriente;;A
93012;2019;40124;3143;Tasa interanual. Precio corriente;3.096250651;A
93012;2018;40123;3143;Tasa interanual. Precio corriente;3.496706823;A
93012;2017;40123;3143;Tasa interanual. Precio corriente;1.685230132;A
93012;2016;40123;3143;Tasa interanual. Precio corriente;-0.400025296;A
93012;2015;40123;3143;Tasa interanual. Precio corriente;3.82010128;A
93012;2014;40123;3143;Tasa interanual. Precio corriente;0.06030962;A
93012;2013;40123;3143;Tasa interanual. Precio corriente;-1.504475974;A
93012;2012;40123;3143;Tasa interanual. Precio corriente;-3.319071887;A
93012;2011;40123;3143;Tasa interanual. Precio corriente;2.103952076;A
93012;2010;40123;3143;Tasa interanual. Precio corriente;2.230265141;A
93012;2009;40123;3143;Tasa interanual. Precio corriente;5.645074518;A
93012;2008;40123;3143;Tasa interanual. Precio corriente;4.67368483;A
93012;2007;40123;3143;Tasa interanual. Precio corriente;10.283737713;A
93016;2021;69512;3143;Tasa interanual. Precio corriente;7.035148071;A
93016;2020;40125;3143;Tasa interanual. Precio corriente;-10.340212461;A
93016;2019;40124;3143;Tasa interanual. Precio corriente;7.82616882;A
93016;2018;40123;3143;Tasa interanual. Precio corriente;12.206319046;A
93016;2017;40123;3143;Tasa interanual. Precio corriente;7.669704039;A
93016;2016;40123;3143;Tasa interanual. Precio corriente;-0.726785514;A
93016;2015;40123;3143;Tasa interanual. Precio corriente;10.07351064;A
93016;2014;40123;3143;Tasa interanual. Precio corriente;1.856944562;A
93016;2013;40123;3143;Tasa interanual. Precio corriente;-8.234917569;A
93016;2012;40123;3143;Tasa interanual. Precio corriente;-14.305605433;A
93016;2011;40123;3143;Tasa interanual. Precio corriente;-10.716951049;A
93016;2010;40123;3143;Tasa interanual. Precio corriente;-6.310343211;A
93016;2009;40123;3143;Tasa interanual. Precio corriente;-20.402567009;A
93016;2008;40123;3143;Tasa interanual. Precio corriente;-5.761338923;A
93016;2007;40123;3143;Tasa interanual. Precio corriente;4.793857658;A
93013;2021;69512;3143;Tasa interanual. Precio corriente;8.483362795;A
93013;2020;40125;3143;Tasa interanual. Precio corriente;-7.767243248;A
93013;2019;40124;3143;Tasa interanual. Precio corriente;2.119104813;A
93013;2018;40123;3143;Tasa interanual. Precio corriente;4.360877827;A
93013;2017;40123;3143;Tasa interanual. Precio corriente;4.864785867;A
93013;2016;40123;3143;Tasa interanual. Precio corriente;2.092009063;A
93013;2015;40123;3143;Tasa interanual. Precio corriente;3.347706572;A
93013;2014;40123;3143;Tasa interanual. Precio corriente;1.362418168;A
