D_TERRITORIO_0;D_TEMPORAL_0;D_CNAE_O9_CRA_NEW_0;D_ESTADO_DATO_0;INDICATOR;OBS_VALUE;FREQ
3143;2021;273165;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273166;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273248;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273249;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273251;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273250;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273253;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273254;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273255;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273256;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273257;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273259;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273260;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273261;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273252;69512;Consumos intermedios a precios de adquisición;;A
3143;2021;273258;69512;Consumos intermedios a precios de adquisición;;A
3143;2020;273165;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273166;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273248;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273249;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273251;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273250;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273253;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273254;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273255;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273256;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273257;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273259;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273260;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273261;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273252;40125;Consumos intermedios a precios de adquisición;;A
3143;2020;273258;40125;Consumos intermedios a precios de adquisición;;A
3143;2019;273165;40124;Consumos intermedios a precios de adquisición;4536216.0;A
3143;2019;273129;40124;Consumos intermedios a precios de adquisición;4536216.0;A
3143;2019;273167;40124;Consumos intermedios a precios de adquisición;4157525.0;A
3143;2019;273168;40124;Consumos intermedios a precios de adquisición;191663.0;A
3143;2019;273169;40124;Consumos intermedios a precios de adquisición;187028.0;A
3143;2019;273166;40124;Consumos intermedios a precios de adquisición;62049704;A
3143;2019;273248;40124;Consumos intermedios a precios de adquisición;52870425;A
3143;2019;273130;40124;Consumos intermedios a precios de adquisición;713571.0;A
3143;2019;273170;40124;Consumos intermedios a precios de adquisición;713571.0;A
3143;2019;273131;40124;Consumos intermedios a precios de adquisición;15050628;A
3143;2019;273171;40124;Consumos intermedios a precios de adquisición;2098523.0;A
