MACROECO;TEMPORAL;OBS_STATUS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
93017;2021;1E;ES61;CLV_I15;104.019719752;A
93017;2020;AV;ES61;CLV_I15;98.732534991;A
93017;2019;P;ES61;CLV_I15;107.009449952;A
93017;2018;A;ES61;CLV_I15;107.107775118;A
93017;2017;A;ES61;CLV_I15;105.475587138;A
93017;2016;A;ES61;CLV_I15;102.508925112;A
93017;2015;A;ES61;CLV_I15;100.0;A
93017;2014;A;ES61;CLV_I15;98.098677561;A
93017;2013;A;ES61;CLV_I15;96.913864961;A
93017;2012;A;ES61;CLV_I15;99.765745669;A
93017;2011;A;ES61;CLV_I15;103.684470074;A
93017;2010;A;ES61;CLV_I15;105.810699934;A
93017;2009;A;ES61;CLV_I15;105.256247519;A
93017;2008;A;ES61;CLV_I15;107.094532226;A
93017;2007;A;ES61;CLV_I15;105.765902848;A
93018;2021;1E;ES61;CLV_I15;98.347132593;A
93018;2020;AV;ES61;CLV_I15;93.419073458;A
93018;2019;P;ES61;CLV_I15;106.702168193;A
93018;2018;A;ES61;CLV_I15;107.683936592;A
93018;2017;A;ES61;CLV_I15;106.223722308;A
93018;2016;A;ES61;CLV_I15;102.744628949;A
93018;2015;A;ES61;CLV_I15;100.0;A
93018;2014;A;ES61;CLV_I15;98.203074718;A
93018;2013;A;ES61;CLV_I15;96.422894006;A
93018;2012;A;ES61;CLV_I15;99.622312685;A
93018;2011;A;ES61;CLV_I15;103.49269784;A
93018;2010;A;ES61;CLV_I15;106.402700154;A
93018;2009;A;ES61;CLV_I15;106.09703593;A
93018;2008;A;ES61;CLV_I15;110.28878092;A
93018;2007;A;ES61;CLV_I15;110.642858287;A
93011;2021;1E;ES61;CLV_I15;118.976784959;A
93011;2020;AV;ES61;CLV_I15;112.74675496;A
93011;2019;P;ES61;CLV_I15;107.852676684;A
93011;2018;A;ES61;CLV_I15;105.588114983;A
93011;2017;A;ES61;CLV_I15;103.495330331;A
93011;2016;A;ES61;CLV_I15;101.885423748;A
93011;2015;A;ES61;CLV_I15;100.0;A
93011;2014;A;ES61;CLV_I15;97.818652053;A
93011;2013;A;ES61;CLV_I15;98.235534347;A
93011;2012;A;ES61;CLV_I15;100.156654451;A
93011;2011;A;ES61;CLV_I15;104.200446071;A
93011;2010;A;ES61;CLV_I15;104.370183768;A
93011;2009;A;ES61;CLV_I15;103.210463819;A
93011;2008;A;ES61;CLV_I15;99.210482811;A
93011;2007;A;ES61;CLV_I15;93.682532501;A
93020;2019;P;ES61;CLV_I15;111.133126628;A
93020;2018;A;ES61;CLV_I15;107.732276951;A
93020;2017;A;ES61;CLV_I15;105.45490852;A
93020;2016;A;ES61;CLV_I15;103.511328656;A
93020;2015;A;ES61;CLV_I15;100.0;A
93020;2014;A;ES61;CLV_I15;98.068414977;A
93020;2013;A;ES61;CLV_I15;98.611327608;A
93020;2012;A;ES61;CLV_I15;100.168693757;A
93020;2011;A;ES61;CLV_I15;105.731475844;A
93020;2010;A;ES61;CLV_I15;107.577711066;A
93020;2009;A;ES61;CLV_I15;106.603869791;A
93020;2008;A;ES61;CLV_I15;102.481637309;A
93020;2007;A;ES61;CLV_I15;93.346155611;A
93012;2019;P;ES61;CLV_I15;103.224030724;A
93012;2018;A;ES61;CLV_I15;102.561557803;A
93012;2017;A;ES61;CLV_I15;100.729698292;A
93012;2016;A;ES61;CLV_I15;99.59071832;A
93012;2015;A;ES61;CLV_I15;100.0;A
93012;2014;A;ES61;CLV_I15;97.466952349;A
93012;2013;A;ES61;CLV_I15;97.706276075;A
93012;2012;A;ES61;CLV_I15;100.143461494;A
93012;2011;A;ES61;CLV_I15;102.009209821;A
93012;2010;A;ES61;CLV_I15;99.763942933;A
93012;2009;A;ES61;CLV_I15;98.329590926;A
93012;2008;A;ES61;CLV_I15;94.505057571;A
93012;2007;A;ES61;CLV_I15;94.338867395;A
93016;2021;1E;ES61;CLV_I15;110.030140693;A
93016;2020;AV;ES61;CLV_I15;108.033303282;A
93016;2019;P;ES61;CLV_I15;121.351992369;A
93016;2018;A;ES61;CLV_I15;114.963306056;A
93016;2017;A;ES61;CLV_I15;104.111493173;A
93016;2016;A;ES61;CLV_I15;98.696738237;A
93016;2015;A;ES61;CLV_I15;100.0;A
93016;2014;A;ES61;CLV_I15;91.256265488;A
93016;2013;A;ES61;CLV_I15;88.847416699;A
93016;2012;A;ES61;CLV_I15;93.08369981;A
93016;2011;A;ES61;CLV_I15;105.456989764;A
93016;2010;A;ES61;CLV_I15;116.170336453;A
93016;2009;A;ES61;CLV_I15;123.101790337;A
93016;2008;A;ES61;CLV_I15;149.17931196;A
93016;2007;A;ES61;CLV_I15;160.298202004;A
93013;2021;1E;ES61;CLV_I15;104.918627077;A
93013;2020;AV;ES61;CLV_I15;100.134527857;A
93013;2019;P;ES61;CLV_I15;109.178454437;A
93013;2018;A;ES61;CLV_I15;108.296529537;A
93013;2017;A;ES61;CLV_I15;105.273400721;A
93013;2016;A;ES61;CLV_I15;101.939248981;A
93013;2015;A;ES61;CLV_I15;100.0;A
93013;2014;A;ES61;CLV_I15;97.077416878;A
93013;2013;A;ES61;CLV_I15;95.708407494;A
93013;2012;A;ES61;CLV_I15;98.778976389;A
93013;2011;A;ES61;CLV_I15;104.07004315;A
93013;2010;A;ES61;CLV_I15;107.626673647;A
93013;2009;A;ES61;CLV_I15;108.338593527;A
93013;2008;A;ES61;CLV_I15;114.389117389;A
93013;2007;A;ES61;CLV_I15;115.265852054;A
93015;2021;1E;ES61;CLV_I15;102.506096763;A
93015;2020;AV;ES61;CLV_I15;91.988148724;A
93015;2019;P;ES61;CLV_I15;120.015691852;A
93015;2018;A;ES61;CLV_I15;116.334386359;A
93015;2017;A;ES61;CLV_I15;114.1286629;A
93015;2016;A;ES61;CLV_I15;107.579384238;A
93015;2015;A;ES61;CLV_I15;100.0;A
93015;2014;A;ES61;CLV_I15;99.626845971;A
93015;2013;A;ES61;CLV_I15;95.387157173;A
93015;2012;A;ES61;CLV_I15;94.650891118;A
93015;2011;A;ES61;CLV_I15;93.247963053;A
93015;2010;A;ES61;CLV_I15;85.290836725;A
93015;2009;A;ES61;CLV_I15;79.357398928;A
93015;2008;A;ES61;CLV_I15;85.67783846;A
93015;2007;A;ES61;CLV_I15;83.259169301;A
93019;2021;1E;ES61;CLV_I15;104.428681945;A
93019;2020;AV;ES61;CLV_I15;95.228921238;A
93019;2019;P;ES61;CLV_I15;115.733955064;A
93019;2018;A;ES61;CLV_I15;115.550032244;A
93019;2017;A;ES61;CLV_I15;111.986411754;A
93019;2016;A;ES61;CLV_I15;105.3253386;A
93019;2015;A;ES61;CLV_I15;100.0;A
93019;2014;A;ES61;CLV_I15;100.355632906;A
93019;2013;A;ES61;CLV_I15;96.506843247;A
93019;2012;A;ES61;CLV_I15;99.483535624;A
93019;2011;A;ES61;CLV_I15;103.592137657;A
93019;2010;A;ES61;CLV_I15;102.074544996;A
93019;2009;A;ES61;CLV_I15;96.062666117;A
93019;2008;A;ES61;CLV_I15;107.072924915;A
93019;2007;A;ES61;CLV_I15;108.191381734;A
93023;2021;1E;ES61;CLV_I15;104.246218946;A
93023;2020;AV;ES61;CLV_I15;99.204905793;A
93023;2019;P;ES61;CLV_I15;110.536601534;A
93023;2018;A;ES61;CLV_I15;108.206569143;A
93023;2017;A;ES61;CLV_I15;105.754220444;A
93023;2016;A;ES61;CLV_I15;102.653342385;A
93023;2015;A;ES61;CLV_I15;100.0;A
93023;2014;A;ES61;CLV_I15;96.563923945;A
93023;2013;A;ES61;CLV_I15;95.190102015;A
93023;2012;A;ES61;CLV_I15;96.717682619;A
93023;2011;A;ES61;CLV_I15;99.831683126;A
93023;2010;A;ES61;CLV_I15;101.076123738;A
93023;2009;A;ES61;CLV_I15;102.227331136;A
93023;2008;A;ES61;CLV_I15;106.091678663;A
93023;2007;A;ES61;CLV_I15;105.518501996;A
93077;2021;1E;ES61;CLV_I15;104.136600156;A
93077;2020;AV;ES61;CLV_I15;99.254275212;A
93077;2019;P;ES61;CLV_I15;110.41961742;A
93077;2018;A;ES61;CLV_I15;107.980374762;A
93077;2017;A;ES61;CLV_I15;105.54010874;A
93077;2016;A;ES61;CLV_I15;102.348399403;A
93077;2015;A;ES61;CLV_I15;100.0;A
93077;2014;A;ES61;CLV_I15;97.046392296;A
93077;2013;A;ES61;CLV_I15;96.017835177;A
93077;2012;A;ES61;CLV_I15;97.356848504;A
93077;2011;A;ES61;CLV_I15;100.388921214;A
93077;2010;A;ES61;CLV_I15;101.23713138;A
93077;2009;A;ES61;CLV_I15;102.709838046;A
93077;2008;A;ES61;CLV_I15;106.105409584;A
93077;2007;A;ES61;CLV_I15;105.138071386;A
