D_TEMPORAL_0;D_CIE10_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;57628;3143;3691;Defunciones;78461.0;A
2020;57628;3143;3689;Defunciones;40280.0;A
2020;57628;3143;3690;Defunciones;38181.0;A
2020;57628;2352;3691;Defunciones;5698.0;A
2020;57628;2352;3689;Defunciones;3051.0;A
2020;57628;2352;3690;Defunciones;2647.0;A
2020;57628;2402;3691;Defunciones;11224.0;A
2020;57628;2402;3689;Defunciones;5914.0;A
2020;57628;2402;3690;Defunciones;5310.0;A
2020;57628;2482;3691;Defunciones;8299.0;A
2020;57628;2482;3689;Defunciones;4132.0;A
2020;57628;2482;3690;Defunciones;4167.0;A
2020;57628;2713;3691;Defunciones;9599.0;A
2020;57628;2713;3689;Defunciones;4819.0;A
2020;57628;2713;3690;Defunciones;4780.0;A
2020;57628;2797;3691;Defunciones;4696.0;A
2020;57628;2797;3689;Defunciones;2421.0;A
2020;57628;2797;3690;Defunciones;2275.0;A
2020;57628;2911;3691;Defunciones;7356.0;A
2020;57628;2911;3689;Defunciones;3666.0;A
2020;57628;2911;3690;Defunciones;3690.0;A
2020;57628;3023;3691;Defunciones;14174.0;A
2020;57628;3023;3689;Defunciones;7388.0;A
2020;57628;3023;3690;Defunciones;6786.0;A
2020;57628;3142;3691;Defunciones;17415.0;A
2020;57628;3142;3689;Defunciones;8889.0;A
2020;57628;3142;3690;Defunciones;8526.0;A
2020;56093;3143;3691;Defunciones;7653.0;A
2020;56093;3143;3689;Defunciones;4082.0;A
2020;56093;3143;3690;Defunciones;3571.0;A
2020;56093;2352;3691;Defunciones;380.0;A
2020;56093;2352;3689;Defunciones;210.0;A
2020;56093;2352;3690;Defunciones;170.0;A
2020;56093;2402;3691;Defunciones;891.0;A
2020;56093;2402;3689;Defunciones;497.0;A
2020;56093;2402;3690;Defunciones;394.0;A
2020;56093;2482;3691;Defunciones;769.0;A
2020;56093;2482;3689;Defunciones;399.0;A
2020;56093;2482;3690;Defunciones;370.0;A
2020;56093;2713;3691;Defunciones;1491.0;A
2020;56093;2713;3689;Defunciones;770.0;A
2020;56093;2713;3690;Defunciones;721.0;A
2020;56093;2797;3691;Defunciones;255.0;A
2020;56093;2797;3689;Defunciones;134.0;A
2020;56093;2797;3690;Defunciones;121.0;A
2020;56093;2911;3691;Defunciones;967.0;A
2020;56093;2911;3689;Defunciones;505.0;A
2020;56093;2911;3690;Defunciones;462.0;A
2020;56093;3023;3691;Defunciones;1236.0;A
2020;56093;3023;3689;Defunciones;684.0;A
2020;56093;3023;3690;Defunciones;552.0;A
2020;56093;3142;3691;Defunciones;1664.0;A
2020;56093;3142;3689;Defunciones;883.0;A
2020;56093;3142;3690;Defunciones;781.0;A
2020;518590;3143;3691;Defunciones;5815.0;A
2020;518590;3143;3689;Defunciones;3165.0;A
2020;518590;3143;3690;Defunciones;2650.0;A
2020;518590;2352;3691;Defunciones;266.0;A
2020;518590;2352;3689;Defunciones;151.0;A
2020;518590;2352;3690;Defunciones;115.0;A
2020;518590;2402;3691;Defunciones;640.0;A
2020;518590;2402;3689;Defunciones;374.0;A
2020;518590;2402;3690;Defunciones;266.0;A
2020;518590;2482;3691;Defunciones;579.0;A
