D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_G102_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;3143;61611;57731;3689;Defunciones;113.0;A
2020;3143;61611;57731;3690;Defunciones;80.0;A
2020;3143;61611;57731;3691;Defunciones;193.0;A
2020;3143;61611;583;3689;Defunciones;113.0;A
2020;3143;61611;583;3690;Defunciones;80.0;A
2020;3143;61611;583;3691;Defunciones;193.0;A
2020;3143;4172;838411;3689;Defunciones;1.0;A
2020;3143;4172;838411;3691;Defunciones;1.0;A
2020;3143;4172;57731;3689;Defunciones;60.0;A
2020;3143;4172;57731;3690;Defunciones;47.0;A
2020;3143;4172;57731;3691;Defunciones;107.0;A
2020;3143;4172;583;3689;Defunciones;61.0;A
2020;3143;4172;583;3690;Defunciones;47.0;A
2020;3143;4172;583;3691;Defunciones;108.0;A
2020;3143;4191;838410;3689;Defunciones;8.0;A
2020;3143;4191;838410;3690;Defunciones;5.0;A
2020;3143;4191;838410;3691;Defunciones;13.0;A
2020;3143;4191;838411;3689;Defunciones;2.0;A
2020;3143;4191;838411;3690;Defunciones;1.0;A
2020;3143;4191;838411;3691;Defunciones;3.0;A
2020;3143;4191;57731;3689;Defunciones;249.0;A
2020;3143;4191;57731;3690;Defunciones;117.0;A
2020;3143;4191;57731;3691;Defunciones;366.0;A
2020;3143;4191;583;3689;Defunciones;259.0;A
2020;3143;4191;583;3690;Defunciones;123.0;A
2020;3143;4191;583;3691;Defunciones;382.0;A
2020;3143;4210;838410;3689;Defunciones;11.0;A
2020;3143;4210;838410;3690;Defunciones;4.0;A
2020;3143;4210;838410;3691;Defunciones;15.0;A
2020;3143;4210;838411;3689;Defunciones;1.0;A
2020;3143;4210;838411;3691;Defunciones;1.0;A
2020;3143;4210;57731;3689;Defunciones;406.0;A
2020;3143;4210;57731;3690;Defunciones;190.0;A
2020;3143;4210;57731;3691;Defunciones;596.0;A
2020;3143;4210;583;3689;Defunciones;418.0;A
2020;3143;4210;583;3690;Defunciones;194.0;A
2020;3143;4210;583;3691;Defunciones;612.0;A
2020;3143;4235;838410;3689;Defunciones;12.0;A
2020;3143;4235;838410;3690;Defunciones;6.0;A
2020;3143;4235;838410;3691;Defunciones;18.0;A
2020;3143;4235;838411;3690;Defunciones;1.0;A
2020;3143;4235;838411;3691;Defunciones;1.0;A
2020;3143;4235;57731;3689;Defunciones;424.0;A
2020;3143;4235;57731;3690;Defunciones;232.0;A
2020;3143;4235;57731;3691;Defunciones;656.0;A
2020;3143;4235;583;3689;Defunciones;436.0;A
2020;3143;4235;583;3690;Defunciones;239.0;A
2020;3143;4235;583;3691;Defunciones;675.0;A
2020;3143;4305;838410;3689;Defunciones;38.0;A
2020;3143;4305;838410;3690;Defunciones;17.0;A
2020;3143;4305;838410;3691;Defunciones;55.0;A
2020;3143;4305;838411;3689;Defunciones;5.0;A
2020;3143;4305;838411;3690;Defunciones;2.0;A
2020;3143;4305;838411;3691;Defunciones;7.0;A
2020;3143;4305;57731;3689;Defunciones;733.0;A
2020;3143;4305;57731;3690;Defunciones;386.0;A
2020;3143;4305;57731;3691;Defunciones;1119.0;A
2020;3143;4305;583;3689;Defunciones;776.0;A
2020;3143;4305;583;3690;Defunciones;405.0;A
2020;3143;4305;583;3691;Defunciones;1181.0;A
2020;3143;61613;838410;3689;Defunciones;70.0;A
2020;3143;61613;838410;3690;Defunciones;15.0;A
2020;3143;61613;838410;3691;Defunciones;85.0;A
2020;3143;61613;838411;3689;Defunciones;9.0;A
2020;3143;61613;838411;3690;Defunciones;1.0;A
2020;3143;61613;838411;3691;Defunciones;10.0;A
2020;3143;61613;57731;3689;Defunciones;1309.0;A
2020;3143;61613;57731;3690;Defunciones;674.0;A
2020;3143;61613;57731;3691;Defunciones;1983.0;A
2020;3143;61613;583;3689;Defunciones;1388.0;A
2020;3143;61613;583;3690;Defunciones;690.0;A
2020;3143;61613;583;3691;Defunciones;2078.0;A
2020;3143;61614;838410;3689;Defunciones;106.0;A
2020;3143;61614;838410;3690;Defunciones;45.0;A
2020;3143;61614;838410;3691;Defunciones;151.0;A
2020;3143;61614;838411;3689;Defunciones;9.0;A
2020;3143;61614;838411;3690;Defunciones;4.0;A
2020;3143;61614;838411;3691;Defunciones;13.0;A
2020;3143;61614;57731;3689;Defunciones;2017.0;A
2020;3143;61614;57731;3690;Defunciones;976.0;A
2020;3143;61614;57731;3691;Defunciones;2993.0;A
