D_G102_0;D_EDAD_0;D_TERRITORIO_0;D_TEMPORAL_0;D_MES_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
57629;4172;3143;2013;55920;3691;Defunciones;4.0;A
57629;4172;3143;2013;55920;3689;Defunciones;2.0;A
57629;4172;3143;2013;55920;3690;Defunciones;2.0;A
57629;4172;3143;2013;55910;3691;Defunciones;1.0;A
57629;4172;3143;2013;55910;3690;Defunciones;1.0;A
57629;4172;3143;2013;55913;3691;Defunciones;1.0;A
57629;4172;3143;2013;55913;3689;Defunciones;1.0;A
57629;4172;3143;2013;55915;3691;Defunciones;1.0;A
57629;4172;3143;2013;55915;3689;Defunciones;1.0;A
57629;4172;3143;2013;55919;3691;Defunciones;1.0;A
57629;4172;3143;2013;55919;3690;Defunciones;1.0;A
57629;4210;3143;2013;55920;3691;Defunciones;1.0;A
57629;4210;3143;2013;55920;3689;Defunciones;1.0;A
57629;4210;3143;2013;55917;3691;Defunciones;1.0;A
57629;4210;3143;2013;55917;3689;Defunciones;1.0;A
57629;4235;3143;2014;55920;3691;Defunciones;2.0;A
57629;4235;3143;2014;55920;3690;Defunciones;2.0;A
57629;4235;3143;2014;55911;3691;Defunciones;1.0;A
57629;4235;3143;2014;55911;3690;Defunciones;1.0;A
57629;4235;3143;2014;55913;3691;Defunciones;1.0;A
57629;4235;3143;2014;55913;3690;Defunciones;1.0;A
57629;4235;3143;2013;55920;3691;Defunciones;1.0;A
57629;4235;3143;2013;55920;3689;Defunciones;1.0;A
57629;4235;3143;2013;55913;3691;Defunciones;1.0;A
57629;4235;3143;2013;55913;3689;Defunciones;1.0;A
57629;61614;3143;2014;55920;3691;Defunciones;1.0;A
57629;61614;3143;2014;55920;3690;Defunciones;1.0;A
57629;61614;3143;2014;55916;3691;Defunciones;1.0;A
57629;61614;3143;2014;55916;3690;Defunciones;1.0;A
57629;61614;3143;2013;55920;3691;Defunciones;1.0;A
57629;61614;3143;2013;55920;3689;Defunciones;1.0;A
57629;61614;3143;2013;55911;3691;Defunciones;1.0;A
57629;61614;3143;2013;55911;3689;Defunciones;1.0;A
57629;61615;3143;2014;55920;3691;Defunciones;2.0;A
57629;61615;3143;2014;55920;3689;Defunciones;1.0;A
57629;61615;3143;2014;55920;3690;Defunciones;1.0;A
57629;61615;3143;2014;55910;3691;Defunciones;2.0;A
57629;61615;3143;2014;55910;3689;Defunciones;1.0;A
