EDCA_LUGDEF;MES;G102;SEXO;TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
838404;01;57731;M;2020;ES61;DEATHS;1132.0;A
838404;01;57731;F;2020;ES61;DEATHS;1214.0;A
838404;01;57731;_T;2020;ES61;DEATHS;2346.0;A
838404;01;583;M;2020;ES61;DEATHS;1132.0;A
838404;01;583;F;2020;ES61;DEATHS;1214.0;A
838404;01;583;_T;2020;ES61;DEATHS;2346.0;A
838404;02;57731;M;2020;ES61;DEATHS;966.0;A
838404;02;57731;F;2020;ES61;DEATHS;1032.0;A
838404;02;57731;_T;2020;ES61;DEATHS;1998.0;A
838404;02;583;M;2020;ES61;DEATHS;966.0;A
838404;02;583;F;2020;ES61;DEATHS;1032.0;A
838404;02;583;_T;2020;ES61;DEATHS;1998.0;A
838404;03;838410;M;2020;ES61;DEATHS;5.0;A
838404;03;838410;F;2020;ES61;DEATHS;6.0;A
838404;03;838410;_T;2020;ES61;DEATHS;11.0;A
838404;03;838411;M;2020;ES61;DEATHS;20.0;A
838404;03;838411;F;2020;ES61;DEATHS;22.0;A
838404;03;838411;_T;2020;ES61;DEATHS;42.0;A
838404;03;57731;M;2020;ES61;DEATHS;1215.0;A
838404;03;57731;F;2020;ES61;DEATHS;1282.0;A
838404;03;57731;_T;2020;ES61;DEATHS;2497.0;A
838404;03;583;M;2020;ES61;DEATHS;1240.0;A
838404;03;583;F;2020;ES61;DEATHS;1310.0;A
838404;03;583;_T;2020;ES61;DEATHS;2550.0;A
838404;04;838410;M;2020;ES61;DEATHS;10.0;A
838404;04;838410;F;2020;ES61;DEATHS;6.0;A
838404;04;838410;_T;2020;ES61;DEATHS;16.0;A
838404;04;838411;M;2020;ES61;DEATHS;47.0;A
838404;04;838411;F;2020;ES61;DEATHS;44.0;A
838404;04;838411;_T;2020;ES61;DEATHS;91.0;A
838404;04;57731;M;2020;ES61;DEATHS;1156.0;A
838404;04;57731;F;2020;ES61;DEATHS;1201.0;A
838404;04;57731;_T;2020;ES61;DEATHS;2357.0;A
838404;04;583;M;2020;ES61;DEATHS;1213.0;A
838404;04;583;F;2020;ES61;DEATHS;1251.0;A
838404;04;583;_T;2020;ES61;DEATHS;2464.0;A
838404;05;838410;M;2020;ES61;DEATHS;1.0;A
838404;05;838410;F;2020;ES61;DEATHS;4.0;A
838404;05;838410;_T;2020;ES61;DEATHS;5.0;A
838404;05;838411;M;2020;ES61;DEATHS;7.0;A
838404;05;838411;F;2020;ES61;DEATHS;12.0;A
838404;05;838411;_T;2020;ES61;DEATHS;19.0;A
838404;05;57731;M;2020;ES61;DEATHS;1049.0;A
838404;05;57731;F;2020;ES61;DEATHS;1114.0;A
838404;05;57731;_T;2020;ES61;DEATHS;2163.0;A
838404;05;583;M;2020;ES61;DEATHS;1057.0;A
838404;05;583;F;2020;ES61;DEATHS;1130.0;A
838404;05;583;_T;2020;ES61;DEATHS;2187.0;A
838404;06;838410;M;2020;ES61;DEATHS;1.0;A
838404;06;838410;F;2020;ES61;DEATHS;1.0;A
838404;06;838410;_T;2020;ES61;DEATHS;2.0;A
838404;06;838411;F;2020;ES61;DEATHS;1.0;A
838404;06;838411;_T;2020;ES61;DEATHS;1.0;A
838404;06;57731;M;2020;ES61;DEATHS;920.0;A
838404;06;57731;F;2020;ES61;DEATHS;936.0;A
838404;06;57731;_T;2020;ES61;DEATHS;1856.0;A
838404;06;583;M;2020;ES61;DEATHS;921.0;A
838404;06;583;F;2020;ES61;DEATHS;938.0;A
838404;06;583;_T;2020;ES61;DEATHS;1859.0;A
838404;07;838411;M;2020;ES61;DEATHS;3.0;A
838404;07;838411;F;2020;ES61;DEATHS;4.0;A
838404;07;838411;_T;2020;ES61;DEATHS;7.0;A
838404;07;57731;M;2020;ES61;DEATHS;1147.0;A
838404;07;57731;F;2020;ES61;DEATHS;1170.0;A
838404;07;57731;_T;2020;ES61;DEATHS;2317.0;A
838404;07;583;M;2020;ES61;DEATHS;1150.0;A
838404;07;583;F;2020;ES61;DEATHS;1174.0;A
838404;07;583;_T;2020;ES61;DEATHS;2324.0;A
838404;08;838410;M;2020;ES61;DEATHS;1.0;A
838404;08;838410;_T;2020;ES61;DEATHS;1.0;A
838404;08;838411;M;2020;ES61;DEATHS;4.0;A
838404;08;838411;F;2020;ES61;DEATHS;4.0;A
838404;08;838411;_T;2020;ES61;DEATHS;8.0;A
838404;08;57731;M;2020;ES61;DEATHS;1032.0;A
838404;08;57731;F;2020;ES61;DEATHS;1098.0;A
838404;08;57731;_T;2020;ES61;DEATHS;2130.0;A
838404;08;583;M;2020;ES61;DEATHS;1037.0;A
838404;08;583;F;2020;ES61;DEATHS;1102.0;A
838404;08;583;_T;2020;ES61;DEATHS;2139.0;A
838404;09;838410;M;2020;ES61;DEATHS;14.0;A
838404;09;838410;F;2020;ES61;DEATHS;15.0;A
838404;09;838410;_T;2020;ES61;DEATHS;29.0;A
838404;09;838411;M;2020;ES61;DEATHS;3.0;A
838404;09;838411;F;2020;ES61;DEATHS;2.0;A
838404;09;838411;_T;2020;ES61;DEATHS;5.0;A
838404;09;57731;M;2020;ES61;DEATHS;969.0;A
838404;09;57731;F;2020;ES61;DEATHS;940.0;A
838404;09;57731;_T;2020;ES61;DEATHS;1909.0;A
838404;09;583;M;2020;ES61;DEATHS;986.0;A
838404;09;583;F;2020;ES61;DEATHS;957.0;A
838404;09;583;_T;2020;ES61;DEATHS;1943.0;A
838404;10;838410;M;2020;ES61;DEATHS;26.0;A
838404;10;838410;F;2020;ES61;DEATHS;24.0;A
838404;10;838410;_T;2020;ES61;DEATHS;50.0;A
838404;10;838411;M;2020;ES61;DEATHS;2.0;A
838404;10;838411;F;2020;ES61;DEATHS;1.0;A
838404;10;838411;_T;2020;ES61;DEATHS;3.0;A
838404;10;57731;M;2020;ES61;DEATHS;1054.0;A
838404;10;57731;F;2020;ES61;DEATHS;1079.0;A
838404;10;57731;_T;2020;ES61;DEATHS;2133.0;A
838404;10;583;M;2020;ES61;DEATHS;1082.0;A
838404;10;583;F;2020;ES61;DEATHS;1104.0;A
838404;10;583;_T;2020;ES61;DEATHS;2186.0;A
838404;11;838410;M;2020;ES61;DEATHS;71.0;A
838404;11;838410;F;2020;ES61;DEATHS;71.0;A
838404;11;838410;_T;2020;ES61;DEATHS;142.0;A
838404;11;838411;M;2020;ES61;DEATHS;4.0;A
838404;11;838411;F;2020;ES61;DEATHS;5.0;A
838404;11;838411;_T;2020;ES61;DEATHS;9.0;A
838404;11;57731;M;2020;ES61;DEATHS;1154.0;A
838404;11;57731;F;2020;ES61;DEATHS;1158.0;A
838404;11;57731;_T;2020;ES61;DEATHS;2312.0;A
838404;11;583;M;2020;ES61;DEATHS;1229.0;A
838404;11;583;F;2020;ES61;DEATHS;1234.0;A
838404;11;583;_T;2020;ES61;DEATHS;2463.0;A
838404;12;838410;M;2020;ES61;DEATHS;30.0;A
838404;12;838410;F;2020;ES61;DEATHS;25.0;A
838404;12;838410;_T;2020;ES61;DEATHS;55.0;A
838404;12;838411;M;2020;ES61;DEATHS;3.0;A
838404;12;838411;_T;2020;ES61;DEATHS;3.0;A
838404;12;57731;M;2020;ES61;DEATHS;1145.0;A
838404;12;57731;F;2020;ES61;DEATHS;1266.0;A
838404;12;57731;_T;2020;ES61;DEATHS;2411.0;A
