TEMPORAL;TERRITORIO;EDAD;G102;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;ES61;Y_LT1;57731;M;DEATHS;113.0;A
2020;ES61;Y_LT1;57731;F;DEATHS;80.0;A
2020;ES61;Y_LT1;57731;_T;DEATHS;193.0;A
2020;ES61;Y_LT1;583;M;DEATHS;113.0;A
2020;ES61;Y_LT1;583;F;DEATHS;80.0;A
2020;ES61;Y_LT1;583;_T;DEATHS;193.0;A
2020;ES61;Y_LT15;838411;M;DEATHS;1.0;A
2020;ES61;Y_LT15;838411;_T;DEATHS;1.0;A
2020;ES61;Y_LT15;57731;M;DEATHS;60.0;A
2020;ES61;Y_LT15;57731;F;DEATHS;47.0;A
2020;ES61;Y_LT15;57731;_T;DEATHS;107.0;A
2020;ES61;Y_LT15;583;M;DEATHS;61.0;A
2020;ES61;Y_LT15;583;F;DEATHS;47.0;A
2020;ES61;Y_LT15;583;_T;DEATHS;108.0;A
2020;ES61;Y15-29;838410;M;DEATHS;8.0;A
2020;ES61;Y15-29;838410;F;DEATHS;5.0;A
2020;ES61;Y15-29;838410;_T;DEATHS;13.0;A
2020;ES61;Y15-29;838411;M;DEATHS;2.0;A
2020;ES61;Y15-29;838411;F;DEATHS;1.0;A
2020;ES61;Y15-29;838411;_T;DEATHS;3.0;A
2020;ES61;Y15-29;57731;M;DEATHS;249.0;A
2020;ES61;Y15-29;57731;F;DEATHS;117.0;A
2020;ES61;Y15-29;57731;_T;DEATHS;366.0;A
2020;ES61;Y15-29;583;M;DEATHS;259.0;A
2020;ES61;Y15-29;583;F;DEATHS;123.0;A
2020;ES61;Y15-29;583;_T;DEATHS;382.0;A
2020;ES61;Y30-44;838410;M;DEATHS;11.0;A
2020;ES61;Y30-44;838410;F;DEATHS;4.0;A
2020;ES61;Y30-44;838410;_T;DEATHS;15.0;A
2020;ES61;Y30-44;838411;M;DEATHS;1.0;A
2020;ES61;Y30-44;838411;_T;DEATHS;1.0;A
2020;ES61;Y30-44;57731;M;DEATHS;406.0;A
2020;ES61;Y30-44;57731;F;DEATHS;190.0;A
2020;ES61;Y30-44;57731;_T;DEATHS;596.0;A
2020;ES61;Y30-44;583;M;DEATHS;418.0;A
2020;ES61;Y30-44;583;F;DEATHS;194.0;A
2020;ES61;Y30-44;583;_T;DEATHS;612.0;A
2020;ES61;Y45-64;838410;M;DEATHS;12.0;A
2020;ES61;Y45-64;838410;F;DEATHS;6.0;A
2020;ES61;Y45-64;838410;_T;DEATHS;18.0;A
2020;ES61;Y45-64;838411;F;DEATHS;1.0;A
2020;ES61;Y45-64;838411;_T;DEATHS;1.0;A
2020;ES61;Y45-64;57731;M;DEATHS;424.0;A
2020;ES61;Y45-64;57731;F;DEATHS;232.0;A
2020;ES61;Y45-64;57731;_T;DEATHS;656.0;A
2020;ES61;Y45-64;583;M;DEATHS;436.0;A
2020;ES61;Y45-64;583;F;DEATHS;239.0;A
2020;ES61;Y45-64;583;_T;DEATHS;675.0;A
2020;ES61;Y65-100;838410;M;DEATHS;38.0;A
2020;ES61;Y65-100;838410;F;DEATHS;17.0;A
2020;ES61;Y65-100;838410;_T;DEATHS;55.0;A
2020;ES61;Y65-100;838411;M;DEATHS;5.0;A
2020;ES61;Y65-100;838411;F;DEATHS;2.0;A
2020;ES61;Y65-100;838411;_T;DEATHS;7.0;A
2020;ES61;Y65-100;57731;M;DEATHS;733.0;A
2020;ES61;Y65-100;57731;F;DEATHS;386.0;A
2020;ES61;Y65-100;57731;_T;DEATHS;1119.0;A
2020;ES61;Y65-100;583;M;DEATHS;776.0;A
2020;ES61;Y65-100;583;F;DEATHS;405.0;A
2020;ES61;Y65-100;583;_T;DEATHS;1181.0;A
2020;ES61;Y50-54;838410;M;DEATHS;70.0;A
2020;ES61;Y50-54;838410;F;DEATHS;15.0;A
2020;ES61;Y50-54;838410;_T;DEATHS;85.0;A
2020;ES61;Y50-54;838411;M;DEATHS;9.0;A
2020;ES61;Y50-54;838411;F;DEATHS;1.0;A
2020;ES61;Y50-54;838411;_T;DEATHS;10.0;A
2020;ES61;Y50-54;57731;M;DEATHS;1309.0;A
2020;ES61;Y50-54;57731;F;DEATHS;674.0;A
2020;ES61;Y50-54;57731;_T;DEATHS;1983.0;A
2020;ES61;Y50-54;583;M;DEATHS;1388.0;A
2020;ES61;Y50-54;583;F;DEATHS;690.0;A
2020;ES61;Y50-54;583;_T;DEATHS;2078.0;A
2020;ES61;Y55-59;838410;M;DEATHS;106.0;A
2020;ES61;Y55-59;838410;F;DEATHS;45.0;A
2020;ES61;Y55-59;838410;_T;DEATHS;151.0;A
2020;ES61;Y55-59;838411;M;DEATHS;9.0;A
2020;ES61;Y55-59;838411;F;DEATHS;4.0;A
2020;ES61;Y55-59;838411;_T;DEATHS;13.0;A
2020;ES61;Y55-59;57731;M;DEATHS;2017.0;A
2020;ES61;Y55-59;57731;F;DEATHS;976.0;A
2020;ES61;Y55-59;57731;_T;DEATHS;2993.0;A
2020;ES61;Y55-59;583;M;DEATHS;2132.0;A
2020;ES61;Y55-59;583;F;DEATHS;1025.0;A
2020;ES61;Y55-59;583;_T;DEATHS;3157.0;A
2020;ES61;Y60-64;838410;M;DEATHS;192.0;A
2020;ES61;Y60-64;838410;F;DEATHS;97.0;A
2020;ES61;Y60-64;838410;_T;DEATHS;289.0;A
2020;ES61;Y60-64;838411;M;DEATHS;14.0;A
2020;ES61;Y60-64;838411;F;DEATHS;5.0;A
2020;ES61;Y60-64;838411;_T;DEATHS;19.0;A
2020;ES61;Y60-64;57731;M;DEATHS;2557.0;A
2020;ES61;Y60-64;57731;F;DEATHS;1134.0;A
2020;ES61;Y60-64;57731;_T;DEATHS;3691.0;A
2020;ES61;Y60-64;583;M;DEATHS;2763.0;A
2020;ES61;Y60-64;583;F;DEATHS;1236.0;A
2020;ES61;Y60-64;583;_T;DEATHS;3999.0;A
2020;ES61;Y65-69;838410;M;DEATHS;283.0;A
2020;ES61;Y65-69;838410;F;DEATHS;88.0;A
2020;ES61;Y65-69;838410;_T;DEATHS;371.0;A
2020;ES61;Y65-69;838411;M;DEATHS;13.0;A
2020;ES61;Y65-69;838411;F;DEATHS;7.0;A
2020;ES61;Y65-69;838411;_T;DEATHS;20.0;A
2020;ES61;Y65-69;57731;M;DEATHS;3081.0;A
2020;ES61;Y65-69;57731;F;DEATHS;1422.0;A
2020;ES61;Y65-69;57731;_T;DEATHS;4503.0;A
2020;ES61;Y65-69;583;M;DEATHS;3377.0;A
2020;ES61;Y65-69;583;F;DEATHS;1517.0;A
2020;ES61;Y65-69;583;_T;DEATHS;4894.0;A
2020;ES61;Y70-74;838410;M;DEATHS;339.0;A
2020;ES61;Y70-74;838410;F;DEATHS;178.0;A
2020;ES61;Y70-74;838410;_T;DEATHS;517.0;A
2020;ES61;Y70-74;838411;M;DEATHS;34.0;A
2020;ES61;Y70-74;838411;F;DEATHS;15.0;A
2020;ES61;Y70-74;838411;_T;DEATHS;49.0;A
