G102;EDAD;TERRITORIO;TEMPORAL;MES;SEXO;INDICATOR;OBS_VALUE;FREQ
57629;Y_LT15;ES61;2013;55920;_T;DEATHS;4.0;A
57629;Y_LT15;ES61;2013;55920;M;DEATHS;2.0;A
57629;Y_LT15;ES61;2013;55920;F;DEATHS;2.0;A
57629;Y_LT15;ES61;2013;03;_T;DEATHS;1.0;A
57629;Y_LT15;ES61;2013;03;F;DEATHS;1.0;A
57629;Y_LT15;ES61;2013;06;_T;DEATHS;1.0;A
57629;Y_LT15;ES61;2013;06;M;DEATHS;1.0;A
57629;Y_LT15;ES61;2013;08;_T;DEATHS;1.0;A
57629;Y_LT15;ES61;2013;08;M;DEATHS;1.0;A
57629;Y_LT15;ES61;2013;12;_T;DEATHS;1.0;A
57629;Y_LT15;ES61;2013;12;F;DEATHS;1.0;A
57629;Y30-44;ES61;2013;55920;_T;DEATHS;1.0;A
57629;Y30-44;ES61;2013;55920;M;DEATHS;1.0;A
57629;Y30-44;ES61;2013;10;_T;DEATHS;1.0;A
57629;Y30-44;ES61;2013;10;M;DEATHS;1.0;A
57629;Y45-64;ES61;2014;55920;_T;DEATHS;2.0;A
57629;Y45-64;ES61;2014;55920;F;DEATHS;2.0;A
57629;Y45-64;ES61;2014;04;_T;DEATHS;1.0;A
57629;Y45-64;ES61;2014;04;F;DEATHS;1.0;A
57629;Y45-64;ES61;2014;06;_T;DEATHS;1.0;A
57629;Y45-64;ES61;2014;06;F;DEATHS;1.0;A
57629;Y45-64;ES61;2013;55920;_T;DEATHS;1.0;A
57629;Y45-64;ES61;2013;55920;M;DEATHS;1.0;A
57629;Y45-64;ES61;2013;06;_T;DEATHS;1.0;A
57629;Y45-64;ES61;2013;06;M;DEATHS;1.0;A
57629;Y55-59;ES61;2014;55920;_T;DEATHS;1.0;A
57629;Y55-59;ES61;2014;55920;F;DEATHS;1.0;A
57629;Y55-59;ES61;2014;09;_T;DEATHS;1.0;A
57629;Y55-59;ES61;2014;09;F;DEATHS;1.0;A
57629;Y55-59;ES61;2013;55920;_T;DEATHS;1.0;A
57629;Y55-59;ES61;2013;55920;M;DEATHS;1.0;A
57629;Y55-59;ES61;2013;04;_T;DEATHS;1.0;A
57629;Y55-59;ES61;2013;04;M;DEATHS;1.0;A
57629;Y60-64;ES61;2014;55920;_T;DEATHS;2.0;A
57629;Y60-64;ES61;2014;55920;M;DEATHS;1.0;A
57629;Y60-64;ES61;2014;55920;F;DEATHS;1.0;A
57629;Y60-64;ES61;2014;03;_T;DEATHS;2.0;A
57629;Y60-64;ES61;2014;03;M;DEATHS;1.0;A
57629;Y60-64;ES61;2014;03;F;DEATHS;1.0;A
57629;Y60-64;ES61;2013;55920;_T;DEATHS;2.0;A
57629;Y60-64;ES61;2013;55920;M;DEATHS;2.0;A
57629;Y60-64;ES61;2013;07;_T;DEATHS;1.0;A
57629;Y60-64;ES61;2013;07;M;DEATHS;1.0;A
57629;Y60-64;ES61;2013;09;_T;DEATHS;1.0;A
57629;Y60-64;ES61;2013;09;M;DEATHS;1.0;A
57629;Y65-69;ES61;2014;55920;_T;DEATHS;5.0;A
57629;Y65-69;ES61;2014;55920;M;DEATHS;1.0;A
57629;Y65-69;ES61;2014;55920;F;DEATHS;4.0;A
57629;Y65-69;ES61;2014;08;_T;DEATHS;1.0;A
57629;Y65-69;ES61;2014;08;F;DEATHS;1.0;A
57629;Y65-69;ES61;2014;10;_T;DEATHS;3.0;A
57629;Y65-69;ES61;2014;10;M;DEATHS;1.0;A
57629;Y65-69;ES61;2014;10;F;DEATHS;2.0;A
57629;Y65-69;ES61;2014;11;_T;DEATHS;1.0;A
57629;Y65-69;ES61;2014;11;F;DEATHS;1.0;A
57629;Y65-69;ES61;2013;55920;_T;DEATHS;4.0;A
57629;Y65-69;ES61;2013;55920;M;DEATHS;2.0;A
57629;Y65-69;ES61;2013;55920;F;DEATHS;2.0;A
57629;Y65-69;ES61;2013;02;_T;DEATHS;1.0;A
57629;Y65-69;ES61;2013;02;F;DEATHS;1.0;A
57629;Y65-69;ES61;2013;08;_T;DEATHS;3.0;A
57629;Y65-69;ES61;2013;08;M;DEATHS;2.0;A
57629;Y65-69;ES61;2013;08;F;DEATHS;1.0;A
57629;Y70-74;ES61;2014;55920;_T;DEATHS;9.0;A
57629;Y70-74;ES61;2014;55920;M;DEATHS;7.0;A
57629;Y70-74;ES61;2014;55920;F;DEATHS;2.0;A
57629;Y70-74;ES61;2014;01;_T;DEATHS;2.0;A
57629;Y70-74;ES61;2014;01;M;DEATHS;2.0;A
57629;Y70-74;ES61;2014;03;_T;DEATHS;2.0;A
57629;Y70-74;ES61;2014;03;M;DEATHS;1.0;A
57629;Y70-74;ES61;2014;03;F;DEATHS;1.0;A
57629;Y70-74;ES61;2014;04;_T;DEATHS;1.0;A
57629;Y70-74;ES61;2014;04;M;DEATHS;1.0;A
57629;Y70-74;ES61;2014;05;_T;DEATHS;1.0;A
57629;Y70-74;ES61;2014;05;M;DEATHS;1.0;A
57629;Y70-74;ES61;2014;09;_T;DEATHS;1.0;A
