D_TEMPORAL_0;D_TERRITORIO_0;D_CNAE09_0;INDICATOR;OBS_VALUE;FREQ
2020;3023;6949;Empresas;123804.0;A
2020;3023;6980;Empresas;;A
2020;3023;6981;Empresas;;A
2020;3023;7056;Empresas;;A
2020;3023;7029;Empresas;;A
2020;3023;6990;Empresas;;A
2020;3023;7001;Empresas;;A
2020;3023;7004;Empresas;;A
2020;3023;7014;Empresas;;A
2020;3023;7017;Empresas;;A
2020;3023;7023;Empresas;;A
2020;3023;7026;Empresas;;A
2020;3023;7028;Empresas;;A
2020;3023;7044;Empresas;;A
2020;3023;7032;Empresas;;A
2020;3023;7035;Empresas;;A
2020;3023;7038;Empresas;;A
2020;3023;7041;Empresas;;A
2020;3023;7043;Empresas;;A
2020;3023;7055;Empresas;;A
2020;3023;7048;Empresas;;A
2020;3023;7052;Empresas;;A
2020;3023;7054;Empresas;;A
2020;3023;7057;Empresas;5131.0;A
2020;3023;7058;Empresas;5131.0;A
2020;3023;7109;Empresas;52.0;A
2020;3023;7067;Empresas;2.0;A
2020;3023;7061;Empresas;2.0;A
2020;3023;7064;Empresas;;A
2020;3023;7066;Empresas;;A
2020;3023;7076;Empresas;;A
2020;3023;7070;Empresas;;A
2020;3023;7073;Empresas;;A
2020;3023;7075;Empresas;;A
2020;3023;7086;Empresas;;A
2020;3023;7079;Empresas;;A
2020;3023;7083;Empresas;;A
2020;3023;7085;Empresas;;A
2020;3023;7099;Empresas;50.0;A
2020;3023;7090;Empresas;44.0;A
2020;3023;7096;Empresas;6.0;A
2020;3023;7098;Empresas;;A
2020;3023;7108;Empresas;;A
2020;3023;7102;Empresas;;A
2020;3023;7105;Empresas;;A
2020;3023;7107;Empresas;;A
2020;3023;7605;Empresas;4755.0;A
2020;3023;7158;Empresas;911.0;A
2020;3023;7114;Empresas;89.0;A
2020;3023;7118;Empresas;15.0;A
2020;3023;7123;Empresas;59.0;A
2020;3023;7128;Empresas;81.0;A
2020;3023;7133;Empresas;64.0;A
2020;3023;7137;Empresas;9.0;A
2020;3023;7142;Empresas;494.0;A
2020;3023;7151;Empresas;89.0;A
2020;3023;7155;Empresas;11.0;A
2020;3023;7157;Empresas;;A
2020;3023;7170;Empresas;102.0;A
2020;3023;7167;Empresas;102.0;A
2020;3023;7169;Empresas;;A
2020;3023;7176;Empresas;2.0;A
2020;3023;7173;Empresas;2.0;A
2020;3023;7175;Empresas;;A
2020;3023;7197;Empresas;235.0;A
2020;3023;7179;Empresas;2.0;A
2020;3023;7182;Empresas;8.0;A
2020;3023;7185;Empresas;39.0;A
2020;3023;7194;Empresas;186.0;A
2020;3023;7196;Empresas;;A
2020;3023;7214;Empresas;256.0;A
2020;3023;7204;Empresas;251.0;A
2020;3023;7207;Empresas;;A
2020;3023;7211;Empresas;5.0;A
2020;3023;7213;Empresas;;A
2020;3023;7224;Empresas;25.0;A
2020;3023;7218;Empresas;18.0;A
2020;3023;7221;Empresas;7.0;A
2020;3023;7223;Empresas;;A
2020;3023;7237;Empresas;241.0;A
2020;3023;7227;Empresas;11.0;A
2020;3023;7234;Empresas;230.0;A
2020;3023;7236;Empresas;;A
2020;3023;7251;Empresas;23.0;A
2020;3023;7241;Empresas;3.0;A
2020;3023;7248;Empresas;20.0;A
2020;3023;7250;Empresas;;A
2020;3023;7263;Empresas;407.0;A
2020;3023;7257;Empresas;377.0;A
2020;3023;7260;Empresas;30.0;A
2020;3023;7262;Empresas;;A
2020;3023;7272;Empresas;;A
2020;3023;7266;Empresas;;A
2020;3023;7269;Empresas;;A
2020;3023;7271;Empresas;;A
2020;3023;7303;Empresas;95.0;A
2020;3023;7281;Empresas;30.0;A
2020;3023;7284;Empresas;1.0;A
2020;3023;7287;Empresas;8.0;A
2020;3023;7291;Empresas;45.0;A
2020;3023;7297;Empresas;10.0;A
2020;3023;7300;Empresas;1.0;A
2020;3023;7302;Empresas;;A
2020;3023;7312;Empresas;7.0;A
2020;3023;7306;Empresas;1.0;A
2020;3023;7309;Empresas;6.0;A
2020;3023;7311;Empresas;;A
2020;3023;7325;Empresas;56.0;A
2020;3023;7316;Empresas;11.0;A
2020;3023;7322;Empresas;45.0;A
2020;3023;7324;Empresas;;A
2020;3023;7368;Empresas;225.0;A
2020;3023;7332;Empresas;36.0;A
2020;3023;7335;Empresas;;A
2020;3023;7339;Empresas;25.0;A
2020;3023;7346;Empresas;6.0;A
2020;3023;7350;Empresas;8.0;A
2020;3023;7358;Empresas;62.0;A
2020;3023;7361;Empresas;81.0;A
2020;3023;7365;Empresas;7.0;A
2020;3023;7367;Empresas;;A
2020;3023;7397;Empresas;19.0;A
2020;3023;7371;Empresas;3.0;A
2020;3023;7374;Empresas;3.0;A
2020;3023;7380;Empresas;5.0;A
2020;3023;7388;Empresas;5.0;A
2020;3023;7394;Empresas;3.0;A
2020;3023;7396;Empresas;;A
2020;3023;7433;Empresas;911.0;A
2020;3023;7401;Empresas;691.0;A
2020;3023;7405;Empresas;4.0;A
2020;3023;7408;Empresas;;A
2020;3023;7411;Empresas;;A
2020;3023;7414;Empresas;12.0;A
2020;3023;7418;Empresas;127.0;A
2020;3023;7423;Empresas;33.0;A
2020;3023;7430;Empresas;44.0;A
2020;3023;7432;Empresas;;A
2020;3023;7462;Empresas;74.0;A
2020;3023;7437;Empresas;18.0;A
2020;3023;7440;Empresas;32.0;A
2020;3023;7443;Empresas;2.0;A
2020;3023;7446;Empresas;4.0;A
2020;3023;7450;Empresas;14.0;A
2020;3023;7453;Empresas;1.0;A
2020;3023;7456;Empresas;3.0;A
2020;3023;7459;Empresas;;A
2020;3023;7461;Empresas;;A
2020;3023;7487;Empresas;47.0;A
2020;3023;7466;Empresas;11.0;A
2020;3023;7469;Empresas;1.0;A
2020;3023;7474;Empresas;1.0;A
2020;3023;7477;Empresas;20.0;A
2020;3023;7481;Empresas;10.0;A
2020;3023;7484;Empresas;4.0;A
2020;3023;7486;Empresas;;A
2020;3023;7521;Empresas;65.0;A
2020;3023;7494;Empresas;4.0;A
2020;3023;7502;Empresas;31.0;A
2020;3023;7505;Empresas;4.0;A
2020;3023;7509;Empresas;1.0;A
2020;3023;7518;Empresas;25.0;A
2020;3023;7520;Empresas;;A
2020;3023;7534;Empresas;29.0;A
2020;3023;7524;Empresas;1.0;A
2020;3023;7527;Empresas;16.0;A
2020;3023;7531;Empresas;12.0;A
2020;3023;7533;Empresas;;A
2020;3023;7555;Empresas;26.0;A
2020;3023;7538;Empresas;20.0;A
2020;3023;7541;Empresas;;A
2020;3023;7544;Empresas;2.0;A
2020;3023;7547;Empresas;;A
2020;3023;7552;Empresas;4.0;A
2020;3023;7554;Empresas;;A
2020;3023;7564;Empresas;350.0;A
2020;3023;7561;Empresas;350.0;A
2020;3023;7563;Empresas;;A
2020;3023;7588;Empresas;301.0;A
2020;3023;7569;Empresas;53.0;A
2020;3023;7572;Empresas;13.0;A
2020;3023;7575;Empresas;9.0;A
2020;3023;7578;Empresas;9.0;A
2020;3023;7581;Empresas;177.0;A
2020;3023;7585;Empresas;40.0;A
2020;3023;7587;Empresas;;A
2020;3023;7604;Empresas;348.0;A
2020;3023;7598;Empresas;325.0;A
2020;3023;7601;Empresas;23.0;A
2020;3023;7603;Empresas;;A
2020;3023;7627;Empresas;116.0;A
2020;3023;7626;Empresas;116.0;A
2020;3023;7615;Empresas;106.0;A
2020;3023;7620;Empresas;1.0;A
2020;3023;7623;Empresas;9.0;A
2020;3023;7625;Empresas;;A
2020;3023;7661;Empresas;208.0;A
2020;3023;7633;Empresas;57.0;A
2020;3023;7630;Empresas;57.0;A
2020;3023;7632;Empresas;;A
2020;3023;7639;Empresas;27.0;A
2020;3023;7636;Empresas;27.0;A
2020;3023;7638;Empresas;;A
2020;3023;7654;Empresas;83.0;A
2020;3023;7643;Empresas;66.0;A
2020;3023;7647;Empresas;10.0;A
2020;3023;7651;Empresas;7.0;A
2020;3023;7653;Empresas;;A
2020;3023;7660;Empresas;41.0;A
2020;3023;7657;Empresas;41.0;A
2020;3023;7659;Empresas;;A
2020;3023;7662;Empresas;15566.0;A
2020;3023;7663;Empresas;15566.0;A
2020;3023;7714;Empresas;15566.0;A
2020;3023;7673;Empresas;8529.0;A
2020;3023;7666;Empresas;4524.0;A
2020;3023;7670;Empresas;4005.0;A
2020;3023;7672;Empresas;;A
2020;3023;7689;Empresas;163.0;A
2020;3023;7678;Empresas;37.0;A
2020;3023;7682;Empresas;85.0;A
2020;3023;7686;Empresas;41.0;A
2020;3023;7688;Empresas;;A
2020;3023;7713;Empresas;6874.0;A
2020;3023;7694;Empresas;465.0;A
2020;3023;7699;Empresas;2621.0;A
2020;3023;7706;Empresas;2151.0;A
2020;3023;7710;Empresas;1637.0;A
2020;3023;7712;Empresas;;A
2020;3023;7715;Empresas;103107.0;A
2020;3023;7716;Empresas;41774.0;A
2020;3023;7859;Empresas;28949.0;A
2020;3023;7733;Empresas;3172.0;A
2020;3023;7720;Empresas;848.0;A
2020;3023;7723;Empresas;1970.0;A
2020;3023;7727;Empresas;308.0;A
2020;3023;7730;Empresas;46.0;A
2020;3023;7732;Empresas;;A
2020;3023;7800;Empresas;7890.0;A
2020;3023;7744;Empresas;3009.0;A
2020;3023;7750;Empresas;236.0;A
2020;3023;7761;Empresas;1836.0;A
2020;3023;7772;Empresas;1327.0;A
2020;3023;7776;Empresas;173.0;A
2020;3023;7785;Empresas;243.0;A
2020;3023;7794;Empresas;734.0;A
2020;3023;7797;Empresas;332.0;A
2020;3023;7799;Empresas;;A
2020;3023;7858;Empresas;17887.0;A
2020;3023;7804;Empresas;2793.0;A
2020;3023;7813;Empresas;3148.0;A
2020;3023;7816;Empresas;178.0;A
2020;3023;7821;Empresas;394.0;A
2020;3023;7828;Empresas;3078.0;A
2020;3023;7835;Empresas;950.0;A
2020;3023;7846;Empresas;5117.0;A
2020;3023;7851;Empresas;1880.0;A
2020;3023;7855;Empresas;349.0;A
2020;3023;7857;Empresas;;A
2020;3023;7888;Empresas;12825.0;A
2020;3023;7874;Empresas;1397.0;A
2020;3023;7862;Empresas;650.0;A
2020;3023;7865;Empresas;665.0;A
2020;3023;7868;Empresas;41.0;A
2020;3023;7871;Empresas;41.0;A
2020;3023;7873;Empresas;;A
2020;3023;7887;Empresas;11428.0;A
2020;3023;7877;Empresas;4092.0;A
2020;3023;7881;Empresas;741.0;A
2020;3023;7884;Empresas;6595.0;A
2020;3023;7886;Empresas;;A
2020;3023;7889;Empresas;8384.0;A
2020;3023;7958;Empresas;5938.0;A
2020;3023;7910;Empresas;5039.0;A
2020;3023;7892;Empresas;;A
2020;3023;7895;Empresas;;A
2020;3023;7900;Empresas;2835.0;A
2020;3023;7904;Empresas;2203.0;A
2020;3023;7907;Empresas;1.0;A
2020;3023;7909;Empresas;;A
2020;3023;7925;Empresas;38.0;A
