TEMPORAL;TERRITORIO;CNAE09;INDICATOR;OBS_VALUE;FREQ
2020;ES618;6949;ESTABLECIMIENTO;138465.0;A
2020;ES618;7057;ESTABLECIMIENTO;9257.0;A
2020;ES618;7058;ESTABLECIMIENTO;9257.0;A
2020;ES618;7109;ESTABLECIMIENTO;87.0;A
2020;ES618;7067;ESTABLECIMIENTO;2.0;A
2020;ES618;7061;ESTABLECIMIENTO;2.0;A
2020;ES618;7086;ESTABLECIMIENTO;9.0;A
2020;ES618;7083;ESTABLECIMIENTO;9.0;A
2020;ES618;7099;ESTABLECIMIENTO;71.0;A
2020;ES618;7090;ESTABLECIMIENTO;60.0;A
2020;ES618;7096;ESTABLECIMIENTO;11.0;A
2020;ES618;7108;ESTABLECIMIENTO;5.0;A
2020;ES618;7102;ESTABLECIMIENTO;3.0;A
2020;ES618;7105;ESTABLECIMIENTO;2.0;A
2020;ES618;7605;ESTABLECIMIENTO;8524.0;A
2020;ES618;7158;ESTABLECIMIENTO;1513.0;A
2020;ES618;7114;ESTABLECIMIENTO;141.0;A
2020;ES618;7118;ESTABLECIMIENTO;33.0;A
2020;ES618;7123;ESTABLECIMIENTO;261.0;A
2020;ES618;7128;ESTABLECIMIENTO;143.0;A
2020;ES618;7133;ESTABLECIMIENTO;56.0;A
2020;ES618;7137;ESTABLECIMIENTO;24.0;A
2020;ES618;7142;ESTABLECIMIENTO;556.0;A
2020;ES618;7151;ESTABLECIMIENTO;253.0;A
2020;ES618;7155;ESTABLECIMIENTO;46.0;A
2020;ES618;7170;ESTABLECIMIENTO;78.0;A
2020;ES618;7167;ESTABLECIMIENTO;78.0;A
2020;ES618;7176;ESTABLECIMIENTO;1.0;A
2020;ES618;7173;ESTABLECIMIENTO;1.0;A
2020;ES618;7197;ESTABLECIMIENTO;328.0;A
2020;ES618;7179;ESTABLECIMIENTO;8.0;A
2020;ES618;7182;ESTABLECIMIENTO;2.0;A
2020;ES618;7185;ESTABLECIMIENTO;52.0;A
2020;ES618;7194;ESTABLECIMIENTO;266.0;A
2020;ES618;7214;ESTABLECIMIENTO;622.0;A
2020;ES618;7204;ESTABLECIMIENTO;620.0;A
2020;ES618;7207;ESTABLECIMIENTO;1.0;A
2020;ES618;7211;ESTABLECIMIENTO;1.0;A
2020;ES618;7224;ESTABLECIMIENTO;61.0;A
2020;ES618;7218;ESTABLECIMIENTO;47.0;A
2020;ES618;7221;ESTABLECIMIENTO;14.0;A
2020;ES618;7237;ESTABLECIMIENTO;395.0;A
2020;ES618;7227;ESTABLECIMIENTO;20.0;A
2020;ES618;7234;ESTABLECIMIENTO;375.0;A
2020;ES618;7251;ESTABLECIMIENTO;54.0;A
2020;ES618;7241;ESTABLECIMIENTO;6.0;A
2020;ES618;7248;ESTABLECIMIENTO;48.0;A
2020;ES618;7263;ESTABLECIMIENTO;732.0;A
2020;ES618;7257;ESTABLECIMIENTO;728.0;A
2020;ES618;7260;ESTABLECIMIENTO;4.0;A
2020;ES618;7303;ESTABLECIMIENTO;243.0;A
2020;ES618;7281;ESTABLECIMIENTO;78.0;A
2020;ES618;7284;ESTABLECIMIENTO;12.0;A
2020;ES618;7287;ESTABLECIMIENTO;28.0;A
2020;ES618;7291;ESTABLECIMIENTO;84.0;A
2020;ES618;7297;ESTABLECIMIENTO;36.0;A
2020;ES618;7300;ESTABLECIMIENTO;5.0;A
2020;ES618;7312;ESTABLECIMIENTO;34.0;A
2020;ES618;7306;ESTABLECIMIENTO;6.0;A
2020;ES618;7309;ESTABLECIMIENTO;28.0;A
2020;ES618;7325;ESTABLECIMIENTO;130.0;A
2020;ES618;7316;ESTABLECIMIENTO;11.0;A
2020;ES618;7322;ESTABLECIMIENTO;119.0;A
2020;ES618;7368;ESTABLECIMIENTO;438.0;A
2020;ES618;7332;ESTABLECIMIENTO;47.0;A
2020;ES618;7335;ESTABLECIMIENTO;3.0;A
2020;ES618;7339;ESTABLECIMIENTO;16.0;A
2020;ES618;7346;ESTABLECIMIENTO;52.0;A
2020;ES618;7350;ESTABLECIMIENTO;16.0;A
2020;ES618;7358;ESTABLECIMIENTO;140.0;A
2020;ES618;7361;ESTABLECIMIENTO;154.0;A
2020;ES618;7365;ESTABLECIMIENTO;10.0;A
2020;ES618;7397;ESTABLECIMIENTO;47.0;A
2020;ES618;7371;ESTABLECIMIENTO;6.0;A
2020;ES618;7374;ESTABLECIMIENTO;4.0;A
2020;ES618;7380;ESTABLECIMIENTO;6.0;A
2020;ES618;7388;ESTABLECIMIENTO;22.0;A
2020;ES618;7394;ESTABLECIMIENTO;9.0;A
2020;ES618;7433;ESTABLECIMIENTO;1690.0;A
2020;ES618;7401;ESTABLECIMIENTO;1119.0;A
2020;ES618;7405;ESTABLECIMIENTO;16.0;A
2020;ES618;7411;ESTABLECIMIENTO;3.0;A
2020;ES618;7414;ESTABLECIMIENTO;80.0;A
2020;ES618;7418;ESTABLECIMIENTO;295.0;A
2020;ES618;7423;ESTABLECIMIENTO;75.0;A
2020;ES618;7430;ESTABLECIMIENTO;102.0;A
2020;ES618;7462;ESTABLECIMIENTO;142.0;A
2020;ES618;7437;ESTABLECIMIENTO;33.0;A
2020;ES618;7440;ESTABLECIMIENTO;44.0;A
2020;ES618;7443;ESTABLECIMIENTO;6.0;A
2020;ES618;7446;ESTABLECIMIENTO;1.0;A
2020;ES618;7450;ESTABLECIMIENTO;41.0;A
2020;ES618;7453;ESTABLECIMIENTO;9.0;A
2020;ES618;7456;ESTABLECIMIENTO;8.0;A
2020;ES618;7487;ESTABLECIMIENTO;63.0;A
2020;ES618;7466;ESTABLECIMIENTO;18.0;A
2020;ES618;7469;ESTABLECIMIENTO;1.0;A
2020;ES618;7474;ESTABLECIMIENTO;6.0;A
2020;ES618;7477;ESTABLECIMIENTO;18.0;A
2020;ES618;7481;ESTABLECIMIENTO;10.0;A
2020;ES618;7484;ESTABLECIMIENTO;10.0;A
2020;ES618;7521;ESTABLECIMIENTO;208.0;A
2020;ES618;7494;ESTABLECIMIENTO;12.0;A
2020;ES618;7502;ESTABLECIMIENTO;40.0;A
2020;ES618;7505;ESTABLECIMIENTO;38.0;A
2020;ES618;7509;ESTABLECIMIENTO;3.0;A
2020;ES618;7518;ESTABLECIMIENTO;115.0;A
2020;ES618;7534;ESTABLECIMIENTO;89.0;A
2020;ES618;7524;ESTABLECIMIENTO;5.0;A
2020;ES618;7527;ESTABLECIMIENTO;63.0;A
2020;ES618;7531;ESTABLECIMIENTO;21.0;A
2020;ES618;7555;ESTABLECIMIENTO;96.0;A
2020;ES618;7538;ESTABLECIMIENTO;11.0;A
2020;ES618;7541;ESTABLECIMIENTO;15.0;A
2020;ES618;7544;ESTABLECIMIENTO;60.0;A
2020;ES618;7552;ESTABLECIMIENTO;10.0;A
2020;ES618;7564;ESTABLECIMIENTO;580.0;A
2020;ES618;7561;ESTABLECIMIENTO;580.0;A
2020;ES618;7588;ESTABLECIMIENTO;450.0;A
2020;ES618;7569;ESTABLECIMIENTO;107.0;A
2020;ES618;7572;ESTABLECIMIENTO;15.0;A
2020;ES618;7575;ESTABLECIMIENTO;13.0;A
2020;ES618;7578;ESTABLECIMIENTO;10.0;A
