D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2020;3143;5661;Divorcios;13992.45022;A
2020;3143;5634;Divorcios;6504.66592;A
2020;3143;5636;Divorcios;3659.29909;A
2020;3143;5638;Divorcios;3396.99825;A
2020;3143;5640;Divorcios;396.5127;A
2020;3143;5642;Divorcios;29.70055;A
2020;3143;5660;Divorcios;5.27371;A
2020;2352;5661;Divorcios;1287.5417;A
2020;2352;5634;Divorcios;621.46538;A
2020;2352;5636;Divorcios;315.95928;A
2020;2352;5638;Divorcios;309.5547;A
2020;2352;5640;Divorcios;38.42748;A
2020;2352;5642;Divorcios;2.13486;A
2020;2402;5661;Divorcios;1956.38358;A
2020;2402;5634;Divorcios;865.76566;A
2020;2402;5636;Divorcios;543.20352;A
2020;2402;5638;Divorcios;477.93488;A
2020;2402;5640;Divorcios;65.26864;A
2020;2402;5642;Divorcios;4.21088;A
2020;2482;5661;Divorcios;1295.68526;A
2020;2482;5634;Divorcios;586.82122;A
2020;2482;5636;Divorcios;340.09084;A
2020;2482;5638;Divorcios;317.5547;A
2020;2482;5640;Divorcios;47.12102;A
2020;2482;5642;Divorcios;4.09748;A
2020;2713;5661;Divorcios;1333.9225;A
2020;2713;5634;Divorcios;570.58384;A
2020;2713;5636;Divorcios;358.30182;A
2020;2713;5638;Divorcios;360.89821;A
2020;2713;5640;Divorcios;44.13863;A
2020;2797;5661;Divorcios;832.55851;A
2020;2797;5634;Divorcios;376.04119;A
2020;2797;5636;Divorcios;246.89202;A
2020;2797;5638;Divorcios;195.65028;A
2020;2797;5640;Divorcios;13.97502;A
2020;2911;5661;Divorcios;886.77634;A
2020;2911;5634;Divorcios;471.77282;A
2020;2911;5636;Divorcios;207.50176;A
2020;2911;5638;Divorcios;184.12128;A
2020;2911;5640;Divorcios;20.45792;A
2020;2911;5660;Divorcios;2.92256;A
2020;3023;5661;Divorcios;3009.31704;A
2020;3023;5634;Divorcios;1488.12299;A
2020;3023;5636;Divorcios;728.8565;A
2020;3023;5638;Divorcios;710.0473;A
2020;3023;5640;Divorcios;65.8322;A
2020;3023;5642;Divorcios;14.1069;A
2020;3023;5660;Divorcios;2.35115;A
2020;3142;5661;Divorcios;3390.26529;A
2020;3142;5634;Divorcios;1524.09282;A
2020;3142;5636;Divorcios;918.49335;A
2020;3142;5638;Divorcios;841.2369;A
2020;3142;5640;Divorcios;101.29179;A
2020;3142;5642;Divorcios;5.15043;A
2019;3143;5661;Divorcios;17078.2748;A
2019;3143;5634;Divorcios;7873.34974;A
2019;3143;5636;Divorcios;4512.6298;A
2019;3143;5638;Divorcios;4096.56814;A
2019;3143;5640;Divorcios;522.642;A
2019;3143;5642;Divorcios;64.13179;A
2019;3143;5660;Divorcios;8.95333;A
2019;2352;5661;Divorcios;1684.43364;A
2019;2352;5634;Divorcios;762.64566;A
2019;2352;5636;Divorcios;452.77251;A
2019;2352;5638;Divorcios;406.074;A
2019;2352;5640;Divorcios;54.81999;A
2019;2352;5642;Divorcios;6.09111;A
2019;2352;5660;Divorcios;2.03037;A
2019;2402;5661;Divorcios;2350.11045;A
2019;2402;5634;Divorcios;1046.38673;A
2019;2402;5636;Divorcios;675.8434;A
2019;2402;5638;Divorcios;523.2336;A
2019;2402;5640;Divorcios;89.38574;A
2019;2402;5642;Divorcios;13.08084;A
2019;2402;5660;Divorcios;2.18014;A
2019;2482;5661;Divorcios;1369.08113;A
2019;2482;5634;Divorcios;596.97089;A
2019;2482;5636;Divorcios;365.5825;A
2019;2482;5638;Divorcios;348.03454;A
2019;2482;5640;Divorcios;54.10621;A
2019;2482;5642;Divorcios;4.38699;A
2019;2713;5661;Divorcios;1634.5488;A
2019;2713;5634;Divorcios;788.30896;A
2019;2713;5636;Divorcios;424.31856;A
2019;2713;5638;Divorcios;361.98928;A
2019;2713;5640;Divorcios;52.74016;A
2019;2713;5642;Divorcios;4.79456;A
2019;2713;5660;Divorcios;2.39728;A
2019;2797;5661;Divorcios;1003.79841;A
