D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2020;3143;5630;Divorcios;13992.45022;A
2020;3143;5622;Divorcios;12436.98899;A
2020;3143;5621;Divorcios;12436.98899;A
2020;3143;5620;Divorcios;12436.98899;A
2020;3143;5629;Divorcios;1555.46123;A
2020;3143;5625;Divorcios;1042.35649;A
2020;3143;5623;Divorcios;504.9678;A
2020;3143;5624;Divorcios;537.38869;A
2020;3143;5628;Divorcios;513.10474;A
2020;3143;5626;Divorcios;363.16796;A
2020;3143;5627;Divorcios;149.93678;A
2020;2352;5630;Divorcios;1287.5417;A
2020;2352;5622;Divorcios;1015.01572;A
2020;2352;5621;Divorcios;1015.01572;A
2020;2352;5620;Divorcios;1015.01572;A
2020;2352;5629;Divorcios;272.52598;A
2020;2352;5625;Divorcios;170.89926;A
2020;2352;5623;Divorcios;83.0019;A
2020;2352;5624;Divorcios;87.89736;A
2020;2352;5628;Divorcios;101.62672;A
2020;2352;5626;Divorcios;64.37708;A
2020;2352;5627;Divorcios;37.24964;A
2020;2402;5630;Divorcios;1956.38358;A
2020;2402;5622;Divorcios;1768.35599;A
2020;2402;5621;Divorcios;1768.35599;A
2020;2402;5620;Divorcios;1768.35599;A
2020;2402;5629;Divorcios;188.02759;A
2020;2402;5625;Divorcios;134.4753;A
2020;2402;5623;Divorcios;64.07949;A
2020;2402;5624;Divorcios;70.39581;A
2020;2402;5628;Divorcios;53.55229;A
2020;2402;5626;Divorcios;46.20274;A
2020;2402;5627;Divorcios;7.34955;A
2020;2482;5630;Divorcios;1295.68526;A
2020;2482;5622;Divorcios;1269.4362;A
2020;2482;5621;Divorcios;1269.4362;A
2020;2482;5620;Divorcios;1269.4362;A
2020;2482;5629;Divorcios;26.24906;A
2020;2482;5625;Divorcios;24.20032;A
2020;2482;5623;Divorcios;9.12319;A
2020;2482;5624;Divorcios;15.07713;A
2020;2482;5628;Divorcios;2.04874;A
2020;2482;5626;Divorcios;2.04874;A
2020;2713;5630;Divorcios;1333.9225;A
2020;2713;5622;Divorcios;1243.73682;A
2020;2713;5621;Divorcios;1243.73682;A
2020;2713;5620;Divorcios;1243.73682;A
2020;2713;5629;Divorcios;90.18568;A
2020;2713;5625;Divorcios;62.44648;A
2020;2713;5623;Divorcios;31.22324;A
2020;2713;5624;Divorcios;31.22324;A
2020;2713;5628;Divorcios;27.7392;A
2020;2713;5626;Divorcios;25.14281;A
2020;2713;5627;Divorcios;2.59639;A
2020;2797;5630;Divorcios;832.55851;A
2020;2797;5622;Divorcios;751.05165;A
