TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ
2020;ES61;TOTAL;4948;DIV;13992.45022;A
2020;ES61;TOTAL;4826;DIV;66.44534;A
2020;ES61;TOTAL;4832;DIV;370.92472;A
2020;ES61;TOTAL;4839;DIV;1264.70311;A
2020;ES61;TOTAL;4845;DIV;2121.83561;A
2020;ES61;TOTAL;4851;DIV;2947.93777;A
2020;ES61;TOTAL;4858;DIV;2895.0573;A
2020;ES61;TOTAL;4864;DIV;2019.7398;A
2020;ES61;TOTAL;4870;DIV;1229.21899;A
2020;ES61;TOTAL;4876;DIV;594.70121;A
2020;ES61;TOTAL;4882;DIV;302.54249;A
2020;ES61;TOTAL;4888;DIV;107.71168;A
2020;ES61;TOTAL;4947;DIV;71.6322;A
2020;ES61;Y15-19;4948;DIV;13.28702;A
2020;ES61;Y15-19;4826;DIV;2.35115;A
2020;ES61;Y15-19;4832;DIV;2.13486;A
2020;ES61;Y15-19;4839;DIV;6.47184;A
2020;ES61;Y15-19;4858;DIV;2.32917;A
2020;ES61;Y25-29;4948;DIV;240.88527;A
2020;ES61;Y25-29;4826;DIV;28.4117;A
2020;ES61;Y25-29;4832;DIV;119.16007;A
2020;ES61;Y25-29;4839;DIV;75.18189;A
2020;ES61;Y25-29;4845;DIV;12.94169;A
2020;ES61;Y25-29;4851;DIV;5.18992;A
2020;ES61;Y30-34;4948;DIV;784.63161;A
2020;ES61;Y30-34;4826;DIV;7.91865;A
2020;ES61;Y30-34;4832;DIV;118.38854;A
2020;ES61;Y30-34;4839;DIV;435.68825;A
2020;ES61;Y30-34;4845;DIV;163.80007;A
2020;ES61;Y30-34;4851;DIV;42.53799;A
2020;ES61;Y30-34;4858;DIV;8.50087;A
2020;ES61;Y30-34;4864;DIV;6.08043;A
2020;ES61;Y30-34;4876;DIV;1.71681;A
2020;ES61;Y35-39;4948;DIV;1683.27697;A
2020;ES61;Y35-39;4826;DIV;18.07622;A
2020;ES61;Y35-39;4832;DIV;68.0798;A
2020;ES61;Y35-39;4839;DIV;455.34116;A
2020;ES61;Y35-39;4845;DIV;796.13966;A
2020;ES61;Y35-39;4851;DIV;255.23419;A
2020;ES61;Y35-39;4858;DIV;51.98292;A
2020;ES61;Y35-39;4864;DIV;24.82816;A
2020;ES61;Y35-39;4870;DIV;6.03203;A
2020;ES61;Y35-39;4876;DIV;7.56283;A
2020;ES61;Y40-44;4948;DIV;2772.75055;A
2020;ES61;Y40-44;4826;DIV;3.78314;A
2020;ES61;Y40-44;4832;DIV;40.10966;A
2020;ES61;Y40-44;4839;DIV;192.84223;A
2020;ES61;Y40-44;4845;DIV;817.68098;A
2020;ES61;Y40-44;4851;DIV;1310.64281;A
2020;ES61;Y40-44;4858;DIV;338.5416;A
2020;ES61;Y40-44;4864;DIV;54.31882;A
2020;ES61;Y40-44;4870;DIV;12.48016;A
2020;ES61;Y40-44;4876;DIV;2.35115;A
2020;ES61;Y45-49;4948;DIV;2902.14107;A
2020;ES61;Y45-49;4826;DIV;5.90448;A
2020;ES61;Y45-49;4832;DIV;14.66901;A
2020;ES61;Y45-49;4839;DIV;67.54921;A
2020;ES61;Y45-49;4845;DIV;232.78955;A
2020;ES61;Y45-49;4851;DIV;983.50943;A
2020;ES61;Y45-49;4858;DIV;1327.37572;A
2020;ES61;Y45-49;4864;DIV;199.29066;A
2020;ES61;Y45-49;4870;DIV;53.81758;A
2020;ES61;Y45-49;4876;DIV;12.41384;A
2020;ES61;Y45-49;4888;DIV;4.82159;A
2020;ES61;Y50-54;4948;DIV;2388.09181;A
2020;ES61;Y50-54;4832;DIV;5.24411;A
2020;ES61;Y50-54;4839;DIV;13.7217;A
2020;ES61;Y50-54;4845;DIV;68.83663;A
2020;ES61;Y50-54;4851;DIV;254.70675;A
2020;ES61;Y50-54;4858;DIV;881.93828;A
2020;ES61;Y50-54;4864;DIV;945.10159;A
2020;ES61;Y50-54;4870;DIV;190.83861;A
2020;ES61;Y50-54;4876;DIV;18.02707;A
2020;ES61;Y50-54;4882;DIV;9.67707;A
