TEMPORAL;TERRITORIO;DURACMATRIM;INDICATOR;OBS_VALUE;FREQ
2020;ES61;5215;DIV;13992.45022;A
2020;ES61;5114;DIV;87.64552;A
2020;ES61;5126;DIV;316.26234;A
2020;ES61;5137;DIV;462.75017;A
2020;ES61;5148;DIV;569.72828;A
2020;ES61;5159;DIV;603.04781;A
2020;ES61;5170;DIV;602.31422;A
2020;ES61;5181;DIV;539.19392;A
2020;ES61;5192;DIV;511.19353;A
2020;ES61;5203;DIV;412.05948;A
2020;ES61;5214;DIV;417.19437;A
2020;ES61;5116;DIV;429.17683;A
2020;ES61;5117;DIV;418.71524;A
2020;ES61;5118;DIV;534.12974;A
2020;ES61;5119;DIV;550.0961;A
2020;ES61;5120;DIV;496.8288;A
2020;ES61;5121;DIV;451.25514;A
2020;ES61;5122;DIV;375.92234;A
2020;ES61;5123;DIV;455.99497;A
2020;ES61;5124;DIV;454.18921;A
2020;ES61;5125;DIV;367.69542;A
2020;ES61;5127;DIV;402.79001;A
2020;ES61;5128;DIV;402.08369;A
2020;ES61;5129;DIV;367.8291;A
2020;ES61;5130;DIV;285.89441;A
2020;ES61;5131;DIV;260.45945;A
2020;ES61;5132;DIV;248.89909;A
2020;ES61;5133;DIV;224.10011;A
2020;ES61;5134;DIV;229.95501;A
2020;ES61;5135;DIV;322.15678;A
2020;ES61;5136;DIV;278.20965;A
2020;ES61;5138;DIV;195.71512;A
2020;ES61;5139;DIV;215.49089;A
2020;ES61;5140;DIV;175.94017;A
2020;ES61;5141;DIV;156.06201;A
2020;ES61;5142;DIV;99.99217;A
2020;ES61;5143;DIV;96.38275;A
2020;ES61;5144;DIV;133.05631;A
2020;ES61;5145;DIV;86.95084;A
2020;ES61;5146;DIV;123.48742;A
2020;ES61;5147;DIV;65.78243;A
2020;ES61;5149;DIV;88.15513;A
2020;ES61;5150;DIV;92.76715;A
2020;ES61;5151;DIV;84.60564;A
2020;ES61;5152;DIV;58.88;A
2020;ES61;5153;DIV;53.84997;A
2020;ES61;5154;DIV;45.14581;A
2020;ES61;5155;DIV;16.89095;A
2020;ES61;5156;DIV;41.09974;A
2020;ES61;5157;DIV;18.9115;A
2020;ES61;5158;DIV;16.47433;A
2020;ES61;5160;DIV;5.56848;A
2020;ES61;5161;DIV;7.74884;A
2020;ES61;5162;DIV;5.40621;A
2020;ES61;5163;DIV;3.76555;A
2020;ES61;5164;DIV;2.97697;A
2020;ES61;5165;DIV;9.13691;A
2020;ES61;5166;DIV;3.13867;A
2020;ES61;5167;DIV;6.19373;A
2020;ES61;5173;DIV;3.05506;A
2020;ES61;5175;DIV;2.04874;A
2020;ES611;5215;DIV;1287.5417;A
2020;ES611;5114;DIV;8.24498;A
2020;ES611;5126;DIV;19.83948;A
2020;ES611;5137;DIV;45.20016;A
2020;ES611;5148;DIV;91.57816;A
2020;ES611;5159;DIV;60.7331;A
2020;ES611;5170;DIV;55.54318;A
2020;ES611;5181;DIV;45.16334;A
2020;ES611;5192;DIV;55.83764;A
2020;ES611;5203;DIV;31.43398;A
2020;ES611;5214;DIV;35.99816;A
2020;ES611;5116;DIV;41.18808;A
2020;ES611;5117;DIV;37.21282;A
2020;ES611;5118;DIV;42.6972;A
2020;ES611;5119;DIV;45.4578;A
2020;ES611;5120;DIV;51.23664;A
2020;ES611;5121;DIV;46.67246;A
2020;ES611;5122;DIV;44.5376;A
2020;ES611;5123;DIV;48.2184;A
2020;ES611;5124;DIV;50.94218;A
2020;ES611;5125;DIV;29.59358;A
2020;ES611;5127;DIV;50.64772;A
2020;ES611;5128;DIV;17.99908;A
2020;ES611;5129;DIV;21.05414;A
2020;ES611;5130;DIV;25.0294;A
2020;ES611;5131;DIV;14.64956;A
2020;ES611;5132;DIV;16.78442;A
2020;ES611;5133;DIV;15.86422;A
2020;ES611;5134;DIV;16.78442;A
2020;ES611;5135;DIV;29.6304;A
2020;ES611;5136;DIV;21.67988;A
2020;ES611;5138;DIV;8.24498;A
2020;ES611;5139;DIV;25.65514;A
2020;ES611;5140;DIV;7.32478;A
2020;ES611;5141;DIV;12.5147;A
2020;ES611;5142;DIV;15.56976;A
2020;ES611;5143;DIV;5.18992;A
2020;ES611;5144;DIV;14.3551;A
2020;ES611;5145;DIV;5.18992;A
2020;ES611;5146;DIV;9.45964;A
2020;ES611;5147;DIV;8.24498;A
2020;ES611;5149;DIV;6.11012;A
2020;ES611;5150;DIV;17.41016;A
2020;ES611;5151;DIV;3.05506;A
2020;ES611;5153;DIV;5.18992;A
2020;ES611;5156;DIV;9.16518;A
2020;ES611;5157;DIV;3.05506;A
2020;ES611;5160;DIV;2.13486;A
2020;ES611;5161;DIV;3.05506;A
2020;ES611;5162;DIV;3.05506;A
2020;ES611;5167;DIV;3.05506;A
2020;ES611;5173;DIV;3.05506;A
2020;ES612;5215;DIV;1956.38358;A
2020;ES612;5114;DIV;10.48822;A
2020;ES612;5126;DIV;47.15801;A
2020;ES612;5137;DIV;62.92932;A
2020;ES612;5148;DIV;77.70638;A
2020;ES612;5159;DIV;89.22783;A
2020;ES612;5170;DIV;87.16137;A
2020;ES612;5181;DIV;85.17287;A
2020;ES612;5192;DIV;54.70246;A
2020;ES612;5203;DIV;74.64567;A
2020;ES612;5214;DIV;54.70246;A
2020;ES612;5116;DIV;55.77467;A
2020;ES612;5117;DIV;58.91334;A
2020;ES612;5118;DIV;68.36833;A
2020;ES612;5119;DIV;68.32935;A
2020;ES612;5120;DIV;66.30187;A
2020;ES612;5121;DIV;71.507;A
2020;ES612;5122;DIV;41.03659;A
2020;ES612;5123;DIV;82.07318;A
2020;ES612;5124;DIV;74.68465;A
2020;ES612;5125;DIV;46.2807;A
2020;ES612;5127;DIV;62.05201;A
2020;ES612;5128;DIV;52.59702;A
2020;ES612;5129;DIV;53.66923;A
2020;ES612;5130;DIV;27.29276;A
2020;ES612;5131;DIV;27.29276;A
2020;ES612;5132;DIV;24.15409;A
2020;ES612;5133;DIV;46.16376;A
2020;ES612;5134;DIV;35.67554;A
2020;ES612;5135;DIV;41.95288;A
2020;ES612;5136;DIV;49.34141;A
2020;ES612;5138;DIV;23.08188;A
2020;ES612;5139;DIV;39.84744;A
2020;ES612;5140;DIV;16.76556;A
2020;ES612;5141;DIV;26.18157;A
2020;ES612;5142;DIV;10.48822;A
2020;ES612;5143;DIV;15.73233;A
2020;ES612;5144;DIV;17.83777;A
2020;ES612;5145;DIV;5.24411;A
2020;ES612;5146;DIV;7.34955;A
2020;ES612;5147;DIV;7.34955;A
2020;ES612;5149;DIV;13.62689;A
2020;ES612;5150;DIV;4.21088;A
2020;ES612;5151;DIV;17.83777;A
2020;ES612;5152;DIV;5.24411;A
2020;ES612;5153;DIV;6.27734;A
2020;ES612;5154;DIV;11.52145;A
2020;ES612;5155;DIV;4.21088;A
2020;ES612;5156;DIV;13.62689;A
2020;ES612;5158;DIV;4.21088;A
2020;ES612;5165;DIV;2.10544;A
2020;ES612;5166;DIV;3.13867;A
2020;ES612;5167;DIV;3.13867;A
2020;ES613;5215;DIV;1295.68526;A
2020;ES613;5114;DIV;5.02571;A
2020;ES613;5126;DIV;20.29512;A
2020;ES613;5137;DIV;42.06214;A
2020;ES613;5148;DIV;31.27477;A
2020;ES613;5159;DIV;42.4467;A
2020;ES613;5170;DIV;46.54418;A
2020;ES613;5181;DIV;45.61595;A
2020;ES613;5192;DIV;40.59024;A
2020;ES613;5203;DIV;32.58756;A
2020;ES613;5214;DIV;49.90571;A
2020;ES613;5116;DIV;38.73378;A
2020;ES613;5117;DIV;43.75949;A
2020;ES613;5118;DIV;56.98016;A
2020;ES613;5119;DIV;50.09799;A
2020;ES613;5120;DIV;50.09799;A
2020;ES613;5121;DIV;36.87732;A
2020;ES613;5122;DIV;47.85697;A
2020;ES613;5123;DIV;39.85429;A
2020;ES613;5124;DIV;43.95177;A
2020;ES613;5125;DIV;34.6363;A
2020;ES613;5127;DIV;28.2978;A
2020;ES613;5128;DIV;47.85697;A
2020;ES613;5129;DIV;51.02622;A
2020;ES613;5130;DIV;26.24906;A
2020;ES613;5131;DIV;32.39528;A
2020;ES613;5132;DIV;27.91324;A
2020;ES613;5133;DIV;25.32083;A
2020;ES613;5134;DIV;19.17461;A
2020;ES613;5135;DIV;30.15426;A
2020;ES613;5136;DIV;23.07981;A
2020;ES613;5138;DIV;19.36689;A
2020;ES613;5139;DIV;18.24638;A
2020;ES613;5140;DIV;26.98501;A
2020;ES613;5141;DIV;19.17461;A
2020;ES613;5142;DIV;10.97965;A
2020;ES613;5144;DIV;16.00536;A
2020;ES613;5145;DIV;2.97697;A
2020;ES613;5146;DIV;12.10016;A
2020;ES613;5149;DIV;8.93091;A
2020;ES613;5150;DIV;10.05142;A
2020;ES613;5151;DIV;5.02571;A
2020;ES613;5152;DIV;9.12319;A
2020;ES613;5153;DIV;7.07445;A
2020;ES613;5154;DIV;5.95394;A
2020;ES613;5155;DIV;2.97697;A
2020;ES613;5161;DIV;2.97697;A
2020;ES613;5163;DIV;2.04874;A
2020;ES613;5164;DIV;2.97697;A
2020;ES613;5175;DIV;2.04874;A
2020;ES614;5215;DIV;1333.9225;A
2020;ES614;5114;DIV;6.08043;A
2020;ES614;5126;DIV;25.20937;A
2020;ES614;5137;DIV;36.48258;A
2020;ES614;5148;DIV;50.35218;A
2020;ES614;5159;DIV;61.62539;A
2020;ES614;5170;DIV;61.62539;A
2020;ES614;5181;DIV;51.99436;A
2020;ES614;5192;DIV;21.65877;A
2020;ES614;5203;DIV;50.28562;A
2020;ES614;5214;DIV;30.33559;A
2020;ES614;5116;DIV;45.09284;A
