D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
1998;Turistas;18003022;A
1999;Turistas;18377037;A
2000;Turistas;18567863;A
2001;Turistas;20621052;A
2002;Turistas;20875367;A
2003;Turistas;21306548;A
2004;Turistas;21916602;A
2005;Turistas;23473145;A
2006;Turistas;25221896;A
2007;Turistas;25801467;A
2008;Turistas;25146117;A
2009;Turistas;21926400;A
2010;Turistas;21293968;A
2011;Turistas;21785012;A
2012;Turistas;21592852;A
2013;Turistas;22524276;A
2014;Turistas;24025646;A
2015;Turistas;26029241;A
2016;Turistas;28214287;A
2017;Turistas;29767804;A
2018;Turistas;30654795;A
2019;Turistas;32528662;A
2020;Turistas;13388773;A
2021;Turistas;20057009;A
1998;Tasa de variación interanual;-;A
1999;Tasa de variación interanual;2.077514222190248;A
2000;Tasa de variación interanual;1.0383937301681399;A
2001;Tasa de variación interanual;11.057756081031753;A
2002;Tasa de variación interanual;1.233278496175876;A
2003;Tasa de variación interanual;2.0655014113078805;A
2004;Tasa de variación interanual;2.863223080529099;A
2005;Tasa de variación interanual;7.102118293702592;A
2006;Tasa de variación interanual;7.450007231668359;A
2007;Tasa de variación interanual;2.2978883110079313;A
2008;Tasa de variación interanual;-2.5399718550984898;A
2009;Tasa de variación interanual;-12.804032527123526;A
2010;Tasa de variación interanual;-2.8843403386404636;A
2011;Tasa de variación interanual;2.3060239406769325;A
2012;Tasa de variación interanual;-0.8820743362279797;A
2013;Tasa de variación interanual;4.3135756221549615;A
2014;Tasa de variación interanual;6.665563856516407;A
2015;Tasa de variación interanual;8.339401154924897;A
2016;Tasa de variación interanual;8.39458207790231;A
2017;Tasa de variación interanual;5.506136442274989;A
2018;Tasa de variación interanual;2.9796972084890965;A
2019;Tasa de variación interanual;6.112804744208456;A
2020;Tasa de variación interanual;-58.84007602272312;A
2021;Tasa de variación interanual;49.80468393326497;A
