D_TEMPORAL_0;D_TIPO_ALOJAM_ECTA_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
1998;P1_00;3143;Estancia media;12.077384571;A
1998;6784;3143;Estancia media;8.255504384;A
1998;6785;3143;Estancia media;7.078372903;A
1998;6786;3143;Estancia media;22.073388992;A
1998;6787;3143;Estancia media;20.859584458;A
1998;6789;3143;Estancia media;9.062642392;A
1998;6790;3143;Estancia media;10.142047411;A
1998;6791;3143;Estancia media;8.963430892;A
1998;6792;3143;Estancia media;12.476174285;A
1999;P1_00;3143;Estancia media;10.504657378;A
1999;6784;3143;Estancia media;8.034758227;A
1999;6785;3143;Estancia media;6.76521079;A
1999;6786;3143;Estancia media;19.819927891;A
1999;6787;3143;Estancia media;19.748444868;A
1999;6789;3143;Estancia media;9.017717086;A
1999;6790;3143;Estancia media;9.076078362;A
1999;6791;3143;Estancia media;7.803021833;A
1999;6792;3143;Estancia media;9.489995772;A
2000;P1_00;3143;Estancia media;10.891765556;A
2000;6784;3143;Estancia media;5.641438446;A
2000;6785;3143;Estancia media;3.0333275;A
2000;6786;3143;Estancia media;21.514676148;A
2000;6787;3143;Estancia media;19.542037352;A
2000;6789;3143;Estancia media;8.670072292;A
2000;6790;3143;Estancia media;7.565258222;A
2000;6791;3143;Estancia media;4.558847248;A
2000;6792;3143;Estancia media;8.005737445;A
2001;P1_00;3143;Estancia media;11.434234686;A
2001;6784;3143;Estancia media;5.935408244;A
2001;6785;3143;Estancia media;3.827357511;A
2001;6786;3143;Estancia media;19.108885424;A
2001;6787;3143;Estancia media;22.683149802;A
2001;6789;3143;Estancia media;9.74450491;A
2001;6790;3143;Estancia media;7.891646792;A
2001;6791;3143;Estancia media;4.442904621;A
2001;6792;3143;Estancia media;6.412983472;A
2002;P1_00;3143;Estancia media;11.611062698;A
2002;6784;3143;Estancia media;5.809856303;A
2002;6785;3143;Estancia media;3.205812355;A
2002;6786;3143;Estancia media;17.616513466;A
2002;6787;3143;Estancia media;24.9804143;A
2002;6789;3143;Estancia media;9.360219539;A
2002;6790;3143;Estancia media;7.253379209;A
2002;6791;3143;Estancia media;3.350218309;A
2002;6792;3143;Estancia media;7.483267938;A
2003;P1_00;3143;Estancia media;10.532484337;A
2003;6784;3143;Estancia media;6.08562255;A
2003;6785;3143;Estancia media;4.041710098;A
2003;6786;3143;Estancia media;15.454988071;A
2003;6787;3143;Estancia media;23.666247353;A
2003;6789;3143;Estancia media;8.067358377;A
2003;6790;3143;Estancia media;4.906337067;A
2003;6791;3143;Estancia media;4.911494198;A
2003;6792;3143;Estancia media;6.760304217;A
2004;P1_00;3143;Estancia media;9.988952904;A
2004;6784;3143;Estancia media;4.966485753;A
2004;6785;3143;Estancia media;4.416391743;A
2004;6786;3143;Estancia media;18.980635455;A
2004;6787;3143;Estancia media;22.336428795;A
2004;6789;3143;Estancia media;7.87753498;A
2004;6790;3143;Estancia media;6.642035754;A
2004;6791;3143;Estancia media;3.616867118;A
2004;6792;3143;Estancia media;8.178280164;A
2005;P1_00;3143;Estancia media;7.618601926;A
2005;6784;3143;Estancia media;4.757628971;A
2005;6785;3143;Estancia media;4.597352463;A
2005;6786;3143;Estancia media;14.411991704;A
2005;6787;3143;Estancia media;14.289553939;A
2005;6789;3143;Estancia media;8.753800218;A
2005;6790;3143;Estancia media;5.7126456;A
2005;6791;3143;Estancia media;4.2445419;A
2005;6792;3143;Estancia media;5.403786497;A
2006;P1_00;3143;Estancia media;8.975502801;A
2006;6784;3143;Estancia media;5.333621825;A
2006;6785;3143;Estancia media;3.784431075;A
2006;6786;3143;Estancia media;17.919142161;A
2006;6787;3143;Estancia media;16.606604198;A
2006;6789;3143;Estancia media;7.435108106;A
2006;6790;3143;Estancia media;4.760096037;A
2006;6791;3143;Estancia media;3.096294474;A
2006;6792;3143;Estancia media;8.214789769;A
2007;P1_00;3143;Estancia media;8.225967735;A
2007;6784;3143;Estancia media;5.251891902;A
2007;6785;3143;Estancia media;3.642821088;A
2007;6786;3143;Estancia media;16.89792361;A
2007;6787;3143;Estancia media;15.604165468;A
2007;6789;3143;Estancia media;6.90583558;A
2007;6790;3143;Estancia media;6.238592077;A
2007;6791;3143;Estancia media;3.196117647;A
2007;6792;3143;Estancia media;6.88061203;A
2008;P1_00;3143;Estancia media;8.55107921;A
2008;6784;3143;Estancia media;5.79447922;A
2008;6785;3143;Estancia media;4.646188904;A
2008;6786;3143;Estancia media;14.951761105;A
2008;6787;3143;Estancia media;16.01183406;A
