D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
1998;P1_C01;Gasto medio diario;52.531877185;A
1998;2352;Gasto medio diario;31.302781879;A
1998;2402;Gasto medio diario;58.191613544;A
1998;2482;Gasto medio diario;54.108712671;A
1998;2713;Gasto medio diario;58.434630259;A
1998;2797;Gasto medio diario;34.148806131;A
1998;2911;Gasto medio diario;29.053618734;A
1998;3023;Gasto medio diario;60.758371681;A
1998;3142;Gasto medio diario;63.981130517;A
1999;P1_C01;Gasto medio diario;43.500212467;A
1999;2352;Gasto medio diario;30.985927653;A
1999;2402;Gasto medio diario;40.493954896;A
1999;2482;Gasto medio diario;42.548552798;A
1999;2713;Gasto medio diario;49.791860581;A
1999;2797;Gasto medio diario;27.426062398;A
1999;2911;Gasto medio diario;30.17476875;A
1999;3023;Gasto medio diario;43.204640647;A
1999;3142;Gasto medio diario;57.651543266;A
2000;P1_C01;Gasto medio diario;43.571978021;A
2000;2352;Gasto medio diario;34.704254357;A
2000;2402;Gasto medio diario;46.948645972;A
2000;2482;Gasto medio diario;60.293077601;A
2000;2713;Gasto medio diario;45.113280426;A
2000;2797;Gasto medio diario;29.731068498;A
2000;2911;Gasto medio diario;41.091693176;A
2000;3023;Gasto medio diario;36.677347272;A
2000;3142;Gasto medio diario;57.945190374;A
2001;P1_C01;Gasto medio diario;43.784255814;A
2001;2352;Gasto medio diario;34.074297036;A
2001;2402;Gasto medio diario;53.744237833;A
2001;2482;Gasto medio diario;54.789151443;A
2001;2713;Gasto medio diario;45.342519653;A
2001;2797;Gasto medio diario;33.670832899;A
2001;2911;Gasto medio diario;41.338952716;A
2001;3023;Gasto medio diario;33.451129594;A
2001;3142;Gasto medio diario;69.475882477;A
2002;P1_C01;Gasto medio diario;44.372753969;A
2002;2352;Gasto medio diario;32.939589789;A
2002;2402;Gasto medio diario;57.092465465;A
2002;2482;Gasto medio diario;54.681962927;A
2002;2713;Gasto medio diario;49.3233521;A
2002;2797;Gasto medio diario;34.56251929;A
2002;2911;Gasto medio diario;43.640300339;A
2002;3023;Gasto medio diario;31.772443001;A
2002;3142;Gasto medio diario;65.9105612;A
2003;P1_C01;Gasto medio diario;46.819149378;A
2003;2352;Gasto medio diario;34.922031479;A
2003;2402;Gasto medio diario;56.574051645;A
2003;2482;Gasto medio diario;50.998183771;A
2003;2713;Gasto medio diario;51.64756672;A
2003;2797;Gasto medio diario;33.398111072;A
2003;2911;Gasto medio diario;50.954601724;A
2003;3023;Gasto medio diario;36.965744927;A
2003;3142;Gasto medio diario;67.612408066;A
2004;P1_C01;Gasto medio diario;49.47593044;A
2004;2352;Gasto medio diario;39.375984538;A
2004;2402;Gasto medio diario;54.591623101;A
2004;2482;Gasto medio diario;41.897857371;A
2004;2713;Gasto medio diario;54.650140095;A
2004;2797;Gasto medio diario;40.309335064;A
2004;2911;Gasto medio diario;61.741136676;A
2004;3023;Gasto medio diario;40.615275891;A
2004;3142;Gasto medio diario;65.485514435;A
2005;P1_C01;Gasto medio diario;52.732449058;A
2005;2352;Gasto medio diario;50.058194009;A
2005;2402;Gasto medio diario;54.874940618;A
2005;2482;Gasto medio diario;42.001092001;A
2005;2713;Gasto medio diario;67.107079378;A
2005;2797;Gasto medio diario;43.866759204;A
2005;2911;Gasto medio diario;63.543196547;A
2005;3023;Gasto medio diario;39.784730657;A
2005;3142;Gasto medio diario;59.577057949;A
2006;P1_C01;Gasto medio diario;54.49967652;A
2006;2352;Gasto medio diario;51.965982414;A
2006;2402;Gasto medio diario;54.016318287;A
2006;2482;Gasto medio diario;50.181945522;A
2006;2713;Gasto medio diario;71.106580693;A
2006;2797;Gasto medio diario;47.615489963;A
2006;2911;Gasto medio diario;68.455466151;A
2006;3023;Gasto medio diario;46.819838812;A
2006;3142;Gasto medio diario;58.212218528;A
2007;P1_C01;Gasto medio diario;57.057841819;A
2007;2352;Gasto medio diario;52.53125849;A
2007;2402;Gasto medio diario;57.232246485;A
2007;2482;Gasto medio diario;59.568620241;A
2007;2713;Gasto medio diario;68.860867753;A
2007;2797;Gasto medio diario;49.04494044;A
2007;2911;Gasto medio diario;69.221162609;A
2007;3023;Gasto medio diario;51.421031922;A
2007;3142;Gasto medio diario;64.601704395;A
2008;P1_C01;Gasto medio diario;58.651936602;A
2008;2352;Gasto medio diario;56.200252195;A
2008;2402;Gasto medio diario;59.292857646;A
2008;2482;Gasto medio diario;65.693558772;A
2008;2713;Gasto medio diario;67.527492014;A
2008;2797;Gasto medio diario;49.709654647;A
2008;2911;Gasto medio diario;83.557798802;A
2008;3023;Gasto medio diario;51.702983115;A
2008;3142;Gasto medio diario;65.787500674;A
2009;P1_C01;Gasto medio diario;59.85006234;A
2009;2352;Gasto medio diario;58.184860169;A
2009;2402;Gasto medio diario;62.144747818;A
2009;2482;Gasto medio diario;74.560557935;A
2009;2713;Gasto medio diario;73.25171473;A
2009;2797;Gasto medio diario;47.630861932;A
2009;2911;Gasto medio diario;85.001388348;A
2009;3023;Gasto medio diario;48.984236453;A
2009;3142;Gasto medio diario;68.7565442;A
2010;P1_C01;Gasto medio diario;60.377524419;A
2010;2352;Gasto medio diario;52.833948168;A
2010;2402;Gasto medio diario;69.828334846;A
2010;2482;Gasto medio diario;64.665373728;A
2010;2713;Gasto medio diario;72.39555649;A
2010;2797;Gasto medio diario;47.249593821;A
2010;2911;Gasto medio diario;85.191376246;A
2010;3023;Gasto medio diario;47.396470896;A
2010;3142;Gasto medio diario;75.972076401;A
2011;P1_C01;Gasto medio diario;60.204573542;A
2011;2352;Gasto medio diario;46.415423759;A
2011;2402;Gasto medio diario;68.390074342;A
2011;2482;Gasto medio diario;56.308044211;A
2011;2713;Gasto medio diario;69.430257673;A
2011;2797;Gasto medio diario;46.911672394;A
2011;2911;Gasto medio diario;92.683056761;A
2011;3023;Gasto medio diario;51.520312432;A
2011;3142;Gasto medio diario;73.024861981;A
2012;P1_C01;Gasto medio diario;59.488804002;A
2012;2352;Gasto medio diario;44.210754631;A
2012;2402;Gasto medio diario;66.034707947;A
2012;2482;Gasto medio diario;52.510692712;A
2012;2713;Gasto medio diario;63.686227851;A
2012;2797;Gasto medio diario;50.268494562;A
2012;2911;Gasto medio diario;98.453523102;A
2012;3023;Gasto medio diario;53.476143726;A
2012;3142;Gasto medio diario;73.909124577;A
2013;P1_C01;Gasto medio diario;60.712808951;A
2013;2352;Gasto medio diario;48.240819188;A
2013;2402;Gasto medio diario;65.672276223;A
2013;2482;Gasto medio diario;54.90204721;A
2013;2713;Gasto medio diario;63.36956293;A
2013;2797;Gasto medio diario;54.650511678;A
2013;2911;Gasto medio diario;93.852290014;A
2013;3023;Gasto medio diario;55.877971653;A
2013;3142;Gasto medio diario;74.042212616;A
2014;P1_C01;Gasto medio diario;61.870534715;A
2014;2352;Gasto medio diario;52.393890685;A
2014;2402;Gasto medio diario;66.45263781;A
2014;2482;Gasto medio diario;57.595336607;A
2014;2713;Gasto medio diario;62.069613424;A
2014;2797;Gasto medio diario;55.033677834;A
2014;2911;Gasto medio diario;96.811667616;A
2014;3023;Gasto medio diario;55.687643178;A
2014;3142;Gasto medio diario;78.840886918;A
2015;P1_C01;Gasto medio diario;63.085036996;A
