D_TEMPORAL_0;D_TIPO_ALOJAM_ECTA_0;INDICATOR;OBS_VALUE;FREQ
1998;P1_00;% Viajes;100.000900742;A
1998;6784;% Viajes;46.748520234;A
1998;6785;% Viajes;5.117073033;A
1998;6786;% Viajes;13.417371243;A
1998;6787;% Viajes;12.949797471;A
1998;6788;% Viajes;1.29146082;A
1998;6789;% Viajes;12.515581777;A
1998;6790;% Viajes;2.873352562;A
1998;6791;% Viajes;1.562982533;A
1998;6792;% Viajes;3.524761071;A
1999;P1_00;% Viajes;100.0;A
1999;6784;% Viajes;44.865304658;A
1999;6785;% Viajes;7.8631028;A
1999;6786;% Viajes;13.731797367;A
1999;6787;% Viajes;12.223883801;A
1999;6788;% Viajes;1.43706046;A
1999;6789;% Viajes;12.157039192;A
1999;6790;% Viajes;3.159639012;A
1999;6791;% Viajes;1.422834983;A
1999;6792;% Viajes;3.139337728;A
2000;P1_00;% Viajes;100.0;A
2000;6784;% Viajes;50.991607212;A
2000;6785;% Viajes;6.620788781;A
2000;6786;% Viajes;11.393380446;A
2000;6787;% Viajes;8.276955647;A
2000;6788;% Viajes;1.283301271;A
2000;6789;% Viajes;10.877692401;A
2000;6790;% Viajes;3.191283071;A
2000;6791;% Viajes;1.534109765;A
2000;6792;% Viajes;3.002315798;A
2001;P1_00;% Viajes;100.0;A
2001;6784;% Viajes;47.03714435;A
2001;6785;% Viajes;8.770805866;A
2001;6786;% Viajes;11.314800187;A
2001;6787;% Viajes;9.997450743;A
2001;6788;% Viajes;1.460063824;A
2001;6789;% Viajes;12.169694655;A
2001;6790;% Viajes;3.859326132;A
2001;6791;% Viajes;2.246737453;A
2001;6792;% Viajes;3.143976792;A
2002;P1_00;% Viajes;100.0;A
2002;6784;% Viajes;45.802616795;A
2002;6785;% Viajes;11.88757981;A
2002;6786;% Viajes;9.164298781;A
2002;6787;% Viajes;10.716890727;A
2002;6788;% Viajes;0.722521847;A
2002;6789;% Viajes;14.153810431;A
2002;6790;% Viajes;4.108495378;A
2002;6791;% Viajes;1.58870712;A
2002;6792;% Viajes;1.855079111;A
2003;P1_00;% Viajes;100.0;A
2003;6784;% Viajes;48.447912704;A
2003;6785;% Viajes;8.379077028;A
2003;6786;% Viajes;11.043291391;A
2003;6787;% Viajes;9.520205882;A
2003;6788;% Viajes;0.498124362;A
2003;6789;% Viajes;13.953689218;A
2003;6790;% Viajes;3.046094811;A
2003;6791;% Viajes;1.697854115;A
2003;6792;% Viajes;3.413750491;A
2004;P1_00;% Viajes;100.0;A
2004;6784;% Viajes;54.334343056;A
2004;6785;% Viajes;3.647440124;A
2004;6786;% Viajes;11.227139248;A
2004;6787;% Viajes;8.392429811;A
2004;6788;% Viajes;0.432760649;A
2004;6789;% Viajes;11.493849767;A
2004;6790;% Viajes;3.260792636;A
2004;6791;% Viajes;3.493490199;A
2004;6792;% Viajes;3.717754508;A
2005;P1_00;% Viajes;99.999999999;A
2005;6784;% Viajes;61.697037218;A
2005;6785;% Viajes;5.011705185;A
2005;6786;% Viajes;5.990374955;A
2005;6787;% Viajes;6.572104411;A
2005;6788;% Viajes;0.681117775;A
2005;6789;% Viajes;9.286296275;A
2005;6790;% Viajes;3.17314437;A
2005;6791;% Viajes;2.18873608;A
2005;6792;% Viajes;5.399483729;A
2006;P1_00;% Viajes;100.0;A
2006;6784;% Viajes;55.510471259;A
2006;6785;% Viajes;6.573690097;A
2006;6786;% Viajes;5.367821848;A
2006;6787;% Viajes;8.608812644;A
2006;6789;% Viajes;11.844506964;A
2006;6790;% Viajes;4.07043055;A
2006;6791;% Viajes;2.869287606;A
2006;6792;% Viajes;5.15497903;A
2007;P1_00;% Viajes;100.0;A
2007;6784;% Viajes;55.751415478;A
2007;6785;% Viajes;7.131521004;A
2007;6786;% Viajes;8.133096009;A
2007;6787;% Viajes;7.68332633;A
2007;6789;% Viajes;14.16979861;A
2007;6790;% Viajes;3.856878031;A
2007;6791;% Viajes;0.812406379;A
2007;6792;% Viajes;2.461558158;A
2008;P1_00;% Viajes;100.0;A
2008;6784;% Viajes;57.239420145;A
2008;6785;% Viajes;7.176193807;A
2008;6786;% Viajes;8.586388804;A
2008;6787;% Viajes;8.202978778;A
2008;6789;% Viajes;12.790737956;A
2008;6790;% Viajes;3.790234879;A
2008;6791;% Viajes;0.749615789;A
2008;6792;% Viajes;1.464429841;A
2009;P1_00;% Viajes;100.0;A
2009;6784;% Viajes;60.042742709;A
2009;6785;% Viajes;6.918742376;A
2009;6786;% Viajes;7.329192306;A
2009;6787;% Viajes;8.637913451;A
2009;6789;% Viajes;11.480545995;A
2009;6790;% Viajes;4.207706035;A
2009;6791;% Viajes;0.413998541;A
2009;6792;% Viajes;0.969158589;A
2010;P1_00;% Viajes;100.000000001;A
2010;6784;% Viajes;62.538457131;A
2010;6785;% Viajes;6.529647888;A
2010;6786;% Viajes;6.657124818;A
2010;6787;% Viajes;8.10634553;A
2010;6789;% Viajes;10.388099896;A
2010;6790;% Viajes;3.902127135;A
2010;6791;% Viajes;0.407491208;A
2010;6792;% Viajes;1.470706394;A
2011;P1_00;% Viajes;100.0;A
2011;6784;% Viajes;63.434228557;A
2011;6785;% Viajes;6.359167608;A
2011;6786;% Viajes;7.35323754;A
2011;6787;% Viajes;7.071008583;A
2011;6789;% Viajes;10.431398617;A
2011;6790;% Viajes;3.71963869;A
2011;6791;% Viajes;0.349569139;A
2011;6792;% Viajes;1.281751267;A
2012;P1_00;% Viajes;100.000000001;A
2012;6784;% Viajes;59.745631544;A
2012;6785;% Viajes;5.740928025;A
2012;6786;% Viajes;8.333558856;A
2012;6787;% Viajes;8.302919626;A
2012;6789;% Viajes;12.796814045;A
2012;6790;% Viajes;3.18546194;A
2012;6791;% Viajes;0.294269571;A
2012;6792;% Viajes;1.600416395;A
2013;P1_00;% Viajes;100.0;A
2013;6784;% Viajes;61.507950172;A
2013;6785;% Viajes;5.917539783;A
2013;6786;% Viajes;7.059923191;A
2013;6787;% Viajes;7.89363297;A
2013;6789;% Viajes;12.490748269;A
2013;6790;% Viajes;3.242512363;A
2013;6791;% Viajes;0.235052013;A
2013;6792;% Viajes;1.652641238;A
2014;P1_00;% Viajes;100.0;A
2014;6784;% Viajes;59.500238147;A
2014;6785;% Viajes;5.648363845;A
2014;6786;% Viajes;7.683970441;A
2014;6787;% Viajes;8.397041991;A
2014;6789;% Viajes;13.522242583;A
2014;6790;% Viajes;3.128045489;A
2014;6791;% Viajes;0.214411161;A
2014;6792;% Viajes;1.905686342;A
2015;P1_00;% Viajes;100.0;A
2015;6784;% Viajes;58.875595635;A
2015;6785;% Viajes;5.867580018;A
2015;6786;% Viajes;9.021625173;A
2015;6787;% Viajes;7.597782566;A
2015;6789;% Viajes;13.140023627;A
2015;6790;% Viajes;3.246205713;A
2015;6791;% Viajes;0.418629091;A
2015;6792;% Viajes;1.832558179;A
2016;P1_00;% Viajes;99.999999999;A
2016;6784;% Viajes;57.523535719;A
2016;6785;% Viajes;5.976969621;A
2016;6786;% Viajes;10.212342323;A
2016;6787;% Viajes;7.725425104;A
2016;6789;% Viajes;13.201123703;A
2016;6790;% Viajes;3.105561775;A
2016;6791;% Viajes;0.230800279;A
2016;6792;% Viajes;2.024241476;A
2017;P1_00;% Viajes;100.000000001;A
2017;6784;% Viajes;57.065045043;A
2017;6785;% Viajes;6.208874015;A
2017;6786;% Viajes;13.832699248;A
2017;6787;% Viajes;5.810312696;A
2017;6789;% Viajes;10.686988856;A
2017;6790;% Viajes;2.924076489;A
2017;6791;% Viajes;0.566593321;A
2017;6792;% Viajes;2.905410336;A
2018;P1_00;% Viajes;100.0;A
2018;6784;% Viajes;57.412159523;A
2018;6785;% Viajes;5.865175982;A
2018;6786;% Viajes;14.377296181;A
2018;6787;% Viajes;6.338015124;A
2018;6789;% Viajes;9.713325228;A
2018;6790;% Viajes;2.938794081;A
2018;6791;% Viajes;0.269094614;A
2018;6792;% Viajes;3.086139267;A
2019;P1_00;% Viajes;100.0;A
2019;6784;% Viajes;56.892064759;A
2019;6785;% Viajes;6.019387781;A
2019;6786;% Viajes;14.870838851;A
2019;6787;% Viajes;5.05455477;A
2019;6789;% Viajes;10.752689026;A
2019;6790;% Viajes;3.067516417;A
2019;6791;% Viajes;0.542653171;A
2019;6792;% Viajes;2.800295221;A
2020;P1_00;% Viajes;99.999999999;A
2020;6784;% Viajes;51.863218126;A
2020;6785;% Viajes;5.898367661;A
2020;6786;% Viajes;18.887473058;A
2020;6787;% Viajes;6.257749089;A
2020;6789;% Viajes;8.561336837;A
2020;6790;% Viajes;4.107874279;A
2020;6791;% Viajes;0.241195839;A
2020;6792;% Viajes;4.182785111;A
2021;P1_00;% Viajes;100.0;A
2021;6784;% Viajes;54.129599005;A
2021;6785;% Viajes;4.933929011;A
2021;6786;% Viajes;17.159445917;A
2021;6787;% Viajes;5.243249365;A
2021;6789;% Viajes;9.734595985;A
2021;6790;% Viajes;5.299355657;A
2021;6791;% Viajes;0.332137819;A
2021;6792;% Viajes;3.167687238;A
