TEMPORAL;INDICATOR;OBS_VALUE;FREQ
1998;TURISTAS;18003022;A
1999;TURISTAS;18377037;A
2000;TURISTAS;18567863;A
2001;TURISTAS;20621052;A
2002;TURISTAS;20875367;A
2003;TURISTAS;21306548;A
2004;TURISTAS;21916602;A
2005;TURISTAS;23473145;A
2006;TURISTAS;25221896;A
2007;TURISTAS;25801467;A
2008;TURISTAS;25146117;A
2009;TURISTAS;21926400;A
2010;TURISTAS;21293968;A
2011;TURISTAS;21785012;A
2012;TURISTAS;21592852;A
2013;TURISTAS;22524276;A
2014;TURISTAS;24025646;A
2015;TURISTAS;26029241;A
2016;TURISTAS;28214287;A
2017;TURISTAS;29767804;A
2018;TURISTAS;30654795;A
2019;TURISTAS;32528662;A
2020;TURISTAS;13388773;A
2021;TURISTAS;20057009;A
1999;TASA_VARI_INTE;2.077514222190248;A
2000;TASA_VARI_INTE;1.0383937301681399;A
2001;TASA_VARI_INTE;11.057756081031753;A
2002;TASA_VARI_INTE;1.233278496175876;A
2003;TASA_VARI_INTE;2.0655014113078805;A
2004;TASA_VARI_INTE;2.863223080529099;A
2005;TASA_VARI_INTE;7.102118293702592;A
2006;TASA_VARI_INTE;7.450007231668359;A
2007;TASA_VARI_INTE;2.2978883110079313;A
2008;TASA_VARI_INTE;-2.5399718550984898;A
2009;TASA_VARI_INTE;-12.804032527123526;A
2010;TASA_VARI_INTE;-2.8843403386404636;A
2011;TASA_VARI_INTE;2.3060239406769325;A
2012;TASA_VARI_INTE;-0.8820743362279797;A
2013;TASA_VARI_INTE;4.3135756221549615;A
2014;TASA_VARI_INTE;6.665563856516407;A
2015;TASA_VARI_INTE;8.339401154924897;A
2016;TASA_VARI_INTE;8.39458207790231;A
2017;TASA_VARI_INTE;5.506136442274989;A
2018;TASA_VARI_INTE;2.9796972084890965;A
2019;TASA_VARI_INTE;6.112804744208456;A
2020;TASA_VARI_INTE;-58.84007602272312;A
2021;TASA_VARI_INTE;49.80468393326497;A
