TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
1998;ES61;GAST_MEDI_DIAR;52.531877185;A
1998;ES611;GAST_MEDI_DIAR;31.302781879;A
1998;ES612;GAST_MEDI_DIAR;58.191613544;A
1998;ES613;GAST_MEDI_DIAR;54.108712671;A
1998;ES614;GAST_MEDI_DIAR;58.434630259;A
1998;ES615;GAST_MEDI_DIAR;34.148806131;A
1998;ES616;GAST_MEDI_DIAR;29.053618734;A
1998;ES617;GAST_MEDI_DIAR;60.758371681;A
1998;ES618;GAST_MEDI_DIAR;63.981130517;A
1999;ES61;GAST_MEDI_DIAR;43.500212467;A
1999;ES611;GAST_MEDI_DIAR;30.985927653;A
1999;ES612;GAST_MEDI_DIAR;40.493954896;A
1999;ES613;GAST_MEDI_DIAR;42.548552798;A
1999;ES614;GAST_MEDI_DIAR;49.791860581;A
1999;ES615;GAST_MEDI_DIAR;27.426062398;A
1999;ES616;GAST_MEDI_DIAR;30.17476875;A
1999;ES617;GAST_MEDI_DIAR;43.204640647;A
1999;ES618;GAST_MEDI_DIAR;57.651543266;A
2000;ES61;GAST_MEDI_DIAR;43.571978021;A
2000;ES611;GAST_MEDI_DIAR;34.704254357;A
2000;ES612;GAST_MEDI_DIAR;46.948645972;A
2000;ES613;GAST_MEDI_DIAR;60.293077601;A
2000;ES614;GAST_MEDI_DIAR;45.113280426;A
2000;ES615;GAST_MEDI_DIAR;29.731068498;A
2000;ES616;GAST_MEDI_DIAR;41.091693176;A
2000;ES617;GAST_MEDI_DIAR;36.677347272;A
2000;ES618;GAST_MEDI_DIAR;57.945190374;A
2001;ES61;GAST_MEDI_DIAR;43.784255814;A
2001;ES611;GAST_MEDI_DIAR;34.074297036;A
2001;ES612;GAST_MEDI_DIAR;53.744237833;A
2001;ES613;GAST_MEDI_DIAR;54.789151443;A
2001;ES614;GAST_MEDI_DIAR;45.342519653;A
2001;ES615;GAST_MEDI_DIAR;33.670832899;A
2001;ES616;GAST_MEDI_DIAR;41.338952716;A
2001;ES617;GAST_MEDI_DIAR;33.451129594;A
2001;ES618;GAST_MEDI_DIAR;69.475882477;A
2002;ES61;GAST_MEDI_DIAR;44.372753969;A
2002;ES611;GAST_MEDI_DIAR;32.939589789;A
2002;ES612;GAST_MEDI_DIAR;57.092465465;A
2002;ES613;GAST_MEDI_DIAR;54.681962927;A
2002;ES614;GAST_MEDI_DIAR;49.3233521;A
2002;ES615;GAST_MEDI_DIAR;34.56251929;A
2002;ES616;GAST_MEDI_DIAR;43.640300339;A
2002;ES617;GAST_MEDI_DIAR;31.772443001;A
2002;ES618;GAST_MEDI_DIAR;65.9105612;A
2003;ES61;GAST_MEDI_DIAR;46.819149378;A
2003;ES611;GAST_MEDI_DIAR;34.922031479;A
2003;ES612;GAST_MEDI_DIAR;56.574051645;A
2003;ES613;GAST_MEDI_DIAR;50.998183771;A
2003;ES614;GAST_MEDI_DIAR;51.64756672;A
2003;ES615;GAST_MEDI_DIAR;33.398111072;A
2003;ES616;GAST_MEDI_DIAR;50.954601724;A
2003;ES617;GAST_MEDI_DIAR;36.965744927;A
2003;ES618;GAST_MEDI_DIAR;67.612408066;A
2004;ES61;GAST_MEDI_DIAR;49.47593044;A
2004;ES611;GAST_MEDI_DIAR;39.375984538;A
2004;ES612;GAST_MEDI_DIAR;54.591623101;A
2004;ES613;GAST_MEDI_DIAR;41.897857371;A
2004;ES614;GAST_MEDI_DIAR;54.650140095;A
2004;ES615;GAST_MEDI_DIAR;40.309335064;A
2004;ES616;GAST_MEDI_DIAR;61.741136676;A
2004;ES617;GAST_MEDI_DIAR;40.615275891;A
2004;ES618;GAST_MEDI_DIAR;65.485514435;A
2005;ES61;GAST_MEDI_DIAR;52.732449058;A
2005;ES611;GAST_MEDI_DIAR;50.058194009;A
2005;ES612;GAST_MEDI_DIAR;54.874940618;A
2005;ES613;GAST_MEDI_DIAR;42.001092001;A
2005;ES614;GAST_MEDI_DIAR;67.107079378;A
2005;ES615;GAST_MEDI_DIAR;43.866759204;A
2005;ES616;GAST_MEDI_DIAR;63.543196547;A
2005;ES617;GAST_MEDI_DIAR;39.784730657;A
2005;ES618;GAST_MEDI_DIAR;59.577057949;A
2006;ES61;GAST_MEDI_DIAR;54.49967652;A
2006;ES611;GAST_MEDI_DIAR;51.965982414;A
2006;ES612;GAST_MEDI_DIAR;54.016318287;A
2006;ES613;GAST_MEDI_DIAR;50.181945522;A
2006;ES614;GAST_MEDI_DIAR;71.106580693;A
2006;ES615;GAST_MEDI_DIAR;47.615489963;A
2006;ES616;GAST_MEDI_DIAR;68.455466151;A
2006;ES617;GAST_MEDI_DIAR;46.819838812;A
2006;ES618;GAST_MEDI_DIAR;58.212218528;A
2007;ES61;GAST_MEDI_DIAR;57.057841819;A
2007;ES611;GAST_MEDI_DIAR;52.53125849;A
2007;ES612;GAST_MEDI_DIAR;57.232246485;A
2007;ES613;GAST_MEDI_DIAR;59.568620241;A
2007;ES614;GAST_MEDI_DIAR;68.860867753;A
2007;ES615;GAST_MEDI_DIAR;49.04494044;A
2007;ES616;GAST_MEDI_DIAR;69.221162609;A
2007;ES617;GAST_MEDI_DIAR;51.421031922;A
2007;ES618;GAST_MEDI_DIAR;64.601704395;A
2008;ES61;GAST_MEDI_DIAR;58.651936602;A
2008;ES611;GAST_MEDI_DIAR;56.200252195;A
2008;ES612;GAST_MEDI_DIAR;59.292857646;A
2008;ES613;GAST_MEDI_DIAR;65.693558772;A
2008;ES614;GAST_MEDI_DIAR;67.527492014;A
2008;ES615;GAST_MEDI_DIAR;49.709654647;A
2008;ES616;GAST_MEDI_DIAR;83.557798802;A
2008;ES617;GAST_MEDI_DIAR;51.702983115;A
2008;ES618;GAST_MEDI_DIAR;65.787500674;A
2009;ES61;GAST_MEDI_DIAR;59.85006234;A
2009;ES611;GAST_MEDI_DIAR;58.184860169;A
2009;ES612;GAST_MEDI_DIAR;62.144747818;A
2009;ES613;GAST_MEDI_DIAR;74.560557935;A
2009;ES614;GAST_MEDI_DIAR;73.25171473;A
2009;ES615;GAST_MEDI_DIAR;47.630861932;A
2009;ES616;GAST_MEDI_DIAR;85.001388348;A
2009;ES617;GAST_MEDI_DIAR;48.984236453;A
2009;ES618;GAST_MEDI_DIAR;68.7565442;A
2010;ES61;GAST_MEDI_DIAR;60.377524419;A
2010;ES611;GAST_MEDI_DIAR;52.833948168;A
2010;ES612;GAST_MEDI_DIAR;69.828334846;A
2010;ES613;GAST_MEDI_DIAR;64.665373728;A
2010;ES614;GAST_MEDI_DIAR;72.39555649;A
2010;ES615;GAST_MEDI_DIAR;47.249593821;A
2010;ES616;GAST_MEDI_DIAR;85.191376246;A
2010;ES617;GAST_MEDI_DIAR;47.396470896;A
2010;ES618;GAST_MEDI_DIAR;75.972076401;A
2011;ES61;GAST_MEDI_DIAR;60.204573542;A
2011;ES611;GAST_MEDI_DIAR;46.415423759;A
2011;ES612;GAST_MEDI_DIAR;68.390074342;A
2011;ES613;GAST_MEDI_DIAR;56.308044211;A
2011;ES614;GAST_MEDI_DIAR;69.430257673;A
2011;ES615;GAST_MEDI_DIAR;46.911672394;A
2011;ES616;GAST_MEDI_DIAR;92.683056761;A
2011;ES617;GAST_MEDI_DIAR;51.520312432;A
2011;ES618;GAST_MEDI_DIAR;73.024861981;A
2012;ES61;GAST_MEDI_DIAR;59.488804002;A
2012;ES611;GAST_MEDI_DIAR;44.210754631;A
2012;ES612;GAST_MEDI_DIAR;66.034707947;A
2012;ES613;GAST_MEDI_DIAR;52.510692712;A
2012;ES614;GAST_MEDI_DIAR;63.686227851;A
2012;ES615;GAST_MEDI_DIAR;50.268494562;A
2012;ES616;GAST_MEDI_DIAR;98.453523102;A
2012;ES617;GAST_MEDI_DIAR;53.476143726;A
2012;ES618;GAST_MEDI_DIAR;73.909124577;A
2013;ES61;GAST_MEDI_DIAR;60.712808951;A
2013;ES611;GAST_MEDI_DIAR;48.240819188;A
2013;ES612;GAST_MEDI_DIAR;65.672276223;A
2013;ES613;GAST_MEDI_DIAR;54.90204721;A
2013;ES614;GAST_MEDI_DIAR;63.36956293;A
2013;ES615;GAST_MEDI_DIAR;54.650511678;A
2013;ES616;GAST_MEDI_DIAR;93.852290014;A
2013;ES617;GAST_MEDI_DIAR;55.877971653;A
2013;ES618;GAST_MEDI_DIAR;74.042212616;A
2014;ES61;GAST_MEDI_DIAR;61.870534715;A
2014;ES611;GAST_MEDI_DIAR;52.393890685;A
2014;ES612;GAST_MEDI_DIAR;66.45263781;A
2014;ES613;GAST_MEDI_DIAR;57.595336607;A
2014;ES614;GAST_MEDI_DIAR;62.069613424;A
2014;ES615;GAST_MEDI_DIAR;55.033677834;A
2014;ES616;GAST_MEDI_DIAR;96.811667616;A
2014;ES617;GAST_MEDI_DIAR;55.687643178;A
2014;ES618;GAST_MEDI_DIAR;78.840886918;A
2015;ES61;GAST_MEDI_DIAR;63.085036996;A
2015;ES611;GAST_MEDI_DIAR;52.586169423;A
2015;ES612;GAST_MEDI_DIAR;67.21237379;A
2015;ES613;GAST_MEDI_DIAR;56.035267556;A
2015;ES614;GAST_MEDI_DIAR;63.597169355;A
2015;ES615;GAST_MEDI_DIAR;51.840323225;A
2015;ES616;GAST_MEDI_DIAR;87.557144308;A
2015;ES617;GAST_MEDI_DIAR;55.024505483;A
2015;ES618;GAST_MEDI_DIAR;82.657717861;A
2016;ES61;GAST_MEDI_DIAR;64.699298471;A
2016;ES611;GAST_MEDI_DIAR;56.551163057;A
2016;ES612;GAST_MEDI_DIAR;69.957578995;A
2016;ES613;GAST_MEDI_DIAR;58.954559448;A
2016;ES614;GAST_MEDI_DIAR;65.747362575;A
2016;ES615;GAST_MEDI_DIAR;54.486706708;A
2016;ES616;GAST_MEDI_DIAR;92.120199003;A
2016;ES617;GAST_MEDI_DIAR;57.973021713;A
2016;ES618;GAST_MEDI_DIAR;81.768880489;A
2017;ES61;GAST_MEDI_DIAR;66.087783156;A
2017;ES611;GAST_MEDI_DIAR;60.313873104;A
2017;ES612;GAST_MEDI_DIAR;69.582114743;A
2017;ES613;GAST_MEDI_DIAR;62.155433141;A
2017;ES614;GAST_MEDI_DIAR;66.183815811;A
2017;ES615;GAST_MEDI_DIAR;58.216734881;A
2017;ES616;GAST_MEDI_DIAR;82.310266767;A
2017;ES617;GAST_MEDI_DIAR;61.880898465;A
2017;ES618;GAST_MEDI_DIAR;78.893224038;A
2018;ES61;GAST_MEDI_DIAR;66.757279363;A
2018;ES611;GAST_MEDI_DIAR;61.494837843;A
2018;ES612;GAST_MEDI_DIAR;70.970218721;A
2018;ES613;GAST_MEDI_DIAR;63.937469635;A
2018;ES614;GAST_MEDI_DIAR;70.416129175;A
2018;ES615;GAST_MEDI_DIAR;58.618354621;A
2018;ES616;GAST_MEDI_DIAR;85.194470227;A
2018;ES617;GAST_MEDI_DIAR;61.367194563;A
2018;ES618;GAST_MEDI_DIAR;75.988011637;A
2019;ES61;GAST_MEDI_DIAR;67.566358632;A
2019;ES611;GAST_MEDI_DIAR;63.14161132;A
