D_TEMPORAL_0;D_TIPO_EMPRESA_0;D_TIPO_PERSONAL_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2008;215125;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;23227.16169516;A
2008;215125;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;9417.534693195;A
2008;215125;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;13809.627001965;A
2008;215125;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;13776.938047588;A
2008;215125;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;5358.979608325;A
2008;215125;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;8417.958439263;A
2008;215125;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;4848.153077591;A
2008;215125;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;1960.015043834;A
2008;215125;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;2888.138033757;A
2008;215125;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;4602.070569981;A
2008;215125;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;2098.540041036;A
2008;215125;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;2503.530528945;A
2008;215117;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;5683.0;A
2008;215117;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;2641.8;A
2008;215117;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;3041.2;A
2008;215117;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;2929.3;A
2008;215117;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;1358.0;A
2008;215117;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;1571.3;A
2008;215117;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;902.061703542;A
2008;215117;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;461.15194386;A
2008;215117;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;440.909759682;A
2008;215117;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1851.638296458;A
2008;215117;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;822.64805614;A
2008;215117;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;1028.990240318;A
2008;215120;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;11206.9;A
2008;215120;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;4879.7;A
2008;215120;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;6327.2;A
2008;215120;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;7989.8;A
2008;215120;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;3195.1;A
2008;215120;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;4794.7;A
2008;215120;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;1761.9;A
