D_TEMPORAL_0;D_TIPO_PERSONAL_0;D_TIPO_EMPRESA_0;D_DISCIPLINA_0;D_SEXO_0;D_TERRITORIO_0;D_TIPO_ESTAB_0;D_ESTUDIOS_0;INDICATOR;OBS_VALUE;FREQ
2008;215154;215117;215132;3691;3143;213227;215166;Personas;4644.000000002;A
2008;215154;215117;215132;3689;3143;213227;215166;Personas;2550.0;A
2008;215154;215117;215132;3690;3143;213227;215166;Personas;2094.000000002;A
2008;215154;215117;215126;3691;3143;213227;215166;Personas;82.000000001;A
2008;215154;215117;215126;3689;3143;213227;215166;Personas;44.197737048;A
2008;215154;215117;215126;3690;3143;213227;215166;Personas;37.802262953;A
2008;215154;215117;215127;3691;3143;213227;215166;Personas;278.0;A
2008;215154;215117;215127;3689;3143;213227;215166;Personas;214.923994594;A
2008;215154;215117;215127;3690;3143;213227;215166;Personas;63.076005406;A
2008;215154;215117;215128;3691;3143;213227;215166;Personas;2688.0;A
2008;215154;215117;215128;3689;3143;213227;215166;Personas;1360.120444278;A
2008;215154;215117;215128;3690;3143;213227;215166;Personas;1327.879555722;A
2008;215154;215117;215129;3691;3143;213227;215166;Personas;1188.0;A
2008;215154;215117;215129;3689;3143;213227;215166;Personas;728.93;A
2008;215154;215117;215129;3690;3143;213227;215166;Personas;459.07;A
2008;215154;215117;215130;3691;3143;213227;215166;Personas;326.000000001;A
2008;215154;215117;215130;3689;3143;213227;215166;Personas;157.391884734;A
2008;215154;215117;215130;3690;3143;213227;215166;Personas;168.608115267;A
2008;215154;215117;215131;3691;3143;213227;215166;Personas;82.0;A
2008;215154;215117;215131;3689;3143;213227;215166;Personas;44.435939346;A
2008;215154;215117;215131;3690;3143;213227;215166;Personas;37.564060654;A
2008;215154;215120;215132;3691;3143;213227;215166;Personas;24720.000000001;A
2008;215154;215120;215132;3689;3143;213227;215166;Personas;14875.0;A
2008;215154;215120;215132;3690;3143;213227;215166;Personas;9845.000000001;A
2008;215154;215120;215126;3691;3143;213227;215166;Personas;5115.0;A
2008;215154;215120;215126;3689;3143;213227;215166;Personas;3069.850954273;A
2008;215154;215120;215126;3690;3143;213227;215166;Personas;2045.149045727;A
2008;215154;215120;215127;3691;3143;213227;215166;Personas;4554.0;A
2008;215154;215120;215127;3689;3143;213227;215166;Personas;2768.179792382;A
2008;215154;215120;215127;3690;3143;213227;215166;Personas;1785.820207618;A
2008;215154;215120;215128;3691;3143;213227;215166;Personas;3791.0;A
2008;215154;215120;215128;3689;3143;213227;215166;Personas;2299.329122665;A
2008;215154;215120;215128;3690;3143;213227;215166;Personas;1491.670877335;A
2008;215154;215120;215129;3691;3143;213227;215166;Personas;746.0;A
2008;215154;215120;215129;3689;3143;213227;215166;Personas;447.450362476;A
2008;215154;215120;215129;3690;3143;213227;215166;Personas;298.549637524;A
2008;215154;215120;215130;3691;3143;213227;215166;Personas;6011.999999999;A
2008;215154;215120;215130;3689;3143;213227;215166;Personas;3571.272520385;A
2008;215154;215120;215130;3690;3143;213227;215166;Personas;2440.727479614;A
2008;215154;215120;215131;3691;3143;213227;215166;Personas;4502.000000002;A
2008;215154;215120;215131;3689;3143;213227;215166;Personas;2718.917247819;A
2008;215154;215120;215131;3690;3143;213227;215166;Personas;1783.082752183;A
2008;215154;215122;215132;3691;3143;213227;215166;Personas;31.0;A
2008;215154;215122;215132;3689;3143;213227;215166;Personas;9.0;A
2008;215154;215122;215132;3690;3143;213227;215166;Personas;22.0;A
2008;215154;215122;215126;3691;3143;213227;215166;Personas;;A
2008;215154;215122;215126;3689;3143;213227;215166;Personas;;A
2008;215154;215122;215126;3690;3143;213227;215166;Personas;;A
2008;215154;215122;215127;3691;3143;213227;215166;Personas;;A
2008;215154;215122;215127;3689;3143;213227;215166;Personas;;A
2008;215154;215122;215127;3690;3143;213227;215166;Personas;;A
2008;215154;215122;215128;3691;3143;213227;215166;Personas;;A
2008;215154;215122;215128;3689;3143;213227;215166;Personas;;A
2008;215154;215122;215128;3690;3143;213227;215166;Personas;;A
2008;215154;215122;215129;3691;3143;213227;215166;Personas;;A
2008;215154;215122;215129;3689;3143;213227;215166;Personas;;A
2008;215154;215122;215129;3690;3143;213227;215166;Personas;;A
