D_TEMPORAL_0;D_CNAE09_0;D_PUB_PRIV_0;D_TERRITORIO_0;D_TIPO_EMPRESA_0;D_TIPO_ESTAB_0;INDICATOR;OBS_VALUE;FREQ
2008;7109;215134;3143;215124;213227;Unidades;3.3;A
2008;7109;215135;3143;215124;213227;Unidades;;A
2008;7109;215136;3143;215124;213227;Unidades;3.3;A
2008;217302;215134;3143;215124;213227;Unidades;71.091675767;A
2008;217302;215135;3143;215124;213227;Unidades;;A
2008;217302;215136;3143;215124;213227;Unidades;71.091675767;A
2008;217304;215134;3143;215124;213227;Unidades;8.671310116;A
2008;217304;215135;3143;215124;213227;Unidades;;A
2008;217304;215136;3143;215124;213227;Unidades;8.671310116;A
2008;217305;215134;3143;215124;213227;Unidades;8.599221451;A
2008;217305;215135;3143;215124;213227;Unidades;;A
2008;217305;215136;3143;215124;213227;Unidades;8.599221451;A
2008;217306;215134;3143;215124;213227;Unidades;57.793510716;A
2008;217306;215135;3143;215124;213227;Unidades;;A
2008;217306;215136;3143;215124;213227;Unidades;57.793510716;A
2008;217307;215134;3143;215124;213227;Unidades;18.237548659;A
2008;217307;215135;3143;215124;213227;Unidades;;A
2008;217307;215136;3143;215124;213227;Unidades;18.237548659;A
2008;217308;215134;3143;215124;213227;Unidades;43.990006065;A
2008;217308;215135;3143;215124;213227;Unidades;;A
2008;217308;215136;3143;215124;213227;Unidades;43.990006065;A
2008;217309;215134;3143;215124;213227;Unidades;17.515245252;A
2008;217309;215135;3143;215124;213227;Unidades;;A
2008;217309;215136;3143;215124;213227;Unidades;17.515245252;A
2008;217310;215134;3143;215124;213227;Unidades;22.8224026;A
2008;217310;215135;3143;215124;213227;Unidades;;A
2008;217310;215136;3143;215124;213227;Unidades;22.8224026;A
2008;217311;215134;3143;215124;213227;Unidades;9.853840481;A
2008;217311;215135;3143;215124;213227;Unidades;;A
2008;217311;215136;3143;215124;213227;Unidades;9.853840481;A
2008;217312;215134;3143;215124;213227;Unidades;31.051537936;A
2008;217312;215135;3143;215124;213227;Unidades;;A
2008;217312;215136;3143;215124;213227;Unidades;31.051537936;A
2008;217313;215134;3143;215124;213227;Unidades;9.641840706;A
2008;217313;215135;3143;215124;213227;Unidades;;A
2008;217313;215136;3143;215124;213227;Unidades;9.641840706;A
2008;217314;215134;3143;215124;213227;Unidades;7.72180451;A
2008;217314;215135;3143;215124;213227;Unidades;;A
2008;217314;215136;3143;215124;213227;Unidades;7.72180451;A
2008;217315;215134;3143;215124;213227;Unidades;7.310405642;A
2008;217315;215135;3143;215124;213227;Unidades;1.071428571;A
2008;217315;215136;3143;215124;213227;Unidades;6.238977071;A
2008;217316;215134;3143;215124;213227;Unidades;7.783681215;A
2008;217316;215135;3143;215124;213227;Unidades;;A
2008;217316;215136;3143;215124;213227;Unidades;7.783681215;A
2008;7605;215134;3143;215124;213227;Unidades;6.343976777;A
2008;7605;215135;3143;215124;213227;Unidades;;A
2008;7605;215136;3143;215124;213227;Unidades;6.343976777;A
2008;7627;215134;3143;215124;213227;Unidades;8.833333334;A
2008;7627;215135;3143;215124;213227;Unidades;3.0;A
2008;7627;215136;3143;215124;213227;Unidades;5.833333334;A
2008;7661;215134;3143;215124;213227;Unidades;12.353501553;A
2008;7661;215135;3143;215124;213227;Unidades;2.08;A
2008;7661;215136;3143;215124;213227;Unidades;10.273501553;A
2009;7109;215134;3143;215124;213227;Unidades;6.39702381;A
2009;7109;215135;3143;215124;213227;Unidades;;A
2009;7109;215136;3143;215124;213227;Unidades;6.39702381;A
2009;217302;215134;3143;215124;213227;Unidades;61.150156578;A
2009;217302;215135;3143;215124;213227;Unidades;;A
2009;217302;215136;3143;215124;213227;Unidades;61.150156578;A
2009;217304;215134;3143;215124;213227;Unidades;9.061641132;A
2009;217304;215135;3143;215124;213227;Unidades;;A
2009;217304;215136;3143;215124;213227;Unidades;9.061641132;A
2009;217305;215134;3143;215124;213227;Unidades;12.272404834;A
2009;217305;215135;3143;215124;213227;Unidades;;A
2009;217305;215136;3143;215124;213227;Unidades;12.272404834;A
2009;217306;215134;3143;215124;213227;Unidades;52.693179983;A
2009;217306;215135;3143;215124;213227;Unidades;;A
2009;217306;215136;3143;215124;213227;Unidades;52.693179983;A
2009;217307;215134;3143;215124;213227;Unidades;17.292200809;A
2009;217307;215135;3143;215124;213227;Unidades;;A
2009;217307;215136;3143;215124;213227;Unidades;17.292200809;A
2009;217308;215134;3143;215124;213227;Unidades;21.362987565;A
2009;217308;215135;3143;215124;213227;Unidades;;A
2009;217308;215136;3143;215124;213227;Unidades;21.362987565;A
2009;217309;215134;3143;215124;213227;Unidades;42.489726009;A
2009;217309;215135;3143;215124;213227;Unidades;;A
2009;217309;215136;3143;215124;213227;Unidades;42.489726009;A
2009;217310;215134;3143;215124;213227;Unidades;17.098387101;A
2009;217310;215135;3143;215124;213227;Unidades;;A
2009;217310;215136;3143;215124;213227;Unidades;17.098387101;A
2009;217311;215134;3143;215124;213227;Unidades;6.320221153;A
2009;217311;215135;3143;215124;213227;Unidades;;A
2009;217311;215136;3143;215124;213227;Unidades;6.320221153;A
2009;217312;215134;3143;215124;213227;Unidades;28.958672395;A
2009;217312;215135;3143;215124;213227;Unidades;1.163043478;A
2009;217312;215136;3143;215124;213227;Unidades;27.795628917;A
