TEMPORAL;TIPO_EMPRESA;TIPO_PERSONAL;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2008;215125;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;23227.16169516;A
2008;215125;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;9417.534693195;A
2008;215125;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;13809.627001965;A
2008;215125;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;13776.938047588;A
2008;215125;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5358.979608325;A
2008;215125;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8417.958439263;A
2008;215125;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4848.153077591;A
2008;215125;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1960.015043834;A
2008;215125;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2888.138033757;A
2008;215125;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4602.070569981;A
2008;215125;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2098.540041036;A
2008;215125;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2503.530528945;A
2008;215117;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5683.0;A
2008;215117;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2641.8;A
2008;215117;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3041.2;A
2008;215117;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2929.3;A
2008;215117;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1358.0;A
2008;215117;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1571.3;A
2008;215117;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;902.061703542;A
2008;215117;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;461.15194386;A
2008;215117;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;440.909759682;A
2008;215117;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1851.638296458;A
2008;215117;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;822.64805614;A
2008;215117;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1028.990240318;A
2008;215120;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;11206.9;A
2008;215120;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4879.7;A
2008;215120;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6327.2;A
2008;215120;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;7989.8;A
2008;215120;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3195.1;A
2008;215120;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4794.7;A
2008;215120;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1761.9;A
2008;215120;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;846.1;A
2008;215120;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;915.8;A
2008;215120;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1455.2;A
2008;215120;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;838.5;A
2008;215120;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;616.7;A
2008;215122;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;21.8;A
2008;215122;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;16.7;A
2008;215122;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5.1;A
2008;215122;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;9.7;A
2008;215122;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8.1;A
2008;215122;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1.6;A
2008;215122;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;10.575;A
2008;215122;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;7.6;A
2008;215122;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2.975;A
2008;215122;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1.525;A
2008;215122;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1.0;A
2008;215122;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;0.525;A
2008;215124;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6315.46169516;A
2008;215124;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1879.334693195;A
2008;215124;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4436.127001965;A
2008;215124;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2848.138047588;A
2008;215124;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;797.779608325;A
2008;215124;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2050.358439263;A
2008;215124;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2173.616374049;A
2008;215124;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;645.163099974;A
2008;215124;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1528.453274075;A
2008;215124;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1293.707273523;A
2008;215124;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;436.391984896;A
2008;215124;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;857.315288627;A
2009;215125;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;24766.680661277;A
2009;215125;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;10131.580281206;A
2009;215125;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;14635.100380071;A
2009;215125;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;14665.866612943;A
2009;215125;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5790.570498699;A
2009;215125;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8875.296114244;A
2009;215125;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6125.837285651;A
2009;215125;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2607.338839628;A
2009;215125;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3518.498446023;A
2009;215125;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3974.976762683;A
2009;215125;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1733.670942879;A
2009;215125;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2241.305819804;A
2009;215117;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6099.0;A
2009;215117;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2905.6;A
2009;215117;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3193.4;A
2009;215117;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3345.6;A
2009;215117;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1575.6;A
2009;215117;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1770.0;A
2009;215117;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1762.026777312;A
2009;215117;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;922.874113336;A
2009;215117;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;839.152663976;A
2009;215117;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;991.373222688;A
2009;215117;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;407.125886664;A
2009;215117;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;584.247336024;A
2009;215120;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;11679.1;A
2009;215120;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5148.1;A
2009;215120;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6531.0;A
2009;215120;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8133.5;A
2009;215120;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3273.5;A
2009;215120;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4860.0;A
2009;215120;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1956.5;A
2009;215120;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;975.4;A
2009;215120;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;981.1;A
2009;215120;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1589.1;A
2009;215120;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;899.2;A
2009;215120;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;689.9;A
2009;215122;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;66.2;A
2009;215122;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;34.7;A
2009;215122;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;31.5;A
2009;215122;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;24.6;A
2009;215122;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;10.7;A
2009;215122;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;13.9;A
2009;215122;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;23.3;A
2009;215122;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;12.7;A
2009;215122;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;10.6;A
2009;215122;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;18.3;A
2009;215122;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;11.3;A
2009;215122;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;7.0;A
2009;215124;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6922.380661277;A
2009;215124;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2043.180281206;A
2009;215124;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4879.200380071;A
2009;215124;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3162.166612943;A
2009;215124;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;930.770498699;A
2009;215124;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2231.396114244;A
2009;215124;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2384.010508339;A
2009;215124;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;696.364726292;A
2009;215124;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1687.645782047;A
2009;215124;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1376.203539995;A
2009;215124;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;416.045056215;A
2009;215124;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;960.15848378;A
2010;215125;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;25774.028450492;A
2010;215125;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;10312.580519725;A
2010;215125;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;15461.447930767;A
2010;215125;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;15064.305484567;A
2010;215125;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5743.598057286;A
2010;215125;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;9320.707427281;A
2010;215125;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;7046.090013948;A
2010;215125;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2922.811793662;A
2010;215125;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4123.278220286;A
2010;215125;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3663.632951977;A
2010;215125;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1646.170668777;A
2010;215125;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2017.4622832;A
2010;215117;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6141.8;A
2010;215117;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2905.2;A
2010;215117;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3236.6;A
2010;215117;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3268.5;A
2010;215117;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1471.7;A
2010;215117;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1796.8;A
2010;215117;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2188.906045186;A
2010;215117;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1065.150531099;A
