TEMPORAL;TIPO_EMPRESA;NAT_GASTO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2008;215125;215185;ES61;IMPORTE;1538946.8076007024;A
2008;215125;215177;ES61;IMPORTE;1229204.2899545273;A
2008;215125;215183;ES61;IMPORTE;309742.5176461753;A
2008;215117;215185;ES61;IMPORTE;361330.02;A
2008;215117;215177;ES61;IMPORTE;289824.83853490296;A
2008;215117;215183;ES61;IMPORTE;71505.18146509705;A
2008;215120;215185;ES61;IMPORTE;661049.3200000001;A
2008;215120;215177;ES61;IMPORTE;545861.4346533334;A
2008;215120;215183;ES61;IMPORTE;115187.88534666652;A
2008;215122;215185;ES61;IMPORTE;955.227;A
2008;215122;215177;ES61;IMPORTE;726.686401281961;A
2008;215122;215183;ES61;IMPORTE;228.540598718039;A
2008;215124;215185;ES61;IMPORTE;515612.2406007024;A
2008;215124;215177;ES61;IMPORTE;392791.33036500873;A
2008;215124;215183;ES61;IMPORTE;122820.9102356937;A
2009;215125;215185;ES61;IMPORTE;1578084.9350913574;A
2009;215125;215177;ES61;IMPORTE;1349163.5002554301;A
2009;215125;215183;ES61;IMPORTE;228921.43483592768;A
2009;215117;215185;ES61;IMPORTE;390854.693;A
2009;215117;215177;ES61;IMPORTE;320430.7120719139;A
2009;215117;215183;ES61;IMPORTE;70423.9809280861;A
2009;215120;215185;ES61;IMPORTE;683680.1240000001;A
2009;215120;215177;ES61;IMPORTE;594635.5848604323;A
2009;215120;215183;ES61;IMPORTE;89044.5391395677;A
2009;215122;215185;ES61;IMPORTE;2078.634;A
2009;215122;215177;ES61;IMPORTE;2036.651662262817;A
2009;215122;215183;ES61;IMPORTE;41.982337737183;A
2009;215124;215185;ES61;IMPORTE;501471.4840913576;A
2009;215124;215177;ES61;IMPORTE;432060.55166082084;A
2009;215124;215183;ES61;IMPORTE;69410.9324305367;A
2010;215125;215185;ES61;IMPORTE;1726765.7347606674;A
2010;215125;215177;ES61;IMPORTE;1427407.7532760918;A
2010;215125;215183;ES61;IMPORTE;299357.98148457566;A
