TEMPORAL;TIPO_PERSONAL;TIPO_EMPRESA;DISCIPLINA;SEXO;TERRITORIO;TIPO_ESTAB;ESTUDIOS;INDICATOR;OBS_VALUE;FREQ
2008;215154;215117;215132;_T;ES61;213227;_Z;PERSONAS;4644.000000002;A
2008;215154;215117;215132;M;ES61;213227;_Z;PERSONAS;2550.0;A
2008;215154;215117;215132;F;ES61;213227;_Z;PERSONAS;2094.000000002;A
2008;215154;215117;215126;_T;ES61;213227;_Z;PERSONAS;82.000000001;A
2008;215154;215117;215126;M;ES61;213227;_Z;PERSONAS;44.197737048;A
2008;215154;215117;215126;F;ES61;213227;_Z;PERSONAS;37.802262953;A
2008;215154;215117;215127;_T;ES61;213227;_Z;PERSONAS;278.0;A
2008;215154;215117;215127;M;ES61;213227;_Z;PERSONAS;214.923994594;A
2008;215154;215117;215127;F;ES61;213227;_Z;PERSONAS;63.076005406;A
2008;215154;215117;215128;_T;ES61;213227;_Z;PERSONAS;2688.0;A
2008;215154;215117;215128;M;ES61;213227;_Z;PERSONAS;1360.120444278;A
2008;215154;215117;215128;F;ES61;213227;_Z;PERSONAS;1327.879555722;A
2008;215154;215117;215129;_T;ES61;213227;_Z;PERSONAS;1188.0;A
2008;215154;215117;215129;M;ES61;213227;_Z;PERSONAS;728.93;A
2008;215154;215117;215129;F;ES61;213227;_Z;PERSONAS;459.07;A
2008;215154;215117;215130;_T;ES61;213227;_Z;PERSONAS;326.000000001;A
2008;215154;215117;215130;M;ES61;213227;_Z;PERSONAS;157.391884734;A
2008;215154;215117;215130;F;ES61;213227;_Z;PERSONAS;168.608115267;A
2008;215154;215117;215131;_T;ES61;213227;_Z;PERSONAS;82.0;A
2008;215154;215117;215131;M;ES61;213227;_Z;PERSONAS;44.435939346;A
2008;215154;215117;215131;F;ES61;213227;_Z;PERSONAS;37.564060654;A
2008;215154;215120;215132;_T;ES61;213227;_Z;PERSONAS;24720.000000001;A
2008;215154;215120;215132;M;ES61;213227;_Z;PERSONAS;14875.0;A
2008;215154;215120;215132;F;ES61;213227;_Z;PERSONAS;9845.000000001;A
2008;215154;215120;215126;_T;ES61;213227;_Z;PERSONAS;5115.0;A
2008;215154;215120;215126;M;ES61;213227;_Z;PERSONAS;3069.850954273;A
2008;215154;215120;215126;F;ES61;213227;_Z;PERSONAS;2045.149045727;A
2008;215154;215120;215127;_T;ES61;213227;_Z;PERSONAS;4554.0;A
2008;215154;215120;215127;M;ES61;213227;_Z;PERSONAS;2768.179792382;A
2008;215154;215120;215127;F;ES61;213227;_Z;PERSONAS;1785.820207618;A
2008;215154;215120;215128;_T;ES61;213227;_Z;PERSONAS;3791.0;A
2008;215154;215120;215128;M;ES61;213227;_Z;PERSONAS;2299.329122665;A
2008;215154;215120;215128;F;ES61;213227;_Z;PERSONAS;1491.670877335;A
2008;215154;215120;215129;_T;ES61;213227;_Z;PERSONAS;746.0;A
2008;215154;215120;215129;M;ES61;213227;_Z;PERSONAS;447.450362476;A
2008;215154;215120;215129;F;ES61;213227;_Z;PERSONAS;298.549637524;A
2008;215154;215120;215130;_T;ES61;213227;_Z;PERSONAS;6011.999999999;A
2008;215154;215120;215130;M;ES61;213227;_Z;PERSONAS;3571.272520385;A
2008;215154;215120;215130;F;ES61;213227;_Z;PERSONAS;2440.727479614;A
2008;215154;215120;215131;_T;ES61;213227;_Z;PERSONAS;4502.000000002;A
2008;215154;215120;215131;M;ES61;213227;_Z;PERSONAS;2718.917247819;A
2008;215154;215120;215131;F;ES61;213227;_Z;PERSONAS;1783.082752183;A
2008;215154;215122;215132;_T;ES61;213227;_Z;PERSONAS;31.0;A
2008;215154;215122;215132;M;ES61;213227;_Z;PERSONAS;9.0;A
2008;215154;215122;215132;F;ES61;213227;_Z;PERSONAS;22.0;A
2008;215154;215124;215132;_T;ES61;213227;_Z;PERSONAS;7104.695663337;A
2008;215154;215124;215132;M;ES61;213227;_Z;PERSONAS;4883.881927965;A
2008;215154;215124;215132;F;ES61;213227;_Z;PERSONAS;2220.813735372;A
2008;215155;215117;215132;_T;ES61;213227;_Z;PERSONAS;3209.000000002;A
2008;215155;215117;215132;M;ES61;213227;_Z;PERSONAS;1696.000000001;A
2008;215155;215117;215132;F;ES61;213227;_Z;PERSONAS;1513.000000001;A
2008;215155;215117;215126;_T;ES61;213227;_Z;PERSONAS;52.570694038;A
2008;215155;215117;215126;M;ES61;213227;_Z;PERSONAS;29.325371457;A
2008;215155;215117;215126;F;ES61;213227;_Z;PERSONAS;23.245322581;A
2008;215155;215117;215127;_T;ES61;213227;_Z;PERSONAS;129.28113852;A
2008;215155;215117;215127;M;ES61;213227;_Z;PERSONAS;92.966250934;A
2008;215155;215117;215127;F;ES61;213227;_Z;PERSONAS;36.314887586;A
2008;215155;215117;215128;_T;ES61;213227;_Z;PERSONAS;2304.473001833;A
2008;215155;215117;215128;M;ES61;213227;_Z;PERSONAS;1187.002061634;A
2008;215155;215117;215128;F;ES61;213227;_Z;PERSONAS;1117.470940199;A
2008;215155;215117;215129;_T;ES61;213227;_Z;PERSONAS;401.523636364;A
2008;215155;215117;215129;M;ES61;213227;_Z;PERSONAS;222.09;A
2008;215155;215117;215129;F;ES61;213227;_Z;PERSONAS;179.433636364;A
2008;215155;215117;215130;_T;ES61;213227;_Z;PERSONAS;264.206349785;A
2008;215155;215117;215130;M;ES61;213227;_Z;PERSONAS;127.595373106;A
2008;215155;215117;215130;F;ES61;213227;_Z;PERSONAS;136.610976679;A
2008;215155;215117;215131;_T;ES61;213227;_Z;PERSONAS;56.945179462;A
2008;215155;215117;215131;M;ES61;213227;_Z;PERSONAS;37.02094287;A
2008;215155;215117;215131;F;ES61;213227;_Z;PERSONAS;19.924236592;A
2008;215155;215120;215132;_T;ES61;213227;_Z;PERSONAS;19855.0;A
2008;215155;215120;215132;M;ES61;213227;_Z;PERSONAS;12596.0;A
2008;215155;215120;215132;F;ES61;213227;_Z;PERSONAS;7259.0;A
2008;215155;215120;215126;_T;ES61;213227;_Z;PERSONAS;4073.226215578;A
2008;215155;215120;215126;M;ES61;213227;_Z;PERSONAS;2579.424346632;A
2008;215155;215120;215126;F;ES61;213227;_Z;PERSONAS;1493.801868946;A
2008;215155;215120;215127;_T;ES61;213227;_Z;PERSONAS;3571.450107271;A
2008;215155;215120;215127;M;ES61;213227;_Z;PERSONAS;2289.412153236;A
2008;215155;215120;215127;F;ES61;213227;_Z;PERSONAS;1282.037954035;A
2008;215155;215120;215128;_T;ES61;213227;_Z;PERSONAS;3076.984896583;A
2008;215155;215120;215128;M;ES61;213227;_Z;PERSONAS;1963.772459072;A
2008;215155;215120;215128;F;ES61;213227;_Z;PERSONAS;1113.212437511;A
2008;215155;215120;215129;_T;ES61;213227;_Z;PERSONAS;563.346383525;A
2008;215155;215120;215129;M;ES61;213227;_Z;PERSONAS;364.074591901;A
2008;215155;215120;215129;F;ES61;213227;_Z;PERSONAS;199.271791624;A
2008;215155;215120;215130;_T;ES61;213227;_Z;PERSONAS;4897.901839599;A
2008;215155;215120;215130;M;ES61;213227;_Z;PERSONAS;3067.726820183;A
2008;215155;215120;215130;F;ES61;213227;_Z;PERSONAS;1830.175019416;A
2008;215155;215120;215131;_T;ES61;213227;_Z;PERSONAS;3672.090557444;A
2008;215155;215120;215131;M;ES61;213227;_Z;PERSONAS;2331.589628976;A
2008;215155;215120;215131;F;ES61;213227;_Z;PERSONAS;1340.500928468;A
2008;215155;215122;215132;_T;ES61;213227;_Z;PERSONAS;16.0;A
2008;215155;215122;215132;M;ES61;213227;_Z;PERSONAS;5.0;A
2008;215155;215122;215132;F;ES61;213227;_Z;PERSONAS;11.0;A
2008;215155;215124;215132;_T;ES61;213227;_Z;PERSONAS;3420.422881368;A
2008;215155;215124;215132;M;ES61;213227;_Z;PERSONAS;2439.247951687;A
2008;215155;215124;215132;F;ES61;213227;_Z;PERSONAS;981.174929681;A
2008;215156;215117;215132;_T;ES61;213227;_Z;PERSONAS;553.999999999;A
2008;215156;215117;215132;M;ES61;213227;_Z;PERSONAS;269.999999999;A
2008;215156;215117;215132;F;ES61;213227;_Z;PERSONAS;284.0;A
2008;215156;215117;215126;_T;ES61;213227;_Z;PERSONAS;18.058729228;A
2008;215156;215117;215126;M;ES61;213227;_Z;PERSONAS;10.557228739;A
2008;215156;215117;215126;F;ES61;213227;_Z;PERSONAS;7.501500489;A
2008;215156;215117;215127;_T;ES61;213227;_Z;PERSONAS;86.484659881;A
2008;215156;215117;215127;M;ES61;213227;_Z;PERSONAS;80.628361221;A
2008;215156;215117;215127;F;ES61;213227;_Z;PERSONAS;5.85629866;A
2008;215156;215117;215128;_T;ES61;213227;_Z;PERSONAS;243.21873915;A
2008;215156;215117;215128;M;ES61;213227;_Z;PERSONAS;104.57108023;A
2008;215156;215117;215128;F;ES61;213227;_Z;PERSONAS;138.64765892;A
2008;215156;215117;215129;_T;ES61;213227;_Z;PERSONAS;158.494545454;A
2008;215156;215117;215129;M;ES61;213227;_Z;PERSONAS;44.319090909;A
2008;215156;215117;215129;F;ES61;213227;_Z;PERSONAS;114.175454545;A
2008;215156;215117;215130;_T;ES61;213227;_Z;PERSONAS;43.51986586;A
2008;215156;215117;215130;M;ES61;213227;_Z;PERSONAS;26.48461945;A
2008;215156;215117;215130;F;ES61;213227;_Z;PERSONAS;17.03524641;A
2008;215156;215117;215131;_T;ES61;213227;_Z;PERSONAS;4.223460426;A
2008;215156;215117;215131;M;ES61;213227;_Z;PERSONAS;3.43961945;A
2008;215156;215117;215131;F;ES61;213227;_Z;PERSONAS;0.783840976;A
2008;215156;215120;215132;_T;ES61;213227;_Z;PERSONAS;1989.999999999;A
2008;215156;215120;215132;M;ES61;213227;_Z;PERSONAS;1031.999999999;A
2008;215156;215120;215132;F;ES61;213227;_Z;PERSONAS;958.0;A
2008;215156;215120;215126;_T;ES61;213227;_Z;PERSONAS;384.051339405;A
2008;215156;215120;215126;M;ES61;213227;_Z;PERSONAS;202.821390513;A
2008;215156;215120;215126;F;ES61;213227;_Z;PERSONAS;181.229948892;A
2008;215156;215120;215127;_T;ES61;213227;_Z;PERSONAS;392.991525261;A
2008;215156;215120;215127;M;ES61;213227;_Z;PERSONAS;220.391984808;A
2008;215156;215120;215127;F;ES61;213227;_Z;PERSONAS;172.599540453;A
2008;215156;215120;215128;_T;ES61;213227;_Z;PERSONAS;315.480784296;A
2008;215156;215120;215128;M;ES61;213227;_Z;PERSONAS;160.709581606;A
2008;215156;215120;215128;F;ES61;213227;_Z;PERSONAS;154.77120269;A
2008;215156;215120;215129;_T;ES61;213227;_Z;PERSONAS;111.429753798;A
2008;215156;215120;215129;M;ES61;213227;_Z;PERSONAS;51.556939294;A
2008;215156;215120;215129;F;ES61;213227;_Z;PERSONAS;59.872814504;A
2008;215156;215120;215130;_T;ES61;213227;_Z;PERSONAS;425.740930415;A
2008;215156;215120;215130;M;ES61;213227;_Z;PERSONAS;211.66113422;A
2008;215156;215120;215130;F;ES61;213227;_Z;PERSONAS;214.079796195;A
2008;215156;215120;215131;_T;ES61;213227;_Z;PERSONAS;360.305666824;A
2008;215156;215120;215131;M;ES61;213227;_Z;PERSONAS;184.858969558;A
2008;215156;215120;215131;F;ES61;213227;_Z;PERSONAS;175.446697266;A
2008;215156;215122;215132;_T;ES61;213227;_Z;PERSONAS;13.0;A
2008;215156;215122;215132;M;ES61;213227;_Z;PERSONAS;3.0;A
2008;215156;215122;215132;F;ES61;213227;_Z;PERSONAS;10.0;A
2008;215156;215124;215132;_T;ES61;213227;_Z;PERSONAS;2456.829815709;A
2008;215156;215124;215132;M;ES61;213227;_Z;PERSONAS;1695.658675825;A
2008;215156;215124;215132;F;ES61;213227;_Z;PERSONAS;761.171139884;A
2008;215157;215117;215132;_T;ES61;213227;_Z;PERSONAS;881.000000001;A
2008;215157;215117;215132;M;ES61;213227;_Z;PERSONAS;584.0;A
2008;215157;215117;215132;F;ES61;213227;_Z;PERSONAS;297.000000001;A
2008;215157;215117;215126;_T;ES61;213227;_Z;PERSONAS;11.370576735;A
2008;215157;215117;215126;M;ES61;213227;_Z;PERSONAS;4.315136852;A
2008;215157;215117;215126;F;ES61;213227;_Z;PERSONAS;7.055439883;A
2008;215157;215117;215127;_T;ES61;213227;_Z;PERSONAS;62.234201599;A
2008;215157;215117;215127;M;ES61;213227;_Z;PERSONAS;41.329382439;A
2008;215157;215117;215127;F;ES61;213227;_Z;PERSONAS;20.90481916;A
2008;215157;215117;215128;_T;ES61;213227;_Z;PERSONAS;140.308259017;A
2008;215157;215117;215128;M;ES61;213227;_Z;PERSONAS;68.547302414;A
2008;215157;215117;215128;F;ES61;213227;_Z;PERSONAS;71.760956603;A
2008;215157;215117;215129;_T;ES61;213227;_Z;PERSONAS;627.981818182;A
2008;215157;215117;215129;M;ES61;213227;_Z;PERSONAS;462.520909091;A
2008;215157;215117;215129;F;ES61;213227;_Z;PERSONAS;165.460909091;A
2008;215157;215117;215130;_T;ES61;213227;_Z;PERSONAS;18.273784356;A
2008;215157;215117;215130;M;ES61;213227;_Z;PERSONAS;3.311892178;A
2008;215157;215117;215130;F;ES61;213227;_Z;PERSONAS;14.961892178;A
2008;215157;215117;215131;_T;ES61;213227;_Z;PERSONAS;20.831360112;A
2008;215157;215117;215131;M;ES61;213227;_Z;PERSONAS;3.975377026;A
2008;215157;215117;215131;F;ES61;213227;_Z;PERSONAS;16.855983086;A
2008;215157;215120;215132;_T;ES61;213227;_Z;PERSONAS;2875.000000002;A
2008;215157;215120;215132;M;ES61;213227;_Z;PERSONAS;1247.000000001;A
2008;215157;215120;215132;F;ES61;213227;_Z;PERSONAS;1628.000000001;A
2008;215157;215120;215126;_T;ES61;213227;_Z;PERSONAS;657.722445017;A
2008;215157;215120;215126;M;ES61;213227;_Z;PERSONAS;287.605217128;A
2008;215157;215120;215126;F;ES61;213227;_Z;PERSONAS;370.117227889;A
2008;215157;215120;215127;_T;ES61;213227;_Z;PERSONAS;589.558367468;A
2008;215157;215120;215127;M;ES61;213227;_Z;PERSONAS;258.375654338;A
2008;215157;215120;215127;F;ES61;213227;_Z;PERSONAS;331.18271313;A
2008;215157;215120;215128;_T;ES61;213227;_Z;PERSONAS;398.534319121;A
2008;215157;215120;215128;M;ES61;213227;_Z;PERSONAS;174.847081987;A
2008;215157;215120;215128;F;ES61;213227;_Z;PERSONAS;223.687237134;A
2008;215157;215120;215129;_T;ES61;213227;_Z;PERSONAS;71.223862677;A
2008;215157;215120;215129;M;ES61;213227;_Z;PERSONAS;31.818831281;A
2008;215157;215120;215129;F;ES61;213227;_Z;PERSONAS;39.405031396;A
2008;215157;215120;215130;_T;ES61;213227;_Z;PERSONAS;688.357229985;A
2008;215157;215120;215130;M;ES61;213227;_Z;PERSONAS;291.884565982;A
2008;215157;215120;215130;F;ES61;213227;_Z;PERSONAS;396.472664003;A
2008;215157;215120;215131;_T;ES61;213227;_Z;PERSONAS;469.603775734;A
2008;215157;215120;215131;M;ES61;213227;_Z;PERSONAS;202.468649285;A
2008;215157;215120;215131;F;ES61;213227;_Z;PERSONAS;267.135126449;A
2008;215157;215122;215132;_T;ES61;213227;_Z;PERSONAS;2.0;A
2008;215157;215122;215132;M;ES61;213227;_Z;PERSONAS;1.0;A
2008;215157;215122;215132;F;ES61;213227;_Z;PERSONAS;1.0;A
2008;215157;215124;215132;_T;ES61;213227;_Z;PERSONAS;1227.44296626;A
2008;215157;215124;215132;M;ES61;213227;_Z;PERSONAS;748.975300453;A
2008;215157;215124;215132;F;ES61;213227;_Z;PERSONAS;478.467665807;A
2009;215154;215117;215132;_T;ES61;213227;_Z;PERSONAS;4914.999999998;A
2009;215154;215117;215132;M;ES61;213227;_Z;PERSONAS;2654.0;A
2009;215154;215117;215132;F;ES61;213227;_Z;PERSONAS;2260.999999998;A
2009;215154;215117;215126;_T;ES61;213227;_Z;PERSONAS;155.000000001;A
2009;215154;215117;215126;M;ES61;213227;_Z;PERSONAS;98.956494004;A
2009;215154;215117;215126;F;ES61;213227;_Z;PERSONAS;56.043505997;A
2009;215154;215117;215127;_T;ES61;213227;_Z;PERSONAS;266.000000001;A
2009;215154;215117;215127;M;ES61;213227;_Z;PERSONAS;198.346098123;A
2009;215154;215117;215127;F;ES61;213227;_Z;PERSONAS;67.653901878;A
2009;215154;215117;215128;_T;ES61;213227;_Z;PERSONAS;2998.999999997;A
2009;215154;215117;215128;M;ES61;213227;_Z;PERSONAS;1504.521672451;A
2009;215154;215117;215128;F;ES61;213227;_Z;PERSONAS;1494.478327546;A
