TEMPORAL;CNAE09;TIPO_PERSONAL;SEXO;TERRITORIO;TIPO_EMPRESA;TIPO_ESTAB;ESTUDIOS;INDICATOR;OBS_VALUE;FREQ
2008;7109;215154;_T;ES61;215124;213227;_Z;PERSONAS;20.3;A
2008;7109;215154;M;ES61;215124;213227;_Z;PERSONAS;15.0;A
2008;7109;215154;F;ES61;215124;213227;_Z;PERSONAS;5.3;A
2008;7109;215155;_T;ES61;215124;213227;_Z;PERSONAS;4.3;A
2008;7109;215155;M;ES61;215124;213227;_Z;PERSONAS;2.0;A
2008;7109;215155;F;ES61;215124;213227;_Z;PERSONAS;2.3;A
2008;7109;215156;_T;ES61;215124;213227;_Z;PERSONAS;4.0;A
2008;7109;215156;M;ES61;215124;213227;_Z;PERSONAS;2.0;A
2008;7109;215156;F;ES61;215124;213227;_Z;PERSONAS;2.0;A
2008;7109;215157;_T;ES61;215124;213227;_Z;PERSONAS;12.0;A
2008;7109;215157;M;ES61;215124;213227;_Z;PERSONAS;11.0;A
2008;7109;215157;F;ES61;215124;213227;_Z;PERSONAS;1.0;A
2008;217302;215154;_T;ES61;215124;213227;_Z;PERSONAS;301.765125101;A
2008;217302;215154;M;ES61;215124;213227;_Z;PERSONAS;206.276171191;A
2008;217302;215154;F;ES61;215124;213227;_Z;PERSONAS;95.48895391;A
2008;217302;215155;_T;ES61;215124;213227;_Z;PERSONAS;122.254698513;A
2008;217302;215155;M;ES61;215124;213227;_Z;PERSONAS;82.541768749;A
2008;217302;215155;F;ES61;215124;213227;_Z;PERSONAS;39.712929764;A
2008;217302;215156;_T;ES61;215124;213227;_Z;PERSONAS;97.272809908;A
2008;217302;215156;M;ES61;215124;213227;_Z;PERSONAS;65.910240314;A
2008;217302;215156;F;ES61;215124;213227;_Z;PERSONAS;31.362569594;A
2008;217302;215157;_T;ES61;215124;213227;_Z;PERSONAS;82.23761668;A
2008;217302;215157;M;ES61;215124;213227;_Z;PERSONAS;57.824162128;A
2008;217302;215157;F;ES61;215124;213227;_Z;PERSONAS;24.413454552;A
2008;217304;215154;_T;ES61;215124;213227;_Z;PERSONAS;15.964842454;A
2008;217304;215154;M;ES61;215124;213227;_Z;PERSONAS;11.627777777;A
2008;217304;215154;F;ES61;215124;213227;_Z;PERSONAS;4.337064677;A
2008;217304;215155;_T;ES61;215124;213227;_Z;PERSONAS;8.671310116;A
2008;217304;215155;M;ES61;215124;213227;_Z;PERSONAS;7.544444444;A
2008;217304;215155;F;ES61;215124;213227;_Z;PERSONAS;1.126865672;A
2008;217304;215156;_T;ES61;215124;213227;_Z;PERSONAS;5.126865672;A
2008;217304;215156;M;ES61;215124;213227;_Z;PERSONAS;3.0;A
2008;217304;215156;F;ES61;215124;213227;_Z;PERSONAS;2.126865672;A
2008;217304;215157;_T;ES61;215124;213227;_Z;PERSONAS;2.166666666;A
2008;217304;215157;M;ES61;215124;213227;_Z;PERSONAS;1.083333333;A
2008;217304;215157;F;ES61;215124;213227;_Z;PERSONAS;1.083333333;A
2008;217305;215154;_T;ES61;215124;213227;_Z;PERSONAS;26.249367798;A
2008;217305;215154;M;ES61;215124;213227;_Z;PERSONAS;24.249367798;A
2008;217305;215154;F;ES61;215124;213227;_Z;PERSONAS;2.0;A
2008;217305;215155;_T;ES61;215124;213227;_Z;PERSONAS;11.800279653;A
2008;217305;215155;M;ES61;215124;213227;_Z;PERSONAS;10.800279653;A
2008;217305;215155;F;ES61;215124;213227;_Z;PERSONAS;1.0;A
2008;217305;215156;_T;ES61;215124;213227;_Z;PERSONAS;13.413373859;A
2008;217305;215156;M;ES61;215124;213227;_Z;PERSONAS;12.413373859;A
2008;217305;215156;F;ES61;215124;213227;_Z;PERSONAS;1.0;A
2008;217305;215157;_T;ES61;215124;213227;_Z;PERSONAS;1.035714286;A
2008;217305;215157;M;ES61;215124;213227;_Z;PERSONAS;1.035714286;A
2008;217305;215157;F;ES61;215124;213227;_Z;PERSONAS;0.0;A
2008;217306;215154;_T;ES61;215124;213227;_Z;PERSONAS;242.712035299;A
2008;217306;215154;M;ES61;215124;213227;_Z;PERSONAS;141.932554677;A
2008;217306;215154;F;ES61;215124;213227;_Z;PERSONAS;100.779480622;A
2008;217306;215155;_T;ES61;215124;213227;_Z;PERSONAS;125.92448846;A
2008;217306;215155;M;ES61;215124;213227;_Z;PERSONAS;72.365713653;A
2008;217306;215155;F;ES61;215124;213227;_Z;PERSONAS;53.558774807;A
2008;217306;215156;_T;ES61;215124;213227;_Z;PERSONAS;55.262802394;A
2008;217306;215156;M;ES61;215124;213227;_Z;PERSONAS;30.42899202;A
2008;217306;215156;F;ES61;215124;213227;_Z;PERSONAS;24.833810374;A
2008;217306;215157;_T;ES61;215124;213227;_Z;PERSONAS;61.524744445;A
2008;217306;215157;M;ES61;215124;213227;_Z;PERSONAS;39.137849004;A
2008;217306;215157;F;ES61;215124;213227;_Z;PERSONAS;22.386895441;A
2008;217307;215154;_T;ES61;215124;213227;_Z;PERSONAS;97.31034585;A
2008;217307;215154;M;ES61;215124;213227;_Z;PERSONAS;81.634245219;A
2008;217307;215154;F;ES61;215124;213227;_Z;PERSONAS;15.676100631;A
2008;217307;215155;_T;ES61;215124;213227;_Z;PERSONAS;26.91364929;A
2008;217307;215155;M;ES61;215124;213227;_Z;PERSONAS;23.388492057;A
2008;217307;215155;F;ES61;215124;213227;_Z;PERSONAS;3.525157233;A
2008;217307;215156;_T;ES61;215124;213227;_Z;PERSONAS;39.534154502;A
2008;217307;215156;M;ES61;215124;213227;_Z;PERSONAS;31.483840036;A
2008;217307;215156;F;ES61;215124;213227;_Z;PERSONAS;8.050314466;A
2008;217307;215157;_T;ES61;215124;213227;_Z;PERSONAS;30.862542058;A
2008;217307;215157;M;ES61;215124;213227;_Z;PERSONAS;26.761913126;A
2008;217307;215157;F;ES61;215124;213227;_Z;PERSONAS;4.100628932;A
