TEMPORAL;CNAE09;PUB_PRIV;TERRITORIO;TIPO_EMPRESA;TIPO_ESTAB;INDICATOR;OBS_VALUE;FREQ
2008;7859;215134;ES61;215124;213227;UNIDADES;73.755144198;A
2008;7859;215136;ES61;215124;213227;UNIDADES;73.755144198;A
2008;7958;215134;ES61;215124;213227;UNIDADES;9.180769231;A
2008;7958;215135;ES61;215124;213227;UNIDADES;3.673076923;A
2008;7958;215136;ES61;215124;213227;UNIDADES;5.507692308;A
2008;7888;215134;ES61;215124;213227;UNIDADES;3.584169454;A
2008;7888;215136;ES61;215124;213227;UNIDADES;3.584169454;A
2008;8031;215134;ES61;215124;213227;UNIDADES;121.911695353;A
2008;8031;215135;ES61;215124;213227;UNIDADES;3.613199666;A
2008;8031;215136;ES61;215124;213227;UNIDADES;118.298495687;A
2008;8080;215134;ES61;215124;213227;UNIDADES;5.633298885;A
2008;8080;215136;ES61;215124;213227;UNIDADES;5.633298885;A
2008;8165;215134;ES61;215124;213227;UNIDADES;252.282187269;A
2008;8165;215135;ES61;215124;213227;UNIDADES;26.670772386;A
2008;8165;215136;ES61;215124;213227;UNIDADES;225.611414883;A
2008;8255;215134;ES61;215124;213227;UNIDADES;18.198324895;A
2008;8255;215135;ES61;215124;213227;UNIDADES;1.0;A
2008;8255;215136;ES61;215124;213227;UNIDADES;17.198324895;A
2008;8345;215134;ES61;215124;213227;UNIDADES;32.974070699;A
2008;8345;215135;ES61;215124;213227;UNIDADES;1.010810811;A
2008;8345;215136;ES61;215124;213227;UNIDADES;31.963259888;A
2008;8385;215134;ES61;215124;213227;UNIDADES;4.18952982;A
2008;8385;215135;ES61;215124;213227;UNIDADES;1.010810811;A
2008;8385;215136;ES61;215124;213227;UNIDADES;3.178719009;A
2008;8426;215134;ES61;215124;213227;UNIDADES;32.931187279;A
2008;8426;215136;ES61;215124;213227;UNIDADES;32.931187279;A
2009;7859;215134;ES61;215124;213227;UNIDADES;62.672872012;A
2009;7859;215136;ES61;215124;213227;UNIDADES;62.672872012;A
2009;7958;215134;ES61;215124;213227;UNIDADES;7.156541376;A
2009;7958;215135;ES61;215124;213227;UNIDADES;3.118189103;A
2009;7958;215136;ES61;215124;213227;UNIDADES;4.038352273;A
2009;7888;215134;ES61;215124;213227;UNIDADES;27.619601329;A
2009;7888;215136;ES61;215124;213227;UNIDADES;27.619601329;A
2009;8031;215134;ES61;215124;213227;UNIDADES;103.991222562;A
2009;8031;215135;ES61;215124;213227;UNIDADES;5.923758852;A
2009;8031;215136;ES61;215124;213227;UNIDADES;98.06746371;A
2009;8080;215134;ES61;215124;213227;UNIDADES;5.173663546;A
2009;8080;215136;ES61;215124;213227;UNIDADES;5.173663546;A
2009;8165;215134;ES61;215124;213227;UNIDADES;250.414459795;A
2009;8165;215135;ES61;215124;213227;UNIDADES;5.562310654;A
2009;8165;215136;ES61;215124;213227;UNIDADES;244.852149141;A
2009;8255;215134;ES61;215124;213227;UNIDADES;19.865053066;A
2009;8255;215135;ES61;215124;213227;UNIDADES;3.16;A
2009;8255;215136;ES61;215124;213227;UNIDADES;16.705053066;A
2009;8345;215134;ES61;215124;213227;UNIDADES;73.503734253;A
2009;8345;215135;ES61;215124;213227;UNIDADES;3.311904762;A
2009;8345;215136;ES61;215124;213227;UNIDADES;70.191829491;A
2009;8385;215134;ES61;215124;213227;UNIDADES;4.111111111;A
2009;8385;215135;ES61;215124;213227;UNIDADES;1.0;A
2009;8385;215136;ES61;215124;213227;UNIDADES;3.111111111;A
2009;8426;215134;ES61;215124;213227;UNIDADES;31.730502299;A
2009;8426;215135;ES61;215124;213227;UNIDADES;1.0;A
2009;8426;215136;ES61;215124;213227;UNIDADES;30.730502299;A
2010;7859;215134;ES61;215124;213227;UNIDADES;50.093705116;A
2010;7859;215136;ES61;215124;213227;UNIDADES;50.093705116;A
2010;7958;215134;ES61;215124;213227;UNIDADES;8.570428765;A
2010;7958;215135;ES61;215124;213227;UNIDADES;3.06779661;A
2010;7958;215136;ES61;215124;213227;UNIDADES;5.502632155;A
2010;7888;215134;ES61;215124;213227;UNIDADES;2.125;A
2010;7888;215136;ES61;215124;213227;UNIDADES;2.125;A
2010;8031;215134;ES61;215124;213227;UNIDADES;134.819077282;A
2010;8031;215135;ES61;215124;213227;UNIDADES;5.75554717;A
2010;8031;215136;ES61;215124;213227;UNIDADES;129.063530112;A
2010;8080;215134;ES61;215124;213227;UNIDADES;3.61578604;A
2010;8080;215136;ES61;215124;213227;UNIDADES;3.61578604;A
2010;8165;215134;ES61;215124;213227;UNIDADES;339.3117287;A
2010;8165;215135;ES61;215124;213227;UNIDADES;9.814516208;A
2010;8165;215136;ES61;215124;213227;UNIDADES;329.497212492;A
2010;8255;215134;ES61;215124;213227;UNIDADES;15.240283602;A
2010;8255;215135;ES61;215124;213227;UNIDADES;2.138888889;A
2010;8255;215136;ES61;215124;213227;UNIDADES;13.101394713;A
2010;8345;215134;ES61;215124;213227;UNIDADES;19.302760007;A
2010;8345;215135;ES61;215124;213227;UNIDADES;2.0;A
2010;8345;215136;ES61;215124;213227;UNIDADES;17.302760007;A
2010;8385;215134;ES61;215124;213227;UNIDADES;6.637447404;A
2010;8385;215135;ES61;215124;213227;UNIDADES;2.088709677;A
2010;8385;215136;ES61;215124;213227;UNIDADES;4.548737727;A
2010;8426;215134;ES61;215124;213227;UNIDADES;28.411958757;A
2010;8426;215135;ES61;215124;213227;UNIDADES;1.0;A
2010;8426;215136;ES61;215124;213227;UNIDADES;27.411958757;A
2011;7859;215134;ES61;215124;213227;UNIDADES;45.105394883;A
2011;7859;215136;ES61;215124;213227;UNIDADES;45.105394883;A
2011;7958;215134;ES61;215124;213227;UNIDADES;3.0;A
2011;7958;215135;ES61;215124;213227;UNIDADES;1.0;A
2011;7958;215136;ES61;215124;213227;UNIDADES;2.0;A
2011;7888;215134;ES61;215124;213227;UNIDADES;1.017094017;A
2011;7888;215136;ES61;215124;213227;UNIDADES;1.017094017;A
2011;8031;215134;ES61;215124;213227;UNIDADES;129.477452696;A
2011;8031;215135;ES61;215124;213227;UNIDADES;8.212133388;A
2011;8031;215136;ES61;215124;213227;UNIDADES;121.265319308;A
2011;8080;215134;ES61;215124;213227;UNIDADES;3.020833333;A
2011;8080;215136;ES61;215124;213227;UNIDADES;3.020833333;A
2011;8165;215134;ES61;215124;213227;UNIDADES;322.556919965;A
2011;8165;215135;ES61;215124;213227;UNIDADES;6.883948591;A
2011;8165;215136;ES61;215124;213227;UNIDADES;315.672971374;A
2011;8255;215134;ES61;215124;213227;UNIDADES;15.29740787;A
2011;8255;215135;ES61;215124;213227;UNIDADES;2.438915292;A
2011;8255;215136;ES61;215124;213227;UNIDADES;12.858492578;A
2011;8345;215134;ES61;215124;213227;UNIDADES;22.853519423;A
2011;8345;215135;ES61;215124;213227;UNIDADES;1.011976048;A
2011;8345;215136;ES61;215124;213227;UNIDADES;21.841543375;A
2011;8385;215134;ES61;215124;213227;UNIDADES;5.524495758;A
2011;8385;215135;ES61;215124;213227;UNIDADES;2.144426379;A
2011;8385;215136;ES61;215124;213227;UNIDADES;3.380069379;A
2011;8426;215134;ES61;215124;213227;UNIDADES;30.036115167;A
2011;8426;215136;ES61;215124;213227;UNIDADES;30.036115167;A
2012;7859;215134;ES61;215124;213227;UNIDADES;41.499481743;A
2012;7859;215136;ES61;215124;213227;UNIDADES;41.499481743;A
2012;7888;215134;ES61;215124;213227;UNIDADES;2.0;A
2012;7888;215136;ES61;215124;213227;UNIDADES;2.0;A
2012;8031;215134;ES61;215124;213227;UNIDADES;114.268979984;A
2012;8031;215135;ES61;215124;213227;UNIDADES;2.037878788;A
2012;8031;215136;ES61;215124;213227;UNIDADES;112.231101196;A
2012;8080;215134;ES61;215124;213227;UNIDADES;2.037735849;A
2012;8080;215136;ES61;215124;213227;UNIDADES;2.037735849;A
2012;8165;215134;ES61;215124;213227;UNIDADES;295.302810923;A
2012;8165;215135;ES61;215124;213227;UNIDADES;7.570403204;A
2012;8165;215136;ES61;215124;213227;UNIDADES;287.732407719;A
2012;8255;215134;ES61;215124;213227;UNIDADES;14.383143314;A
2012;8255;215135;ES61;215124;213227;UNIDADES;1.048780488;A
2012;8255;215136;ES61;215124;213227;UNIDADES;13.334362826;A
2012;8345;215134;ES61;215124;213227;UNIDADES;13.532034047;A
2012;8345;215135;ES61;215124;213227;UNIDADES;1.005649718;A
2012;8345;215136;ES61;215124;213227;UNIDADES;12.526384329;A
2012;8385;215134;ES61;215124;213227;UNIDADES;7.648034398;A
2012;8385;215135;ES61;215124;213227;UNIDADES;2.108108108;A
2012;8385;215136;ES61;215124;213227;UNIDADES;5.53992629;A
2012;8426;215134;ES61;215124;213227;UNIDADES;23.014269278;A
2012;8426;215135;ES61;215124;213227;UNIDADES;1.0625;A
2012;8426;215136;ES61;215124;213227;UNIDADES;21.951769278;A
2013;7859;215134;ES61;215124;213227;UNIDADES;44.786837738;A
2013;7859;215136;ES61;215124;213227;UNIDADES;44.786837738;A
2013;7958;215134;ES61;215124;213227;UNIDADES;1.0;A
2013;7958;215136;ES61;215124;213227;UNIDADES;1.0;A
2013;7888;215134;ES61;215124;213227;UNIDADES;3.332631579;A
2013;7888;215136;ES61;215124;213227;UNIDADES;3.332631579;A
2013;8031;215134;ES61;215124;213227;UNIDADES;100.633995857;A
2013;8031;215135;ES61;215124;213227;UNIDADES;3.06870229;A
2013;8031;215136;ES61;215124;213227;UNIDADES;97.565293567;A
2013;8080;215134;ES61;215124;213227;UNIDADES;3.043478261;A
2013;8080;215136;ES61;215124;213227;UNIDADES;3.043478261;A
2013;8165;215134;ES61;215124;213227;UNIDADES;302.704846517;A
2013;8165;215135;ES61;215124;213227;UNIDADES;3.369846417;A
