TEMPORAL;TIPO_EMPRESA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2008;215258;ES61;N_DE_EMPRESAS;170.592870655;A
2008;215261;ES61;N_DE_EMPRESAS;239.435369883;A
2009;215258;ES61;N_DE_EMPRESAS;154.457970293;A
2009;215261;ES61;N_DE_EMPRESAS;275.557950316;A
2010;215258;ES61;N_DE_EMPRESAS;177.483289969;A
2010;215261;ES61;N_DE_EMPRESAS;343.818202369;A
2011;215258;ES61;N_DE_EMPRESAS;159.155532689;A
2011;215261;ES61;N_DE_EMPRESAS;335.688675156;A
2012;215258;ES61;N_DE_EMPRESAS;166.009452888;A
2012;215261;ES61;N_DE_EMPRESAS;302.13368795;A
2013;215258;ES61;N_DE_EMPRESAS;163.492329976;A
2013;215261;ES61;N_DE_EMPRESAS;292.274288797;A
2014;215258;ES61;N_DE_EMPRESAS;166.239633862;A
2014;215261;ES61;N_DE_EMPRESAS;277.484155565;A
2015;215258;ES61;N_DE_EMPRESAS;151.348280241;A
2015;215261;ES61;N_DE_EMPRESAS;255.093628932;A
2016;215258;ES61;N_DE_EMPRESAS;151.959261989;A
2016;215261;ES61;N_DE_EMPRESAS;285.651666971;A
2017;215258;ES61;N_DE_EMPRESAS;168.051556282;A
2017;215261;ES61;N_DE_EMPRESAS;268.008270008;A
2018;215258;ES61;N_DE_EMPRESAS;202.719656335;A
2018;215261;ES61;N_DE_EMPRESAS;262.395626187;A
2019;215258;ES61;N_DE_EMPRESAS;159.809255734;A
2019;215261;ES61;N_DE_EMPRESAS;286.478967114;A
2020;215258;ES61;N_DE_EMPRESAS;179.681288233;A
2020;215261;ES61;N_DE_EMPRESAS;302.193491946;A
2008;215258;ES61;GASTOS_IMD;132294.064904927;A
2008;215261;ES61;GASTOS_IMD;141194.123439929;A
2009;215258;ES61;GASTOS_IMD;122679.440100426;A
2009;215261;ES61;GASTOS_IMD;135679.201343053;A
2010;215258;ES61;GASTOS_IMD;153695.197317066;A
2010;215261;ES61;GASTOS_IMD;182441.683371649;A
2011;215258;ES61;GASTOS_IMD;147296.129512628;A
2011;215261;ES61;GASTOS_IMD;159532.967996516;A
2012;215258;ES61;GASTOS_IMD;130427.301535131;A
2012;215261;ES61;GASTOS_IMD;140640.351333292;A
2013;215258;ES61;GASTOS_IMD;128985.576429765;A
2013;215261;ES61;GASTOS_IMD;152822.062668594;A
2014;215258;ES61;GASTOS_IMD;123634.592381492;A
2014;215261;ES61;GASTOS_IMD;155015.241363728;A
2015;215258;ES61;GASTOS_IMD;116116.64168085;A
2015;215261;ES61;GASTOS_IMD;164564.564268703;A
2016;215258;ES61;GASTOS_IMD;149896.503724507;A
2016;215261;ES61;GASTOS_IMD;154145.089696607;A
2017;215258;ES61;GASTOS_IMD;159427.375577319;A
2017;215261;ES61;GASTOS_IMD;135753.185511339;A
2018;215258;ES61;GASTOS_IMD;159704.483646285;A
2018;215261;ES61;GASTOS_IMD;147425.921684243;A
2019;215258;ES61;GASTOS_IMD;178617.165713732;A
2019;215261;ES61;GASTOS_IMD;143917.401825758;A
2020;215258;ES61;GASTOS_IMD;187801.240780204;A
2020;215261;ES61;GASTOS_IMD;160620.776907093;A
2008;215258;ES61;N_DE_PERSONAS;1250.955484354;A
2008;215261;ES61;N_DE_PERSONAS;1888.815708764;A
2009;215258;ES61;N_DE_PERSONAS;1264.473221639;A
2009;215261;ES61;N_DE_PERSONAS;2325.748484812;A
2010;215258;ES61;N_DE_PERSONAS;1630.832012257;A
2010;215261;ES61;N_DE_PERSONAS;2580.663643227;A
2011;215258;ES61;N_DE_PERSONAS;1491.805603278;A
2011;215261;ES61;N_DE_PERSONAS;2472.790804805;A
2012;215258;ES61;N_DE_PERSONAS;1549.086670094;A
2012;215261;ES61;N_DE_PERSONAS;2529.698732583;A
2013;215258;ES61;N_DE_PERSONAS;1584.896971428;A
2013;215261;ES61;N_DE_PERSONAS;2558.791437227;A
2014;215258;ES61;N_DE_PERSONAS;1514.461969844;A
2014;215261;ES61;N_DE_PERSONAS;2666.40395625;A
2015;215258;ES61;N_DE_PERSONAS;1513.858271465;A
2015;215261;ES61;N_DE_PERSONAS;2558.032117541;A
2016;215258;ES61;N_DE_PERSONAS;1837.094583944;A
2016;215261;ES61;N_DE_PERSONAS;2445.079346789;A
2017;215258;ES61;N_DE_PERSONAS;2032.063692888;A
2017;215261;ES61;N_DE_PERSONAS;2368.093915922;A
2018;215258;ES61;N_DE_PERSONAS;2024.231073314;A
2018;215261;ES61;N_DE_PERSONAS;2548.796360801;A
2019;215258;ES61;N_DE_PERSONAS;1910.156829842;A
2019;215261;ES61;N_DE_PERSONAS;2481.399400438;A
2020;215258;ES61;N_DE_PERSONAS;2052.469770508;A
2020;215261;ES61;N_DE_PERSONAS;2682.305027479;A
