D_ESTADO_DATO_0;D_TERRITORIO_0;D_CAT_HOTELES_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;3143;264447;2020;Empleo medio;11152.111271801;A
40123;3143;264447;2019;Empleo medio;25772.47264236;A
40123;3143;264447;2018;Empleo medio;25012.700409374;A
40123;3143;264447;2017;Empleo medio;24449.74161193;A
40123;3143;264447;2016;Empleo medio;23370.749463;A
40123;3143;264447;2015;Empleo medio;21524.091968293;A
40123;3143;264447;2014;Empleo medio;19987.79909127;A
40123;3143;264447;2013;Empleo medio;19090.87749997;A
40123;3143;264447;2012;Empleo medio;19100.76250006;A
40123;3143;264447;2011;Empleo medio;20012.509166697;A
40123;3143;264447;2010;Empleo medio;20001.100833303;A
40123;3143;264447;2009;Empleo medio;20286.869166677;A
40123;3143;264447;2008;Empleo medio;22422.503333397;A
40123;3143;264446;2020;Empleo medio;2780.056108891;A
40123;3143;264446;2019;Empleo medio;5924.345328156;A
40123;3143;264446;2018;Empleo medio;5494.83948693;A
40123;3143;264446;2017;Empleo medio;5231.76333179;A
40123;3143;264446;2016;Empleo medio;5083.44321672;A
40123;3143;264446;2015;Empleo medio;4979.60824082;A
40123;3143;264446;2014;Empleo medio;5221.78225134;A
40123;3143;264446;2013;Empleo medio;5270.54249996;A
40123;3143;264446;2012;Empleo medio;5690.39500005;A
40123;3143;264446;2011;Empleo medio;6136.12166663;A
40123;3143;264446;2010;Empleo medio;6138.55666664;A
40123;3143;264446;2009;Empleo medio;6729.9633333;A
40123;3143;264446;2008;Empleo medio;7355.07500001;A
40123;3143;62148;2020;Empleo medio;897.416104977;A
40123;3143;62148;2019;Empleo medio;1663.088575331;A
40123;3143;62148;2018;Empleo medio;1700.93990108;A
40123;3143;62148;2017;Empleo medio;1596.460727509;A
40123;3143;62148;2016;Empleo medio;1555.365434613;A
40123;3143;62148;2015;Empleo medio;1524.379010768;A
40123;3143;62148;2014;Empleo medio;1549.983693897;A
40123;3143;62148;2013;Empleo medio;1685.822500017;A
40123;3143;62148;2012;Empleo medio;1817.359999993;A
40123;3143;62148;2011;Empleo medio;2016.93833333;A
40123;3143;62148;2010;Empleo medio;1917.65666667;A
40123;3143;62148;2009;Empleo medio;1835.49916667;A
40123;3143;62148;2008;Empleo medio;2097.37916666;A
40123;3143;62145;2020;Empleo medio;385.667820897;A
40123;3143;62145;2019;Empleo medio;587.106644538;A
40123;3143;62145;2018;Empleo medio;580.524964975;A
40123;3143;62145;2017;Empleo medio;575.938533473;A
40123;3143;62145;2016;Empleo medio;590.226633758;A
40123;3143;62145;2015;Empleo medio;569.667703468;A
40123;3143;62145;2014;Empleo medio;551.565294523;A
40123;3143;62145;2013;Empleo medio;525.912500003;A
40123;3143;62145;2012;Empleo medio;577.871666664;A
40123;3143;62145;2011;Empleo medio;650.037499999;A
40123;3143;62145;2010;Empleo medio;675.269999993;A
40123;3143;62145;2009;Empleo medio;710.849166667;A
40123;3143;62145;2008;Empleo medio;777.799999994;A
40123;3143;264450;2020;Empleo medio;600.571752357;A
40123;3143;264450;2019;Empleo medio;961.529213334;A
40123;3143;264450;2018;Empleo medio;918.809058521;A
40123;3143;264450;2017;Empleo medio;896.370678454;A
40123;3143;264450;2016;Empleo medio;866.32138772;A
40123;3143;264450;2015;Empleo medio;868.601682892;A
40123;3143;264450;2014;Empleo medio;905.556833092;A
40123;3143;264450;2013;Empleo medio;904.124166674;A
40123;3143;264450;2012;Empleo medio;946.557500007;A
40123;3143;264450;2011;Empleo medio;996.547499997;A
40123;3143;264450;2010;Empleo medio;1042.125000004;A
40123;3143;264450;2009;Empleo medio;1064.555833341;A
40123;3143;264450;2008;Empleo medio;1176.696666656;A
40123;3143;264449;2020;Empleo medio;816.976719149;A
40123;3143;264449;2019;Empleo medio;1352.556807183;A
40123;3143;264449;2018;Empleo medio;1358.591632478;A
40123;3143;264449;2017;Empleo medio;1364.730153628;A
40123;3143;264449;2016;Empleo medio;1324.172411064;A
40123;3143;264449;2015;Empleo medio;1346.903253956;A
40123;3143;264449;2014;Empleo medio;1270.594261643;A
40123;3143;264449;2013;Empleo medio;1247.403333337;A
40123;3143;264449;2012;Empleo medio;1251.035833337;A
40123;3143;264449;2011;Empleo medio;1282.744166663;A
40123;3143;264449;2010;Empleo medio;1331.9925;A
40123;3143;264449;2009;Empleo medio;1428.11166667;A
40123;3143;264449;2008;Empleo medio;1475.74833333;A
40123;3143;62149;2020;Empleo medio;16632.799778072;A
40123;3143;62149;2019;Empleo medio;36261.099210902;A
40123;3143;62149;2018;Empleo medio;35066.405453358;A
40123;3143;62149;2017;Empleo medio;34115.005036784;A
40123;3143;62149;2016;Empleo medio;32790.278546875;A
40123;3143;62149;2015;Empleo medio;30813.251860197;A
40123;3143;62149;2014;Empleo medio;29487.281425765;A
40123;3143;62149;2013;Empleo medio;28724.682499961;A
40123;3143;62149;2012;Empleo medio;29383.982500111;A
40123;3143;62149;2011;Empleo medio;31094.898333316;A
40123;3143;62149;2010;Empleo medio;31106.70166661;A
40123;3143;62149;2009;Empleo medio;32055.848333325;A
40123;3143;62149;2008;Empleo medio;35305.202500047;A
40123;2352;264447;2020;Empleo medio;987.724822102;A
40123;2352;264447;2019;Empleo medio;2610.227298006;A
40123;2352;264447;2018;Empleo medio;2572.73720163;A
40123;2352;264447;2017;Empleo medio;2659.55613217;A
40123;2352;264447;2016;Empleo medio;2554.19191807;A
40123;2352;264447;2015;Empleo medio;2204.1862002;A
40123;2352;264447;2014;Empleo medio;2033.23252533;A
40123;2352;264447;2013;Empleo medio;1760.4516667;A
40123;2352;264447;2012;Empleo medio;1688.32416663;A
40123;2352;264447;2011;Empleo medio;1710.46250003;A
40123;2352;264447;2010;Empleo medio;1752.39916667;A
40123;2352;264447;2009;Empleo medio;1679.3133333;A
40123;2352;264447;2008;Empleo medio;1903.6308333;A
40123;2352;264446;2020;Empleo medio;124.499074841;A
40123;2352;264446;2019;Empleo medio;231.648453407;A
40123;2352;264446;2018;Empleo medio;233.08809924;A
40123;2352;264446;2017;Empleo medio;211.54478579;A
40123;2352;264446;2016;Empleo medio;230.51176846;A
40123;2352;264446;2015;Empleo medio;257.01908911;A
40123;2352;264446;2014;Empleo medio;269.44248481;A
40123;2352;264446;2013;Empleo medio;426.39416667;A
40123;2352;264446;2012;Empleo medio;390.39416667;A
40123;2352;264446;2011;Empleo medio;433.59583333;A
40123;2352;264446;2010;Empleo medio;450.6275;A
40123;2352;264446;2009;Empleo medio;472.405;A
40123;2352;264446;2008;Empleo medio;575.03666667;A
40123;2352;62148;2020;Empleo medio;66.985686278;A
40123;2352;62148;2019;Empleo medio;95.209716667;A
40123;2352;62148;2018;Empleo medio;97.105425;A
40123;2352;62148;2017;Empleo medio;101.61793167;A
40123;2352;62148;2016;Empleo medio;102.92789833;A
