D_ESTADO_DATO_0;D_TERRITORIO_0;D_CAT_HOTELES_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;3143;264447;2020;55698;Viajeros;3885459.077386264;A
40123;3143;264447;2020;55565;Viajeros;2766574.90850369;A
40123;3143;264447;2020;55697;Viajeros;1118884.168882574;A
40123;3143;264447;2019;55698;Viajeros;11579882;A
40123;3143;264447;2019;55565;Viajeros;5805884.081374445;A
40123;3143;264447;2019;55697;Viajeros;5773997.548590099;A
40123;3143;264447;2018;55698;Viajeros;11119842;A
40123;3143;264447;2018;55565;Viajeros;5519308.141614393;A
40123;3143;264447;2018;55697;Viajeros;5600533.754443465;A
40123;3143;264447;2017;55698;Viajeros;10898895;A
40123;3143;264447;2017;55565;Viajeros;5260916.677943218;A
40123;3143;264447;2017;55697;Viajeros;5637978.60123666;A
40123;3143;264447;2016;55698;Viajeros;10653573;A
40123;3143;264447;2016;55565;Viajeros;5393268.037235613;A
40123;3143;264447;2016;55697;Viajeros;5260305.047435013;A
40123;3143;264447;2015;55698;Viajeros;9966379.032119589;A
40123;3143;264447;2015;55565;Viajeros;5257097.225491325;A
40123;3143;264447;2015;55697;Viajeros;4709281.806628263;A
40123;3143;264447;2014;55698;Viajeros;9151060.104718108;A
40123;3143;264447;2014;55565;Viajeros;4965728.724284491;A
40123;3143;264447;2014;55697;Viajeros;4185331.380433616;A
40123;3143;264447;2013;55698;Viajeros;8497261.348582;A
40123;3143;264447;2013;55565;Viajeros;4681435.598582;A
40123;3143;264447;2013;55697;Viajeros;3815825.75;A
40123;3143;264447;2012;55698;Viajeros;8209049.81;A
40123;3143;264447;2012;55565;Viajeros;4607869.79;A
40123;3143;264447;2012;55697;Viajeros;3601180.02;A
40123;3143;264447;2011;55698;Viajeros;8399590.74;A
40123;3143;264447;2011;55565;Viajeros;4912614.0;A
40123;3143;264447;2011;55697;Viajeros;3486976.74;A
40123;3143;264447;2010;55698;Viajeros;8120857.95;A
40123;3143;264447;2010;55565;Viajeros;4959518.72;A
40123;3143;264447;2010;55697;Viajeros;3161339.23;A
40123;3143;264447;2009;55698;Viajeros;7874169.15;A
40123;3143;264447;2009;55565;Viajeros;5019354.8;A
40123;3143;264447;2009;55697;Viajeros;2854814.35;A
40123;3143;264447;2008;55698;Viajeros;8380115.52;A
40123;3143;264447;2008;55565;Viajeros;5084974.48;A
40123;3143;264447;2008;55697;Viajeros;3295141.04;A
40123;3143;264446;2020;55698;Viajeros;1458585.582417196;A
40123;3143;264446;2020;55565;Viajeros;1011450.822310681;A
40123;3143;264446;2020;55697;Viajeros;447134.760106515;A
40123;3143;264446;2019;55698;Viajeros;4340600.95651507;A
40123;3143;264446;2019;55565;Viajeros;2289202.46231574;A
40123;3143;264446;2019;55697;Viajeros;2051398.49419933;A
40123;3143;264446;2018;55698;Viajeros;3907445.223868199;A
40123;3143;264446;2018;55565;Viajeros;2093552.647156289;A
40123;3143;264446;2018;55697;Viajeros;1813892.57671191;A
40123;3143;264446;2017;55698;Viajeros;3756306.993415918;A
40123;3143;264446;2017;55565;Viajeros;2003213.542820854;A
40123;3143;264446;2017;55697;Viajeros;1753093.450595064;A
40123;3143;264446;2016;55698;Viajeros;3682435.482270224;A
40123;3143;264446;2016;55565;Viajeros;2123962.06129332;A
40123;3143;264446;2016;55697;Viajeros;1558473.420976904;A
40123;3143;264446;2015;55698;Viajeros;3492267.024465502;A
40123;3143;264446;2015;55565;Viajeros;2079828.84452132;A
40123;3143;264446;2015;55697;Viajeros;1412438.179944182;A
40123;3143;264446;2014;55698;Viajeros;3476556.547729244;A
40123;3143;264446;2014;55565;Viajeros;2114661.753627331;A
40123;3143;264446;2014;55697;Viajeros;1361894.794101913;A
40123;3143;264446;2013;55698;Viajeros;3523031.45;A
40123;3143;264446;2013;55565;Viajeros;2096311.67;A
40123;3143;264446;2013;55697;Viajeros;1426719.78;A
40123;3143;264446;2012;55698;Viajeros;3411417.79;A
40123;3143;264446;2012;55565;Viajeros;1959570.9;A
40123;3143;264446;2012;55697;Viajeros;1451846.89;A
40123;3143;264446;2011;55698;Viajeros;3632700.58;A
40123;3143;264446;2011;55565;Viajeros;2182906.18;A
40123;3143;264446;2011;55697;Viajeros;1449794.4;A
40123;3143;264446;2010;55698;Viajeros;3437626.68;A
40123;3143;264446;2010;55565;Viajeros;2197086.06;A
40123;3143;264446;2010;55697;Viajeros;1240540.62;A
40123;3143;264446;2009;55698;Viajeros;3403881.33;A
40123;3143;264446;2009;55565;Viajeros;2168177.25;A
40123;3143;264446;2009;55697;Viajeros;1235704.08;A
40123;3143;264446;2008;55698;Viajeros;3954979.72;A
40123;3143;264446;2008;55565;Viajeros;2462929.15;A
40123;3143;264446;2008;55697;Viajeros;1492050.57;A
40123;3143;62148;2020;55698;Viajeros;488146.830219407;A
40123;3143;62148;2020;55565;Viajeros;383174.439921909;A
40123;3143;62148;2020;55697;Viajeros;104972.390297498;A
40123;3143;62148;2019;55698;Viajeros;1311172.501288573;A
40123;3143;62148;2019;55565;Viajeros;840987.308122951;A
40123;3143;62148;2019;55697;Viajeros;470185.193165622;A
40123;3143;62148;2018;55698;Viajeros;1318165.377242135;A
40123;3143;62148;2018;55565;Viajeros;826132.338390382;A
40123;3143;62148;2018;55697;Viajeros;492033.038851753;A
40123;3143;62148;2017;55698;Viajeros;1237964.069497764;A
40123;3143;62148;2017;55565;Viajeros;788400.576476203;A
40123;3143;62148;2017;55697;Viajeros;449563.493021561;A
40123;3143;62148;2016;55698;Viajeros;1178585.030866486;A
40123;3143;62148;2016;55565;Viajeros;751860.944306252;A
40123;3143;62148;2016;55697;Viajeros;426724.086560234;A
40123;3143;62148;2015;55698;Viajeros;1126557.058477724;A
40123;3143;62148;2015;55565;Viajeros;728954.654815025;A
40123;3143;62148;2015;55697;Viajeros;397602.403662699;A
40123;3143;62148;2014;55698;Viajeros;1110306.995346431;A
40123;3143;62148;2014;55565;Viajeros;718522.366861121;A
40123;3143;62148;2014;55697;Viajeros;391784.62848531;A
40123;3143;62148;2013;55698;Viajeros;1149939.9;A
40123;3143;62148;2013;55565;Viajeros;747823.95;A
40123;3143;62148;2013;55697;Viajeros;402115.95;A
40123;3143;62148;2012;55698;Viajeros;1110507.86;A
