D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55537;55564;2020;Viajeros;455423.140004105;A
40123;55537;55564;2019;Viajeros;1102699.219173495;A
40123;55537;55564;2018;Viajeros;1087938.709870993;A
40123;55537;55564;2017;Viajeros;992221.634711428;A
40123;55537;55564;2016;Viajeros;1013304.377556431;A
40123;55537;55564;2015;Viajeros;971121.984928282;A
40123;55537;55564;2014;Viajeros;884616.062410806;A
40123;55537;55564;2013;Viajeros;813483.42;A
40123;55537;55564;2012;Viajeros;751346.59;A
40123;55537;55564;2011;Viajeros;911922.92;A
40123;55537;55564;2010;Viajeros;967536.68;A
40123;55537;55564;2009;Viajeros;938767.87;A
40123;55537;55564;2008;Viajeros;1005775.31;A
40123;55537;55543;2020;Viajeros;220810.18535769;A
40123;55537;55543;2019;Viajeros;511300.355908079;A
40123;55537;55543;2018;Viajeros;489840.6071989;A
40123;55537;55543;2017;Viajeros;451718.0471293;A
40123;55537;55543;2016;Viajeros;426573.004418;A
40123;55537;55543;2015;Viajeros;432289.8622266;A
40123;55537;55543;2014;Viajeros;389161.7721401;A
40123;55537;55543;2013;Viajeros;364082.32;A
40123;55537;55543;2012;Viajeros;350927.28;A
40123;55537;55543;2011;Viajeros;436788.56;A
40123;55537;55543;2010;Viajeros;465674.53;A
40123;55537;55543;2009;Viajeros;456287.19;A
40123;55537;55543;2008;Viajeros;498813.16;A
40123;55537;55563;2020;Viajeros;234612.954646415;A
40123;55537;55563;2019;Viajeros;591398.863265416;A
40123;55537;55563;2018;Viajeros;598098.102672093;A
40123;55537;55563;2017;Viajeros;540503.587582128;A
40123;55537;55563;2016;Viajeros;586731.373138431;A
40123;55537;55563;2015;Viajeros;538832.122701682;A
40123;55537;55563;2014;Viajeros;495454.290270706;A
40123;55537;55563;2013;Viajeros;449401.1;A
40123;55537;55563;2012;Viajeros;400419.31;A
40123;55537;55563;2011;Viajeros;475134.36;A
40123;55537;55563;2010;Viajeros;501862.15;A
40123;55537;55563;2009;Viajeros;482480.68;A
40123;55537;55563;2008;Viajeros;506962.15;A
40123;55537;55545;2020;Viajeros;3832.562283649;A
40123;55537;55545;2019;Viajeros;8703.412168631;A
40123;55537;55545;2018;Viajeros;9651.922105603;A
40123;55537;55545;2017;Viajeros;7841.580161224;A
40123;55537;55545;2016;Viajeros;7394.15860304;A
40123;55537;55545;2015;Viajeros;5491.635046619;A
40123;55537;55545;2014;Viajeros;7209.397545967;A
40123;55537;55545;2013;Viajeros;6424.01;A
40123;55537;55545;2012;Viajeros;5236.06;A
