OBS_STATUS;TERRITORIO;CAT_HOTELES;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES61;264447;2020;EMPLEO_MEDIO;11152.111271801;A
A;ES61;264447;2019;EMPLEO_MEDIO;25772.47264236;A
A;ES61;264447;2018;EMPLEO_MEDIO;25012.700409374;A
A;ES61;264447;2017;EMPLEO_MEDIO;24449.74161193;A
A;ES61;264447;2016;EMPLEO_MEDIO;23370.749463;A
A;ES61;264447;2015;EMPLEO_MEDIO;21524.091968293;A
A;ES61;264447;2014;EMPLEO_MEDIO;19987.79909127;A
A;ES61;264447;2013;EMPLEO_MEDIO;19090.87749997;A
A;ES61;264447;2012;EMPLEO_MEDIO;19100.76250006;A
A;ES61;264447;2011;EMPLEO_MEDIO;20012.509166697;A
A;ES61;264447;2010;EMPLEO_MEDIO;20001.100833303;A
A;ES61;264447;2009;EMPLEO_MEDIO;20286.869166677;A
A;ES61;264447;2008;EMPLEO_MEDIO;22422.503333397;A
A;ES61;264446;2020;EMPLEO_MEDIO;2780.056108891;A
A;ES61;264446;2019;EMPLEO_MEDIO;5924.345328156;A
A;ES61;264446;2018;EMPLEO_MEDIO;5494.83948693;A
A;ES61;264446;2017;EMPLEO_MEDIO;5231.76333179;A
A;ES61;264446;2016;EMPLEO_MEDIO;5083.44321672;A
A;ES61;264446;2015;EMPLEO_MEDIO;4979.60824082;A
A;ES61;264446;2014;EMPLEO_MEDIO;5221.78225134;A
A;ES61;264446;2013;EMPLEO_MEDIO;5270.54249996;A
A;ES61;264446;2012;EMPLEO_MEDIO;5690.39500005;A
A;ES61;264446;2011;EMPLEO_MEDIO;6136.12166663;A
A;ES61;264446;2010;EMPLEO_MEDIO;6138.55666664;A
A;ES61;264446;2009;EMPLEO_MEDIO;6729.9633333;A
A;ES61;264446;2008;EMPLEO_MEDIO;7355.07500001;A
A;ES61;62148;2020;EMPLEO_MEDIO;897.416104977;A
A;ES61;62148;2019;EMPLEO_MEDIO;1663.088575331;A
A;ES61;62148;2018;EMPLEO_MEDIO;1700.93990108;A
A;ES61;62148;2017;EMPLEO_MEDIO;1596.460727509;A
A;ES61;62148;2016;EMPLEO_MEDIO;1555.365434613;A
A;ES61;62148;2015;EMPLEO_MEDIO;1524.379010768;A
A;ES61;62148;2014;EMPLEO_MEDIO;1549.983693897;A
