OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55537;55564;2020;VIAJEROS;455423.140004105;A
A;55537;55564;2019;VIAJEROS;1102699.219173495;A
A;55537;55564;2018;VIAJEROS;1087938.709870993;A
A;55537;55564;2017;VIAJEROS;992221.634711428;A
A;55537;55564;2016;VIAJEROS;1013304.377556431;A
A;55537;55564;2015;VIAJEROS;971121.984928282;A
A;55537;55564;2014;VIAJEROS;884616.062410806;A
A;55537;55564;2013;VIAJEROS;813483.42;A
A;55537;55564;2012;VIAJEROS;751346.59;A
A;55537;55564;2011;VIAJEROS;911922.92;A
A;55537;55564;2010;VIAJEROS;967536.68;A
A;55537;55564;2009;VIAJEROS;938767.87;A
A;55537;55564;2008;VIAJEROS;1005775.31;A
A;55537;55543;2020;VIAJEROS;220810.18535769;A
A;55537;55543;2019;VIAJEROS;511300.355908079;A
A;55537;55543;2018;VIAJEROS;489840.6071989;A
A;55537;55543;2017;VIAJEROS;451718.0471293;A
A;55537;55543;2016;VIAJEROS;426573.004418;A
A;55537;55543;2015;VIAJEROS;432289.8622266;A
A;55537;55543;2014;VIAJEROS;389161.7721401;A
A;55537;55543;2013;VIAJEROS;364082.32;A
A;55537;55543;2012;VIAJEROS;350927.28;A
A;55537;55543;2011;VIAJEROS;436788.56;A
A;55537;55543;2010;VIAJEROS;465674.53;A
A;55537;55543;2009;VIAJEROS;456287.19;A
A;55537;55543;2008;VIAJEROS;498813.16;A
A;55537;55563;2020;VIAJEROS;234612.954646415;A
A;55537;55563;2019;VIAJEROS;591398.863265416;A
A;55537;55563;2018;VIAJEROS;598098.102672093;A
A;55537;55563;2017;VIAJEROS;540503.587582128;A
A;55537;55563;2016;VIAJEROS;586731.373138431;A
A;55537;55563;2015;VIAJEROS;538832.122701682;A
A;55537;55563;2014;VIAJEROS;495454.290270706;A
A;55537;55563;2013;VIAJEROS;449401.1;A
A;55537;55563;2012;VIAJEROS;400419.31;A
A;55537;55563;2011;VIAJEROS;475134.36;A
A;55537;55563;2010;VIAJEROS;501862.15;A
A;55537;55563;2009;VIAJEROS;482480.68;A
A;55537;55563;2008;VIAJEROS;506962.15;A
A;55537;55545;2020;VIAJEROS;3832.562283649;A
