OBS_STATUS;PUNTOS_TURISTICOS;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;70665;2020;EMPLEO_MEDIO;266.878609096;A
A;70665;2019;EMPLEO_MEDIO;456.9701555;A
A;70665;2018;EMPLEO_MEDIO;491.976393043;A
A;70665;2017;EMPLEO_MEDIO;501.83828409;A
A;70665;2016;EMPLEO_MEDIO;437.434977675;A
A;70665;2015;EMPLEO_MEDIO;382.590930292;A
A;70665;2014;EMPLEO_MEDIO;406.066383633;A
A;70665;2013;EMPLEO_MEDIO;379.290833332;A
A;70665;2012;EMPLEO_MEDIO;421.958333335;A
A;70665;2011;EMPLEO_MEDIO;439.993333334;A
A;70665;2010;EMPLEO_MEDIO;471.0875;A
A;70665;2009;EMPLEO_MEDIO;452.4325;A
A;70665;2008;EMPLEO_MEDIO;517.520833333;A
A;70666;2020;EMPLEO_MEDIO;35.01323333;A
A;70666;2018;EMPLEO_MEDIO;36.349540872;A
A;70666;2017;EMPLEO_MEDIO;41.293807739;A
A;70666;2015;EMPLEO_MEDIO;33.608328057;A
A;70666;2014;EMPLEO_MEDIO;38.821583551;A
A;70666;2013;EMPLEO_MEDIO;38.509166666;A
A;70668;2020;EMPLEO_MEDIO;68.017746452;A
A;70668;2019;EMPLEO_MEDIO;177.910088334;A
A;70668;2014;EMPLEO_MEDIO;220.42283713;A
A;55107;2020;EMPLEO_MEDIO;187.864324742;A
A;55107;2019;EMPLEO_MEDIO;448.697556754;A
A;55107;2018;EMPLEO_MEDIO;460.741470433;A
A;55107;2017;EMPLEO_MEDIO;470.262573107;A
A;55107;2016;EMPLEO_MEDIO;474.158700474;A
A;55107;2015;EMPLEO_MEDIO;456.663888754;A
A;55107;2014;EMPLEO_MEDIO;431.272799769;A
A;55107;2013;EMPLEO_MEDIO;385.539166667;A
A;55107;2012;EMPLEO_MEDIO;393.272500001;A
A;55107;2011;EMPLEO_MEDIO;399.872500001;A
A;55107;2010;EMPLEO_MEDIO;388.523333333;A
A;55107;2008;EMPLEO_MEDIO;408.545000001;A
A;55108;2020;EMPLEO_MEDIO;92.982716352;A
A;55108;2019;EMPLEO_MEDIO;147.868656203;A
A;55108;2018;EMPLEO_MEDIO;133.664529046;A
A;55108;2017;EMPLEO_MEDIO;141.086245372;A
A;55108;2016;EMPLEO_MEDIO;139.530969534;A
A;55108;2015;EMPLEO_MEDIO;123.994949713;A
A;55108;2014;EMPLEO_MEDIO;107.07767885;A
A;55108;2013;EMPLEO_MEDIO;106.745000001;A
A;55108;2011;EMPLEO_MEDIO;111.9725;A
A;55108;2010;EMPLEO_MEDIO;115.741666667;A
A;55108;2009;EMPLEO_MEDIO;102.061666666;A
A;55108;2008;EMPLEO_MEDIO;94.886666667;A
A;70667;2020;EMPLEO_MEDIO;449.718953621;A
A;70667;2019;EMPLEO_MEDIO;1321.129508029;A
A;70667;2018;EMPLEO_MEDIO;1236.357849037;A
A;70667;2017;EMPLEO_MEDIO;1281.32441886;A
A;70667;2016;EMPLEO_MEDIO;1247.435571114;A
A;70667;2015;EMPLEO_MEDIO;1022.494738317;A
A;70667;2014;EMPLEO_MEDIO;932.404077293;A
A;70667;2013;EMPLEO_MEDIO;900.219166666;A
A;70667;2012;EMPLEO_MEDIO;866.853333333;A
A;70667;2011;EMPLEO_MEDIO;871.7875;A
A;70667;2010;EMPLEO_MEDIO;974.640833333;A
A;70667;2009;EMPLEO_MEDIO;938.387499999;A
A;70667;2008;EMPLEO_MEDIO;1152.2075;A
A;269774;2020;EMPLEO_MEDIO;115.529346704;A
A;269774;2019;EMPLEO_MEDIO;255.936729867;A
A;70669;2020;EMPLEO_MEDIO;214.16125952;A
A;70669;2019;EMPLEO_MEDIO;236.177890607;A
A;70669;2018;EMPLEO_MEDIO;229.284257068;A
A;70669;2017;EMPLEO_MEDIO;229.342191043;A
A;70669;2013;EMPLEO_MEDIO;214.075833334;A
A;70669;2012;EMPLEO_MEDIO;199.414166667;A
A;70669;2011;EMPLEO_MEDIO;203.601666667;A
A;70669;2010;EMPLEO_MEDIO;211.388333333;A
A;70669;2009;EMPLEO_MEDIO;224.305833334;A
A;70669;2008;EMPLEO_MEDIO;225.863333333;A
A;70670;2020;EMPLEO_MEDIO;92.680356918;A
A;70670;2019;EMPLEO_MEDIO;112.466907456;A
A;70670;2018;EMPLEO_MEDIO;114.837176688;A
A;70670;2017;EMPLEO_MEDIO;97.704357333;A
A;70670;2016;EMPLEO_MEDIO;95.039992013;A
A;70670;2015;EMPLEO_MEDIO;79.813401798;A
A;70670;2014;EMPLEO_MEDIO;93.917107944;A
A;70670;2013;EMPLEO_MEDIO;110.294166667;A
A;70670;2012;EMPLEO_MEDIO;166.521666667;A
A;70670;2011;EMPLEO_MEDIO;147.184166667;A
A;70670;2009;EMPLEO_MEDIO;120.703333334;A
A;70670;2008;EMPLEO_MEDIO;151.126666668;A
A;55109;2020;EMPLEO_MEDIO;93.939514542;A
A;55109;2019;EMPLEO_MEDIO;147.00565699;A
A;55109;2018;EMPLEO_MEDIO;137.667365826;A
A;55109;2017;EMPLEO_MEDIO;123.296555003;A
A;55109;2016;EMPLEO_MEDIO;119.758367781;A
A;55109;2015;EMPLEO_MEDIO;111.52521023;A
A;55109;2014;EMPLEO_MEDIO;109.91153242;A
A;55109;2013;EMPLEO_MEDIO;112.876666666;A
A;70671;2020;EMPLEO_MEDIO;280.467797495;A
A;70671;2019;EMPLEO_MEDIO;484.82744526;A
A;70671;2018;EMPLEO_MEDIO;444.8414614;A
A;70671;2017;EMPLEO_MEDIO;431.424510365;A
A;70671;2016;EMPLEO_MEDIO;414.588035497;A
A;70671;2015;EMPLEO_MEDIO;398.71519157;A
A;70671;2014;EMPLEO_MEDIO;407.020477258;A
A;70671;2013;EMPLEO_MEDIO;373.9775;A
A;70671;2012;EMPLEO_MEDIO;328.172500001;A
A;70671;2011;EMPLEO_MEDIO;319.531666666;A
A;70671;2010;EMPLEO_MEDIO;330.901666667;A
A;70671;2008;EMPLEO_MEDIO;392.8175;A
A;70672;2020;EMPLEO_MEDIO;862.894729812;A
A;70672;2019;EMPLEO_MEDIO;1580.780515287;A
A;70672;2018;EMPLEO_MEDIO;1660.491511376;A
A;70672;2017;EMPLEO_MEDIO;1620.829675374;A
A;70672;2016;EMPLEO_MEDIO;1530.946538748;A
A;70672;2015;EMPLEO_MEDIO;1406.497876764;A
A;70672;2014;EMPLEO_MEDIO;1252.240584722;A
A;70672;2013;EMPLEO_MEDIO;1212.494166666;A
A;70672;2011;EMPLEO_MEDIO;1449.950833334;A
A;70672;2010;EMPLEO_MEDIO;1482.337500001;A
A;70672;2009;EMPLEO_MEDIO;1628.969166666;A
A;70672;2008;EMPLEO_MEDIO;1849.611666667;A
A;70673;2020;EMPLEO_MEDIO;110.489306351;A
A;70673;2019;EMPLEO_MEDIO;175.562889313;A
A;70673;2018;EMPLEO_MEDIO;147.954197865;A
A;70673;2017;EMPLEO_MEDIO;75.243681413;A
A;70673;2013;EMPLEO_MEDIO;73.992500001;A
A;55110;2020;EMPLEO_MEDIO;245.12792315;A
A;55110;2019;EMPLEO_MEDIO;468.963345674;A
A;55110;2018;EMPLEO_MEDIO;450.658666648;A
A;55110;2017;EMPLEO_MEDIO;460.649159069;A
