D_TEMPORAL_0;D_SEXO_0;D_EDAD_0;D_EPA_RELACTIVIDAD_0;D_EPA_NIVEL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;3689;4191;48952;46593;3143;Población;498.10454;M
2005;3689;4191;48934;46593;3143;Población;21.28402;M
2005;3689;4191;48936;46593;3143;Población;234.718495;M
2005;3689;4191;48937;46593;3143;Población;16.6752375;M
2005;3689;4191;48939;46593;3143;Población;59.6519225;M
2005;3689;4191;48940;46593;3143;Población;294.3704175;M
2005;3689;4191;48946;46593;3143;Población;203.7341225;M
2005;3689;272250;48952;46593;3143;Población;682.818975;M
2005;3689;272250;48934;46593;3143;Población;46.0102125;M
2005;3689;272250;48936;46593;3143;Población;552.63664;M
2005;3689;272250;48937;46593;3143;Población;6.694185;M
2005;3689;272250;48939;46593;3143;Población;62.2462375;M
2005;3689;272250;48940;46593;3143;Población;614.8828775;M
2005;3689;272250;48946;46593;3143;Población;67.9360975;M
2005;3689;4210;48952;46593;3143;Población;631.322955;M
2005;3689;4210;48934;46593;3143;Población;34.654595;M
2005;3689;4210;48936;46593;3143;Población;534.7978425;M
2005;3689;4210;48937;46593;3143;Población;1.0165825;M
2005;3689;4210;48939;46593;3143;Población;46.6579225;M
2005;3689;4210;48940;46593;3143;Población;581.455765;M
2005;3689;4210;48946;46593;3143;Población;49.86719;M
2005;3689;272251;48952;46593;3143;Población;477.030315;M
2005;3689;272251;48934;46593;3143;Población;20.564005;M
2005;3689;272251;48936;46593;3143;Población;378.15461;M
2005;3689;272251;48937;46593;3143;Población;0.263125;M
2005;3689;272251;48939;46593;3143;Población;30.75049;M
2005;3689;272251;48940;46593;3143;Población;408.9051;M
2005;3689;272251;48946;46593;3143;Población;68.125215;M
2005;3689;4235;48952;46593;3143;Población;364.5067125;M
2005;3689;4235;48934;46593;3143;Población;5.8652525;M
2005;3689;4235;48936;46593;3143;Población;182.304835;M
2005;3689;4235;48937;46593;3143;Población;0.0498875;M
2005;3689;4235;48939;46593;3143;Población;19.7923475;M
2005;3689;4235;48940;46593;3143;Población;202.0971825;M
2005;3689;4235;48946;46593;3143;Población;162.40953;M
2005;3689;4305;48952;46593;3143;Población;472.199025;M
2005;3689;4305;48934;46593;3143;Población;0.3368875;M
2005;3689;4305;48936;46593;3143;Población;12.825775;M
2005;3689;4305;48937;46593;3143;Población;;M
2005;3689;4305;48939;46593;3143;Población;0.4282;M
2005;3689;4305;48940;46593;3143;Población;13.253975;M
2005;3689;4305;48946;46593;3143;Población;458.94505;M
2005;3689;4306;48952;46593;3143;Población;3125.9825225;M
