D_TEMPORAL_0;D_SEXO_0;D_EPA_NACIONALIDAD_0;D_EDAD_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;3689;46925;4191;3143;Activos;547.8119075;M
2005;3689;46925;4210;3143;Activos;824.44692;M
2005;3689;46925;4235;3143;Activos;587.295325;M
2005;3689;46925;4305;3143;Activos;12.414955;M
2005;3689;46925;4306;3143;Activos;1971.9691075;M
2005;3689;46943;4191;3143;Activos;49.8702375;M
2005;3689;46943;4210;3143;Activos;68.579995;M
2005;3689;46943;4235;3143;Activos;23.7069575;M
2005;3689;46943;4305;3143;Activos;0.83902;M
2005;3689;46943;4306;3143;Activos;142.99621;M
2005;3689;46944;4191;3143;Activos;597.682145;M
2005;3689;46944;4210;3143;Activos;893.026915;M
2005;3689;46944;4235;3143;Activos;611.0022825;M
2005;3689;46944;4305;3143;Activos;13.253975;M
2005;3689;46944;4306;3143;Activos;2114.9653175;M
2005;3690;46925;4191;3143;Activos;415.703505;M
2005;3690;46925;4210;3143;Activos;537.77142;M
2005;3690;46925;4235;3143;Activos;295.5772975;M
2005;3690;46925;4305;3143;Activos;4.615385;M
2005;3690;46925;4306;3143;Activos;1253.6676075;M
2005;3690;46943;4191;3143;Activos;33.4373075;M
2005;3690;46943;4210;3143;Activos;60.10943;M
2005;3690;46943;4235;3143;Activos;17.664085;M
2005;3690;46943;4305;3143;Activos;0.395325;M
2005;3690;46943;4306;3143;Activos;111.6061475;M
2005;3690;46944;4191;3143;Activos;449.1408125;M
2005;3690;46944;4210;3143;Activos;597.88085;M
2005;3690;46944;4235;3143;Activos;313.2413825;M
2005;3690;46944;4305;3143;Activos;5.01071;M
2005;3690;46944;4306;3143;Activos;1365.273755;M
2005;3691;46925;4191;3143;Activos;963.5154125;M
2005;3691;46925;4210;3143;Activos;1362.21834;M
2005;3691;46925;4235;3143;Activos;882.8726225;M
2005;3691;46925;4305;3143;Activos;17.03034;M
2005;3691;46925;4306;3143;Activos;3225.636715;M
2005;3691;46943;4191;3143;Activos;83.307545;M
2005;3691;46943;4210;3143;Activos;128.689425;M
2005;3691;46943;4235;3143;Activos;41.3710425;M
2005;3691;46943;4305;3143;Activos;1.234345;M
2005;3691;46943;4306;3143;Activos;254.6023575;M
2005;3691;46944;4191;3143;Activos;1046.8229575;M
2005;3691;46944;4210;3143;Activos;1490.907765;M
2005;3691;46944;4235;3143;Activos;924.243665;M
2005;3691;46944;4305;3143;Activos;18.264685;M
2005;3691;46944;4306;3143;Activos;3480.2390725;M
2006;3689;46925;4191;3143;Activos;535.12751;M
2006;3689;46925;4210;3143;Activos;834.2602225;M
2006;3689;46925;4235;3143;Activos;611.2469775;M
2006;3689;46925;4305;3143;Activos;11.243705;M
2006;3689;46925;4306;3143;Activos;1991.878415;M
2006;3689;46943;4191;3143;Activos;56.467245;M
2006;3689;46943;4210;3143;Activos;80.50161;M
2006;3689;46943;4235;3143;Activos;29.8503775;M
2006;3689;46943;4305;3143;Activos;;M
2006;3689;46943;4306;3143;Activos;166.8192325;M
2006;3689;46944;4191;3143;Activos;591.594755;M
2006;3689;46944;4210;3143;Activos;914.7618325;M
2006;3689;46944;4235;3143;Activos;641.097355;M
2006;3689;46944;4305;3143;Activos;11.243705;M
2006;3689;46944;4306;3143;Activos;2158.6976475;M
2006;3690;46925;4191;3143;Activos;406.9359825;M
2006;3690;46925;4210;3143;Activos;555.01431;M
2006;3690;46925;4235;3143;Activos;321.4503975;M
2006;3690;46925;4305;3143;Activos;4.2534575;M
2006;3690;46925;4306;3143;Activos;1287.6541475;M
2006;3690;46943;4191;3143;Activos;51.228665;M
2006;3690;46943;4210;3143;Activos;70.74519;M
2006;3690;46943;4235;3143;Activos;23.1679275;M
2006;3690;46943;4305;3143;Activos;0.3645275;M
2006;3690;46943;4306;3143;Activos;145.50631;M
2006;3690;46944;4191;3143;Activos;458.1646475;M
2006;3690;46944;4210;3143;Activos;625.7595;M
2006;3690;46944;4235;3143;Activos;344.618325;M
2006;3690;46944;4305;3143;Activos;4.617985;M
2006;3690;46944;4306;3143;Activos;1433.1604575;M
2006;3691;46925;4191;3143;Activos;942.0634925;M
2006;3691;46925;4210;3143;Activos;1389.2745325;M
2006;3691;46925;4235;3143;Activos;932.697375;M
2006;3691;46925;4305;3143;Activos;15.4971625;M
2006;3691;46925;4306;3143;Activos;3279.5325625;M
2006;3691;46943;4191;3143;Activos;107.69591;M
2006;3691;46943;4210;3143;Activos;151.2468;M
2006;3691;46943;4235;3143;Activos;53.018305;M
2006;3691;46943;4305;3143;Activos;0.3645275;M
2006;3691;46943;4306;3143;Activos;312.3255425;M
2006;3691;46944;4191;3143;Activos;1049.7594025;M
2006;3691;46944;4210;3143;Activos;1540.5213325;M
2006;3691;46944;4235;3143;Activos;985.71568;M
2006;3691;46944;4305;3143;Activos;15.86169;M
2006;3691;46944;4306;3143;Activos;3591.858105;M
2007;3689;46925;4191;3143;Activos;512.335605;M
2007;3689;46925;4210;3143;Activos;833.878975;M
2007;3689;46925;4235;3143;Activos;644.385285;M
2007;3689;46925;4305;3143;Activos;12.2930525;M
2007;3689;46925;4306;3143;Activos;2002.8929175;M
2007;3689;46943;4191;3143;Activos;65.76891;M
2007;3689;46943;4210;3143;Activos;102.83063;M
2007;3689;46943;4235;3143;Activos;28.2397375;M
2007;3689;46943;4305;3143;Activos;0.2290225;M
2007;3689;46943;4306;3143;Activos;197.0683;M
2007;3689;46944;4191;3143;Activos;578.104515;M
2007;3689;46944;4210;3143;Activos;936.709605;M
2007;3689;46944;4235;3143;Activos;672.6250225;M
2007;3689;46944;4305;3143;Activos;12.522075;M
2007;3689;46944;4306;3143;Activos;2199.9612175;M
2007;3690;46925;4191;3143;Activos;404.709905;M
2007;3690;46925;4210;3143;Activos;583.61629;M
2007;3690;46925;4235;3143;Activos;356.1339475;M
2007;3690;46925;4305;3143;Activos;3.870205;M
2007;3690;46925;4306;3143;Activos;1348.3303475;M
2007;3690;46943;4191;3143;Activos;55.7325275;M
2007;3690;46943;4210;3143;Activos;78.87479;M
2007;3690;46943;4235;3143;Activos;28.3067225;M
2007;3690;46943;4305;3143;Activos;0.95491;M
2007;3690;46943;4306;3143;Activos;163.86895;M
2007;3690;46944;4191;3143;Activos;460.4424325;M
2007;3690;46944;4210;3143;Activos;662.49108;M
2007;3690;46944;4235;3143;Activos;384.44067;M
2007;3690;46944;4305;3143;Activos;4.825115;M
2007;3690;46944;4306;3143;Activos;1512.1992975;M
2007;3691;46925;4191;3143;Activos;917.04551;M
2007;3691;46925;4210;3143;Activos;1417.495265;M
