D_TEMPORAL_0;D_EPA_ESTRUCHOGAR_0;D_EPA_RELACTIVIDAD_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;48981;48952;3689;3143;Población;222.191235;M
2005;48981;48952;3690;3143;Población;303.1684925;M
2005;48981;48952;3691;3143;Población;525.3597275;M
2005;48981;48940;3689;3143;Población;124.1236925;M
2005;48981;48940;3690;3143;Población;73.899755;M
2005;48981;48940;3691;3143;Población;198.0234475;M
2005;48981;48936;3689;3143;Población;109.739455;M
2005;48981;48936;3690;3143;Población;63.93642;M
2005;48981;48936;3691;3143;Población;173.675875;M
2005;48981;48939;3689;3143;Población;14.3842375;M
2005;48981;48939;3690;3143;Población;9.963335;M
2005;48981;48939;3691;3143;Población;24.3475725;M
2005;48981;48946;3689;3143;Población;98.0675425;M
2005;48981;48946;3690;3143;Población;229.2687375;M
2005;48981;48946;3691;3143;Población;327.33628;M
2005;48978;48952;3689;3143;Población;24.989255;M
2005;48978;48952;3690;3143;Población;16.935785;M
2005;48978;48952;3691;3143;Población;41.92504;M
2005;48978;48940;3689;3143;Población;22.1143525;M
2005;48978;48940;3690;3143;Población;14.8087325;M
2005;48978;48940;3691;3143;Población;36.923085;M
2005;48978;48936;3689;3143;Población;19.2857825;M
2005;48978;48936;3690;3143;Población;12.9241025;M
2005;48978;48936;3691;3143;Población;32.209885;M
2005;48978;48939;3689;3143;Población;2.82857;M
2005;48978;48939;3690;3143;Población;1.88463;M
2005;48978;48939;3691;3143;Población;4.7132;M
2005;48978;48946;3689;3143;Población;2.8749025;M
2005;48978;48946;3690;3143;Población;2.1270525;M
2005;48978;48946;3691;3143;Población;5.001955;M
2005;48979;48952;3689;3143;Población;131.618775;M
2005;48979;48952;3690;3143;Población;91.822195;M
2005;48979;48952;3691;3143;Población;223.44097;M
2005;48979;48940;3689;3143;Población;101.1798175;M
2005;48979;48940;3690;3143;Población;58.4197675;M
2005;48979;48940;3691;3143;Población;159.599585;M
2005;48979;48936;3689;3143;Población;89.62415;M
2005;48979;48936;3690;3143;Población;50.396455;M
2005;48979;48936;3691;3143;Población;140.020605;M
2005;48979;48939;3689;3143;Población;11.5556675;M
2005;48979;48939;3690;3143;Población;8.0233125;M
2005;48979;48939;3691;3143;Población;19.57898;M
2005;48979;48946;3689;3143;Población;30.4389575;M
2005;48979;48946;3690;3143;Población;33.4024275;M
2005;48979;48946;3691;3143;Población;63.841385;M
2005;48980;48952;3689;3143;Población;65.583205;M
2005;48980;48952;3690;3143;Población;194.4105125;M
2005;48980;48952;3691;3143;Población;259.9937175;M
2005;48980;48940;3689;3143;Población;0.8295225;M
2005;48980;48940;3690;3143;Población;0.671255;M
2005;48980;48940;3691;3143;Población;1.5007775;M
2005;48980;48936;3689;3143;Población;0.8295225;M
2005;48980;48936;3690;3143;Población;0.6158625;M
2005;48980;48936;3691;3143;Población;1.445385;M
2005;48980;48939;3689;3143;Población;;M
2005;48980;48939;3690;3143;Población;0.0553925;M
2005;48980;48939;3691;3143;Población;0.0553925;M
2005;48980;48946;3689;3143;Población;64.7536825;M
2005;48980;48946;3690;3143;Población;193.7392575;M
