D_TEMPORAL_0;D_SEXO_0;D_CNO11_0;D_EDAD_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;3689;6727;4191;3143;Ocupados;502.0453125;M
2005;3689;6727;4210;3143;Ocupados;820.107665;M
2005;3689;6727;4235;3143;Ocupados;560.459445;M
2005;3689;6727;4305;3143;Ocupados;12.825775;M
2005;3689;6727;4306;3143;Ocupados;1895.4381975;M
2005;3690;6727;4191;3143;Ocupados;338.5110275;M
2005;3690;6727;4210;3143;Ocupados;493.3766425;M
2005;3690;6727;4235;3143;Ocupados;266.9780525;M
2005;3690;6727;4305;3143;Ocupados;4.812275;M
2005;3690;6727;4306;3143;Ocupados;1103.6779975;M
2005;3691;6727;4191;3143;Ocupados;840.55634;M
2005;3691;6727;4210;3143;Ocupados;1313.4843075;M
2005;3691;6727;4235;3143;Ocupados;827.4374975;M
2005;3691;6727;4305;3143;Ocupados;17.63805;M
2005;3691;6727;4306;3143;Ocupados;2999.116195;M
2006;3689;6727;4191;3143;Ocupados;507.02178;M
2006;3689;6727;4210;3143;Ocupados;846.357865;M
2006;3689;6727;4235;3143;Ocupados;594.0958725;M
2006;3689;6727;4305;3143;Ocupados;11.0782325;M
2006;3689;6727;4306;3143;Ocupados;1958.55375;M
2006;3690;6727;4191;3143;Ocupados;351.90171;M
2006;3690;6727;4210;3143;Ocupados;525.3340275;M
2006;3690;6727;4235;3143;Ocupados;298.541165;M
2006;3690;6727;4305;3143;Ocupados;4.17141;M
2006;3690;6727;4306;3143;Ocupados;1179.9483125;M
2006;3691;6727;4191;3143;Ocupados;858.92349;M
2006;3691;6727;4210;3143;Ocupados;1371.6918925;M
2006;3691;6727;4235;3143;Ocupados;892.6370375;M
2006;3691;6727;4305;3143;Ocupados;15.2496425;M
2006;3691;6727;4306;3143;Ocupados;3138.5020625;M
2007;3689;6727;4191;3143;Ocupados;491.7260975;M
2007;3689;6727;4210;3143;Ocupados;868.7860775;M
2007;3689;6727;4235;3143;Ocupados;616.969665;M
2007;3689;6727;4305;3143;Ocupados;12.272315;M
2007;3689;6727;4306;3143;Ocupados;1989.754155;M
2007;3690;6727;4191;3143;Ocupados;356.86746;M
2007;3690;6727;4210;3143;Ocupados;559.480015;M
2007;3690;6727;4235;3143;Ocupados;327.8409625;M
2007;3690;6727;4305;3143;Ocupados;4.6790025;M
2007;3690;6727;4306;3143;Ocupados;1248.86744;M
2007;3691;6727;4191;3143;Ocupados;848.5935575;M
2007;3691;6727;4210;3143;Ocupados;1428.2660925;M
2007;3691;6727;4235;3143;Ocupados;944.8106275;M
2007;3691;6727;4305;3143;Ocupados;16.9513175;M
2007;3691;6727;4306;3143;Ocupados;3238.621595;M
2008;3689;6727;4191;3143;Ocupados;433.236465;M
2008;3689;6727;4210;3143;Ocupados;839.55157;M
2008;3689;6727;4235;3143;Ocupados;617.2346375;M
2008;3689;6727;4305;3143;Ocupados;10.8118575;M
2008;3689;6727;4306;3143;Ocupados;1900.83453;M
2008;3690;6727;4191;3143;Ocupados;342.5171125;M
2008;3690;6727;4210;3143;Ocupados;577.4196525;M
2008;3690;6727;4235;3143;Ocupados;332.0062475;M
2008;3690;6727;4305;3143;Ocupados;7.89394;M
2008;3690;6727;4306;3143;Ocupados;1259.8369525;M
2008;3691;6727;4191;3143;Ocupados;775.7535775;M
2008;3691;6727;4210;3143;Ocupados;1416.9712225;M
2008;3691;6727;4235;3143;Ocupados;949.240885;M
2008;3691;6727;4305;3143;Ocupados;18.7057975;M
2008;3691;6727;4306;3143;Ocupados;3160.6714825;M
2009;3689;6727;4191;3143;Ocupados;333.174305;M
2009;3689;6727;4210;3143;Ocupados;770.76804;M
2009;3689;6727;4235;3143;Ocupados;593.6093775;M
2009;3689;6727;4305;3143;Ocupados;10.3636925;M
2009;3689;6727;4306;3143;Ocupados;1707.915415;M
2009;3690;6727;4191;3143;Ocupados;293.17133;M
2009;3690;6727;4210;3143;Ocupados;569.168335;M
2009;3690;6727;4235;3143;Ocupados;353.25387;M
2009;3690;6727;4305;3143;Ocupados;8.6589125;M
2009;3690;6727;4306;3143;Ocupados;1224.2524475;M
2009;3691;6727;4191;3143;Ocupados;626.345635;M
2009;3691;6727;4210;3143;Ocupados;1339.936375;M
2009;3691;6727;4235;3143;Ocupados;946.8632475;M
2009;3691;6727;4305;3143;Ocupados;19.022605;M
2009;3691;6727;4306;3143;Ocupados;2932.1678625;M
2010;3689;6038;4191;3143;Ocupados;4.5695575;M
2010;3689;6038;4210;3143;Ocupados;44.97226;M
2010;3689;6038;4235;3143;Ocupados;40.3420075;M
2010;3689;6038;4305;3143;Ocupados;1.31797;M
2010;3689;6038;4306;3143;Ocupados;91.201795;M
2010;3689;6203;4191;3143;Ocupados;17.222945;M
2010;3689;6203;4210;3143;Ocupados;89.778485;M
2010;3689;6203;4235;3143;Ocupados;80.244685;M
2010;3689;6203;4305;3143;Ocupados;2.69046;M
2010;3689;6203;4306;3143;Ocupados;189.936575;M
2010;3689;6333;4191;3143;Ocupados;23.26195;M
2010;3689;6333;4210;3143;Ocupados;94.89865;M
2010;3689;6333;4235;3143;Ocupados;74.9299275;M
2010;3689;6333;4305;3143;Ocupados;0.48179;M
2010;3689;6333;4306;3143;Ocupados;193.5723175;M
2010;3689;6375;4191;3143;Ocupados;11.3472125;M
2010;3689;6375;4210;3143;Ocupados;38.5874475;M
2010;3689;6375;4235;3143;Ocupados;29.369715;M
2010;3689;6375;4305;3143;Ocupados;0.2011375;M
