D_TEMPORAL_0;D_CNAE09_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;8456;3689;3143;Parados;51.824375;M
2005;8456;3690;3143;Parados;85.591015;M
2005;8456;3691;3143;Parados;137.41539;M
2005;6950;3689;3143;Parados;24.6990175;M
2005;6950;3690;3143;Parados;38.483995;M
2005;6950;3691;3143;Parados;63.1830125;M
2005;6949;3689;3143;Parados;219.52712;M
2005;6949;3690;3143;Parados;261.5957575;M
2005;6949;3691;3143;Parados;481.1228775;M
2006;8456;3689;3143;Parados;45.03124;M
2006;8456;3690;3143;Parados;78.7991075;M
2006;8456;3691;3143;Parados;123.8303475;M
2006;6950;3689;3143;Parados;17.6905975;M
2006;6950;3690;3143;Parados;36.3625125;M
2006;6950;3691;3143;Parados;54.05311;M
2006;6949;3689;3143;Parados;200.1438975;M
2006;6949;3690;3143;Parados;253.212145;M
2006;6949;3691;3143;Parados;453.3560425;M
2007;8456;3689;3143;Parados;44.3234925;M
2007;8456;3690;3143;Parados;84.98818;M
2007;8456;3691;3143;Parados;129.3116725;M
2007;6950;3689;3143;Parados;17.3742625;M
2007;6950;3690;3143;Parados;33.0832025;M
2007;6950;3691;3143;Parados;50.457465;M
2007;6949;3689;3143;Parados;210.2070625;M
2007;6949;3690;3143;Parados;263.3318575;M
2007;6949;3691;3143;Parados;473.53892;M
2008;6980;3689;3143;Parados;37.65801;M
2008;6980;3690;3143;Parados;42.5071975;M
2008;6980;3691;3143;Parados;80.1652075;M
2008;7057;3689;3143;Parados;24.1917475;M
2008;7057;3690;3143;Parados;11.15014;M
2008;7057;3691;3143;Parados;35.3418875;M
2008;7662;3689;3143;Parados;111.4148475;M
2008;7662;3690;3143;Parados;4.6918775;M
2008;7662;3691;3143;Parados;116.106725;M
2008;7715;3689;3143;Parados;84.4079775;M
2008;7715;3690;3143;Parados;140.227565;M
2008;7715;3691;3143;Parados;224.6355425;M
2008;7716;3689;3143;Parados;40.7126725;M
2008;7716;3690;3143;Parados;60.477345;M
2008;7716;3691;3143;Parados;101.1900175;M
2008;7889;3689;3143;Parados;10.319975;M
2008;7889;3690;3143;Parados;3.06956;M
2008;7889;3691;3143;Parados;13.389535;M
2008;8032;3689;3143;Parados;11.3668875;M
2008;8032;3690;3143;Parados;17.1709825;M
2008;8032;3691;3143;Parados;28.53787;M
2008;8256;3689;3143;Parados;15.2200125;M
2008;8256;3690;3143;Parados;35.77771;M
2008;8256;3691;3143;Parados;50.9977225;M
2008;8346;3689;3143;Parados;6.78843;M
2008;8346;3690;3143;Parados;23.7319675;M
2008;8346;3691;3143;Parados;30.5203975;M
2008;8456;3689;3143;Parados;62.5301325;M
2008;8456;3690;3143;Parados;106.5938525;M
