D_TEMPORAL_0;D_CNO11_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2005;6728;3689;3143;Parados;24.6990175;M
2005;6728;3690;3143;Parados;38.483995;M
2005;6728;3691;3143;Parados;63.1830125;M
2005;6744;3689;3143;Parados;51.824375;M
2005;6744;3690;3143;Parados;85.591015;M
2005;6744;3691;3143;Parados;137.41539;M
2005;6727;3689;3143;Parados;219.52712;M
2005;6727;3690;3143;Parados;261.5957575;M
2005;6727;3691;3143;Parados;481.1228775;M
2006;6728;3689;3143;Parados;17.6905975;M
2006;6728;3690;3143;Parados;36.3625125;M
2006;6728;3691;3143;Parados;54.05311;M
2006;6744;3689;3143;Parados;45.03124;M
2006;6744;3690;3143;Parados;78.7991075;M
2006;6744;3691;3143;Parados;123.8303475;M
2006;6727;3689;3143;Parados;200.1438975;M
2006;6727;3690;3143;Parados;253.212145;M
2006;6727;3691;3143;Parados;453.3560425;M
2007;6728;3689;3143;Parados;17.3742625;M
2007;6728;3690;3143;Parados;33.0832025;M
2007;6728;3691;3143;Parados;50.457465;M
2007;6744;3689;3143;Parados;44.3234925;M
2007;6744;3690;3143;Parados;84.98818;M
2007;6744;3691;3143;Parados;129.3116725;M
2007;6727;3689;3143;Parados;210.2070625;M
2007;6727;3690;3143;Parados;263.3318575;M
2007;6727;3691;3143;Parados;473.53892;M
2008;6728;3689;3143;Parados;22.112165;M
2008;6728;3690;3143;Parados;33.79063;M
2008;6728;3691;3143;Parados;55.902795;M
2008;6744;3689;3143;Parados;62.5301325;M
2008;6744;3690;3143;Parados;106.5938525;M
2008;6744;3691;3143;Parados;169.123985;M
2008;6727;3689;3143;Parados;342.31488;M
2008;6727;3690;3143;Parados;338.9612625;M
2008;6727;3691;3143;Parados;681.2761425;M
2009;6728;3689;3143;Parados;26.728835;M
2009;6728;3690;3143;Parados;43.3236275;M
2009;6728;3691;3143;Parados;70.0524625;M
2009;6744;3689;3143;Parados;133.3617075;M
2009;6744;3690;3143;Parados;155.602435;M
2009;6744;3691;3143;Parados;288.9641425;M
2009;6727;3689;3143;Parados;540.8570225;M
2009;6727;3690;3143;Parados;449.326755;M
2009;6727;3691;3143;Parados;990.1837775;M
2010;6038;3689;3143;Parados;3.4095375;M
2010;6038;3690;3143;Parados;1.13268;M
2010;6038;3691;3143;Parados;4.5422175;M
2010;6203;3689;3143;Parados;10.503185;M
2010;6203;3690;3143;Parados;13.1778875;M
2010;6203;3691;3143;Parados;23.6810725;M
2010;6333;3689;3143;Parados;19.554685;M
2010;6333;3690;3143;Parados;15.7814325;M
2010;6333;3691;3143;Parados;35.3361175;M
2010;6375;3689;3143;Parados;8.6268925;M
2010;6375;3690;3143;Parados;17.82586;M
2010;6375;3691;3143;Parados;26.4527525;M
2010;6463;3689;3143;Parados;43.5447875;M
2010;6463;3690;3143;Parados;76.0883775;M
2010;6463;3691;3143;Parados;119.633165;M
2010;6489;3689;3143;Parados;6.7149075;M
2010;6489;3690;3143;Parados;2.1042575;M
2010;6489;3691;3143;Parados;8.819165;M
2010;6601;3689;3143;Parados;119.7099725;M
2010;6601;3690;3143;Parados;7.4476775;M
2010;6601;3691;3143;Parados;127.15765;M
2010;6667;3689;3143;Parados;26.4319;M
2010;6667;3690;3143;Parados;4.3726675;M
2010;6667;3691;3143;Parados;30.8045675;M
2010;6726;3689;3143;Parados;118.10329;M
2010;6726;3690;3143;Parados;116.769325;M
2010;6726;3691;3143;Parados;234.872615;M
2010;5989;3689;3143;Parados;0.104325;M
2010;5989;3690;3143;Parados;0.0689275;M
2010;5989;3691;3143;Parados;0.1732525;M
2010;6728;3689;3143;Parados;33.99959;M
2010;6728;3690;3143;Parados;47.69799;M
2010;6728;3691;3143;Parados;81.69758;M
2010;6744;3689;3143;Parados;209.351735;M
2010;6744;3690;3143;Parados;202.495355;M
2010;6744;3691;3143;Parados;411.84709;M
2010;6727;3689;3143;Parados;600.0548075;M
2010;6727;3690;3143;Parados;504.9624375;M
2010;6727;3691;3143;Parados;1105.017245;M
2011;6038;3689;3143;Parados;3.1936375;M
2011;6038;3690;3143;Parados;1.15651;M
2011;6038;3691;3143;Parados;4.3501475;M
2011;6203;3689;3143;Parados;11.36204;M
2011;6203;3690;3143;Parados;13.401095;M
2011;6203;3691;3143;Parados;24.763135;M
2011;6333;3689;3143;Parados;19.3854225;M
2011;6333;3690;3143;Parados;10.71873;M
2011;6333;3691;3143;Parados;30.1041525;M
2011;6375;3689;3143;Parados;10.9387625;M
2011;6375;3690;3143;Parados;20.684405;M
2011;6375;3691;3143;Parados;31.6231675;M
2011;6463;3689;3143;Parados;47.0171175;M
2011;6463;3690;3143;Parados;79.617105;M
2011;6463;3691;3143;Parados;126.6342225;M
2011;6489;3689;3143;Parados;9.4985825;M
2011;6489;3690;3143;Parados;1.3887025;M
2011;6489;3691;3143;Parados;10.887285;M
2011;6601;3689;3143;Parados;107.60721;M
2011;6601;3690;3143;Parados;11.358785;M
2011;6601;3691;3143;Parados;118.965995;M
2011;6667;3689;3143;Parados;24.735005;M
2011;6667;3690;3143;Parados;3.799405;M
2011;6667;3691;3143;Parados;28.53441;M
2011;6726;3689;3143;Parados;132.4465125;M
2011;6726;3690;3143;Parados;122.1838425;M
2011;6726;3691;3143;Parados;254.630355;M
2011;5989;3689;3143;Parados;0.378265;M
2011;5989;3690;3143;Parados;;M
2011;5989;3691;3143;Parados;0.378265;M
2011;6728;3689;3143;Parados;39.787965;M
2011;6728;3690;3143;Parados;55.4937475;M
2011;6728;3691;3143;Parados;95.2817125;M
2011;6744;3689;3143;Parados;238.23806;M
2011;6744;3690;3143;Parados;242.1177775;M
2011;6744;3691;3143;Parados;480.3558375;M
2011;6727;3689;3143;Parados;644.58858;M
2011;6727;3690;3143;Parados;561.920105;M
2011;6727;3691;3143;Parados;1206.508685;M
2012;6038;3689;3143;Parados;2.72577;M
2012;6038;3690;3143;Parados;0.8511325;M
2012;6038;3691;3143;Parados;3.5769025;M
2012;6203;3689;3143;Parados;12.251005;M
2012;6203;3690;3143;Parados;16.4072425;M
2012;6203;3691;3143;Parados;28.6582475;M
2012;6333;3689;3143;Parados;20.67076;M
2012;6333;3690;3143;Parados;13.13988;M
2012;6333;3691;3143;Parados;33.81064;M
2012;6375;3689;3143;Parados;10.2499025;M
2012;6375;3690;3143;Parados;22.2861025;M
2012;6375;3691;3143;Parados;32.536005;M
2012;6463;3689;3143;Parados;55.891805;M
2012;6463;3690;3143;Parados;92.48827;M
2012;6463;3691;3143;Parados;148.380075;M
2012;6489;3689;3143;Parados;9.1893025;M
2012;6489;3690;3143;Parados;1.58801;M
2012;6489;3691;3143;Parados;10.7773125;M
