D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EPA_RELACTIVIDAD_0;D_EPA_NIVEL_0;INDICATOR;OBS_VALUE;FREQ
2005;2352;3689;48952;46593;Población;258.3735475;M
2005;2352;3689;48940;46593;Población;194.199195;M
2005;2352;3689;48936;46593;Población;179.5265875;M
2005;2352;3689;48934;46593;Población;13.127025;M
2005;2352;3689;48939;46593;Población;14.6726075;M
2005;2352;3689;48937;46593;Población;2.81691;M
2005;2352;3689;48946;46593;Población;64.1743525;M
2005;2352;3690;48952;46593;Población;242.912065;M
2005;2352;3690;48940;46593;Población;123.257865;M
2005;2352;3690;48936;46593;Población;108.7603225;M
2005;2352;3690;48934;46593;Población;11.92284;M
2005;2352;3690;48939;46593;Población;14.4975425;M
2005;2352;3690;48937;46593;Población;2.0002475;M
2005;2352;3690;48946;46593;Población;119.6542;M
2005;2352;3691;48952;46593;Población;501.2856125;M
2005;2352;3691;48940;46593;Población;317.45706;M
2005;2352;3691;48936;46593;Población;288.28691;M
2005;2352;3691;48934;46593;Población;25.049865;M
2005;2352;3691;48939;46593;Población;29.17015;M
2005;2352;3691;48937;46593;Población;4.8171575;M
2005;2352;3691;48946;46593;Población;183.8285525;M
2005;2402;3689;48952;46593;Población;465.99363;M
2005;2402;3689;48940;46593;Población;320.91063;M
2005;2402;3689;48936;46593;Población;271.788555;M
2005;2402;3689;48934;46593;Población;19.25295;M
2005;2402;3689;48939;46593;Población;49.122075;M
2005;2402;3689;48937;46593;Población;5.2007375;M
2005;2402;3689;48946;46593;Población;145.083;M
2005;2402;3690;48952;46593;Población;481.18372;M
2005;2402;3690;48940;46593;Población;195.164275;M
2005;2402;3690;48936;46593;Población;153.2851825;M
2005;2402;3690;48934;46593;Población;21.4795975;M
2005;2402;3690;48939;46593;Población;41.8790925;M
2005;2402;3690;48937;46593;Población;8.8856475;M
2005;2402;3690;48946;46593;Población;286.019445;M
2005;2402;3691;48952;46593;Población;947.17735;M
2005;2402;3691;48940;46593;Población;516.074905;M
2005;2402;3691;48936;46593;Población;425.0737375;M
2005;2402;3691;48934;46593;Población;40.7325475;M
2005;2402;3691;48939;46593;Población;91.0011675;M
2005;2402;3691;48937;46593;Población;14.086385;M
2005;2402;3691;48946;46593;Población;431.102445;M
2005;2482;3689;48952;46593;Población;308.3910875;M
2005;2482;3689;48940;46593;Población;200.5939425;M
2005;2482;3689;48936;46593;Población;182.05273;M
2005;2482;3689;48934;46593;Población;12.69576;M
2005;2482;3689;48939;46593;Población;18.5412125;M
2005;2482;3689;48937;46593;Población;1.62993;M
2005;2482;3689;48946;46593;Población;107.797145;M
2005;2482;3690;48952;46593;Población;326.997175;M
2005;2482;3690;48940;46593;Población;127.4204375;M
2005;2482;3690;48936;46593;Población;97.255015;M
2005;2482;3690;48934;46593;Población;11.7069225;M
2005;2482;3690;48939;46593;Población;30.1654225;M
2005;2482;3690;48937;46593;Población;4.3761575;M
2005;2482;3690;48946;46593;Población;199.5767375;M
2005;2482;3691;48952;46593;Población;635.3882625;M
2005;2482;3691;48940;46593;Población;328.01438;M
2005;2482;3691;48936;46593;Población;279.307745;M
2005;2482;3691;48934;46593;Población;24.4026825;M
2005;2482;3691;48939;46593;Población;48.706635;M
2005;2482;3691;48937;46593;Población;6.0060875;M
2005;2482;3691;48946;46593;Población;307.3738825;M
2005;2713;3689;48952;46593;Población;344.8669075;M
2005;2713;3689;48940;46593;Población;218.164845;M
2005;2713;3689;48936;46593;Población;198.4796575;M
2005;2713;3689;48934;46593;Población;10.0783;M
2005;2713;3689;48939;46593;Población;19.6851875;M
2005;2713;3689;48937;46593;Población;2.6983525;M
2005;2713;3689;48946;46593;Población;126.7020625;M
2005;2713;3690;48952;46593;Población;361.3098025;M
2005;2713;3690;48940;46593;Población;145.092205;M
2005;2713;3690;48936;46593;Población;117.138685;M
2005;2713;3690;48934;46593;Población;14.4145175;M
2005;2713;3690;48939;46593;Población;27.95352;M
2005;2713;3690;48937;46593;Población;4.9179725;M
2005;2713;3690;48946;46593;Población;216.2175975;M
2005;2713;3691;48952;46593;Población;706.17671;M
2005;2713;3691;48940;46593;Población;363.25705;M
2005;2713;3691;48936;46593;Población;315.6183425;M
2005;2713;3691;48934;46593;Población;24.4928175;M
2005;2713;3691;48939;46593;Población;47.6387075;M
2005;2713;3691;48937;46593;Población;7.616325;M
2005;2713;3691;48946;46593;Población;342.91966;M
2005;2797;3689;48952;46593;Población;196.4952425;M
2005;2797;3689;48940;46593;Población;131.1605325;M
2005;2797;3689;48936;46593;Población;114.901825;M
2005;2797;3689;48934;46593;Población;7.589775;M
2005;2797;3689;48939;46593;Población;16.2587075;M
2005;2797;3689;48937;46593;Población;1.2551525;M
2005;2797;3689;48946;46593;Población;65.33471;M
2005;2797;3690;48952;46593;Población;200.7617925;M
2005;2797;3690;48940;46593;Población;75.9304525;M
2005;2797;3690;48936;46593;Población;59.6712825;M
2005;2797;3690;48934;46593;Población;10.3185325;M
2005;2797;3690;48939;46593;Población;16.25917;M
2005;2797;3690;48937;46593;Población;2.616695;M
2005;2797;3690;48946;46593;Población;124.83134;M
2005;2797;3691;48952;46593;Población;397.257035;M
2005;2797;3691;48940;46593;Población;207.090985;M
2005;2797;3691;48936;46593;Población;174.5731075;M
2005;2797;3691;48934;46593;Población;17.9083075;M
2005;2797;3691;48939;46593;Población;32.5178775;M
2005;2797;3691;48937;46593;Población;3.8718475;M
2005;2797;3691;48946;46593;Población;190.16605;M
2005;2911;3689;48952;46593;Población;261.759775;M
2005;2911;3689;48940;46593;Población;167.213115;M
2005;2911;3689;48936;46593;Población;149.2317825;M
2005;2911;3689;48934;46593;Población;9.536455;M
2005;2911;3689;48939;46593;Población;17.9813325;M
2005;2911;3689;48937;46593;Población;1.713795;M
2005;2911;3689;48946;46593;Población;94.54666;M
2005;2911;3690;48952;46593;Población;270.4664425;M
2005;2911;3690;48940;46593;Población;95.130055;M
2005;2911;3690;48936;46593;Población;71.249615;M
2005;2911;3690;48934;46593;Población;6.97973;M
2005;2911;3690;48939;46593;Población;23.88044;M
2005;2911;3690;48937;46593;Población;3.93494;M
2005;2911;3690;48946;46593;Población;175.3363875;M
2005;2911;3691;48952;46593;Población;532.2262175;M
2005;2911;3691;48940;46593;Población;262.34317;M
2005;2911;3691;48936;46593;Población;220.4813975;M
2005;2911;3691;48934;46593;Población;16.516185;M
2005;2911;3691;48939;46593;Población;41.8617725;M
2005;2911;3691;48937;46593;Población;5.648735;M
2005;2911;3691;48946;46593;Población;269.8830475;M
2005;3023;3689;48952;46593;Población;579.16695;M
2005;3023;3689;48940;46593;Población;387.2439225;M
2005;3023;3689;48936;46593;Población;352.372725;M
2005;3023;3689;48934;46593;Población;21.3370825;M
2005;3023;3689;48939;46593;Población;34.8711975;M
2005;3023;3689;48937;46593;Población;3.253885;M
2005;3023;3689;48946;46593;Población;191.9230275;M
2005;3023;3690;48952;46593;Población;602.7343275;M
2005;3023;3690;48940;46593;Población;268.73012;M
2005;3023;3690;48936;46593;Población;227.8390275;M
2005;3023;3690;48934;46593;Población;24.775505;M
2005;3023;3690;48939;46593;Población;40.8910925;M
2005;3023;3690;48937;46593;Población;4.6218375;M
2005;3023;3690;48946;46593;Población;334.0042075;M
2005;3023;3691;48952;46593;Población;1181.9012775;M
2005;3023;3691;48940;46593;Población;655.9740425;M
2005;3023;3691;48936;46593;Población;580.2117525;M
2005;3023;3691;48934;46593;Población;46.1125875;M
2005;3023;3691;48939;46593;Población;75.76229;M
2005;3023;3691;48937;46593;Población;7.8757225;M
2005;3023;3691;48946;46593;Población;525.927235;M
2005;3142;3689;48952;46593;Población;710.9353825;M
2005;3142;3689;48940;46593;Población;495.479135;M
2005;3142;3689;48936;46593;Población;447.084335;M
2005;3142;3689;48934;46593;Población;35.097625;M
2005;3142;3689;48939;46593;Población;48.3948;M
2005;3142;3689;48937;46593;Población;6.130255;M
2005;3142;3689;48946;46593;Población;215.4562475;M
2005;3142;3690;48952;46593;Población;754.042835;M
2005;3142;3690;48940;46593;Población;334.548345;M
2005;3142;3690;48936;46593;Población;268.4788675;M
2005;3142;3690;48934;46593;Población;34.933435;M
2005;3142;3690;48939;46593;Población;66.0694775;M
2005;3142;3690;48937;46593;Población;7.1304975;M
2005;3142;3690;48946;46593;Población;419.49449;M
2005;3142;3691;48952;46593;Población;1464.9782175;M
2005;3142;3691;48940;46593;Población;830.02748;M
2005;3142;3691;48936;46593;Población;715.5632025;M
2005;3142;3691;48934;46593;Población;70.03106;M
2005;3142;3691;48939;46593;Población;114.4642775;M
2005;3142;3691;48937;46593;Población;13.2607525;M
2005;3142;3691;48946;46593;Población;634.9507375;M
2005;3143;3689;48952;46593;Población;3125.9825225;M
2005;3143;3689;48940;46593;Población;2114.9653175;M
2005;3143;3689;48936;46593;Población;1895.4381975;M
2005;3143;3689;48934;46593;Población;128.7149725;M
2005;3143;3689;48939;46593;Población;219.52712;M
2005;3143;3689;48937;46593;Población;24.6990175;M
2005;3143;3689;48946;46593;Población;1011.017205;M
2005;3143;3690;48952;46593;Población;3240.40816;M
2005;3143;3690;48940;46593;Población;1365.273755;M
2005;3143;3690;48936;46593;Población;1103.6779975;M
2005;3143;3690;48934;46593;Población;136.53108;M
2005;3143;3690;48939;46593;Población;261.5957575;M
2005;3143;3690;48937;46593;Población;38.483995;M
2005;3143;3690;48946;46593;Población;1875.134405;M
2005;3143;3691;48952;46593;Población;6366.3906825;M
2005;3143;3691;48940;46593;Población;3480.2390725;M
2005;3143;3691;48936;46593;Población;2999.116195;M
2005;3143;3691;48934;46593;Población;265.2460525;M
2005;3143;3691;48939;46593;Población;481.1228775;M
2005;3143;3691;48937;46593;Población;63.1830125;M
2005;3143;3691;48946;46593;Población;2886.15161;M
2006;2352;3689;48952;46593;Población;266.4322425;M
2006;2352;3689;48940;46593;Población;200.0540125;M
2006;2352;3689;48936;46593;Población;185.5268075;M
2006;2352;3689;48934;46593;Población;10.58332;M
2006;2352;3689;48939;46593;Población;14.527205;M
2006;2352;3689;48937;46593;Población;1.019145;M
2006;2352;3689;48946;46593;Población;66.37823;M
2006;2352;3690;48952;46593;Población;250.081745;M
2006;2352;3690;48940;46593;Población;133.44317;M
2006;2352;3690;48936;46593;Población;117.073355;M
2006;2352;3690;48934;46593;Población;13.17017;M
2006;2352;3690;48939;46593;Población;16.369815;M
2006;2352;3690;48937;46593;Población;1.7161175;M
2006;2352;3690;48946;46593;Población;116.638575;M
2006;2352;3691;48952;46593;Población;516.5139875;M
2006;2352;3691;48940;46593;Población;333.4971825;M
2006;2352;3691;48936;46593;Población;302.6001625;M
2006;2352;3691;48934;46593;Población;23.75349;M
2006;2352;3691;48939;46593;Población;30.89702;M
2006;2352;3691;48937;46593;Población;2.7352625;M
2006;2352;3691;48946;46593;Población;183.016805;M
2006;2402;3689;48952;46593;Población;473.15983;M
2006;2402;3689;48940;46593;Población;321.190415;M
2006;2402;3689;48936;46593;Población;282.2723125;M
2006;2402;3689;48934;46593;Población;17.8928925;M
2006;2402;3689;48939;46593;Población;38.9181025;M
2006;2402;3689;48937;46593;Población;4.68916;M
2006;2402;3689;48946;46593;Población;151.969415;M
2006;2402;3690;48952;46593;Población;488.1151975;M
2006;2402;3690;48940;46593;Población;201.78307;M
2006;2402;3690;48936;46593;Población;160.3821925;M
2006;2402;3690;48934;46593;Población;23.0489625;M
2006;2402;3690;48939;46593;Población;41.4008775;M
2006;2402;3690;48937;46593;Población;6.8885025;M
2006;2402;3690;48946;46593;Población;286.3321275;M
