TEMPORAL;SEXO;EDAD;RELACTIVIDAD;NIVEL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;M;Y15-29;48952;46593;ES61;POP;498.10454;M
2005;M;Y15-29;48934;46593;ES61;POP;21.28402;M
2005;M;Y15-29;48936;46593;ES61;POP;234.718495;M
2005;M;Y15-29;48937;46593;ES61;POP;16.6752375;M
2005;M;Y15-29;48939;46593;ES61;POP;59.6519225;M
2005;M;Y15-29;48940;46593;ES61;POP;294.3704175;M
2005;M;Y15-29;48946;46593;ES61;POP;203.7341225;M
2005;M;Y25-34;48952;46593;ES61;POP;682.818975;M
2005;M;Y25-34;48934;46593;ES61;POP;46.0102125;M
2005;M;Y25-34;48936;46593;ES61;POP;552.63664;M
2005;M;Y25-34;48937;46593;ES61;POP;6.694185;M
2005;M;Y25-34;48939;46593;ES61;POP;62.2462375;M
2005;M;Y25-34;48940;46593;ES61;POP;614.8828775;M
2005;M;Y25-34;48946;46593;ES61;POP;67.9360975;M
2005;M;Y30-44;48952;46593;ES61;POP;631.322955;M
2005;M;Y30-44;48934;46593;ES61;POP;34.654595;M
2005;M;Y30-44;48936;46593;ES61;POP;534.7978425;M
2005;M;Y30-44;48937;46593;ES61;POP;1.0165825;M
2005;M;Y30-44;48939;46593;ES61;POP;46.6579225;M
2005;M;Y30-44;48940;46593;ES61;POP;581.455765;M
2005;M;Y30-44;48946;46593;ES61;POP;49.86719;M
2005;M;Y45-54;48952;46593;ES61;POP;477.030315;M
2005;M;Y45-54;48934;46593;ES61;POP;20.564005;M
2005;M;Y45-54;48936;46593;ES61;POP;378.15461;M
2005;M;Y45-54;48937;46593;ES61;POP;0.263125;M
2005;M;Y45-54;48939;46593;ES61;POP;30.75049;M
2005;M;Y45-54;48940;46593;ES61;POP;408.9051;M
2005;M;Y45-54;48946;46593;ES61;POP;68.125215;M
2005;M;Y45-64;48952;46593;ES61;POP;364.5067125;M
2005;M;Y45-64;48934;46593;ES61;POP;5.8652525;M
2005;M;Y45-64;48936;46593;ES61;POP;182.304835;M
2005;M;Y45-64;48937;46593;ES61;POP;0.0498875;M
2005;M;Y45-64;48939;46593;ES61;POP;19.7923475;M
