SEXO;EDAD;TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
M;Y15-29;2021;ES61;TASA_ACTI;36.39189919520113;M
M;Y25-34;2021;ES61;TASA_ACTI;87.48544885360417;M
M;Y30-44;2021;ES61;TASA_ACTI;92.38964062879586;M
M;Y45-54;2021;ES61;TASA_ACTI;89.49135336920303;M
M;Y45-64;2021;ES61;TASA_ACTI;68.97902555349773;M
M;Y65-100;2021;ES61;TASA_ACTI;3.655273606978229;M
M;TOTAL;2021;ES61;TASA_ACTI;63.45366647916628;M
F;Y15-29;2021;ES61;TASA_ACTI;29.62995478896634;M
F;Y25-34;2021;ES61;TASA_ACTI;81.38946657774409;M
F;Y30-44;2021;ES61;TASA_ACTI;81.56474927555722;M
F;Y45-54;2021;ES61;TASA_ACTI;73.97574700608457;M
F;Y45-64;2021;ES61;TASA_ACTI;48.846618083339344;M
F;Y65-100;2021;ES61;TASA_ACTI;2.4167481482151896;M
F;TOTAL;2021;ES61;TASA_ACTI;50.885295604191185;M
_T;Y15-29;2021;ES61;TASA_ACTI;33.09970809222154;M
_T;Y25-34;2021;ES61;TASA_ACTI;84.47853658411367;M
_T;Y30-44;2021;ES61;TASA_ACTI;86.95772114676187;M
_T;Y45-54;2021;ES61;TASA_ACTI;81.72474732722905;M
_T;Y45-64;2021;ES61;TASA_ACTI;58.71311160343576;M
_T;Y65-100;2021;ES61;TASA_ACTI;2.966510040584023;M
_T;TOTAL;2021;ES61;TASA_ACTI;57.026232348544234;M
M;Y15-29;2021;ES61;TASA_DE_EMPLEO;20.797682101157974;M
M;Y25-34;2021;ES61;TASA_DE_EMPLEO;66.30609392532708;M
M;Y30-44;2021;ES61;TASA_DE_EMPLEO;79.40680151860938;M
M;Y45-54;2021;ES61;TASA_DE_EMPLEO;77.51142432674001;M
M;Y45-64;2021;ES61;TASA_DE_EMPLEO;56.49432255230313;M
M;Y65-100;2021;ES61;TASA_DE_EMPLEO;3.520249872377161;M
M;TOTAL;2021;ES61;TASA_DE_EMPLEO;51.71276796490961;M
F;Y15-29;2021;ES61;TASA_DE_EMPLEO;15.816340945445189;M
F;Y25-34;2021;ES61;TASA_DE_EMPLEO;61.35473791247076;M
F;Y30-44;2021;ES61;TASA_DE_EMPLEO;63.90303697625209;M
F;Y45-54;2021;ES61;TASA_DE_EMPLEO;54.599568340817314;M
F;Y45-64;2021;ES61;TASA_DE_EMPLEO;36.83350285849556;M
F;Y65-100;2021;ES61;TASA_DE_EMPLEO;2.2446138526793384;M
F;TOTAL;2021;ES61;TASA_DE_EMPLEO;37.937742783367725;M
_T;Y15-29;2021;ES61;TASA_DE_EMPLEO;18.37241415328448;M
_T;Y25-34;2021;ES61;TASA_DE_EMPLEO;63.86378151824703;M
_T;Y30-44;2021;ES61;TASA_DE_EMPLEO;71.62702822441345;M
_T;Y45-54;2021;ES61;TASA_DE_EMPLEO;66.04249717245898;M
_T;Y45-64;2021;ES61;TASA_DE_EMPLEO;46.46888056462791;M
_T;Y65-100;2021;ES61;TASA_DE_EMPLEO;2.810848536997683;M
_T;TOTAL;2021;ES61;TASA_DE_EMPLEO;44.66825377267577;M
M;Y15-29;2021;ES61;TASA_DE_PARO;42.85079217877013;M
M;Y25-34;2021;ES61;TASA_DE_PARO;24.209002989420636;M
M;Y30-44;2021;ES61;TASA_DE_PARO;14.052267139287936;M
M;Y45-54;2021;ES61;TASA_DE_PARO;13.386688871537059;M
M;Y45-64;2021;ES61;TASA_DE_PARO;18.099274237372203;M
M;Y65-100;2021;ES61;TASA_DE_PARO;3.6939433027200956;M
M;TOTAL;2021;ES61;TASA_DE_PARO;18.503104967325328;M
F;Y15-29;2021;ES61;TASA_DE_PARO;46.62043510327963;M
F;Y25-34;2021;ES61;TASA_DE_PARO;24.615874151400092;M
F;Y30-44;2021;ES61;TASA_DE_PARO;21.653609501865848;M
F;Y45-54;2021;ES61;TASA_DE_PARO;26.192609672023394;M
F;Y45-64;2021;ES61;TASA_DE_PARO;24.593545461730198;M
F;Y65-100;2021;ES61;TASA_DE_PARO;7.122558288209528;M
F;TOTAL;2021;ES61;TASA_DE_PARO;25.444586038244477;M
_T;Y15-29;2021;ES61;TASA_DE_PARO;44.49372755162752;M
_T;Y25-34;2021;ES61;TASA_DE_PARO;24.402358160336895;M
_T;Y30-44;2021;ES61;TASA_DE_PARO;17.630053686059945;M
_T;Y45-54;2021;ES61;TASA_DE_PARO;19.189108155914795;M
_T;Y45-64;2021;ES61;TASA_DE_PARO;20.854338501949456;M
_T;Y65-100;2021;ES61;TASA_DE_PARO;5.247294007327727;M
_T;TOTAL;2021;ES61;TASA_DE_PARO;21.670690955587798;M
