TEMPORAL;SEXO;NACIONALIDAD;EDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;M;46925;Y15-29;ES61;ACTIVOS;547.8119075;M
2005;M;46925;Y30-44;ES61;ACTIVOS;824.44692;M
2005;M;46925;Y45-64;ES61;ACTIVOS;587.295325;M
2005;M;46925;Y65-100;ES61;ACTIVOS;12.414955;M
2005;M;46925;TOTAL;ES61;ACTIVOS;1971.9691075;M
2005;M;46943;Y15-29;ES61;ACTIVOS;49.8702375;M
2005;M;46943;Y30-44;ES61;ACTIVOS;68.579995;M
2005;M;46943;Y45-64;ES61;ACTIVOS;23.7069575;M
2005;M;46943;Y65-100;ES61;ACTIVOS;0.83902;M
2005;M;46943;TOTAL;ES61;ACTIVOS;142.99621;M
2005;M;46944;Y15-29;ES61;ACTIVOS;597.682145;M
2005;M;46944;Y30-44;ES61;ACTIVOS;893.026915;M
2005;M;46944;Y45-64;ES61;ACTIVOS;611.0022825;M
2005;M;46944;Y65-100;ES61;ACTIVOS;13.253975;M
2005;M;46944;TOTAL;ES61;ACTIVOS;2114.9653175;M
2005;F;46925;Y15-29;ES61;ACTIVOS;415.703505;M
2005;F;46925;Y30-44;ES61;ACTIVOS;537.77142;M
2005;F;46925;Y45-64;ES61;ACTIVOS;295.5772975;M
2005;F;46925;Y65-100;ES61;ACTIVOS;4.615385;M
2005;F;46925;TOTAL;ES61;ACTIVOS;1253.6676075;M
2005;F;46943;Y15-29;ES61;ACTIVOS;33.4373075;M
2005;F;46943;Y30-44;ES61;ACTIVOS;60.10943;M
2005;F;46943;Y45-64;ES61;ACTIVOS;17.664085;M
2005;F;46943;Y65-100;ES61;ACTIVOS;0.395325;M
2005;F;46943;TOTAL;ES61;ACTIVOS;111.6061475;M
2005;F;46944;Y15-29;ES61;ACTIVOS;449.1408125;M
2005;F;46944;Y30-44;ES61;ACTIVOS;597.88085;M
2005;F;46944;Y45-64;ES61;ACTIVOS;313.2413825;M
2005;F;46944;Y65-100;ES61;ACTIVOS;5.01071;M
2005;F;46944;TOTAL;ES61;ACTIVOS;1365.273755;M
2005;_T;46925;Y15-29;ES61;ACTIVOS;963.5154125;M
2005;_T;46925;Y30-44;ES61;ACTIVOS;1362.21834;M
2005;_T;46925;Y45-64;ES61;ACTIVOS;882.8726225;M
2005;_T;46925;Y65-100;ES61;ACTIVOS;17.03034;M
2005;_T;46925;TOTAL;ES61;ACTIVOS;3225.636715;M
2005;_T;46943;Y15-29;ES61;ACTIVOS;83.307545;M
2005;_T;46943;Y30-44;ES61;ACTIVOS;128.689425;M
2005;_T;46943;Y45-64;ES61;ACTIVOS;41.3710425;M
2005;_T;46943;Y65-100;ES61;ACTIVOS;1.234345;M
2005;_T;46943;TOTAL;ES61;ACTIVOS;254.6023575;M
2005;_T;46944;Y15-29;ES61;ACTIVOS;1046.8229575;M
2005;_T;46944;Y30-44;ES61;ACTIVOS;1490.907765;M
2005;_T;46944;Y45-64;ES61;ACTIVOS;924.243665;M
2005;_T;46944;Y65-100;ES61;ACTIVOS;18.264685;M
2005;_T;46944;TOTAL;ES61;ACTIVOS;3480.2390725;M
2006;M;46925;Y15-29;ES61;ACTIVOS;535.12751;M
2006;M;46925;Y30-44;ES61;ACTIVOS;834.2602225;M
2006;M;46925;Y45-64;ES61;ACTIVOS;611.2469775;M
2006;M;46925;Y65-100;ES61;ACTIVOS;11.243705;M
2006;M;46925;TOTAL;ES61;ACTIVOS;1991.878415;M
2006;M;46943;Y15-29;ES61;ACTIVOS;56.467245;M
2006;M;46943;Y30-44;ES61;ACTIVOS;80.50161;M
2006;M;46943;Y45-64;ES61;ACTIVOS;29.8503775;M
2006;M;46943;TOTAL;ES61;ACTIVOS;166.8192325;M
2006;M;46944;Y15-29;ES61;ACTIVOS;591.594755;M
2006;M;46944;Y30-44;ES61;ACTIVOS;914.7618325;M
2006;M;46944;Y45-64;ES61;ACTIVOS;641.097355;M
2006;M;46944;Y65-100;ES61;ACTIVOS;11.243705;M
2006;M;46944;TOTAL;ES61;ACTIVOS;2158.6976475;M
2006;F;46925;Y15-29;ES61;ACTIVOS;406.9359825;M
2006;F;46925;Y30-44;ES61;ACTIVOS;555.01431;M
2006;F;46925;Y45-64;ES61;ACTIVOS;321.4503975;M
2006;F;46925;Y65-100;ES61;ACTIVOS;4.2534575;M
2006;F;46925;TOTAL;ES61;ACTIVOS;1287.6541475;M
2006;F;46943;Y15-29;ES61;ACTIVOS;51.228665;M
2006;F;46943;Y30-44;ES61;ACTIVOS;70.74519;M
2006;F;46943;Y45-64;ES61;ACTIVOS;23.1679275;M
2006;F;46943;Y65-100;ES61;ACTIVOS;0.3645275;M
2006;F;46943;TOTAL;ES61;ACTIVOS;145.50631;M
2006;F;46944;Y15-29;ES61;ACTIVOS;458.1646475;M
2006;F;46944;Y30-44;ES61;ACTIVOS;625.7595;M
2006;F;46944;Y45-64;ES61;ACTIVOS;344.618325;M
2006;F;46944;Y65-100;ES61;ACTIVOS;4.617985;M
2006;F;46944;TOTAL;ES61;ACTIVOS;1433.1604575;M
2006;_T;46925;Y15-29;ES61;ACTIVOS;942.0634925;M
2006;_T;46925;Y30-44;ES61;ACTIVOS;1389.2745325;M
2006;_T;46925;Y45-64;ES61;ACTIVOS;932.697375;M
2006;_T;46925;Y65-100;ES61;ACTIVOS;15.4971625;M
