TEMPORAL;SEXO;EDAD;CLASEINACTIV;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;M;Y15-29;47511;ES61;INACTIVOS;176.325635;M
2005;M;Y15-29;47517;ES61;INACTIVOS;6.0984325;M
2005;M;Y15-29;47513;ES61;INACTIVOS;3.6277725;M
2005;M;Y15-29;47514;ES61;INACTIVOS;1.391065;M
2005;M;Y15-29;47520;ES61;INACTIVOS;10.832495;M
2005;M;Y15-29;47522;ES61;INACTIVOS;5.4587225;M
2005;M;Y15-29;47523;ES61;INACTIVOS;203.7341225;M
2005;M;Y30-44;47511;ES61;INACTIVOS;30.517855;M
2005;M;Y30-44;47512;ES61;INACTIVOS;3.7492475;M
2005;M;Y30-44;47517;ES61;INACTIVOS;19.0711175;M
2005;M;Y30-44;47513;ES61;INACTIVOS;22.7751475;M
2005;M;Y30-44;47514;ES61;INACTIVOS;9.213165;M
2005;M;Y30-44;47520;ES61;INACTIVOS;20.4148225;M
2005;M;Y30-44;47522;ES61;INACTIVOS;12.0619325;M
2005;M;Y30-44;47523;ES61;INACTIVOS;117.8032875;M
2005;M;Y45-64;47511;ES61;INACTIVOS;0.9827;M
2005;M;Y45-64;47512;ES61;INACTIVOS;110.8450175;M
2005;M;Y45-64;47517;ES61;INACTIVOS;19.9306875;M
2005;M;Y45-64;47513;ES61;INACTIVOS;50.848;M
2005;M;Y45-64;47514;ES61;INACTIVOS;21.0006075;M
2005;M;Y45-64;47520;ES61;INACTIVOS;19.2587725;M
2005;M;Y45-64;47522;ES61;INACTIVOS;7.66896;M
2005;M;Y45-64;47523;ES61;INACTIVOS;230.534745;M
2005;M;Y65-100;47511;ES61;INACTIVOS;0.4889525;M
2005;M;Y65-100;47512;ES61;INACTIVOS;435.95471;M
2005;M;Y65-100;47517;ES61;INACTIVOS;1.8463425;M
2005;M;Y65-100;47513;ES61;INACTIVOS;8.429255;M
2005;M;Y65-100;47514;ES61;INACTIVOS;9.136965;M
2005;M;Y65-100;47520;ES61;INACTIVOS;2.77149;M
2005;M;Y65-100;47522;ES61;INACTIVOS;0.317335;M
2005;M;Y65-100;47523;ES61;INACTIVOS;458.94505;M
2005;M;TOTAL;47511;ES61;INACTIVOS;208.3151425;M
2005;M;TOTAL;47512;ES61;INACTIVOS;550.548975;M
2005;M;TOTAL;47517;ES61;INACTIVOS;46.94658;M
2005;M;TOTAL;47513;ES61;INACTIVOS;85.680175;M
2005;M;TOTAL;47514;ES61;INACTIVOS;40.7418025;M
