TEMPORAL;SEXO;EDAD;CNED2014;NIVEL;RELACTIVIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2014;M;Y15-29;61285;46593;48939;ES61;TASA_DE_PARO;100.0;M
2014;M;Y15-29;61288;46593;48939;ES61;TASA_DE_PARO;60.71355880471459;M
2014;M;Y15-29;61291;46593;48939;ES61;TASA_DE_PARO;67.17737331544654;M
2014;M;Y15-29;61311;46593;48939;ES61;TASA_DE_PARO;55.31178328676049;M
2014;M;Y15-29;61332;46593;48939;ES61;TASA_DE_PARO;54.32560754953133;M
2014;M;Y15-29;61283;46593;48939;ES61;TASA_DE_PARO;61.854641879843086;M
2014;M;Y25-34;61285;46593;48939;ES61;TASA_DE_PARO;62.925072936937156;M
2014;M;Y25-34;61288;46593;48939;ES61;TASA_DE_PARO;53.91375807671314;M
2014;M;Y25-34;61291;46593;48939;ES61;TASA_DE_PARO;38.57362744853806;M
2014;M;Y25-34;61311;46593;48939;ES61;TASA_DE_PARO;25.146289275779754;M
2014;M;Y25-34;61332;46593;48939;ES61;TASA_DE_PARO;26.13457954015909;M
2014;M;Y25-34;61283;46593;48939;ES61;TASA_DE_PARO;33.84223454532065;M
2014;M;Y30-44;61285;46593;48939;ES61;TASA_DE_PARO;46.96255114149408;M
2014;M;Y30-44;61288;46593;48939;ES61;TASA_DE_PARO;49.86276490834109;M
2014;M;Y30-44;61291;46593;48939;ES61;TASA_DE_PARO;34.97101856924659;M
2014;M;Y30-44;61311;46593;48939;ES61;TASA_DE_PARO;23.528808498593218;M
2014;M;Y30-44;61332;46593;48939;ES61;TASA_DE_PARO;16.41574882119118;M
2014;M;Y30-44;61283;46593;48939;ES61;TASA_DE_PARO;28.17227462262682;M
2014;M;Y45-64;61285;46593;48939;ES61;TASA_DE_PARO;69.58149162015333;M
2014;M;Y45-64;61288;46593;48939;ES61;TASA_DE_PARO;50.90843432274683;M
2014;M;Y45-64;61291;46593;48939;ES61;TASA_DE_PARO;32.08266207212014;M
2014;M;Y45-64;61311;46593;48939;ES61;TASA_DE_PARO;22.514058244828135;M
2014;M;Y45-64;61332;46593;48939;ES61;TASA_DE_PARO;14.16502087166888;M
2014;M;Y45-64;61283;46593;48939;ES61;TASA_DE_PARO;29.412300159950576;M
2014;M;Y65-100;61285;46593;48939;ES61;TASA_DE_PARO;79.14954215765124;M
2014;M;Y65-100;61288;46593;48939;ES61;TASA_DE_PARO;38.16489383570942;M
2014;M;Y65-100;61291;46593;48939;ES61;TASA_DE_PARO;35.89465416979997;M
2014;M;Y65-100;61311;46593;48939;ES61;TASA_DE_PARO;18.349859346864243;M
2014;M;Y65-100;61332;46593;48939;ES61;TASA_DE_PARO;13.042038909576483;M
2014;M;Y65-100;61283;46593;48939;ES61;TASA_DE_PARO;29.020091603987115;M
2014;M;TOTAL;61285;46593;48939;ES61;TASA_DE_PARO;63.60369351013072;M
2014;M;TOTAL;61288;46593;48939;ES61;TASA_DE_PARO;48.51983283548043;M
2014;M;TOTAL;61291;46593;48939;ES61;TASA_DE_PARO;38.579738548687146;M
2014;M;TOTAL;61311;46593;48939;ES61;TASA_DE_PARO;26.572919492314767;M
2014;M;TOTAL;61332;46593;48939;ES61;TASA_DE_PARO;18.930004514120387;M
2014;M;TOTAL;61283;46593;48939;ES61;TASA_DE_PARO;32.70377923855718;M
2014;F;Y15-29;61285;46593;48939;ES61;TASA_DE_PARO;100.0;M
2014;F;Y15-29;61288;46593;48939;ES61;TASA_DE_PARO;65.22591819813233;M
2014;F;Y15-29;61291;46593;48939;ES61;TASA_DE_PARO;68.01246892169816;M
2014;F;Y15-29;61311;46593;48939;ES61;TASA_DE_PARO;55.006821942585084;M
2014;F;Y15-29;61332;46593;48939;ES61;TASA_DE_PARO;52.286904810196944;M
2014;F;Y15-29;61283;46593;48939;ES61;TASA_DE_PARO;60.99128920876268;M
2014;F;Y25-34;61285;46593;48939;ES61;TASA_DE_PARO;64.88222698072805;M
2014;F;Y25-34;61288;46593;48939;ES61;TASA_DE_PARO;56.363593033010716;M
2014;F;Y25-34;61291;46593;48939;ES61;TASA_DE_PARO;49.07503281906106;M
2014;F;Y25-34;61311;46593;48939;ES61;TASA_DE_PARO;39.1787601772966;M
2014;F;Y25-34;61332;46593;48939;ES61;TASA_DE_PARO;29.268839274718577;M
2014;F;Y25-34;61283;46593;48939;ES61;TASA_DE_PARO;39.112784743530135;M
2014;F;Y30-44;61285;46593;48939;ES61;TASA_DE_PARO;78.52149665025362;M
2014;F;Y30-44;61288;46593;48939;ES61;TASA_DE_PARO;53.70840413653914;M
2014;F;Y30-44;61291;46593;48939;ES61;TASA_DE_PARO;45.83223963189306;M
2014;F;Y30-44;61311;46593;48939;ES61;TASA_DE_PARO;34.833327238738256;M
2014;F;Y30-44;61332;46593;48939;ES61;TASA_DE_PARO;22.62953386033794;M
2014;F;Y30-44;61283;46593;48939;ES61;TASA_DE_PARO;34.52867504450219;M
2014;F;Y45-64;61285;46593;48939;ES61;TASA_DE_PARO;80.74514028896186;M
2014;F;Y45-64;61288;46593;48939;ES61;TASA_DE_PARO;50.019313853248995;M
2014;F;Y45-64;61291;46593;48939;ES61;TASA_DE_PARO;43.94930075832511;M
2014;F;Y45-64;61311;46593;48939;ES61;TASA_DE_PARO;29.5224199672315;M
2014;F;Y45-64;61332;46593;48939;ES61;TASA_DE_PARO;16.080511466310522;M
2014;F;Y45-64;61283;46593;48939;ES61;TASA_DE_PARO;34.08533042093142;M
2014;F;Y65-100;61285;46593;48939;ES61;TASA_DE_PARO;57.24542306111934;M
2014;F;Y65-100;61288;46593;48939;ES61;TASA_DE_PARO;44.689025195022964;M
2014;F;Y65-100;61291;46593;48939;ES61;TASA_DE_PARO;37.527252418933074;M
2014;F;Y65-100;61311;46593;48939;ES61;TASA_DE_PARO;17.76424026615276;M
2014;F;Y65-100;61332;46593;48939;ES61;TASA_DE_PARO;8.127202280745596;M
2014;F;Y65-100;61283;46593;48939;ES61;TASA_DE_PARO;29.93986210677764;M
2014;F;TOTAL;61285;46593;48939;ES61;TASA_DE_PARO;70.95986834992974;M
2014;F;TOTAL;61288;46593;48939;ES61;TASA_DE_PARO;50.851030470617864;M
2014;F;TOTAL;61291;46593;48939;ES61;TASA_DE_PARO;47.86474850638863;M
2014;F;TOTAL;61311;46593;48939;ES61;TASA_DE_PARO;35.59289360052038;M
2014;F;TOTAL;61332;46593;48939;ES61;TASA_DE_PARO;23.726265006660714;M
2014;F;TOTAL;61283;46593;48939;ES61;TASA_DE_PARO;37.30148394633166;M
2014;_T;Y15-29;61285;46593;48939;ES61;TASA_DE_PARO;100.0;M
2014;_T;Y15-29;61288;46593;48939;ES61;TASA_DE_PARO;62.180667327653815;M
2014;_T;Y15-29;61291;46593;48939;ES61;TASA_DE_PARO;67.52720979715366;M
2014;_T;Y15-29;61311;46593;48939;ES61;TASA_DE_PARO;55.172973676209956;M
2014;_T;Y15-29;61332;46593;48939;ES61;TASA_DE_PARO;53.00080902088994;M
2014;_T;Y15-29;61283;46593;48939;ES61;TASA_DE_PARO;61.467055112244275;M
2014;_T;Y25-34;61285;46593;48939;ES61;TASA_DE_PARO;63.88314263622627;M
2014;_T;Y25-34;61288;46593;48939;ES61;TASA_DE_PARO;54.70255449159828;M
2014;_T;Y25-34;61291;46593;48939;ES61;TASA_DE_PARO;42.79968014477139;M
2014;_T;Y25-34;61311;46593;48939;ES61;TASA_DE_PARO;32.231667511182316;M
2014;_T;Y25-34;61332;46593;48939;ES61;TASA_DE_PARO;27.95210817938824;M
2014;_T;Y25-34;61283;46593;48939;ES61;TASA_DE_PARO;36.36952619227469;M
2014;_T;Y30-44;61285;46593;48939;ES61;TASA_DE_PARO;59.475939139318456;M
2014;_T;Y30-44;61288;46593;48939;ES61;TASA_DE_PARO;51.25825053303268;M
2014;_T;Y30-44;61291;46593;48939;ES61;TASA_DE_PARO;39.42505342218985;M
2014;_T;Y30-44;61311;46593;48939;ES61;TASA_DE_PARO;28.656545118307957;M
2014;_T;Y30-44;61332;46593;48939;ES61;TASA_DE_PARO;19.73081217876511;M
2014;_T;Y30-44;61283;46593;48939;ES61;TASA_DE_PARO;31.095624683682487;M
2014;_T;Y45-64;61285;46593;48939;ES61;TASA_DE_PARO;74.3728001219451;M
2014;_T;Y45-64;61288;46593;48939;ES61;TASA_DE_PARO;50.55911294101201;M
