TEMPORAL;TIPACTIVIDADHOGAR;RELACTIVIDAD;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;49014;48952;M;ES61;POP;501.637965;M
2005;49014;48952;F;ES61;POP;666.96397;M
2005;49014;48952;_T;ES61;POP;1168.601935;M
2005;49014;48946;M;ES61;POP;470.77153;M
2005;49014;48946;F;ES61;POP;641.617225;M
2005;49014;48946;_T;ES61;POP;1112.388755;M
2005;49010;48952;M;ES61;POP;36.63224;M
2005;49010;48952;F;ES61;POP;56.826985;M
2005;49010;48952;_T;ES61;POP;93.459225;M
2005;49010;48946;M;ES61;POP;28.040495;M
2005;49010;48946;F;ES61;POP;49.77315;M
2005;49010;48946;_T;ES61;POP;77.813645;M
2005;49011;48952;M;ES61;POP;23.8474825;M
2005;49011;48952;F;ES61;POP;20.925455;M
2005;49011;48952;_T;ES61;POP;44.7729375;M
2005;49011;48946;M;ES61;POP;17.368905;M
2005;49011;48946;F;ES61;POP;16.2850125;M
2005;49011;48946;_T;ES61;POP;33.6539175;M
2005;49012;48952;M;ES61;POP;32.9768125;M
2005;49012;48952;F;ES61;POP;35.6196;M
2005;49012;48952;_T;ES61;POP;68.5964125;M
2005;49012;48946;M;ES61;POP;29.8058;M
2005;49012;48946;F;ES61;POP;33.208815;M
2005;49012;48946;_T;ES61;POP;63.014615;M
2005;49013;48952;M;ES61;POP;408.18143;M
2005;49013;48952;F;ES61;POP;553.59193;M
2005;49013;48952;_T;ES61;POP;961.77336;M
2005;49013;48946;M;ES61;POP;395.55633;M
2005;49013;48946;F;ES61;POP;542.3502475;M
2005;49013;48946;_T;ES61;POP;937.9065775;M
2005;49017;48952;M;ES61;POP;3150.016375;M
2005;49017;48952;F;ES61;POP;3052.37628;M
2005;49017;48952;_T;ES61;POP;6202.392655;M
2005;49017;48940;M;ES61;POP;2015.56453;M
2005;49017;48940;F;ES61;POP;1293.686125;M
2005;49017;48940;_T;ES61;POP;3309.250655;M
2005;49017;48936;M;ES61;POP;1895.4381975;M
2005;49017;48936;F;ES61;POP;1103.6779975;M
2005;49017;48936;_T;ES61;POP;2999.116195;M
2005;49017;48939;M;ES61;POP;120.1263325;M
2005;49017;48939;F;ES61;POP;190.0081275;M
2005;49017;48939;_T;ES61;POP;310.13446;M
2005;49017;48946;M;ES61;POP;483.19105;M
2005;49017;48946;F;ES61;POP;1143.61431;M
2005;49017;48946;_T;ES61;POP;1626.80536;M
2005;49015;48952;M;ES61;POP;2597.6305;M
2005;49015;48952;F;ES61;POP;2503.9814875;M
2005;49015;48952;_T;ES61;POP;5101.6119875;M
2005;49015;48940;M;ES61;POP;1626.99167;M
2005;49015;48940;F;ES61;POP;976.415365;M
2005;49015;48940;_T;ES61;POP;2603.407035;M
2005;49015;48936;M;ES61;POP;1626.99167;M
2005;49015;48936;F;ES61;POP;976.415365;M
2005;49015;48936;_T;ES61;POP;2603.407035;M
2005;49015;48946;M;ES61;POP;414.120235;M
2005;49015;48946;F;ES61;POP;1007.0705275;M
2005;49015;48946;_T;ES61;POP;1421.1907625;M
2005;49016;48952;M;ES61;POP;552.385875;M
2005;49016;48952;F;ES61;POP;548.3947925;M
2005;49016;48952;_T;ES61;POP;1100.7806675;M
2005;49016;48940;M;ES61;POP;388.57286;M
2005;49016;48940;F;ES61;POP;317.27076;M
2005;49016;48940;_T;ES61;POP;705.84362;M
2005;49016;48936;M;ES61;POP;268.4465275;M
2005;49016;48936;F;ES61;POP;127.2626325;M
2005;49016;48936;_T;ES61;POP;395.70916;M
2005;49016;48939;M;ES61;POP;120.1263325;M
2005;49016;48939;F;ES61;POP;190.0081275;M
