TEMPORAL;SEXO;CNAE09;EDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;M;6949;Y15-29;ES61;OCUPADOS;502.0453125;M
2005;M;6949;Y30-44;ES61;OCUPADOS;820.107665;M
2005;M;6949;Y45-64;ES61;OCUPADOS;560.459445;M
2005;M;6949;Y65-100;ES61;OCUPADOS;12.825775;M
2005;M;6949;TOTAL;ES61;OCUPADOS;1895.4381975;M
2005;F;6949;Y15-29;ES61;OCUPADOS;338.5110275;M
2005;F;6949;Y30-44;ES61;OCUPADOS;493.3766425;M
2005;F;6949;Y45-64;ES61;OCUPADOS;266.9780525;M
2005;F;6949;Y65-100;ES61;OCUPADOS;4.812275;M
2005;F;6949;TOTAL;ES61;OCUPADOS;1103.6779975;M
2005;_T;6949;Y15-29;ES61;OCUPADOS;840.55634;M
2005;_T;6949;Y30-44;ES61;OCUPADOS;1313.4843075;M
2005;_T;6949;Y45-64;ES61;OCUPADOS;827.4374975;M
2005;_T;6949;Y65-100;ES61;OCUPADOS;17.63805;M
2005;_T;6949;TOTAL;ES61;OCUPADOS;2999.116195;M
2006;M;6949;Y15-29;ES61;OCUPADOS;507.02178;M
2006;M;6949;Y30-44;ES61;OCUPADOS;846.357865;M
2006;M;6949;Y45-64;ES61;OCUPADOS;594.0958725;M
2006;M;6949;Y65-100;ES61;OCUPADOS;11.0782325;M
2006;M;6949;TOTAL;ES61;OCUPADOS;1958.55375;M
2006;F;6949;Y15-29;ES61;OCUPADOS;351.90171;M
2006;F;6949;Y30-44;ES61;OCUPADOS;525.3340275;M
2006;F;6949;Y45-64;ES61;OCUPADOS;298.541165;M
2006;F;6949;Y65-100;ES61;OCUPADOS;4.17141;M
2006;F;6949;TOTAL;ES61;OCUPADOS;1179.9483125;M
2006;_T;6949;Y15-29;ES61;OCUPADOS;858.92349;M
2006;_T;6949;Y30-44;ES61;OCUPADOS;1371.6918925;M
2006;_T;6949;Y45-64;ES61;OCUPADOS;892.6370375;M
2006;_T;6949;Y65-100;ES61;OCUPADOS;15.2496425;M
2006;_T;6949;TOTAL;ES61;OCUPADOS;3138.5020625;M
2007;M;6949;Y15-29;ES61;OCUPADOS;491.7260975;M
2007;M;6949;Y30-44;ES61;OCUPADOS;868.7860775;M
2007;M;6949;Y45-64;ES61;OCUPADOS;616.969665;M
2007;M;6949;Y65-100;ES61;OCUPADOS;12.272315;M
2007;M;6949;TOTAL;ES61;OCUPADOS;1989.754155;M
2007;F;6949;Y15-29;ES61;OCUPADOS;356.86746;M
2007;F;6949;Y30-44;ES61;OCUPADOS;559.480015;M
2007;F;6949;Y45-64;ES61;OCUPADOS;327.8409625;M
2007;F;6949;Y65-100;ES61;OCUPADOS;4.6790025;M
2007;F;6949;TOTAL;ES61;OCUPADOS;1248.86744;M
2007;_T;6949;Y15-29;ES61;OCUPADOS;848.5935575;M
2007;_T;6949;Y30-44;ES61;OCUPADOS;1428.2660925;M
2007;_T;6949;Y45-64;ES61;OCUPADOS;944.8106275;M
2007;_T;6949;Y65-100;ES61;OCUPADOS;16.9513175;M
2007;_T;6949;TOTAL;ES61;OCUPADOS;3238.621595;M
2008;M;6981;Y15-29;ES61;OCUPADOS;29.476435;M
2008;M;6981;Y30-44;ES61;OCUPADOS;60.0339925;M
2008;M;6981;Y45-64;ES61;OCUPADOS;63.8693825;M
2008;M;6981;Y65-100;ES61;OCUPADOS;1.574965;M
2008;M;6981;TOTAL;ES61;OCUPADOS;154.954775;M
2008;M;7058;Y15-29;ES61;OCUPADOS;3.95199;M
2008;M;7058;Y30-44;ES61;OCUPADOS;14.368905;M
2008;M;7058;Y45-64;ES61;OCUPADOS;8.1394575;M
2008;M;7058;TOTAL;ES61;OCUPADOS;26.4603525;M
2008;M;277249;Y15-29;ES61;OCUPADOS;60.5807125;M
2008;M;277249;Y30-44;ES61;OCUPADOS;95.351485;M
2008;M;277249;Y45-64;ES61;OCUPADOS;66.0486325;M
2008;M;277249;Y65-100;ES61;OCUPADOS;0.53355;M
2008;M;277249;TOTAL;ES61;OCUPADOS;222.51438;M
2008;M;7663;Y15-29;ES61;OCUPADOS;107.24126;M
2008;M;7663;Y30-44;ES61;OCUPADOS;185.641315;M
2008;M;7663;Y45-64;ES61;OCUPADOS;103.47309;M
2008;M;7663;Y65-100;ES61;OCUPADOS;0.34218;M
2008;M;7663;TOTAL;ES61;OCUPADOS;396.697845;M
2008;M;7716;Y15-29;ES61;OCUPADOS;128.4114925;M
2008;M;7716;Y30-44;ES61;OCUPADOS;240.078745;M
2008;M;7716;Y45-64;ES61;OCUPADOS;164.4044175;M
2008;M;7716;Y65-100;ES61;OCUPADOS;3.6404225;M
2008;M;7716;TOTAL;ES61;OCUPADOS;536.5350775;M
2008;M;7889;Y15-29;ES61;OCUPADOS;11.38534;M
2008;M;7889;Y30-44;ES61;OCUPADOS;17.0382775;M
2008;M;7889;Y45-64;ES61;OCUPADOS;5.67465;M
2008;M;7889;TOTAL;ES61;OCUPADOS;34.0982675;M
2008;M;277250;Y15-29;ES61;OCUPADOS;4.8760425;M
2008;M;277250;Y30-44;ES61;OCUPADOS;14.4143325;M
2008;M;277250;Y45-64;ES61;OCUPADOS;11.77976;M
2008;M;277250;TOTAL;ES61;OCUPADOS;31.070135;M
2008;M;277251;Y15-29;ES61;OCUPADOS;1.2713475;M
2008;M;277251;Y30-44;ES61;OCUPADOS;6.5382675;M
2008;M;277251;Y45-64;ES61;OCUPADOS;3.1625775;M
2008;M;277251;Y65-100;ES61;OCUPADOS;0.3619625;M
2008;M;277251;TOTAL;ES61;OCUPADOS;11.334155;M
2008;M;8032;Y15-29;ES61;OCUPADOS;22.5691175;M
2008;M;8032;Y30-44;ES61;OCUPADOS;66.1174075;M
2008;M;8032;Y45-64;ES61;OCUPADOS;32.9998925;M
2008;M;8032;Y65-100;ES61;OCUPADOS;1.3409225;M
2008;M;8032;TOTAL;ES61;OCUPADOS;123.02734;M
2008;M;8256;Y15-29;ES61;OCUPADOS;44.899245;M
2008;M;8256;Y30-44;ES61;OCUPADOS;113.225175;M
2008;M;8256;Y45-64;ES61;OCUPADOS;136.50726;M
2008;M;8256;Y65-100;ES61;OCUPADOS;1.82926;M
2008;M;8256;TOTAL;ES61;OCUPADOS;296.46094;M
2008;M;8346;Y15-29;ES61;OCUPADOS;18.5734825;M
2008;M;8346;Y30-44;ES61;OCUPADOS;26.7436675;M
2008;M;8346;Y45-64;ES61;OCUPADOS;21.1755175;M
2008;M;8346;Y65-100;ES61;OCUPADOS;1.188595;M
2008;M;8346;TOTAL;ES61;OCUPADOS;67.6812625;M
2008;M;6949;Y15-29;ES61;OCUPADOS;433.236465;M
2008;M;6949;Y30-44;ES61;OCUPADOS;839.55157;M
2008;M;6949;Y45-64;ES61;OCUPADOS;617.2346375;M
2008;M;6949;Y65-100;ES61;OCUPADOS;10.8118575;M
2008;M;6949;TOTAL;ES61;OCUPADOS;1900.83453;M
2008;F;6981;Y15-29;ES61;OCUPADOS;16.152905;M
2008;F;6981;Y30-44;ES61;OCUPADOS;29.568735;M
2008;F;6981;Y45-64;ES61;OCUPADOS;18.6683375;M
2008;F;6981;Y65-100;ES61;OCUPADOS;0.54028;M
2008;F;6981;TOTAL;ES61;OCUPADOS;64.9302575;M
2008;F;7058;Y15-29;ES61;OCUPADOS;1.2993775;M
2008;F;7058;Y30-44;ES61;OCUPADOS;3.1054325;M
2008;F;7058;Y45-64;ES61;OCUPADOS;0.66061;M
2008;F;7058;TOTAL;ES61;OCUPADOS;5.06542;M
2008;F;277249;Y15-29;ES61;OCUPADOS;21.0031025;M
2008;F;277249;Y30-44;ES61;OCUPADOS;28.895445;M
2008;F;277249;Y45-64;ES61;OCUPADOS;14.026915;M
2008;F;277249;Y65-100;ES61;OCUPADOS;0.3052325;M
2008;F;277249;TOTAL;ES61;OCUPADOS;64.230695;M
2008;F;7663;Y15-29;ES61;OCUPADOS;7.024555;M
2008;F;7663;Y30-44;ES61;OCUPADOS;12.97674;M
2008;F;7663;Y45-64;ES61;OCUPADOS;1.7434675;M
2008;F;7663;TOTAL;ES61;OCUPADOS;21.7447625;M
2008;F;7716;Y15-29;ES61;OCUPADOS;144.7478425;M
2008;F;7716;Y30-44;ES61;OCUPADOS;175.0176875;M
2008;F;7716;Y45-64;ES61;OCUPADOS;81.947435;M
2008;F;7716;Y65-100;ES61;OCUPADOS;2.2773175;M
2008;F;7716;TOTAL;ES61;OCUPADOS;403.9902825;M
2008;F;7889;Y15-29;ES61;OCUPADOS;6.382005;M
2008;F;7889;Y30-44;ES61;OCUPADOS;9.74664;M
2008;F;7889;Y45-64;ES61;OCUPADOS;1.618815;M
2008;F;7889;Y65-100;ES61;OCUPADOS;0.0731125;M
2008;F;7889;TOTAL;ES61;OCUPADOS;17.8205725;M
2008;F;277250;Y15-29;ES61;OCUPADOS;8.6415;M
2008;F;277250;Y30-44;ES61;OCUPADOS;12.3270425;M
2008;F;277250;Y45-64;ES61;OCUPADOS;3.9214025;M
2008;F;277250;Y65-100;ES61;OCUPADOS;0.0898175;M
2008;F;277250;TOTAL;ES61;OCUPADOS;24.9797625;M
2008;F;277251;Y15-29;ES61;OCUPADOS;1.834475;M
2008;F;277251;Y30-44;ES61;OCUPADOS;4.098575;M
2008;F;277251;Y45-64;ES61;OCUPADOS;2.994505;M
2008;F;277251;Y65-100;ES61;OCUPADOS;0.041;M
2008;F;277251;TOTAL;ES61;OCUPADOS;8.968555;M
2008;F;8032;Y15-29;ES61;OCUPADOS;27.7468575;M
2008;F;8032;Y30-44;ES61;OCUPADOS;65.1208825;M
2008;F;8032;Y45-64;ES61;OCUPADOS;29.9441075;M
2008;F;8032;Y65-100;ES61;OCUPADOS;1.2142375;M
2008;F;8032;TOTAL;ES61;OCUPADOS;124.026085;M
2008;F;8256;Y15-29;ES61;OCUPADOS;57.060225;M
2008;F;8256;Y30-44;ES61;OCUPADOS;158.3709425;M
2008;F;8256;Y45-64;ES61;OCUPADOS;126.7059225;M
2008;F;8256;Y65-100;ES61;OCUPADOS;1.7124125;M
2008;F;8256;TOTAL;ES61;OCUPADOS;343.8495025;M
2008;F;8346;Y15-29;ES61;OCUPADOS;50.6242675;M
2008;F;8346;Y30-44;ES61;OCUPADOS;78.19153;M
2008;F;8346;Y45-64;ES61;OCUPADOS;49.77473;M
2008;F;8346;Y65-100;ES61;OCUPADOS;1.64053;M
2008;F;8346;TOTAL;ES61;OCUPADOS;180.2310575;M
2008;F;6949;Y15-29;ES61;OCUPADOS;342.5171125;M
2008;F;6949;Y30-44;ES61;OCUPADOS;577.4196525;M
2008;F;6949;Y45-64;ES61;OCUPADOS;332.0062475;M
2008;F;6949;Y65-100;ES61;OCUPADOS;7.89394;M
2008;F;6949;TOTAL;ES61;OCUPADOS;1259.8369525;M
2008;_T;6981;Y15-29;ES61;OCUPADOS;45.62934;M
2008;_T;6981;Y30-44;ES61;OCUPADOS;89.6027275;M
2008;_T;6981;Y45-64;ES61;OCUPADOS;82.53772;M
2008;_T;6981;Y65-100;ES61;OCUPADOS;2.115245;M
2008;_T;6981;TOTAL;ES61;OCUPADOS;219.8850325;M
2008;_T;7058;Y15-29;ES61;OCUPADOS;5.2513675;M
2008;_T;7058;Y30-44;ES61;OCUPADOS;17.4743375;M
2008;_T;7058;Y45-64;ES61;OCUPADOS;8.8000675;M
2008;_T;7058;TOTAL;ES61;OCUPADOS;31.5257725;M
2008;_T;277249;Y15-29;ES61;OCUPADOS;81.583815;M
2008;_T;277249;Y30-44;ES61;OCUPADOS;124.24693;M
2008;_T;277249;Y45-64;ES61;OCUPADOS;80.0755475;M
2008;_T;277249;Y65-100;ES61;OCUPADOS;0.8387825;M
2008;_T;277249;TOTAL;ES61;OCUPADOS;286.745075;M
2008;_T;7663;Y15-29;ES61;OCUPADOS;114.265815;M
2008;_T;7663;Y30-44;ES61;OCUPADOS;198.618055;M
2008;_T;7663;Y45-64;ES61;OCUPADOS;105.2165575;M
2008;_T;7663;Y65-100;ES61;OCUPADOS;0.34218;M
2008;_T;7663;TOTAL;ES61;OCUPADOS;418.4426075;M
2008;_T;7716;Y15-29;ES61;OCUPADOS;273.159335;M
2008;_T;7716;Y30-44;ES61;OCUPADOS;415.0964325;M
2008;_T;7716;Y45-64;ES61;OCUPADOS;246.3518525;M
2008;_T;7716;Y65-100;ES61;OCUPADOS;5.91774;M
2008;_T;7716;TOTAL;ES61;OCUPADOS;940.52536;M
2008;_T;7889;Y15-29;ES61;OCUPADOS;17.767345;M
2008;_T;7889;Y30-44;ES61;OCUPADOS;26.7849175;M
2008;_T;7889;Y45-64;ES61;OCUPADOS;7.293465;M
2008;_T;7889;Y65-100;ES61;OCUPADOS;0.0731125;M
2008;_T;7889;TOTAL;ES61;OCUPADOS;51.91884;M
2008;_T;277250;Y15-29;ES61;OCUPADOS;13.5175425;M
2008;_T;277250;Y30-44;ES61;OCUPADOS;26.741375;M
2008;_T;277250;Y45-64;ES61;OCUPADOS;15.7011625;M
2008;_T;277250;Y65-100;ES61;OCUPADOS;0.0898175;M
2008;_T;277250;TOTAL;ES61;OCUPADOS;56.0498975;M
2008;_T;277251;Y15-29;ES61;OCUPADOS;3.1058225;M
2008;_T;277251;Y30-44;ES61;OCUPADOS;10.6368425;M
2008;_T;277251;Y45-64;ES61;OCUPADOS;6.1570825;M
2008;_T;277251;Y65-100;ES61;OCUPADOS;0.4029625;M
2008;_T;277251;TOTAL;ES61;OCUPADOS;20.30271;M
2008;_T;8032;Y15-29;ES61;OCUPADOS;50.315975;M
2008;_T;8032;Y30-44;ES61;OCUPADOS;131.23829;M
2008;_T;8032;Y45-64;ES61;OCUPADOS;62.944;M
2008;_T;8032;Y65-100;ES61;OCUPADOS;2.55516;M
2008;_T;8032;TOTAL;ES61;OCUPADOS;247.053425;M
2008;_T;8256;Y15-29;ES61;OCUPADOS;101.95947;M
2008;_T;8256;Y30-44;ES61;OCUPADOS;271.5961175;M
2008;_T;8256;Y45-64;ES61;OCUPADOS;263.2131825;M
2008;_T;8256;Y65-100;ES61;OCUPADOS;3.5416725;M
2008;_T;8256;TOTAL;ES61;OCUPADOS;640.3104425;M
2008;_T;8346;Y15-29;ES61;OCUPADOS;69.19775;M
2008;_T;8346;Y30-44;ES61;OCUPADOS;104.9351975;M
2008;_T;8346;Y45-64;ES61;OCUPADOS;70.9502475;M
2008;_T;8346;Y65-100;ES61;OCUPADOS;2.829125;M
2008;_T;8346;TOTAL;ES61;OCUPADOS;247.91232;M
2008;_T;6949;Y15-29;ES61;OCUPADOS;775.7535775;M
2008;_T;6949;Y30-44;ES61;OCUPADOS;1416.9712225;M
2008;_T;6949;Y45-64;ES61;OCUPADOS;949.240885;M
2008;_T;6949;Y65-100;ES61;OCUPADOS;18.7057975;M
2008;_T;6949;TOTAL;ES61;OCUPADOS;3160.6714825;M
2009;M;6981;Y15-29;ES61;OCUPADOS;31.5065225;M
2009;M;6981;Y30-44;ES61;OCUPADOS;61.6438325;M
2009;M;6981;Y45-64;ES61;OCUPADOS;61.7331975;M
2009;M;6981;Y65-100;ES61;OCUPADOS;1.91805;M
2009;M;6981;TOTAL;ES61;OCUPADOS;156.8016025;M
2009;M;7058;Y15-29;ES61;OCUPADOS;5.0216625;M
2009;M;7058;Y30-44;ES61;OCUPADOS;13.26576;M
2009;M;7058;Y45-64;ES61;OCUPADOS;9.255835;M
2009;M;7058;Y65-100;ES61;OCUPADOS;0.2994575;M
2009;M;7058;TOTAL;ES61;OCUPADOS;27.842715;M
2009;M;277249;Y15-29;ES61;OCUPADOS;38.82238;M
2009;M;277249;Y30-44;ES61;OCUPADOS;94.42465;M
2009;M;277249;Y45-64;ES61;OCUPADOS;60.530285;M
2009;M;277249;Y65-100;ES61;OCUPADOS;0.1640225;M
2009;M;277249;TOTAL;ES61;OCUPADOS;193.9413375;M
2009;M;7663;Y15-29;ES61;OCUPADOS;61.792;M
2009;M;7663;Y30-44;ES61;OCUPADOS;122.1809375;M
2009;M;7663;Y45-64;ES61;OCUPADOS;77.779865;M
2009;M;7663;Y65-100;ES61;OCUPADOS;0.0752025;M
2009;M;7663;TOTAL;ES61;OCUPADOS;261.828005;M
2009;M;7716;Y15-29;ES61;OCUPADOS;103.9133325;M
2009;M;7716;Y30-44;ES61;OCUPADOS;228.4989475;M
2009;M;7716;Y45-64;ES61;OCUPADOS;162.7242575;M
2009;M;7716;Y65-100;ES61;OCUPADOS;3.1780375;M
2009;M;7716;TOTAL;ES61;OCUPADOS;498.314575;M
2009;M;7889;Y15-29;ES61;OCUPADOS;10.2123875;M
2009;M;7889;Y30-44;ES61;OCUPADOS;20.6405575;M
2009;M;7889;Y45-64;ES61;OCUPADOS;6.54791;M
2009;M;7889;TOTAL;ES61;OCUPADOS;37.400855;M
2009;M;277250;Y15-29;ES61;OCUPADOS;3.704595;M
2009;M;277250;Y30-44;ES61;OCUPADOS;14.3516725;M
2009;M;277250;Y45-64;ES61;OCUPADOS;12.5890275;M
2009;M;277250;TOTAL;ES61;OCUPADOS;30.645295;M
2009;M;277251;Y15-29;ES61;OCUPADOS;0.2018175;M
2009;M;277251;Y30-44;ES61;OCUPADOS;2.92218;M
2009;M;277251;Y45-64;ES61;OCUPADOS;2.4018175;M
2009;M;277251;Y65-100;ES61;OCUPADOS;0.17559;M
2009;M;277251;TOTAL;ES61;OCUPADOS;5.701405;M
2009;M;8032;Y15-29;ES61;OCUPADOS;20.992065;M
2009;M;8032;Y30-44;ES61;OCUPADOS;65.469545;M
2009;M;8032;Y45-64;ES61;OCUPADOS;37.5147675;M
2009;M;8032;Y65-100;ES61;OCUPADOS;1.047495;M
2009;M;8032;TOTAL;ES61;OCUPADOS;125.0238725;M
2009;M;8256;Y15-29;ES61;OCUPADOS;46.9088375;M
2009;M;8256;Y30-44;ES61;OCUPADOS;116.6715375;M
2009;M;8256;Y45-64;ES61;OCUPADOS;140.45507;M
2009;M;8256;Y65-100;ES61;OCUPADOS;2.2220025;M
2009;M;8256;TOTAL;ES61;OCUPADOS;306.2574475;M
2009;M;8346;Y15-29;ES61;OCUPADOS;10.098705;M
2009;M;8346;Y30-44;ES61;OCUPADOS;30.69842;M
2009;M;8346;Y45-64;ES61;OCUPADOS;22.077345;M
2009;M;8346;Y65-100;ES61;OCUPADOS;1.283835;M
2009;M;8346;TOTAL;ES61;OCUPADOS;64.158305;M
2009;M;6949;Y15-29;ES61;OCUPADOS;333.174305;M
2009;M;6949;Y30-44;ES61;OCUPADOS;770.76804;M
2009;M;6949;Y45-64;ES61;OCUPADOS;593.6093775;M
2009;M;6949;Y65-100;ES61;OCUPADOS;10.3636925;M
2009;M;6949;TOTAL;ES61;OCUPADOS;1707.915415;M
2009;F;6981;Y15-29;ES61;OCUPADOS;13.1789025;M
2009;F;6981;Y30-44;ES61;OCUPADOS;25.4522;M
2009;F;6981;Y45-64;ES61;OCUPADOS;21.163765;M
2009;F;6981;Y65-100;ES61;OCUPADOS;0.19625;M
2009;F;6981;TOTAL;ES61;OCUPADOS;59.9911175;M
2009;F;7058;Y15-29;ES61;OCUPADOS;0.9518725;M
2009;F;7058;Y30-44;ES61;OCUPADOS;2.925885;M
2009;F;7058;Y45-64;ES61;OCUPADOS;1.163095;M
2009;F;7058;TOTAL;ES61;OCUPADOS;5.0408525;M
2009;F;277249;Y15-29;ES61;OCUPADOS;13.0958075;M
2009;F;277249;Y30-44;ES61;OCUPADOS;25.846415;M
2009;F;277249;Y45-64;ES61;OCUPADOS;11.0937775;M
2009;F;277249;Y65-100;ES61;OCUPADOS;0.2680975;M
2009;F;277249;TOTAL;ES61;OCUPADOS;50.3040975;M
2009;F;7663;Y15-29;ES61;OCUPADOS;3.2562375;M
2009;F;7663;Y30-44;ES61;OCUPADOS;12.8163475;M
2009;F;7663;Y45-64;ES61;OCUPADOS;2.182025;M
2009;F;7663;TOTAL;ES61;OCUPADOS;18.25461;M
2009;F;7716;Y15-29;ES61;OCUPADOS;124.281425;M
2009;F;7716;Y30-44;ES61;OCUPADOS;176.6493375;M
2009;F;7716;Y45-64;ES61;OCUPADOS;81.658835;M
2009;F;7716;Y65-100;ES61;OCUPADOS;2.1242925;M
2009;F;7716;TOTAL;ES61;OCUPADOS;384.71389;M
2009;F;7889;Y15-29;ES61;OCUPADOS;6.6168225;M
2009;F;7889;Y30-44;ES61;OCUPADOS;8.3785825;M
2009;F;7889;Y45-64;ES61;OCUPADOS;2.09247;M
2009;F;7889;Y65-100;ES61;OCUPADOS;0.084795;M
2009;F;7889;TOTAL;ES61;OCUPADOS;17.17267;M
2009;F;277250;Y15-29;ES61;OCUPADOS;6.2457575;M
2009;F;277250;Y30-44;ES61;OCUPADOS;11.02306;M
2009;F;277250;Y45-64;ES61;OCUPADOS;2.7255825;M
2009;F;277250;Y65-100;ES61;OCUPADOS;0.0521;M
2009;F;277250;TOTAL;ES61;OCUPADOS;20.0465;M
2009;F;277251;Y15-29;ES61;OCUPADOS;1.021655;M
2009;F;277251;Y30-44;ES61;OCUPADOS;3.3210475;M
2009;F;277251;Y45-64;ES61;OCUPADOS;0.7774425;M
2009;F;277251;Y65-100;ES61;OCUPADOS;0.138475;M
2009;F;277251;TOTAL;ES61;OCUPADOS;5.25862;M
2009;F;8032;Y15-29;ES61;OCUPADOS;27.533975;M
2009;F;8032;Y30-44;ES61;OCUPADOS;58.49829;M
2009;F;8032;Y45-64;ES61;OCUPADOS;32.2161325;M
2009;F;8032;Y65-100;ES61;OCUPADOS;0.27823;M
2009;F;8032;TOTAL;ES61;OCUPADOS;118.5266275;M
2009;F;8256;Y15-29;ES61;OCUPADOS;53.19686;M
2009;F;8256;Y30-44;ES61;OCUPADOS;167.2878625;M
2009;F;8256;Y45-64;ES61;OCUPADOS;148.5163325;M
2009;F;8256;Y65-100;ES61;OCUPADOS;3.0164775;M
2009;F;8256;TOTAL;ES61;OCUPADOS;372.0175325;M
2009;F;8346;Y15-29;ES61;OCUPADOS;43.792015;M
2009;F;8346;Y30-44;ES61;OCUPADOS;76.9693075;M
2009;F;8346;Y45-64;ES61;OCUPADOS;49.6644125;M
2009;F;8346;Y65-100;ES61;OCUPADOS;2.500195;M
2009;F;8346;TOTAL;ES61;OCUPADOS;172.92593;M
2009;F;6949;Y15-29;ES61;OCUPADOS;293.17133;M
2009;F;6949;Y30-44;ES61;OCUPADOS;569.168335;M
2009;F;6949;Y45-64;ES61;OCUPADOS;353.25387;M
2009;F;6949;Y65-100;ES61;OCUPADOS;8.6589125;M
2009;F;6949;TOTAL;ES61;OCUPADOS;1224.2524475;M
2009;_T;6981;Y15-29;ES61;OCUPADOS;44.685425;M
2009;_T;6981;Y30-44;ES61;OCUPADOS;87.0960325;M
2009;_T;6981;Y45-64;ES61;OCUPADOS;82.8969625;M
2009;_T;6981;Y65-100;ES61;OCUPADOS;2.1143;M
2009;_T;6981;TOTAL;ES61;OCUPADOS;216.79272;M
2009;_T;7058;Y15-29;ES61;OCUPADOS;5.973535;M
2009;_T;7058;Y30-44;ES61;OCUPADOS;16.191645;M
