TEMPORAL;CNAE09;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;8456;M;ES61;PARADOS;51.824375;M
2005;8456;F;ES61;PARADOS;85.591015;M
2005;8456;_T;ES61;PARADOS;137.41539;M
2005;6950;M;ES61;PARADOS;24.6990175;M
2005;6950;F;ES61;PARADOS;38.483995;M
2005;6950;_T;ES61;PARADOS;63.1830125;M
2005;6949;M;ES61;PARADOS;219.52712;M
2005;6949;F;ES61;PARADOS;261.5957575;M
2005;6949;_T;ES61;PARADOS;481.1228775;M
2006;8456;M;ES61;PARADOS;45.03124;M
2006;8456;F;ES61;PARADOS;78.7991075;M
2006;8456;_T;ES61;PARADOS;123.8303475;M
2006;6950;M;ES61;PARADOS;17.6905975;M
2006;6950;F;ES61;PARADOS;36.3625125;M
2006;6950;_T;ES61;PARADOS;54.05311;M
2006;6949;M;ES61;PARADOS;200.1438975;M
2006;6949;F;ES61;PARADOS;253.212145;M
2006;6949;_T;ES61;PARADOS;453.3560425;M
2007;8456;M;ES61;PARADOS;44.3234925;M
2007;8456;F;ES61;PARADOS;84.98818;M
2007;8456;_T;ES61;PARADOS;129.3116725;M
2007;6950;M;ES61;PARADOS;17.3742625;M
2007;6950;F;ES61;PARADOS;33.0832025;M
2007;6950;_T;ES61;PARADOS;50.457465;M
2007;6949;M;ES61;PARADOS;210.2070625;M
2007;6949;F;ES61;PARADOS;263.3318575;M
2007;6949;_T;ES61;PARADOS;473.53892;M
2008;6980;M;ES61;PARADOS;37.65801;M
2008;6980;F;ES61;PARADOS;42.5071975;M
2008;6980;_T;ES61;PARADOS;80.1652075;M
2008;7057;M;ES61;PARADOS;24.1917475;M
2008;7057;F;ES61;PARADOS;11.15014;M
2008;7057;_T;ES61;PARADOS;35.3418875;M
2008;7662;M;ES61;PARADOS;111.4148475;M
2008;7662;F;ES61;PARADOS;4.6918775;M
2008;7662;_T;ES61;PARADOS;116.106725;M
2008;7715;M;ES61;PARADOS;84.4079775;M
2008;7715;F;ES61;PARADOS;140.227565;M
2008;7715;_T;ES61;PARADOS;224.6355425;M
2008;7716;M;ES61;PARADOS;40.7126725;M
2008;7716;F;ES61;PARADOS;60.477345;M
2008;7716;_T;ES61;PARADOS;101.1900175;M
2008;7889;M;ES61;PARADOS;10.319975;M
2008;7889;F;ES61;PARADOS;3.06956;M
2008;7889;_T;ES61;PARADOS;13.389535;M
2008;8032;M;ES61;PARADOS;11.3668875;M
2008;8032;F;ES61;PARADOS;17.1709825;M
2008;8032;_T;ES61;PARADOS;28.53787;M
2008;8256;M;ES61;PARADOS;15.2200125;M
2008;8256;F;ES61;PARADOS;35.77771;M
2008;8256;_T;ES61;PARADOS;50.9977225;M
2008;8346;M;ES61;PARADOS;6.78843;M
2008;8346;F;ES61;PARADOS;23.7319675;M
2008;8346;_T;ES61;PARADOS;30.5203975;M
2008;8456;M;ES61;PARADOS;62.5301325;M
2008;8456;F;ES61;PARADOS;106.5938525;M
2008;8456;_T;ES61;PARADOS;169.123985;M
2008;6950;M;ES61;PARADOS;22.112165;M
2008;6950;F;ES61;PARADOS;33.79063;M
2008;6950;_T;ES61;PARADOS;55.902795;M
2008;6949;M;ES61;PARADOS;342.31488;M
2008;6949;F;ES61;PARADOS;338.9612625;M
2008;6949;_T;ES61;PARADOS;681.2761425;M
2009;6980;M;ES61;PARADOS;64.39783;M
2009;6980;F;ES61;PARADOS;53.666;M
2009;6980;_T;ES61;PARADOS;118.06383;M
2009;7057;M;ES61;PARADOS;32.8480325;M
2009;7057;F;ES61;PARADOS;14.4316775;M
2009;7057;_T;ES61;PARADOS;47.27971;M
2009;7662;M;ES61;PARADOS;155.6337125;M
2009;7662;F;ES61;PARADOS;4.0575775;M
2009;7662;_T;ES61;PARADOS;159.69129;M
2009;7715;M;ES61;PARADOS;127.886905;M
2009;7715;F;ES61;PARADOS;178.2454375;M
2009;7715;_T;ES61;PARADOS;306.1323425;M
2009;7716;M;ES61;PARADOS;57.443;M
2009;7716;F;ES61;PARADOS;79.341125;M
2009;7716;_T;ES61;PARADOS;136.784125;M
2009;7889;M;ES61;PARADOS;13.6027825;M
2009;7889;F;ES61;PARADOS;4.531065;M
2009;7889;_T;ES61;PARADOS;18.1338475;M
2009;8032;M;ES61;PARADOS;20.4862275;M
2009;8032;F;ES61;PARADOS;24.0543475;M
2009;8032;_T;ES61;PARADOS;44.540575;M
2009;8256;M;ES61;PARADOS;26.9549425;M
2009;8256;F;ES61;PARADOS;40.154185;M
2009;8256;_T;ES61;PARADOS;67.1091275;M
2009;8346;M;ES61;PARADOS;9.3999525;M
2009;8346;F;ES61;PARADOS;30.164715;M
2009;8346;_T;ES61;PARADOS;39.5646675;M
2009;8456;M;ES61;PARADOS;133.3617075;M
2009;8456;F;ES61;PARADOS;155.602435;M
2009;8456;_T;ES61;PARADOS;288.9641425;M
2009;6950;M;ES61;PARADOS;26.728835;M
2009;6950;F;ES61;PARADOS;43.3236275;M
2009;6950;_T;ES61;PARADOS;70.0524625;M
2009;6949;M;ES61;PARADOS;540.8570225;M
2009;6949;F;ES61;PARADOS;449.326755;M
2009;6949;_T;ES61;PARADOS;990.1837775;M
2010;6980;M;ES61;PARADOS;64.4169175;M
2010;6980;F;ES61;PARADOS;58.634765;M
2010;6980;_T;ES61;PARADOS;123.0516825;M
2010;7057;M;ES61;PARADOS;30.89254;M
2010;7057;F;ES61;PARADOS;7.15513;M
2010;7057;_T;ES61;PARADOS;38.04767;M
2010;7662;M;ES61;PARADOS;124.112695;M
2010;7662;F;ES61;PARADOS;3.5462925;M
2010;7662;_T;ES61;PARADOS;127.6589875;M
2010;7715;M;ES61;PARADOS;137.28133;M
2010;7715;F;ES61;PARADOS;185.432905;M
2010;7715;_T;ES61;PARADOS;322.714235;M
2010;7716;M;ES61;PARADOS;57.4235825;M
2010;7716;F;ES61;PARADOS;76.685495;M
2010;7716;_T;ES61;PARADOS;134.1090775;M
2010;7889;M;ES61;PARADOS;15.25369;M
2010;7889;F;ES61;PARADOS;5.573805;M
2010;7889;_T;ES61;PARADOS;20.827495;M
2010;8032;M;ES61;PARADOS;19.57842;M
2010;8032;F;ES61;PARADOS;23.19927;M
2010;8032;_T;ES61;PARADOS;42.77769;M
2010;8256;M;ES61;PARADOS;32.732575;M
2010;8256;F;ES61;PARADOS;46.9693725;M
2010;8256;_T;ES61;PARADOS;79.7019475;M
2010;8346;M;ES61;PARADOS;12.2930625;M
2010;8346;F;ES61;PARADOS;33.0049625;M
2010;8346;_T;ES61;PARADOS;45.298025;M
2010;8456;M;ES61;PARADOS;209.351735;M
2010;8456;F;ES61;PARADOS;202.495355;M
2010;8456;_T;ES61;PARADOS;411.84709;M
2010;6950;M;ES61;PARADOS;33.99959;M
2010;6950;F;ES61;PARADOS;47.69799;M
2010;6950;_T;ES61;PARADOS;81.69758;M
