TEMPORAL;SEXO;TERRITORIO;EDAD;INDICATOR;OBS_VALUE;FREQ
2005;M;ES611;TOTAL;TASA_ACTI;75.16218160839395;M
2005;M;ES611;Y15-29;TASA_ACTI;85.91131543527133;M
2005;M;ES611;Y55-59;TASA_ACTI;67.1054908105417;M
2005;M;ES612;TOTAL;TASA_ACTI;68.86588342420046;M
2005;M;ES612;Y15-29;TASA_ACTI;78.15435808372337;M
2005;M;ES612;Y55-59;TASA_ACTI;54.9771128259887;M
2005;M;ES613;TOTAL;TASA_ACTI;65.04531117488925;M
2005;M;ES613;Y15-29;TASA_ACTI;78.01983301718757;M
2005;M;ES613;Y55-59;TASA_ACTI;58.80788753822226;M
2005;M;ES614;TOTAL;TASA_ACTI;63.260591334064145;M
2005;M;ES614;Y15-29;TASA_ACTI;75.33262182558683;M
2005;M;ES614;Y55-59;TASA_ACTI;49.11439254643836;M
2005;M;ES615;TOTAL;TASA_ACTI;66.7499786922322;M
2005;M;ES615;Y15-29;TASA_ACTI;78.53651055106795;M
2005;M;ES615;Y55-59;TASA_ACTI;56.2482460264902;M
2005;M;ES616;TOTAL;TASA_ACTI;63.88037084765984;M
2005;M;ES616;Y15-29;TASA_ACTI;78.15602459939865;M
2005;M;ES616;Y55-59;TASA_ACTI;57.166369529498425;M
2005;M;ES617;TOTAL;TASA_ACTI;66.86222729042117;M
2005;M;ES617;Y15-29;TASA_ACTI;78.7213622365023;M
2005;M;ES617;Y55-59;TASA_ACTI;53.32878502988637;M
2005;M;ES618;TOTAL;TASA_ACTI;69.69397602038748;M
2005;M;ES618;Y15-29;TASA_ACTI;80.64346296120416;M
2005;M;ES618;Y55-59;TASA_ACTI;54.33571200555476;M
2005;M;ES61;TOTAL;TASA_ACTI;67.65761811772893;M
2005;M;ES61;Y15-29;TASA_ACTI;79.19678995969036;M
2005;M;ES61;Y55-59;TASA_ACTI;55.4440221728427;M
2005;F;ES611;TOTAL;TASA_ACTI;50.741763279646065;M
2005;F;ES611;Y15-29;TASA_ACTI;61.19178212729876;M
2005;F;ES611;Y55-59;TASA_ACTI;33.50263413139883;M
2005;F;ES612;TOTAL;TASA_ACTI;40.55920158728562;M
2005;F;ES612;Y15-29;TASA_ACTI;48.54629893075398;M
2005;F;ES612;Y55-59;TASA_ACTI;17.358472430253986;M
2005;F;ES613;TOTAL;TASA_ACTI;38.96683128837427;M
2005;F;ES613;Y15-29;TASA_ACTI;50.81964525774582;M
2005;F;ES613;Y55-59;TASA_ACTI;23.221743454650635;M
2005;F;ES614;TOTAL;TASA_ACTI;40.15728441245378;M
2005;F;ES614;Y15-29;TASA_ACTI;50.4198407478148;M
2005;F;ES614;Y55-59;TASA_ACTI;26.126673361370557;M
2005;F;ES615;TOTAL;TASA_ACTI;37.821166843785775;M
2005;F;ES615;Y15-29;TASA_ACTI;46.73793208274459;M
2005;F;ES615;Y55-59;TASA_ACTI;20.904003017648698;M
2005;F;ES616;TOTAL;TASA_ACTI;35.172590773437626;M
2005;F;ES616;Y15-29;TASA_ACTI;45.80399008283886;M
2005;F;ES616;Y55-59;TASA_ACTI;21.0659802760685;M
2005;F;ES617;TOTAL;TASA_ACTI;44.58516924274568;M
2005;F;ES617;Y15-29;TASA_ACTI;54.72321974787238;M
2005;F;ES617;Y55-59;TASA_ACTI;25.351318529102823;M
2005;F;ES618;TOTAL;TASA_ACTI;44.367286508332114;M
2005;F;ES618;Y15-29;TASA_ACTI;54.616173489411615;M
2005;F;ES618;Y55-59;TASA_ACTI;21.770708498512708;M
2005;F;ES61;TOTAL;TASA_ACTI;42.13277116917271;M
2005;F;ES61;Y15-29;TASA_ACTI;52.19728739217936;M
2005;F;ES61;Y55-59;TASA_ACTI;23.13618966947672;M
2005;_T;ES611;TOTAL;TASA_ACTI;63.328579971961595;M
2005;_T;ES611;Y15-29;TASA_ACTI;74.25977245683846;M
2005;_T;ES611;Y55-59;TASA_ACTI;50.671896092773096;M
2005;_T;ES612;TOTAL;TASA_ACTI;54.48556228672486;M
2005;_T;ES612;Y15-29;TASA_ACTI;63.48196801841311;M
2005;_T;ES612;Y55-59;TASA_ACTI;36.65117741091176;M
2005;_T;ES613;TOTAL;TASA_ACTI;51.624242901402354;M
2005;_T;ES613;Y15-29;TASA_ACTI;64.54984010157723;M
2005;_T;ES613;Y55-59;TASA_ACTI;40.80744758322066;M
2005;_T;ES614;TOTAL;TASA_ACTI;51.439964651340595;M
2005;_T;ES614;Y15-29;TASA_ACTI;62.872814314929514;M
2005;_T;ES614;Y55-59;TASA_ACTI;36.474925912978335;M
2005;_T;ES615;TOTAL;TASA_ACTI;52.13022470451656;M
2005;_T;ES615;Y15-29;TASA_ACTI;62.868798533941316;M
2005;_T;ES615;Y55-59;TASA_ACTI;39.09625651208069;M
2005;_T;ES616;TOTAL;TASA_ACTI;49.29166609497211;M
2005;_T;ES616;Y15-29;TASA_ACTI;62.20469357957889;M
2005;_T;ES616;Y55-59;TASA_ACTI;37.2101871470227;M
2005;_T;ES617;TOTAL;TASA_ACTI;55.50159349074736;M
2005;_T;ES617;Y15-29;TASA_ACTI;66.72246654143059;M
2005;_T;ES617;Y55-59;TASA_ACTI;39.281563937756225;M
2005;_T;ES618;TOTAL;TASA_ACTI;56.658008295607985;M
2005;_T;ES618;Y15-29;TASA_ACTI;67.63924916111182;M
2005;_T;ES618;Y55-59;TASA_ACTI;37.06979504583667;M
2005;_T;ES61;TOTAL;TASA_ACTI;54.6658105991911;M
2005;_T;ES61;Y15-29;TASA_ACTI;65.81967110702232;M
2005;_T;ES61;Y55-59;TASA_ACTI;38.84691091887535;M
2006;M;ES611;TOTAL;TASA_ACTI;75.08626231676897;M
2006;M;ES611;Y15-29;TASA_ACTI;85.89725713890604;M
2006;M;ES611;Y55-59;TASA_ACTI;69.25916538332089;M
2006;M;ES612;TOTAL;TASA_ACTI;67.88201251150166;M
2006;M;ES612;Y15-29;TASA_ACTI;77.78500697251943;M
2006;M;ES612;Y55-59;TASA_ACTI;50.696004977344714;M
2006;M;ES613;TOTAL;TASA_ACTI;65.93204407520174;M
2006;M;ES613;Y15-29;TASA_ACTI;79.6088683639542;M
2006;M;ES613;Y55-59;TASA_ACTI;60.242058365762276;M
2006;M;ES614;TOTAL;TASA_ACTI;65.88587104295185;M
2006;M;ES614;Y15-29;TASA_ACTI;78.69873368560289;M
2006;M;ES614;Y55-59;TASA_ACTI;53.87095503931716;M
2006;M;ES615;TOTAL;TASA_ACTI;65.78921331641055;M
2006;M;ES615;Y15-29;TASA_ACTI;76.48001994700677;M
2006;M;ES615;Y55-59;TASA_ACTI;53.57822418040492;M
2006;M;ES616;TOTAL;TASA_ACTI;63.25864296343311;M
2006;M;ES616;Y15-29;TASA_ACTI;77.32864423580811;M
2006;M;ES616;Y55-59;TASA_ACTI;53.081879055048276;M
2006;M;ES617;TOTAL;TASA_ACTI;67.92328018307194;M
2006;M;ES617;Y15-29;TASA_ACTI;79.69593203581812;M
2006;M;ES617;Y55-59;TASA_ACTI;56.020865587231064;M
2006;M;ES618;TOTAL;TASA_ACTI;69.2457044941952;M
2006;M;ES618;Y15-29;TASA_ACTI;80.35126148467488;M
2006;M;ES618;Y55-59;TASA_ACTI;57.18974335164325;M
2006;M;ES61;TOTAL;TASA_ACTI;67.875808017223;M
2006;M;ES61;Y15-29;TASA_ACTI;79.57946575435699;M
2006;M;ES61;Y55-59;TASA_ACTI;56.27312165064998;M
2006;F;ES611;TOTAL;TASA_ACTI;53.35982040592368;M
2006;F;ES611;Y15-29;TASA_ACTI;64.65207093571225;M
2006;F;ES611;Y55-59;TASA_ACTI;32.84106335333205;M
2006;F;ES612;TOTAL;TASA_ACTI;41.33923119654557;M
2006;F;ES612;Y15-29;TASA_ACTI;49.683657860982514;M
2006;F;ES612;Y55-59;TASA_ACTI;16.179314404337667;M
2006;F;ES613;TOTAL;TASA_ACTI;42.30591945121827;M
2006;F;ES613;Y15-29;TASA_ACTI;54.061627932192394;M
2006;F;ES613;Y55-59;TASA_ACTI;21.256490477187377;M
2006;F;ES614;TOTAL;TASA_ACTI;41.55298272311484;M
2006;F;ES614;Y15-29;TASA_ACTI;52.41074384082769;M
