TEMPORAL;CNO11;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2005;6727;M;ES61;ASALARIADOS;1505.1058475;M
2005;6727;F;ES61;ASALARIADOS;934.2853575;M
2005;6727;_T;ES61;ASALARIADOS;2439.391205;M
2006;6727;M;ES61;ASALARIADOS;1552.4946225;M
2006;6727;F;ES61;ASALARIADOS;1016.8622425;M
2006;6727;_T;ES61;ASALARIADOS;2569.356865;M
2007;6727;M;ES61;ASALARIADOS;1589.2043475;M
2007;6727;F;ES61;ASALARIADOS;1075.53726;M
2007;6727;_T;ES61;ASALARIADOS;2664.7416075;M
2008;6727;M;ES61;ASALARIADOS;1508.79082;M
2008;6727;F;ES61;ASALARIADOS;1084.3902675;M
2008;6727;_T;ES61;ASALARIADOS;2593.1810875;M
2009;6727;M;ES61;ASALARIADOS;1340.74778;M
2009;6727;F;ES61;ASALARIADOS;1056.557875;M
2009;6727;_T;ES61;ASALARIADOS;2397.305655;M
2010;6038;M;ES61;ASALARIADOS;33.038015;M
2010;6038;F;ES61;ASALARIADOS;12.4205125;M
2010;6038;_T;ES61;ASALARIADOS;45.4585275;M
2010;6203;M;ES61;ASALARIADOS;153.9483725;M
2010;6203;F;ES61;ASALARIADOS;193.3774025;M
2010;6203;_T;ES61;ASALARIADOS;347.325775;M
2010;6333;M;ES61;ASALARIADOS;168.59257;M
2010;6333;F;ES61;ASALARIADOS;125.5461725;M
2010;6333;_T;ES61;ASALARIADOS;294.1387425;M
2010;6375;M;ES61;ASALARIADOS;75.7438125;M
2010;6375;F;ES61;ASALARIADOS;117.8364825;M
2010;6375;_T;ES61;ASALARIADOS;193.580295;M
2010;6463;M;ES61;ASALARIADOS;234.2171475;M
2010;6463;F;ES61;ASALARIADOS;338.44098;M
2010;6463;_T;ES61;ASALARIADOS;572.6581275;M
2010;6489;M;ES61;ASALARIADOS;30.1560375;M
2010;6489;F;ES61;ASALARIADOS;1.9841975;M
2010;6489;_T;ES61;ASALARIADOS;32.140235;M
2010;6601;M;ES61;ASALARIADOS;249.267395;M
2010;6601;F;ES61;ASALARIADOS;18.9058775;M
