D_SEXO_0;D_EPD_GRUPOSEDAD_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3689;5837;2020;5732;3143;Población;406354.32855;A
3689;5837;2020;5733;3143;Población;13472.67151;A
3689;5837;2019;5732;3143;Población;399773.57588;A
3689;5837;2019;5733;3143;Población;13604.424140000001;A
3689;5837;2018;5732;3143;Población;398031.16738;A
3689;5837;2018;5733;3143;Población;11579.58261;A
3689;5837;2017;5732;3143;Población;399339.73627;A
3689;5837;2017;5733;3143;Población;10793.01381;A
3689;5837;2016;5732;3143;Población;402703.5014;A
3689;5837;2016;5733;3143;Población;10611.74864;A
3689;5837;2015;5732;3143;Población;406893.21106;A
3689;5837;2015;5733;3143;Población;11600.53895;A
3689;5837;2014;5732;3143;Población;414100.2483;A
3689;5837;2014;5733;3143;Población;9635.501639999999;A
3689;5838;2020;5732;3143;Población;1095456.6678199999;A
3689;5838;2020;5733;3143;Población;47787.33218;A
3689;5838;2019;5732;3143;Población;1110227.3530899999;A
3689;5838;2019;5733;3143;Población;52650.89691;A
3689;5838;2018;5732;3143;Población;1122439.1280699999;A
3689;5838;2018;5733;3143;Población;57440.37215;A
3689;5838;2017;5732;3143;Población;1144090.0505600001;A
3689;5838;2017;5733;3143;Población;57115.44975;A
3689;5838;2016;5732;3143;Población;1170682.5137;A
3689;5838;2016;5733;3143;Población;55093.236750000004;A
3689;5838;2015;5732;3143;Población;1201739.3093400002;A
3689;5838;2015;5733;3143;Población;52550.69083;A
3689;5838;2014;5732;3143;Población;1221561.15496;A
3689;5838;2014;5733;3143;Población;55316.09532;A
3689;5840;2020;5732;3143;Población;1065138.02094;A
3689;5840;2020;5733;3143;Población;160549.72907;A
3689;5840;2019;5732;3143;Población;1045380.2169;A
3689;5840;2019;5733;3143;Población;156771.53284;A
3689;5840;2018;5732;3143;Población;1022699.8685999999;A
3689;5840;2018;5733;3143;Población;155522.13116;A
3689;5840;2017;5732;3143;Población;1009822.98495;A
3689;5840;2017;5733;3143;Población;148620.76517;A
