D_ESTADOCIVIL_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
4317;2020;5732;3143;Población;2196628.61602;A
4317;2020;5733;3143;Población;141562.17732;A
4317;2019;5732;3143;Población;2138869.09594;A
4317;2019;5733;3143;Población;150234.09646;A
4317;2018;5732;3143;Población;2085365.10365;A
4317;2018;5733;3143;Población;146510.81868;A
4317;2017;5732;3143;Población;2057928.73753;A
4317;2017;5733;3143;Población;144178.83922999998;A
4317;2016;5732;3143;Población;2030672.48351;A
4317;2016;5733;3143;Población;140692.03547;A
4317;2015;5732;3143;Población;2030695.80016;A
4317;2015;5733;3143;Población;124660.28629;A
4317;2014;5732;3143;Población;2057164.41054;A
4317;2014;5733;3143;Población;118402.35502999999;A
4319;2020;5732;3143;Población;2584373.96616;A
4319;2020;5733;3143;Población;195476.77277;A
4319;2019;5732;3143;Población;2628013.28772;A
4319;2019;5733;3143;Población;185883.53871000002;A
4319;2018;5732;3143;Población;2645845.55186;A
4319;2018;5733;3143;Población;182517.89487;A
4319;2017;5732;3143;Población;2686516.79207;A
4319;2017;5733;3143;Población;175145.41465;A
4319;2016;5732;3143;Población;2736906.1695;A
4319;2016;5733;3143;Población;179021.54426999998;A
4319;2015;5732;3143;Población;2767286.88531;A
4319;2015;5733;3143;Población;179759.09603;A
4319;2014;5732;3143;Población;2751505.9126299997;A
4319;2014;5733;3143;Población;172356.42568000001;A
4321;2020;5732;3143;Población;82197.38669;A
4321;2020;5733;3143;Población;9801.55885;A
4321;2019;5732;3143;Población;83424.82015;A
4321;2019;5733;3143;Población;9012.56143;A
4321;2018;5732;3143;Población;82738.66757;A
4321;2018;5733;3143;Población;12266.36162;A
4321;2017;5732;3143;Población;80695.90383000001;A
4321;2017;5733;3143;Población;11473.95042;A
4321;2016;5732;3143;Población;79633.60881;A
4321;2016;5733;3143;Población;11945.55533;A
4321;2015;5732;3143;Población;83332.36194;A
4321;2015;5733;3143;Población;14550.47085;A
4321;2014;5732;3143;Población;89114.47839999999;A
4321;2014;5733;3143;Población;11579.6806;A
4324;2020;5732;3143;Población;323132.40726;A
4324;2020;5733;3143;Población;33263.864949999996;A
4324;2019;5732;3143;Población;308033.61764;A
4324;2019;5733;3143;Población;38410.73251;A
4324;2018;5732;3143;Población;319272.10516000004;A
4324;2018;5733;3143;Población;42917.99658;A
4324;2017;5732;3143;Población;318053.65258;A
4324;2017;5733;3143;Población;41853.960530000004;A
4324;2016;5732;3143;Población;308348.4326;A
4324;2016;5733;3143;Población;39625.421709999995;A
4324;2015;5732;3143;Población;307275.58444;A
4324;2015;5733;3143;Población;33326.765020000006;A
4324;2014;5732;3143;Población;311836.29325;A
4324;2014;5733;3143;Población;35178.94886;A
4325;2020;5732;3143;Población;5186332.37613;A
4325;2020;5733;3143;Población;380104.37389;A
4325;2019;5732;3143;Población;5158340.82145;A
4325;2019;5733;3143;Población;383540.92910999997;A
4325;2018;5732;3143;Población;5133221.42824;A
4325;2018;5733;3143;Población;384213.07175;A
4325;2017;5732;3143;Población;5143195.08601;A
4325;2017;5733;3143;Población;372652.16483;A
4325;2016;5732;3143;Población;5155560.69442;A
4325;2016;5733;3143;Población;371284.55678;A
4325;2015;5732;3143;Población;5188590.6318500005;A
4325;2015;5733;3143;Población;352296.61819;A
4325;2014;5732;3143;Población;5209621.094819999;A
4325;2014;5733;3143;Población;337517.41017;A
4317;2020;5732;3143;Porcentaje;42.35418127326246;A
4317;2020;5733;3143;Porcentaje;37.242975099509714;A
4317;2019;5732;3143;Porcentaje;41.464284155981154;A
4317;2019;5733;3143;Porcentaje;39.17029058896415;A
4317;2018;5732;3143;Porcentaje;40.62488113560684;A
4317;2018;5733;3143;Porcentaje;38.13270017406689;A
4317;2017;5732;3143;Porcentaje;40.01265172942341;A
4317;2017;5733;3143;Porcentaje;38.689923965898025;A
4317;2016;5732;3143;Porcentaje;39.388004600699404;A
4317;2016;5733;3143;Porcentaje;37.89331737634466;A
4317;2015;5732;3143;Porcentaje;39.13771473306524;A
4317;2015;5733;3143;Porcentaje;35.38503631697322;A
4317;2014;5732;3143;Porcentaje;39.48779331735792;A
4317;2014;5733;3143;Porcentaje;35.08036962311466;A
4319;2020;5732;3143;Porcentaje;49.83047322717945;A
4319;2020;5733;3143;Porcentaje;51.427130598231386;A
4319;2019;5732;3143;Porcentaje;50.94687184669722;A
4319;2019;5733;3143;Porcentaje;48.4651114396942;A
4319;2018;5732;3143;Porcentaje;51.54356944947077;A
4319;2018;5733;3143;Porcentaje;47.50434284775216;A
4319;2017;5732;3143;Porcentaje;52.23439412939229;A
4319;2017;5733;3143;Porcentaje;46.99970406180237;A
4319;2016;5732;3143;Porcentaje;53.08648916619732;A
4319;2016;5733;3143;Porcentaje;48.21680325801349;A
4319;2015;5732;3143;Porcentaje;53.334076277343925;A
4319;2015;5733;3143;Porcentaje;51.02492807156401;A
4319;2014;5732;3143;Porcentaje;52.8158547915483;A
4319;2014;5733;3143;Porcentaje;51.065936300349044;A
4321;2020;5732;3143;Porcentaje;1.5848846685629323;A
4321;2020;5733;3143;Porcentaje;2.5786493193147297;A
4321;2019;5732;3143;Porcentaje;1.6172801107498254;A
4321;2019;5733;3143;Porcentaje;2.349830421205239;A
4321;2018;5732;3143;Porcentaje;1.6118273627321034;A
4321;2018;5733;3143;Porcentaje;3.1925935169591217;A
4321;2017;5732;3143;Porcentaje;1.5689839191498074;A
4321;2017;5733;3143;Porcentaje;3.0789973876132706;A
4321;2016;5732;3143;Porcentaje;1.5446158726477521;A
4321;2016;5733;3143;Porcentaje;3.217358522422517;A
4321;2015;5732;3143;Porcentaje;1.6060693134753574;A
4321;2015;5733;3143;Porcentaje;4.130176135313528;A
4321;2014;5732;3143;Porcentaje;1.710575045248642;A
4321;2014;5733;3143;Porcentaje;3.4308394918554197;A
4324;2020;5732;3143;Porcentaje;6.230460830995155;A
4324;2020;5733;3143;Porcentaje;8.751244982944177;A
4324;2019;5732;3143;Porcentaje;5.971563886571813;A
4324;2019;5733;3143;Porcentaje;10.014767550136419;A
4324;2018;5732;3143;Porcentaje;6.219722052190278;A
4324;2018;5733;3143;Porcentaje;11.170363461221827;A
4324;2017;5732;3143;Porcentaje;6.183970222034499;A
4324;2017;5733;3143;Porcentaje;11.231374584686323;A
4324;2016;5732;3143;Porcentaje;5.980890360455531;A
4324;2016;5733;3143;Porcentaje;10.672520843219328;A
4324;2015;5732;3143;Porcentaje;5.922139676115485;A
4324;2015;5733;3143;Porcentaje;9.459859476149235;A
4324;2014;5732;3143;Porcentaje;5.985776845845147;A
4324;2014;5733;3143;Porcentaje;10.422854584680875;A
4325;2020;5732;3143;Porcentaje;100.0;A
4325;2020;5733;3143;Porcentaje;100.0;A
4325;2019;5732;3143;Porcentaje;100.0;A
4325;2019;5733;3143;Porcentaje;100.0;A
4325;2018;5732;3143;Porcentaje;100.0;A
4325;2018;5733;3143;Porcentaje;100.0;A
4325;2017;5732;3143;Porcentaje;100.0;A
4325;2017;5733;3143;Porcentaje;100.0;A
4325;2016;5732;3143;Porcentaje;100.0;A
4325;2016;5733;3143;Porcentaje;100.0;A
4325;2015;5732;3143;Porcentaje;100.0;A
4325;2015;5733;3143;Porcentaje;100.0;A
4325;2014;5732;3143;Porcentaje;100.0;A
4325;2014;5733;3143;Porcentaje;100.0;A
