D_SEXO_0;D_EPD_NIVELESTUDIOSTER_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3689;38326;2020;5732;3143;Población;1851387.9226900002;A
3689;38326;2020;5733;3143;Población;197956.31668;A
3689;38326;2019;5732;3143;Población;300573.84363;A
3689;38326;2019;5733;3143;Población;70261.07594;A
3689;38326;2018;5732;3143;Población;324957.63337;A
3689;38326;2018;5733;3143;Población;75629.50102000001;A
3689;38326;2017;5732;3143;Población;343878.53197999997;A
3689;38326;2017;5733;3143;Población;70296.8559;A
3689;38326;2016;5732;3143;Población;344284.0433;A
3689;38326;2016;5733;3143;Población;78193.02245;A
3689;38326;2015;5732;3143;Población;371870.78012;A
3689;38326;2015;5733;3143;Población;84436.73726;A
3689;38326;2014;5732;3143;Población;402758.35723;A
3689;38326;2014;5733;3143;Población;83407.58982;A
3689;38324;2020;5732;3143;Población;285849.16500000004;A
3689;38324;2020;5733;3143;Población;68291.96317;A
3689;38324;2019;5732;3143;Población;6062.95598;A
3689;38324;2019;5733;3143;Población;12539.66141;A
3689;38324;2018;5732;3143;Población;10852.572900000001;A
3689;38324;2018;5733;3143;Población;14504.14429;A
3689;38324;2017;5732;3143;Población;14276.4339;A
3689;38324;2017;5733;3143;Población;11120.934;A
3689;38324;2016;5732;3143;Población;10419.4257;A
3689;38324;2016;5733;3143;Población;15462.39982;A
3689;38324;2015;5732;3143;Población;12383.011700000001;A
3689;38324;2015;5733;3143;Población;15611.34914;A
3689;38324;2014;5732;3143;Población;18554.408209999998;A
3689;38324;2014;5733;3143;Población;18247.7718;A
3689;38325;2020;5732;3143;Población;1565538.75769;A
3689;38325;2020;5733;3143;Población;129664.35351000002;A
3689;38325;2019;5732;3143;Población;294510.88765;A
3689;38325;2019;5733;3143;Población;57721.414529999995;A
3689;38325;2018;5732;3143;Población;314105.06047;A
3689;38325;2018;5733;3143;Población;61125.35673;A
3689;38325;2017;5732;3143;Población;329602.09808;A
3689;38325;2017;5733;3143;Población;59175.9219;A
3689;38325;2016;5732;3143;Población;333864.6176;A
3689;38325;2016;5733;3143;Población;62730.62263;A
3689;38325;2015;5732;3143;Población;359487.76842000004;A
3689;38325;2015;5733;3143;Población;68825.38812;A
3689;38325;2014;5732;3143;Población;384203.94902;A
3689;38325;2014;5733;3143;Población;65159.818020000006;A
3689;38332;2020;5732;3143;Población;715561.09462;A
3689;38332;2020;5733;3143;Población;23853.41608;A
3689;38332;2019;5732;3143;Población;2254807.30224;A
3689;38332;2019;5733;3143;Población;152765.77795;A
3689;38332;2018;5732;3143;Población;2218212.53068;A
3689;38332;2018;5733;3143;Población;148912.58490000002;A
3689;38332;2017;5732;3143;Población;2209374.2398;A
3689;38332;2017;5733;3143;Población;146232.37283;A
3689;38332;2016;5732;3143;Población;2213737.65365;A
3689;38332;2016;5733;3143;Población;140472.53139;A
3689;38332;2015;5732;3143;Población;2202959.11992;A
3689;38332;2015;5733;3143;Población;125284.86259;A
3689;38332;2014;5732;3143;Población;2184562.80705;A
3689;38332;2014;5733;3143;Población;118201.49797000001;A
3689;38328;2020;5732;3143;Población;715561.09462;A
3689;38328;2020;5733;3143;Población;23853.41608;A
3689;38328;2019;5732;3143;Población;1561353.20545;A
3689;38328;2019;5733;3143;Población;124721.73507;A
3689;38328;2018;5732;3143;Población;1544847.90885;A
3689;38328;2018;5733;3143;Población;118527.86388;A
3689;38328;2017;5732;3143;Población;1565330.33569;A
3689;38328;2017;5733;3143;Población;111864.31349999999;A
3689;38328;2016;5732;3143;Población;1564365.45174;A
3689;38328;2016;5733;3143;Población;114676.45417999999;A
3689;38328;2015;5732;3143;Población;1568207.43592;A
3689;38328;2015;5733;3143;Población;101665.54114;A
3689;38328;2014;5732;3143;Población;1571445.32278;A
3689;38328;2014;5733;3143;Población;91746.74495;A
3689;38330;2019;5732;3143;Población;693454.09679;A
3689;38330;2019;5733;3143;Población;28044.04288;A
3689;38330;2018;5732;3143;Población;673364.6218300001;A
3689;38330;2018;5733;3143;Población;30384.72102;A
