D_SEXO_0;D_EPD_RELACTIVIDAD_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3689;5870;2020;5732;3143;Población;2055873.72274;A
3689;5870;2020;5733;3143;Población;64514.94232;A
3689;5870;2019;5732;3143;Población;2077141.1632899998;A
3689;5870;2019;5733;3143;Población;66759.49415;A
3689;5870;2018;5732;3143;Población;2080838.86826;A
3689;5870;2018;5733;3143;Población;69736.99422;A
3689;5870;2017;5732;3143;Población;2091783.37186;A
3689;5870;2017;5733;3143;Población;68690.06364000001;A
3689;5870;2016;5732;3143;Población;2102841.10646;A
3689;5870;2016;5733;3143;Población;66923.47172;A
3689;5870;2015;5732;3143;Población;2135198.5777700003;A
3689;5870;2015;5733;3143;Población;60981.244660000004;A
3689;5870;2014;5732;3143;Población;2146242.9724399997;A
3689;5870;2014;5733;3143;Población;56526.99195;A
3689;5865;2020;5732;3143;Población;1671868.6272;A
3689;5865;2020;5733;3143;Población;45703.20282;A
3689;5865;2019;5732;3143;Población;1713309.9846299998;A
3689;5865;2019;5733;3143;Población;46281.01785;A
3689;5865;2018;5732;3143;Población;1676470.81181;A
3689;5865;2018;5733;3143;Población;47614.09324;A
3689;5865;2017;5732;3143;Población;1613999.19757;A
3689;5865;2017;5733;3143;Población;47467.68777;A
3689;5865;2016;5732;3143;Población;1556322.0031;A
3689;5865;2016;5733;3143;Población;42123.80999;A
3689;5865;2015;5732;3143;Población;1517648.32217;A
3689;5865;2015;5733;3143;Población;37368.455330000004;A
3689;5865;2014;5732;3143;Población;1448654.1579699998;A
3689;5865;2014;5733;3143;Población;30769.8389;A
3689;5869;2020;5732;3143;Población;384005.09554;A
3689;5869;2020;5733;3143;Población;18811.739500000003;A
3689;5869;2019;5732;3143;Población;363831.17866;A
3689;5869;2019;5733;3143;Población;20478.476300000002;A
3689;5869;2018;5732;3143;Población;404368.05645;A
3689;5869;2018;5733;3143;Población;22122.900980000002;A
3689;5869;2017;5732;3143;Población;477784.17429;A
3689;5869;2017;5733;3143;Población;21222.37587;A
3689;5869;2016;5732;3143;Población;546519.1033600001;A
3689;5869;2016;5733;3143;Población;24799.66173;A
3689;5869;2015;5732;3143;Población;617550.2556;A
3689;5869;2015;5733;3143;Población;23612.78933;A
3689;5869;2014;5732;3143;Población;697588.81447;A
3689;5869;2014;5733;3143;Población;25757.15305;A
3689;5882;2020;5732;3143;Población;511075.29456999997;A
3689;5882;2020;5733;3143;Población;157294.79044;A
3689;5882;2019;5732;3143;Población;478239.98258;A
3689;5882;2019;5733;3143;Población;156267.35973999999;A
3689;5882;2018;5732;3143;Población;462331.29579;A
3689;5882;2018;5733;3143;Población;154805.0917;A
3689;5882;2017;5732;3143;Población;461469.39992;A
3689;5882;2017;5733;3143;Población;147839.16509;A
3689;5882;2016;5732;3143;Población;455180.59049;A
3689;5882;2016;5733;3143;Población;151742.08212;A
3689;5882;2015;5732;3143;Población;439631.32227;A
3689;5882;2015;5733;3143;Población;148740.35519;A
3689;5882;2014;5732;3143;Población;441078.19184;A
3689;5882;2014;5733;3143;Población;145082.09584;A
3689;5883;2020;5732;3143;Población;2566949.01731;A
3689;5883;2020;5733;3143;Población;221809.73276;A
3689;5883;2019;5732;3143;Población;2555381.14587;A
3689;5883;2019;5733;3143;Población;223026.85389;A
