D_SEXO_0;D_EPD_PERCEPPRESINVAL_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3689;38361;2020;5732;3143;Población;65208.671949999996;A
3689;38361;2020;5733;3143;Población;142231.68519000002;A
3689;38361;2019;5732;3143;Población;70512.5245;A
3689;38361;2019;5733;3143;Población;141229.52849;A
3689;38361;2018;5732;3143;Población;79030.35267;A
3689;38361;2018;5733;3143;Población;141174.24805;A
3689;38361;2017;5732;3143;Población;79699.43464;A
3689;38361;2017;5733;3143;Población;144152.21836;A
3689;38361;2016;5732;3143;Población;90920.54074000001;A
3689;38361;2016;5733;3143;Población;148655.57001999998;A
3689;38361;2015;5732;3143;Población;89978.78799;A
3689;38361;2015;5733;3143;Población;142633.22421999997;A
3689;38361;2014;5732;3143;Población;63644.427540000004;A
3689;38361;2014;5733;3143;Población;139355.55271000002;A
3689;38362;2020;5732;3143;Población;167660.60696;A
3689;38362;2020;5733;3143;Población;26052.72056;A
3689;38362;2019;5732;3143;Población;177800.7943;A
3689;38362;2019;5733;3143;Población;31028.027720000002;A
3689;38362;2018;5732;3143;Población;172870.36796;A
3689;38362;2018;5733;3143;Población;31607.614810000003;A
3689;38362;2017;5732;3143;Población;209267.54921;A
3689;38362;2017;5733;3143;Población;24392.53601;A
3689;38362;2016;5732;3143;Población;207695.02997;A
3689;38362;2016;5733;3143;Población;22891.91282;A
3689;38362;2015;5732;3143;Población;214192.79374000002;A
3689;38362;2015;5733;3143;Población;22361.05507;A
3689;38362;2014;5732;3143;Población;223388.35259999998;A
3689;38362;2014;5733;3143;Población;17280.32705;A
3689;38360;2020;5732;3143;Población;2334079.7384;A
3689;38360;2020;5733;3143;Población;53525.32701;A
3689;38360;2019;5732;3143;Población;2307067.82707;A
3689;38360;2019;5733;3143;Población;50769.29768;A
3689;38360;2018;5732;3143;Población;2291269.44342;A
3689;38360;2018;5733;3143;Población;51760.223060000004;A
3689;38360;2017;5732;3143;Población;2264285.78793;A
3689;38360;2017;5733;3143;Población;47984.47436;A
3689;38360;2016;5732;3143;Población;2259406.12624;A
3689;38360;2016;5733;3143;Población;47118.071;A
3689;38360;2015;5732;3143;Población;2270658.31831;A
3689;38360;2015;5733;3143;Población;44727.32056;A
3689;38360;2014;5732;3143;Población;2300288.3841399997;A
3689;38360;2014;5733;3143;Población;44973.20803;A
3689;38363;2020;5732;3143;Población;2566949.01731;A
3689;38363;2020;5733;3143;Población;221809.73276;A
3689;38363;2019;5732;3143;Población;2555381.14587;A
3689;38363;2019;5733;3143;Población;223026.85389;A
3689;38363;2018;5732;3143;Población;2543170.1640500003;A
3689;38363;2018;5733;3143;Población;224542.08592;A
3689;38363;2017;5732;3143;Población;2553252.77178;A
3689;38363;2017;5733;3143;Población;216529.22873;A
3689;38363;2016;5732;3143;Población;2558021.6969500002;A
3689;38363;2016;5733;3143;Población;218665.55384;A
3689;38363;2015;5732;3143;Población;2574829.90004;A
3689;38363;2015;5733;3143;Población;209721.59985;A
3689;38363;2014;5732;3143;Población;2587321.16428;A
3689;38363;2014;5733;3143;Población;201609.08779;A
3690;38361;2020;5732;3143;Población;173804.17922999998;A
3690;38361;2020;5733;3143;Población;84285.53207999999;A
3690;38361;2019;5732;3143;Población;182517.72508;A
3690;38361;2019;5733;3143;Población;84644.65595;A
3690;38361;2018;5732;3143;Población;172357.64724000002;A
3690;38361;2018;5733;3143;Población;82140.11499;A
3690;38361;2017;5732;3143;Población;175395.59589;A
3690;38361;2017;5733;3143;Población;83205.96084;A
3690;38361;2016;5732;3143;Población;164898.01353;A
3690;38361;2016;5733;3143;Población;84201.06525;A
3690;38361;2015;5732;3143;Población;169676.24081;A
3690;38361;2015;5733;3143;Población;76139.44363000001;A
3690;38361;2014;5732;3143;Población;152277.66592;A
3690;38361;2014;5733;3143;Población;74173.64329;A
3690;38362;2020;5732;3143;Población;201329.48408;A
3690;38362;2020;5733;3143;Población;19462.98587;A
3690;38362;2019;5732;3143;Población;200138.50658000002;A
3690;38362;2019;5733;3143;Población;19272.9262;A
3690;38362;2018;5732;3143;Población;185504.13559;A
3690;38362;2018;5733;3143;Población;22021.86047;A
3690;38362;2017;5732;3143;Población;201543.12394;A
3690;38362;2017;5733;3143;Población;19550.77229;A
3690;38362;2016;5732;3143;Población;200357.35349;A
3690;38362;2016;5733;3143;Población;18593.31369;A
3690;38362;2015;5732;3143;Población;205680.07536;A
3690;38362;2015;5733;3143;Población;15453.78095;A
3690;38362;2014;5732;3143;Población;191981.10345;A
3690;38362;2014;5733;3143;Población;15546.91845;A
3690;38360;2020;5732;3143;Población;2244249.69551;A
3690;38360;2020;5733;3143;Población;54546.12318;A
3690;38360;2019;5732;3143;Población;2220303.44392;A
3690;38360;2019;5733;3143;Población;56596.493070000004;A
3690;38360;2018;5732;3143;Población;2232189.48136;A
3690;38360;2018;5733;3143;Población;55509.010369999996;A
3690;38360;2017;5732;3143;Población;2213003.5944000003;A
3690;38360;2017;5733;3143;Población;53366.202970000006;A
3690;38360;2016;5732;3143;Población;2232283.63045;A
3690;38360;2016;5733;3143;Población;49824.624;A
3690;38360;2015;5732;3143;Población;2238404.4156400003;A
3690;38360;2015;5733;3143;Población;50981.79376;A
3690;38360;2014;5732;3143;Población;2278041.16117;A
3690;38360;2014;5733;3143;Población;46187.76064;A
3690;38363;2020;5732;3143;Población;2619383.35882;A
3690;38363;2020;5733;3143;Población;158294.64113;A
3690;38363;2019;5732;3143;Población;2602959.67558;A
3690;38363;2019;5733;3143;Población;160514.07522;A
3690;38363;2018;5732;3143;Población;2590051.26419;A
3690;38363;2018;5733;3143;Población;159670.98583000002;A
3690;38363;2017;5732;3143;Población;2589942.31423;A
3690;38363;2017;5733;3143;Población;156122.9361;A
3690;38363;2016;5732;3143;Población;2597538.9974700003;A
3690;38363;2016;5733;3143;Población;152619.00294;A
3690;38363;2015;5732;3143;Población;2613760.73181;A
3690;38363;2015;5733;3143;Población;142575.01834;A
3690;38363;2014;5732;3143;Población;2622299.93054;A
3690;38363;2014;5733;3143;Población;135908.32238;A
3691;38361;2020;5732;3143;Población;239012.85118000003;A
3691;38361;2020;5733;3143;Población;226517.21727;A
3691;38361;2019;5732;3143;Población;253030.24958;A
3691;38361;2019;5733;3143;Población;225874.18443999998;A
3691;38361;2018;5732;3143;Población;251387.99990999998;A
3691;38361;2018;5733;3143;Población;223314.36304;A
3691;38361;2017;5732;3143;Población;255095.03053;A
3691;38361;2017;5733;3143;Población;227358.17919999998;A
3691;38361;2016;5732;3143;Población;255818.55427;A
3691;38361;2016;5733;3143;Población;232856.63527;A
3691;38361;2015;5732;3143;Población;259655.02880000003;A
3691;38361;2015;5733;3143;Población;218772.66785;A
3691;38361;2014;5732;3143;Población;215922.09346;A
3691;38361;2014;5733;3143;Población;213529.19600000003;A
3691;38362;2020;5732;3143;Población;368990.09103999997;A
3691;38362;2020;5733;3143;Población;45515.70643;A
3691;38362;2019;5732;3143;Población;377939.30088;A
3691;38362;2019;5733;3143;Población;50300.95392;A
3691;38362;2018;5732;3143;Población;358374.50354999996;A
3691;38362;2018;5733;3143;Población;53629.47528;A
3691;38362;2017;5732;3143;Población;410810.67315;A
3691;38362;2017;5733;3143;Población;43943.3083;A
3691;38362;2016;5732;3143;Población;408052.38346;A
3691;38362;2016;5733;3143;Población;41485.22651;A
3691;38362;2015;5732;3143;Población;419872.8691;A
3691;38362;2015;5733;3143;Población;37814.83602;A
3691;38362;2014;5732;3143;Población;415369.45605;A
3691;38362;2014;5733;3143;Población;32827.2455;A
3691;38360;2020;5732;3143;Población;4578329.43391;A
3691;38360;2020;5733;3143;Población;108071.45018999999;A
3691;38360;2019;5732;3143;Población;4527371.27099;A
3691;38360;2019;5733;3143;Población;107365.79075;A
3691;38360;2018;5732;3143;Población;4523458.92478;A
3691;38360;2018;5733;3143;Población;107269.23343;A
3691;38360;2017;5732;3143;Población;4477289.38233;A
3691;38360;2017;5733;3143;Población;101350.67732999999;A
3691;38360;2016;5732;3143;Población;4491689.75669;A
3691;38360;2016;5733;3143;Población;96942.695;A
3691;38360;2015;5732;3143;Población;4509062.733949999;A
3691;38360;2015;5733;3143;Población;95709.11432;A
3691;38360;2014;5732;3143;Población;4578329.54531;A
3691;38360;2014;5733;3143;Población;91160.96867;A
3691;38363;2020;5732;3143;Población;5186332.37613;A
3691;38363;2020;5733;3143;Población;380104.37389;A
3691;38363;2019;5732;3143;Población;5158340.82145;A
3691;38363;2019;5733;3143;Población;383540.92910999997;A
3691;38363;2018;5732;3143;Población;5133221.42824;A
3691;38363;2018;5733;3143;Población;384213.07175;A
3691;38363;2017;5732;3143;Población;5143195.08601;A
3691;38363;2017;5733;3143;Población;372652.16483;A
3691;38363;2016;5732;3143;Población;5155560.69442;A
3691;38363;2016;5733;3143;Población;371284.55678;A
3691;38363;2015;5732;3143;Población;5188590.6318500005;A
3691;38363;2015;5733;3143;Población;352296.61819;A
3691;38363;2014;5732;3143;Población;5209621.094819999;A
3691;38363;2014;5733;3143;Población;337517.41017;A
3689;38361;2020;5732;3143;Porcentaje;2.5403181563120625;A
3689;38361;2020;5733;3143;Porcentaje;64.12328414096052;A
3689;38361;2019;5732;3143;Porcentaje;2.759374061046124;A
3689;38361;2019;5733;3143;Porcentaje;63.32400158397804;A
3689;38361;2018;5732;3143;Porcentaje;3.1075526831497626;A
3689;38361;2018;5733;3143;Porcentaje;62.87206581856447;A
3689;38361;2017;5732;3143;Porcentaje;3.121486267277703;A
3689;38361;2017;5733;3143;Porcentaje;66.5740229185178;A
3689;38361;2016;5732;3143;Porcentaje;3.554330318949486;A
3689;38361;2016;5733;3143;Porcentaje;67.98307616789653;A
3689;38361;2015;5732;3143;Porcentaje;3.4945527076799197;A
3689;38361;2015;5733;3143;Porcentaje;68.01074582780987;A
3689;38361;2014;5732;3143;Porcentaje;2.4598580345826906;A
3689;38361;2014;5733;3143;Porcentaje;69.12166224131498;A
3689;38362;2020;5732;3143;Porcentaje;6.531512929528212;A
3689;38362;2020;5733;3143;Porcentaje;11.745526328274;A
3689;38362;2019;5732;3143;Porcentaje;6.957897243131857;A
3689;38362;2019;5733;3143;Porcentaje;13.912238449681697;A
3689;38362;2018;5732;3143;Porcentaje;6.797436145000374;A
3689;38362;2018;5733;3143;Porcentaje;14.076476879822511;A
3689;38362;2017;5732;3143;Porcentaje;8.196115618592245;A
3689;38362;2017;5733;3143;Porcentaje;11.265239410433658;A
3689;38362;2016;5732;3143;Porcentaje;8.11936154480787;A
3689;38362;2016;5733;3143;Porcentaje;10.46891584796674;A
3689;38362;2015;5732;3143;Porcentaje;8.318716266914274;A
3689;38362;2015;5733;3143;Porcentaje;10.662256575380592;A
3689;38362;2014;5732;3143;Porcentaje;8.63396302260622;A
3689;38362;2014;5733;3143;Porcentaje;8.571204423086092;A
3689;38360;2020;5732;3143;Porcentaje;90.92816891415974;A
3689;38360;2020;5733;3143;Porcentaje;24.131189530765475;A
3689;38360;2019;5732;3143;Porcentaje;90.28272869582202;A
3689;38360;2019;5733;3143;Porcentaje;22.76375996634026;A
3689;38360;2018;5732;3143;Porcentaje;90.09501117184986;A
3689;38360;2018;5733;3143;Porcentaje;23.05145730161301;A
3689;38360;2017;5732;3143;Porcentaje;88.68239811413005;A
3689;38360;2017;5733;3143;Porcentaje;22.160737671048555;A
3689;38360;2016;5732;3143;Porcentaje;88.32630813624263;A
3689;38360;2016;5733;3143;Porcentaje;21.54800798413673;A
3689;38360;2015;5732;3143;Porcentaje;88.1867310254058;A
3689;38360;2015;5733;3143;Porcentaje;21.326997596809534;A
3689;38360;2014;5732;3143;Porcentaje;88.90617894281108;A
3689;38360;2014;5733;3143;Porcentaje;22.30713333559893;A
3689;38363;2020;5732;3143;Porcentaje;100.0;A
3689;38363;2020;5733;3143;Porcentaje;100.0;A
3689;38363;2019;5732;3143;Porcentaje;100.0;A
3689;38363;2019;5733;3143;Porcentaje;100.0;A
3689;38363;2018;5732;3143;Porcentaje;100.0;A
3689;38363;2018;5733;3143;Porcentaje;100.0;A
3689;38363;2017;5732;3143;Porcentaje;100.0;A
3689;38363;2017;5733;3143;Porcentaje;100.0;A
3689;38363;2016;5732;3143;Porcentaje;100.0;A
3689;38363;2016;5733;3143;Porcentaje;100.0;A
3689;38363;2015;5732;3143;Porcentaje;100.0;A
3689;38363;2015;5733;3143;Porcentaje;100.0;A
3689;38363;2014;5732;3143;Porcentaje;100.0;A
3689;38363;2014;5733;3143;Porcentaje;100.0;A
3690;38361;2020;5732;3143;Porcentaje;6.635308980060736;A
3690;38361;2020;5733;3143;Porcentaje;53.24597944587411;A
3690;38361;2019;5732;3143;Porcentaje;7.011930564745718;A
3690;38361;2019;5733;3143;Porcentaje;52.73347887653238;A
3690;38361;2018;5732;3143;Porcentaje;6.654603699278605;A
3690;38361;2018;5733;3143;Porcentaje;51.44335682717818;A
3690;38361;2017;5732;3143;Porcentaje;6.772181562744412;A
3690;38361;2017;5733;3143;Porcentaje;53.295155035199215;A
3690;38361;2016;5732;3143;Porcentaje;6.348240149257064;A
3690;38361;2016;5733;3143;Porcentaje;55.170760932766974;A
3690;38361;2015;5732;3143;Porcentaje;6.49165161695964;A
3690;38361;2015;5733;3143;Porcentaje;53.40307475775984;A
3690;38361;2014;5732;3143;Porcentaje;5.807027035562712;A
3690;38361;2014;5733;3143;Porcentaje;54.5762334425778;A
3690;38362;2020;5732;3143;Porcentaje;7.686140457527242;A
3690;38362;2020;5733;3143;Porcentaje;12.295416781681167;A
3690;38362;2019;5732;3143;Porcentaje;7.688882331048963;A
3690;38362;2019;5733;3143;Porcentaje;12.007000740330467;A
3690;38362;2018;5732;3143;Porcentaje;7.1621800755366;A
3690;38362;2018;5733;3143;Porcentaje;13.792023864277034;A
3690;38362;2017;5732;3143;Porcentaje;7.781761116170633;A
3690;38362;2017;5733;3143;Porcentaje;12.522677819405933;A
3690;38362;2016;5732;3143;Porcentaje;7.7133530501427625;A
3690;38362;2016;5733;3143;Porcentaje;12.182830009254939;A
3690;38362;2015;5732;3143;Porcentaje;7.869124088399968;A
3690;38362;2015;5733;3143;Porcentaje;10.839052401976355;A
3690;38362;2014;5732;3143;Porcentaje;7.321096309927679;A
3690;38362;2014;5733;3143;Porcentaje;11.43926889666902;A
3690;38360;2020;5732;3143;Porcentaje;85.67855056241203;A
3690;38360;2020;5733;3143;Porcentaje;34.45860377244471;A
3690;38360;2019;5732;3143;Porcentaje;85.29918710420533;A
3690;38360;2019;5733;3143;Porcentaje;35.25952038313716;A
3690;38360;2018;5732;3143;Porcentaje;86.1832162251848;A
3690;38360;2018;5733;3143;Porcentaje;34.764619308544795;A
3690;38360;2017;5732;3143;Porcentaje;85.44605732108495;A
3690;38360;2017;5733;3143;Porcentaje;34.18216714539486;A
3690;38360;2016;5732;3143;Porcentaje;85.93840680060018;A
3690;38360;2016;5733;3143;Porcentaje;32.64640905797809;A
3690;38360;2015;5732;3143;Porcentaje;85.6392242946404;A
3690;38360;2015;5733;3143;Porcentaje;35.75787284026381;A
3690;38360;2014;5732;3143;Porcentaje;86.87187665450962;A
3690;38360;2014;5733;3143;Porcentaje;33.984497660753185;A
3690;38363;2020;5732;3143;Porcentaje;100.0;A
3690;38363;2020;5733;3143;Porcentaje;100.0;A
3690;38363;2019;5732;3143;Porcentaje;100.0;A
3690;38363;2019;5733;3143;Porcentaje;100.0;A
3690;38363;2018;5732;3143;Porcentaje;100.0;A
3690;38363;2018;5733;3143;Porcentaje;100.0;A
3690;38363;2017;5732;3143;Porcentaje;100.0;A
3690;38363;2017;5733;3143;Porcentaje;100.0;A
3690;38363;2016;5732;3143;Porcentaje;100.0;A
3690;38363;2016;5733;3143;Porcentaje;100.0;A
3690;38363;2015;5732;3143;Porcentaje;100.0;A
3690;38363;2015;5733;3143;Porcentaje;100.0;A
3690;38363;2014;5732;3143;Porcentaje;100.0;A
3690;38363;2014;5733;3143;Porcentaje;100.0;A
3691;38361;2020;5732;3143;Porcentaje;4.608513952558311;A
3691;38361;2020;5733;3143;Porcentaje;59.59342560355614;A
3691;38361;2019;5732;3143;Porcentaje;4.905264276602679;A
3691;38361;2019;5733;3143;Porcentaje;58.891807183170016;A
3691;38361;2018;5732;3143;Porcentaje;4.897275588522431;A
3691;38361;2018;5733;3143;Porcentaje;58.122531339929616;A
3691;38361;2017;5732;3143;Porcentaje;4.959855231311053;A
3691;38361;2017;5733;3143;Porcentaje;61.01083011384581;A
3691;38361;2016;5732;3143;Porcentaje;4.961992873963819;A
3691;38361;2016;5733;3143;Porcentaje;62.71648820771618;A
3691;38361;2015;5732;3143;Porcentaje;5.004346020403225;A
3691;38361;2015;5733;3143;Porcentaje;62.09899742268088;A
