D_SEXO_0;D_EPD_SITUACIONDEPEND_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3689;38403;2020;5732;3143;Población;939.69828;A
3689;38403;2020;5733;3143;Población;45199.74329;A
3689;38403;2019;5732;3143;Población;3032.89386;A
3689;38403;2019;5733;3143;Población;42894.03913999999;A
3689;38403;2018;5732;3143;Población;1172.58026;A
3689;38403;2018;5733;3143;Población;40508.68793;A
3689;38403;2017;5732;3143;Población;1490.86157;A
3689;38403;2017;5733;3143;Población;35293.60038;A
3689;38403;2016;5732;3143;Población;725.47364;A
3689;38403;2016;5733;3143;Población;35541.80601;A
3689;38403;2015;5732;3143;Población;1655.9480600000002;A
3689;38403;2015;5733;3143;Población;30073.44668;A
3689;38403;2014;5732;3143;Población;1011.2677699999999;A
3689;38403;2014;5733;3143;Población;35507.14785;A
3689;38402;2020;5732;3143;Población;2566009.31903;A
3689;38402;2020;5733;3143;Población;176609.98947;A
3689;38402;2019;5732;3143;Población;2552348.25201;A
3689;38402;2019;5733;3143;Población;180132.81475;A
3689;38402;2018;5732;3143;Población;2541997.58379;A
3689;38402;2018;5733;3143;Población;184033.39799;A
3689;38402;2017;5732;3143;Población;2551761.9102100004;A
3689;38402;2017;5733;3143;Población;181235.62835;A
3689;38402;2016;5732;3143;Población;2557296.2233100003;A
3689;38402;2016;5733;3143;Población;183123.74783;A
3689;38402;2015;5732;3143;Población;2573173.95198;A
3689;38402;2015;5733;3143;Población;179648.15317;A
3689;38402;2014;5732;3143;Población;2586309.89651;A
3689;38402;2014;5733;3143;Población;166101.93993999998;A
3689;38404;2020;5732;3143;Población;2566949.01731;A
3689;38404;2020;5733;3143;Población;221809.73276;A
3689;38404;2019;5732;3143;Población;2555381.14587;A
3689;38404;2019;5733;3143;Población;223026.85389;A
3689;38404;2018;5732;3143;Población;2543170.1640500003;A
3689;38404;2018;5733;3143;Población;224542.08592;A
3689;38404;2017;5732;3143;Población;2553252.77178;A
3689;38404;2017;5733;3143;Población;216529.22873;A
3689;38404;2016;5732;3143;Población;2558021.6969500002;A
3689;38404;2016;5733;3143;Población;218665.55384;A
3689;38404;2015;5732;3143;Población;2574829.90004;A
3689;38404;2015;5733;3143;Población;209721.59985;A
3689;38404;2014;5732;3143;Población;2587321.16428;A
3689;38404;2014;5733;3143;Población;201609.08779;A
3690;38403;2020;5732;3143;Población;1752.28022;A
3690;38403;2020;5733;3143;Población;30407.25601;A
3690;38403;2019;5732;3143;Población;1997.7421900000002;A
3690;38403;2019;5733;3143;Población;28904.91137;A
3690;38403;2018;5732;3143;Población;431.57606;A
3690;38403;2018;5733;3143;Población;28971.14001;A
