SEXO;GRUPOSEDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
M;Y16-24;2020;5732;ES61;POP;406354.32855;A
M;Y16-24;2020;5733;ES61;POP;13472.67151;A
M;Y16-24;2019;5732;ES61;POP;399773.57588;A
M;Y16-24;2019;5733;ES61;POP;13604.424140000001;A
M;Y16-24;2018;5732;ES61;POP;398031.16738;A
M;Y16-24;2018;5733;ES61;POP;11579.58261;A
M;Y16-24;2017;5732;ES61;POP;399339.73627;A
M;Y16-24;2017;5733;ES61;POP;10793.01381;A
M;Y16-24;2016;5732;ES61;POP;402703.5014;A
M;Y16-24;2016;5733;ES61;POP;10611.74864;A
M;Y16-24;2015;5732;ES61;POP;406893.21106;A
M;Y16-24;2015;5733;ES61;POP;11600.53895;A
M;Y16-24;2014;5732;ES61;POP;414100.2483;A
M;Y16-24;2014;5733;ES61;POP;9635.501639999999;A
M;Y25-44;2020;5732;ES61;POP;1095456.6678199999;A
M;Y25-44;2020;5733;ES61;POP;47787.33218;A
M;Y25-44;2019;5732;ES61;POP;1110227.3530899999;A
M;Y25-44;2019;5733;ES61;POP;52650.89691;A
M;Y25-44;2018;5732;ES61;POP;1122439.1280699999;A
M;Y25-44;2018;5733;ES61;POP;57440.37215;A
M;Y25-44;2017;5732;ES61;POP;1144090.0505600001;A
M;Y25-44;2017;5733;ES61;POP;57115.44975;A
M;Y25-44;2016;5732;ES61;POP;1170682.5137;A
M;Y25-44;2016;5733;ES61;POP;55093.236750000004;A
M;Y25-44;2015;5732;ES61;POP;1201739.3093400002;A
M;Y25-44;2015;5733;ES61;POP;52550.69083;A
M;Y25-44;2014;5732;ES61;POP;1221561.15496;A
M;Y25-44;2014;5733;ES61;POP;55316.09532;A
M;Y45-64;2020;5732;ES61;POP;1065138.02094;A
M;Y45-64;2020;5733;ES61;POP;160549.72907;A
M;Y45-64;2019;5732;ES61;POP;1045380.2169;A
M;Y45-64;2019;5733;ES61;POP;156771.53284;A
M;Y45-64;2018;5732;ES61;POP;1022699.8685999999;A
M;Y45-64;2018;5733;ES61;POP;155522.13116;A
M;Y45-64;2017;5732;ES61;POP;1009822.98495;A
M;Y45-64;2017;5733;ES61;POP;148620.76517;A
M;Y45-64;2016;5732;ES61;POP;984635.6818499999;A
M;Y45-64;2016;5733;ES61;POP;152960.56845000002;A
M;Y45-64;2015;5732;ES61;POP;966197.37964;A
M;Y45-64;2015;5733;ES61;POP;145570.37007;A
M;Y45-64;2014;5732;ES61;POP;951659.76102;A
M;Y45-64;2014;5733;ES61;POP;136657.49083;A
M;TOTAL;2020;5732;ES61;POP;2566949.01731;A
M;TOTAL;2020;5733;ES61;POP;221809.73276;A
M;TOTAL;2019;5732;ES61;POP;2555381.14587;A
M;TOTAL;2019;5733;ES61;POP;223026.85389;A
M;TOTAL;2018;5732;ES61;POP;2543170.1640500003;A
M;TOTAL;2018;5733;ES61;POP;224542.08592;A
M;TOTAL;2017;5732;ES61;POP;2553252.77178;A
M;TOTAL;2017;5733;ES61;POP;216529.22873;A
M;TOTAL;2016;5732;ES61;POP;2558021.6969500002;A
