SEXO;NIVELESTUDIOSTER;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
M;38326;2020;5732;ES61;POP;1851387.9226900002;A
M;38326;2020;5733;ES61;POP;197956.31668;A
M;38326;2019;5732;ES61;POP;300573.84363;A
M;38326;2019;5733;ES61;POP;70261.07594;A
M;38326;2018;5732;ES61;POP;324957.63337;A
M;38326;2018;5733;ES61;POP;75629.50102000001;A
M;38326;2017;5732;ES61;POP;343878.53197999997;A
M;38326;2017;5733;ES61;POP;70296.8559;A
M;38326;2016;5732;ES61;POP;344284.0433;A
M;38326;2016;5733;ES61;POP;78193.02245;A
M;38326;2015;5732;ES61;POP;371870.78012;A
M;38326;2015;5733;ES61;POP;84436.73726;A
M;38326;2014;5732;ES61;POP;402758.35723;A
M;38326;2014;5733;ES61;POP;83407.58982;A
M;38324;2020;5732;ES61;POP;285849.16500000004;A
M;38324;2020;5733;ES61;POP;68291.96317;A
M;38324;2019;5732;ES61;POP;6062.95598;A
M;38324;2019;5733;ES61;POP;12539.66141;A
M;38324;2018;5732;ES61;POP;10852.572900000001;A
M;38324;2018;5733;ES61;POP;14504.14429;A
M;38324;2017;5732;ES61;POP;14276.4339;A
M;38324;2017;5733;ES61;POP;11120.934;A
M;38324;2016;5732;ES61;POP;10419.4257;A
M;38324;2016;5733;ES61;POP;15462.39982;A
M;38324;2015;5732;ES61;POP;12383.011700000001;A
M;38324;2015;5733;ES61;POP;15611.34914;A
M;38324;2014;5732;ES61;POP;18554.408209999998;A
M;38324;2014;5733;ES61;POP;18247.7718;A
M;38325;2020;5732;ES61;POP;1565538.75769;A
M;38325;2020;5733;ES61;POP;129664.35351000002;A
M;38325;2019;5732;ES61;POP;294510.88765;A
M;38325;2019;5733;ES61;POP;57721.414529999995;A
M;38325;2018;5732;ES61;POP;314105.06047;A
M;38325;2018;5733;ES61;POP;61125.35673;A
M;38325;2017;5732;ES61;POP;329602.09808;A
M;38325;2017;5733;ES61;POP;59175.9219;A
M;38325;2016;5732;ES61;POP;333864.6176;A
M;38325;2016;5733;ES61;POP;62730.62263;A
M;38325;2015;5732;ES61;POP;359487.76842000004;A
M;38325;2015;5733;ES61;POP;68825.38812;A
M;38325;2014;5732;ES61;POP;384203.94902;A
M;38325;2014;5733;ES61;POP;65159.818020000006;A
M;38332;2020;5732;ES61;POP;715561.09462;A
M;38332;2020;5733;ES61;POP;23853.41608;A
M;38332;2019;5732;ES61;POP;2254807.30224;A
M;38332;2019;5733;ES61;POP;152765.77795;A
M;38332;2018;5732;ES61;POP;2218212.53068;A
M;38332;2018;5733;ES61;POP;148912.58490000002;A
M;38332;2017;5732;ES61;POP;2209374.2398;A
M;38332;2017;5733;ES61;POP;146232.37283;A
M;38332;2016;5732;ES61;POP;2213737.65365;A
M;38332;2016;5733;ES61;POP;140472.53139;A
M;38332;2015;5732;ES61;POP;2202959.11992;A
M;38332;2015;5733;ES61;POP;125284.86259;A
M;38332;2014;5732;ES61;POP;2184562.80705;A
